Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Carbs Metric,Cholesterol Metric,Fat Metric,Sodium Metric,Protein Metric,Price,Saturated Fat Metric
Bacon & Cheese Whopper Sandwich,303.0,51.0,50,35,11,2,1560,125,790,17.0,2.0,0.42194092827004226,1.0548523206751057,1.676804208449778,1.6455696202531647,1.7721518987341773,5.19,2.151898734177215
BBQ Bacon Whopper Sandwich,303.0,51.0,53,35,14,2,1540,125,800,17.0,2.0,0.4416666666666667,1.0416666666666667,1.655844155844156,1.6041666666666667,1.75,3.99,2.125
Double Whopper Sandwich,354.0,58.0,49,48,11,2,1050,175,900,20.0,3.0,0.36296296296296293,1.2962962962962963,1.6738816738816737,0.9722222222222223,2.1333333333333333,5.29,2.2222222222222223
Double Whopper Sandwich with Cheese,377.0,64.0,50,52,11,2,1410,195,980,24.0,3.0,0.34013605442176875,1.326530612244898,1.696262920752717,1.1989795918367347,2.1224489795918364,5.29,2.4489795918367347
Triple Whopper Sandwich with Cheese,461.0,82.0,50,71,11,2,1470,280,1220,32.0,4.5,0.27322404371584696,1.5300546448087433,1.745795188418139,1.0040983606557377,2.3278688524590163,6.39,2.622950819672131
Whopper Jr. Sandwich,134.0,18.0,27,13,7,1,390,40,310,5.0,0.5,0.5806451612903226,0.8602150537634409,1.5081692501047341,1.0483870967741935,1.6774193548387097,2.19,1.6129032258064515
Whopper Sandwich,270.0,40.0,49,28,11,2,980,90,660,12.0,1.5,0.49494949494949503,0.9090909090909091,1.5741833923652107,1.2373737373737375,1.696969696969697,4.19,1.8181818181818181
Whopper Sandwich with Cheese,292.0,46.0,50,32,11,2,1340,115,740,16.0,2.0,0.4504504504504505,1.0360360360360361,1.6146016146016147,1.509009009009009,1.7297297297297298,6.39,2.1621621621621623
Bacon Cheeseburger,118.0,16.0,27,17,7,1,710,55,320,7.0,0.5,0.5625000000000001,1.1458333333333335,1.2987012987012987,1.8489583333333335,2.125,1.49,2.1875
Bacon Double Cheeseburger,155.0,24.0,27,25,7,1,740,90,420,10.0,1.5,0.42857142857142855,1.4285714285714286,1.484230055658627,1.4682539682539684,2.380952380952381,2.29,2.380952380952381
Bacon King Jr. Sandwich,175.0,38.0,27,29,6,1,1050,115,570,15.0,1.5,0.31578947368421056,1.345029239766082,1.7316017316017316,1.5350877192982457,2.0350877192982457,3.99,2.631578947368421
Bacon King Sandwich,356.0,79.0,49,61,10,2,2150,240,1150,31.0,3.5,0.28405797101449276,1.391304347826087,1.7843026538678712,1.5579710144927537,2.121739130434783,3.99,2.6956521739130435
