Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Carbs Metric,Cholesterol Metric,Fat Metric,Sodium Metric,Protein Metric,Price,Saturated Fat Metric
"Asiago Bacon, Egg & Cheese on Asiago Cheese Bagel",,24.0,56.0,21.0,4.0,2.0,960.0,260.0,570.0,11.0,0.5,0.6549707602339182,3.0409356725146197,1.0936431989063569,1.4035087719298245,1.4736842105263157,3.39,1.9298245614035088
"Avocado, Egg White & Spinach on Sprouted Grain Bagel Flat",,14.0,52.0,21.0,4.0,7.0,590.0,25.0,410.0,6.0,0.0,0.8455284552845529,0.4065040650406504,0.8869179600886918,1.1991869918699187,2.048780487804878,1.05,1.4634146341463417
"Bacon, Egg & Cheese on Artisan Ciabatta",187.0,20.0,40.0,24.0,1.0,2.0,850.0,245.0,450.0,9.0,0.0,0.5925925925925927,3.6296296296296293,1.1544011544011545,1.5740740740740742,2.1333333333333333,7.99,2.0
"Bacon, Egg & Cheese on Brioche",,25.0,32.0,24.0,6.0,1.0,790.0,295.0,460.0,12.0,0.5,0.463768115942029,4.27536231884058,1.411631846414455,1.4311594202898552,2.0869565217391304,7.99,2.608695652173913
"Bacon, Scrambled Egg & Cheese on Artisan Ciabatta",161.0,22.0,40.0,25.0,1.0,2.0,760.0,275.0,460.0,9.0,0.0,0.5797101449275363,3.9855072463768115,1.2422360248447206,1.3768115942028987,2.1739130434782608,2.99,1.956521739130435
"Bacon, Scrambled Egg & Cheese on Brioche",,27.0,33.0,25.0,6.0,1.0,700.0,325.0,470.0,13.0,0.5,0.4680851063829788,4.609929078014185,1.4921248963802156,1.2411347517730495,2.127659574468085,6.39,2.7659574468085104
Egg & Cheese on Artisan Ciabatta,,15.0,39.0,19.0,0.0,2.0,700.0,230.0,380.0,7.0,0.0,0.6842105263157895,4.035087719298246,1.0252904989747094,1.5350877192982457,2.0,4.49,1.8421052631578945
Egg & Cheese on Brioche,,21.0,32.0,19.0,5.0,1.0,640.0,280.0,390.0,11.0,0.5,0.5470085470085471,4.786324786324786,1.3986013986013988,1.3675213675213675,1.9487179487179487,7.99,2.8205128205128207
Four Cheese Souffle,163.0,28.0,38.0,15.0,8.0,1.0,830.0,170.0,410.0,17.0,0.0,0.6178861788617886,2.7642276422764227,1.7738359201773837,1.6869918699186992,1.4634146341463414,4.49,4.146341463414634
Greek Yogurt with Mixed Berries & Granola,,10.0,39.0,15.0,30.0,3.0,55.0,20.0,300.0,5.0,0.0,0.8666666666666667,0.4444444444444445,0.8658008658008658,0.15277777777777776,2.0,4.19,1.6666666666666667
Ham & Swiss Souffle,,30.0,36.0,18.0,8.0,1.0,810.0,160.0,450.0,18.0,0.0,0.5333333333333333,2.3703703703703707,1.7316017316017316,1.5,1.6,6.39,4.0
"Ham, Egg & Cheese on Whole Grain Farmstyle Bread",,15.0,20.0,22.0,1.0,2.0,790.0,245.0,310.0,7.0,0.0,0.43010752688172044,5.268817204301075,1.2568077084206115,2.1236559139784945,2.838709677419355,5.99,2.258064516129032
"Ham, Egg, Cheese & Roasted Tomato on Whole Grain Farmstyle Bread",,15.0,21.0,22.0,1.0,2.0,820.0,245.0,320.0,7.0,0.0,0.43750000000000006,5.104166666666667,1.2175324675324675,2.135416666666667,2.75,0.99,2.1875
"Ham, Scrambled Egg & Cheese on Whole Grain Farmstyle Bread",,17.0,21.0,23.0,1.0,2.0,710.0,275.0,330.0,7.0,0.0,0.4242424242424242,5.555555555555556,1.3380558835104288,1.7929292929292928,2.787878787878788,0.99,2.1212121212121215
"Ham, Scrambled Egg, Cheese & Roasted Tomato on Whole Grain Farmstyle Bread",,17.0,22.0,23.0,1.0,2.0,730.0,275.0,330.0,7.0,0.0,0.4444444444444445,5.555555555555556,1.3380558835104288,1.8434343434343434,2.787878787878788,0.99,2.1212121212121215
"Sausage, Egg & Cheese on Brioche",,34.0,33.0,27.0,6.0,1.0,970.0,325.0,550.0,16.0,0.5,0.4,3.93939393939394,1.6056670602125147,1.4696969696969697,1.9636363636363634,7.99,2.909090909090909
"Sausage, Scrambled Egg & Cheese on Artisan Ciabatta",,30.0,41.0,28.0,1.0,2.0,940.0,305.0,560.0,12.0,0.0,0.48809523809523814,3.630952380952381,1.3914656771799627,1.398809523809524,2.0,4.99,2.142857142857143
"Sausage, Scrambled Egg & Cheese on Brioche",,35.0,33.0,28.0,6.0,1.0,880.0,355.0,570.0,16.0,0.5,0.3859649122807018,4.152046783625732,1.5948963317384368,1.286549707602339,1.9649122807017543,6.39,2.807017543859649
Scrambled Egg & Cheese on Artisan Ciabatta,,17.0,40.0,20.0,0.0,2.0,620.0,260.0,400.0,7.0,0.0,0.6666666666666667,4.333333333333334,1.103896103896104,1.2916666666666667,2.0,4.69,1.7500000000000002
Scrambled Egg & Cheese on Brioche,,22.0,32.0,20.0,5.0,1.0,550.0,310.0,410.0,11.0,0.5,0.5203252032520326,5.040650406504065,1.3937282229965156,1.1178861788617886,1.951219512195122,7.99,2.682926829268293
Spinach & Artichoke Souffle,,33.0,39.0,18.0,8.0,2.0,890.0,170.0,520.0,19.0,0.5,0.5,2.1794871794871797,1.6483516483516483,1.4262820512820513,1.3846153846153846,4.99,3.653846153846154
Spinach & Bacon Souffle,,35.0,37.0,20.0,8.0,1.0,900.0,185.0,550.0,19.0,0.5,0.44848484848484854,2.2424242424242427,1.652892561983471,1.3636363636363638,1.4545454545454546,2.99,3.4545454545454546
