Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Carbs Metric,Cholesterol Metric,Fat Metric,Sodium Metric,Protein Metric
Bacon & Cheese Whopper Sandwich,303,51,50,35,11,2,1560,125,790,17,2,0.421940928,1.054852321,1.676804208,1.64556962,0.29535865
BBQ Bacon Whopper Sandwich,303,51,53,35,14,2,1540,125,800,17,2,0.441666667,1.041666667,1.655844156,1.604166667,0.291666667
Double Whopper Sandwich,354,58,49,48,11,2,1050,175,900,20,3,0.362962963,1.296296296,1.673881674,0.972222222,0.355555556
Double Whopper Sandwich with Cheese,377,64,50,52,11,2,1410,195,980,24,3,0.340136054,1.326530612,1.696262921,1.198979592,0.353741497
Triple Whopper Sandwich with Cheese,461,82,50,71,11,2,1470,280,1220,32,4.5,0.273224044,1.530054645,1.745795188,1.004098361,0.387978142
Whopper Jr. Sandwich,134,18,27,13,7,1,390,40,310,5,0.5,0.580645161,0.860215054,1.50816925,1.048387097,0.279569892
Whopper Sandwich,270,40,49,28,11,2,980,90,660,12,1.5,0.494949495,0.909090909,1.574183392,1.237373737,0.282828283
Whopper Sandwich with Cheese,292,46,50,32,11,2,1340,115,740,16,2,0.45045045,1.036036036,1.614601615,1.509009009,0.288288288
Bacon Cheeseburger,118,16,27,17,7,1,710,55,320,7,0.5,0.5625,1.145833333,1.298701299,1.848958333,0.354166667
Bacon Double Cheeseburger,155,24,27,25,7,1,740,90,420,10,1.5,0.428571429,1.428571429,1.484230056,1.468253968,0.396825397
Bacon King Jr. Sandwich,175,38,27,29,6,1,1050,115,570,15,1.5,0.315789474,1.34502924,1.731601732,1.535087719,0.339181287
Bacon King Sandwich,356,79,49,61,10,2,2150,240,1150,31,3.5,0.284057971,1.391304348,1.784302654,1.557971014,0.353623188
Cheeseburger,111,13,27,15,7,1,560,45,280,6,0.5,0.642857143,1.071428571,1.20593692,1.666666667,0.357142857
Double Cheeseburger,148,21,27,23,7,1,590,85,390,9,1.5,0.461538462,1.452991453,1.398601399,1.260683761,0.393162393
Double Hamburger,136,18,26,21,6,1,410,70,350,7,1,0.495238095,1.333333333,1.33580705,0.976190476,0.4
Double Quarter Pound King Sandwich,338,54,50,56,11,2,1740,210,900,25,3,0.37037037,1.555555556,1.558441558,1.611111111,0.414814815
Extra Long Cheeseburger,226,37,45,29,9,2,1050,100,630,14,1.5,0.476190476,1.058201058,1.525458668,1.388888889,0.306878307
Hamburger,99,10,26,13,6,1,380,35,240,3.5,0.5,0.722222222,0.972222222,1.082251082,1.319444444,0.361111111
Rodeo King Sandwich,385,82,69,60,14,3,2270,230,1250,31,3.5,0.368,1.226666667,1.703896104,1.513333333,0.32
Single Quarter Pound King Sandwich,231,29,49,32,10,2,1310,105,580,13,1.5,0.563218391,1.206896552,1.298701299,1.882183908,0.367816092
Bacon & Cheese Crispy Chicken Sandwich,262,52,55,30,8,2,1650,95,800,13,1,0.458333333,0.791666667,1.688311688,1.71875,0.25
Big Fish Sandwich,188,28,51,16,7,2,1180,30,510,4.5,0,0.666666667,0.392156863,1.426024955,1.928104575,0.209150327
BK Veggie Burger,219,17,41,21,9,5,980,5,390,2.5,0,0.700854701,0.085470085,1.132201132,2.094017094,0.358974359
Chicken Fries,91,17,20,13,1,1,850,35,280,2.5,0,0.476190476,0.833333333,1.576994434,2.529761905,0.30952381
"Chicken Nuggets, 6 Piece",88,16,16,12,0,1,470,35,260,2.5,0,0.41025641,0.897435897,1.598401598,1.506410256,0.307692308
"Chicken Nuggets, 10 Piece",146,27,27,20,0,2,780,55,430,4.5,0,0.418604651,0.852713178,1.630927212,1.511627907,0.310077519
"Chicken Nuggets, 20 Piece",292,54,53,39,1,3,1570,115,860,9,0,0.410852713,0.891472868,1.630927212,1.521317829,0.302325581
Crispy Chicken Jr.,142,30,34,12,5,2,780,30,450,5,0,0.503703704,0.444444444,1.731601732,1.444444444,0.177777778
Crispy Chicken Sandwich,228,41,54,23,8,2,1080,60,670,7,0,0.537313433,0.597014925,1.589455321,1.343283582,0.228855721
