Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Carbs Metric,Cholesterol Metric,Fat Metric,Sodium Metric,Protein Metric,Price
Bourbon BBQ Brisket Sandwich,218.0,33.0,51.0,38.0,15.0,2.0,1460.0,105.0,650.0,12.0,1.0,0.5230769230769231,1.0769230769230769,1.3186813186813189,1.871794871794872,0.38974358974358975,0
Bourbon BBQ Chicken Sandwich,246.0,31.0,66.0,38.0,16.0,3.0,1990.0,90.0,690.0,9.0,0.0,0.6376811594202899,0.8695652173913043,1.1669489930359496,2.4033816425120773,0.3671497584541063,0
Bourbon BBQ Steak Sandwich,232.0,21.0,52.0,37.0,16.0,2.0,1770.0,80.0,540.0,8.0,0.0,0.6419753086419754,0.9876543209876544,1.0101010101010102,2.7314814814814814,0.4567901234567902,0
Bourbon BBQ Triple Stack Sandwich,359.0,43.0,67.0,65.0,16.0,4.0,2790.0,170.0,910.0,13.0,1.0,0.4908424908424909,1.2454212454212454,1.2273440844869417,2.554945054945055,0.4761904761904762,0
Greek Gyro Salad,228.0,37.0,11.0,10.0,4.0,2.0,700.0,55.0,420.0,9.0,0.0,0.17460317460317462,0.8730158730158731,2.2881880024737167,1.3888888888888893,0.15873015873015872,0
Gyro Loaded Curly Fries,261.0,59.0,57.0,14.0,3.0,6.0,1650.0,55.0,820.0,12.0,0.0,0.4634146341463416,0.4471544715447155,1.8688628444726003,1.676829268292683,0.11382113821138212,0
"Orange Cream Shake, Large",752.0,29.0,156.0,23.0,130.0,1.0,640.0,95.0,950.0,19.0,0.5,1.0947368421052632,0.6666666666666667,0.7928913192071086,0.5614035087719298,0.16140350877192985,0
"Orange Cream Shake, Medium",582.0,22.0,124.0,18.0,103.0,1.0,490.0,75.0,750.0,15.0,0.5,1.1022222222222222,0.6666666666666667,0.7619047619047619,0.5444444444444445,0.16,$0.59
"Orange Cream Shake, Small",407.0,17.0,86.0,12.0,72.0,1.0,340.0,55.0,530.0,11.0,0.0,1.0817610062893082,0.6918238993710693,0.8331291350159274,0.5345911949685535,0.1509433962264151,0
"Orange Cream Shake, Snack",249.0,8.0,54.0,8.0,45.0,0.0,210.0,25.0,310.0,5.0,0.0,1.1612903225806452,0.5376344086021505,0.6702974444909928,0.5645161290322579,0.1720430107526882,0
Super Greek Salad,382.0,53.0,39.0,22.0,7.0,5.0,1310.0,85.0,720.0,15.0,0.0,0.3611111111111112,0.7870370370370371,1.9119769119769117,1.5162037037037035,0.2037037037037037,0
Traditional Greek Gyro,273.0,44.0,55.0,23.0,6.0,4.0,1360.0,75.0,710.0,13.0,0.0,0.5164319248826291,0.7042253521126761,1.6096579476861168,1.596244131455399,0.215962441314554,$1.09
Loaded Italian,308.0,40.0,49.0,32.0,7.0,3.0,2270.0,100.0,680.0,14.0,0.5,0.480392156862745,0.9803921568627452,1.5278838808250572,2.7818627450980395,0.3137254901960784,$0.99
Reuben,308.0,31.0,62.0,37.0,5.0,4.0,2420.0,80.0,680.0,8.0,0.5,0.6078431372549019,0.7843137254901961,1.184110007639419,2.9656862745098036,0.3627450980392157,$4.99
Roast Beef Gyro,273.0,29.0,48.0,24.0,5.0,3.0,1290.0,60.0,550.0,7.0,1.0,0.5818181818181819,0.7272727272727273,1.369539551357733,1.9545454545454544,0.2909090909090909,$7.69
Smokehouse Brisket,203.0,35.0,42.0,33.0,7.0,2.0,1240.0,100.0,600.0,12.0,1.0,0.4666666666666667,1.1111111111111112,1.5151515151515151,1.7222222222222223,0.3666666666666667,$7.69
Turkey Gyro,273.0,20.0,48.0,25.0,5.0,3.0,1520.0,45.0,470.0,3.5,0.0,0.6808510638297872,0.6382978723404256,1.1052777010223818,2.695035460992908,0.3546099290780142,0
Classic Beef 'n Cheddar Sandwich,195.0,20.0,45.0,23.0,9.0,2.0,1280.0,50.0,450.0,6.0,1.0,0.6666666666666667,0.7407407407407407,1.1544011544011543,2.3703703703703707,0.3407407407407408,$7.39
Classic French Dip & Swiss/Au Jus Sandwich,327.0,22.0,51.0,34.0,3.0,2.0,2550.0,85.0,540.0,10.0,1.0,0.6296296296296297,1.0493827160493827,1.0582010582010584,3.9351851851851856,0.41975308641975306,$6.79
Classic Roast Beef Sandwich,154.0,14.0,37.0,23.0,5.0,2.0,970.0,50.0,360.0,5.0,0.5,0.6851851851851852,0.9259259259259259,1.0101010101010102,2.2453703703703707,0.4259259259259259,$5.69
Double Beef 'n Cheddar Sandwich,301.0,32.0,48.0,39.0,9.0,2.0,2100.0,100.0,630.0,11.0,1.5,0.507936507936508,1.058201058201058,1.3193156050298906,2.7777777777777786,0.4126984126984127,0
Double Roast Beef Sandwich,239.0,24.0,38.0,38.0,5.0,2.0,1610.0,95.0,510.0,9.0,1.5,0.4967320261437909,1.2418300653594772,1.2223071046600458,2.6307189542483655,0.4967320261437909,0
Half Pound Beef 'n Cheddar Sandwich,358.0,39.0,48.0,49.0,9.0,2.0,2530.0,130.0,740.0,14.0,2.0,0.4324324324324325,1.1711711711711712,1.3689013689013694,2.8490990990990985,0.4414414414414415,$7.49
Half Pound French Dip & Swiss/Au Jus Sandwich,441.0,35.0,52.0,55.0,3.0,2.0,3400.0,150.0,740.0,16.0,2.0,0.4684684684684685,1.3513513513513515,1.2285012285012284,3.828828828828829,0.4954954954954955,0
Half Pound Roast Beef Sandwich,295.0,30.0,38.0,48.0,5.0,2.0,2040.0,130.0,610.0,12.0,2.0,0.41530054644808745,1.4207650273224044,1.2774111134766872,2.78688524590164,0.5245901639344263,0
Fire-Roasted Philly Sandwich,291.0,32.0,46.0,42.0,4.0,3.0,1950.0,105.0,640.0,11.0,0.5,0.4791666666666666,1.09375,1.2987012987012987,2.5390625,0.4375000000000001,$7.69
Three Cheese Steak Sandwich,255.0,36.0,44.0,42.0,7.0,2.0,1750.0,115.0,650.0,15.0,1.0,0.4512820512820513,1.1794871794871795,1.4385614385614387,2.243589743589744,0.4307692307692308,$7.69
Grand Turkey Club Sandwich,233.0,24.0,37.0,30.0,9.0,2.0,1610.0,65.0,480.0,7.0,0.0,0.513888888888889,0.9027777777777778,1.2987012987012987,2.795138888888889,0.4166666666666667,$6.79
Roast Turkey & Swiss Sandwich,326.0,28.0,79.0,38.0,15.0,5.0,1930.0,65.0,710.0,7.0,0.0,0.7417840375586855,0.6103286384976526,1.0243277848911652,2.265258215962441,0.3568075117370892,$7.49
Roast Turkey & Swiss Wrap,261.0,27.0,39.0,30.0,6.0,4.0,1640.0,65.0,520.0,9.0,0.0,0.5,0.8333333333333334,1.3486513486513487,2.628205128205128,0.38461538461538464,$7.49
Roast Turkey Ranch & Bacon Sandwich,344.0,34.0,79.0,45.0,16.0,5.0,2420.0,80.0,800.0,10.0,0.5,0.6583333333333334,0.6666666666666667,1.103896103896104,2.520833333333333,0.375,$7.59
Roast Turkey Ranch & Bacon Wrap,279.0,34.0,39.0,37.0,6.0,4.0,2130.0,85.0,620.0,11.0,0.5,0.4193548387096774,0.913978494623656,1.4243820695433602,2.8629032258064515,0.3978494623655914,$7.59
Buttermilk Buffalo Chicken Sandwich,245.0,26.0,52.0,28.0,6.0,4.0,2050.0,65.0,550.0,5.0,0.0,0.6303030303030304,0.7878787878787878,1.2278630460448643,3.1060606060606064,0.3393939393939394,0
Buttermilk Chicken Bacon & Swiss Sandwich,289.0,33.0,55.0,38.0,9.0,4.0,1700.0,95.0,660.0,10.0,0.0,0.5555555555555556,0.9595959595959596,1.2987012987012987,2.146464646464646,0.3838383838383839,$6.99
Buttermilk Chicken Cordon Bleu Sandwich,264.0,36.0,52.0,41.0,7.0,3.0,1940.0,115.0,700.0,10.0,0.0,0.4952380952380953,1.0952380952380951,1.3358070500927643,2.3095238095238098,0.3904761904761905,$6.99
Buttermilk Crispy Chicken Sandwich,257.0,27.0,52.0,28.0,6.0,4.0,1420.0,70.0,560.0,5.0,0.0,0.6190476190476191,0.8333333333333334,1.2523191094619666,2.1130952380952377,0.33333333333333337,$6.49
Prime-Cut Chicken Tenders (3),131.0,17.0,28.0,23.0,0.0,2.0,950.0,45.0,360.0,2.5,0.0,0.5185185185185186,0.8333333333333334,1.2265512265512266,2.1990740740740744,0.4259259259259259,$6.19
Prime-Cut Chicken Tenders (5),219.0,28.0,47.0,39.0,0.0,3.0,1590.0,75.0,600.0,4.0,0.0,0.5222222222222223,0.8333333333333334,1.2121212121212122,2.208333333333333,0.43333333333333335,$3.99
Chopped Farmhouse Salad with Crispy Chicken,323.0,24.0,26.0,28.0,4.0,4.0,1000.0,65.0,430.0,8.0,0.0,0.4031007751937984,1.007751937984496,1.4497130776200544,1.9379844961240311,0.4341085271317829,0
Chopped Farmhouse Salad with Roast Turkey,285.0,13.0,8.0,22.0,5.0,2.0,870.0,55.0,230.0,7.0,0.0,0.2318840579710145,1.5942028985507248,1.4680971202710331,3.1521739130434785,0.6376811594202899,$4.99
Chopped Side Salad,128.0,5.0,4.0,5.0,2.0,1.0,100.0,15.0,70.0,2.5,0.0,0.3809523809523809,1.4285714285714286,1.855287569573284,1.1904761904761905,0.4761904761904762,$2.29
Buffalo Chicken Slider,106.0,13.0,31.0,12.0,2.0,2.0,860.0,20.0,290.0,2.0,0.0,0.7126436781609196,0.4597701149425287,1.1643528884908194,2.4712643678160924,0.27586206896551724,$1.49
Chicken Tender 'n Cheese Slider,99.0,12.0,30.0,15.0,1.0,1.0,720.0,25.0,290.0,3.5,0.0,0.6896551724137931,0.574712643678161,1.0747872816838333,2.0689655172413794,0.3448275862068966,0
Ham 'n Cheese Slider,91.0,9.0,22.0,13.0,3.0,1.0,750.0,30.0,230.0,3.5,0.0,0.6376811594202899,0.8695652173913043,1.0163749294184077,2.717391304347826,0.37681159420289856,0
Jalapeno Roast Beef 'n Cheese Slider,98.0,11.0,21.0,14.0,1.0,1.0,670.0,30.0,240.0,4.5,0.0,0.5833333333333334,0.8333333333333334,1.1904761904761905,2.3263888888888893,0.3888888888888889,$1.49
Pizza Slider,95.0,17.0,23.0,13.0,2.0,1.0,930.0,35.0,300.0,6.0,0.0,0.5111111111111111,0.7777777777777778,1.4718614718614718,2.583333333333333,0.2888888888888889,$1.49
Roast Beef 'n Cheese Slider,91.0,11.0,21.0,14.0,1.0,1.0,670.0,30.0,240.0,4.5,0.0,0.5833333333333334,0.8333333333333334,1.1904761904761905,2.3263888888888893,0.3888888888888889,$1.49
Turkey 'n Cheese Slider,91.0,7.0,21.0,14.0,2.0,1.0,760.0,25.0,200.0,2.5,0.0,0.7,0.8333333333333334,0.9090909090909092,3.1666666666666665,0.4666666666666667,$3.99
"Curly Fries, Large",201.0,35.0,77.0,8.0,0.0,7.0,1480.0,0.0,650.0,5.0,0.0,0.7897435897435898,0.0,1.3986013986013988,1.8974358974358971,0.08205128205128205,$2.19
"Curly Fries, Medium",170.0,29.0,65.0,6.0,0.0,6.0,1250.0,0.0,550.0,4.0,0.0,0.7878787878787878,0.0,1.369539551357733,1.8939393939393945,0.07272727272727274,$1.99
"Curly Fries, Small",128.0,22.0,49.0,5.0,0.0,5.0,940.0,0.0,410.0,3.0,0.0,0.7967479674796748,0.0,1.3937282229965156,1.9105691056910568,0.0813008130081301,$1.69
"Curly Fries, Snack",77.0,13.0,29.0,3.0,0.0,3.0,570.0,0.0,250.0,2.0,0.0,0.7733333333333334,0.0,1.3506493506493509,1.9,0.08,$1.19
Jalapeno Bites (5),110.0,17.0,31.0,5.0,3.0,2.0,660.0,25.0,290.0,6.0,0.0,0.7126436781609196,0.574712643678161,1.522615315718764,1.8965517241379315,0.11494252873563217,$2.99
Jalapeno Bites (8),176.0,27.0,50.0,8.0,4.0,3.0,1060.0,40.0,470.0,10.0,0.5,0.7092198581560284,0.5673758865248227,1.4921248963802156,1.8794326241134751,0.11347517730496455,$4.69
Loaded Curly Fries,233.0,46.0,57.0,14.0,2.0,5.0,1990.0,35.0,700.0,9.0,0.0,0.5428571428571429,0.33333333333333337,1.7068645640074211,2.369047619047619,0.13333333333333333,0
Mozzarella Sticks (4),137.0,23.0,37.0,19.0,3.0,2.0,1410.0,35.0,440.0,9.0,0.5,0.5606060606060607,0.5303030303030303,1.3577331759149942,2.6704545454545454,0.2878787878787879,$2.99
