Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Carbs Metric,Cholesterol Metric,Fat Metric,Sodium Metric,Protein Metric,Price
Bacon & Cheese Whopper Sandwich,303.0,51.0,50,35,11,2,1560,125,790,17.0,2.0,0.421940928,1.054852321,1.676804208,1.64556962,0.29535865,$1.19
BBQ Bacon Whopper Sandwich,303.0,51.0,53,35,14,2,1540,125,800,17.0,2.0,0.441666667,1.041666667,1.655844156,1.6041666669999999,0.291666667,0
Double Whopper Sandwich,354.0,58.0,49,48,11,2,1050,175,900,20.0,3.0,0.36296296299999997,1.296296296,1.673881674,0.9722222220000001,0.355555556,$7.59
Double Whopper Sandwich with Cheese,377.0,64.0,50,52,11,2,1410,195,980,24.0,3.0,0.34013605399999997,1.326530612,1.696262921,1.198979592,0.353741497,0
Triple Whopper Sandwich with Cheese,461.0,82.0,50,71,11,2,1470,280,1220,32.0,4.5,0.273224044,1.530054645,1.7457951880000002,1.004098361,0.387978142,$6.99
Whopper Jr. Sandwich,134.0,18.0,27,13,7,1,390,40,310,5.0,0.5,0.580645161,0.8602150540000001,1.50816925,1.048387097,0.279569892,$5.29
Whopper Sandwich,270.0,40.0,49,28,11,2,980,90,660,12.0,1.5,0.494949495,0.9090909090000001,1.574183392,1.237373737,0.282828283,$6.49
Whopper Sandwich with Cheese,292.0,46.0,50,32,11,2,1340,115,740,16.0,2.0,0.45045045,1.036036036,1.614601615,1.5090090090000001,0.288288288,0
Bacon Cheeseburger,118.0,16.0,27,17,7,1,710,55,320,7.0,0.5,0.5625,1.145833333,1.298701299,1.8489583330000001,0.35416666700000005,$1.69
Bacon Double Cheeseburger,155.0,24.0,27,25,7,1,740,90,420,10.0,1.5,0.428571429,1.428571429,1.484230056,1.4682539680000002,0.396825397,$2.29
Bacon King Jr. Sandwich,175.0,38.0,27,29,6,1,1050,115,570,15.0,1.5,0.31578947399999996,1.34502924,1.731601732,1.535087719,0.33918128700000005,$1.29
Bacon King Sandwich,356.0,79.0,49,61,10,2,2150,240,1150,31.0,3.5,0.284057971,1.391304348,1.784302654,1.557971014,0.353623188,$3.89
Cheeseburger,111.0,13.0,27,15,7,1,560,45,280,6.0,0.5,0.642857143,1.071428571,1.20593692,1.6666666669999999,0.35714285700000004,$3.99
Double Cheeseburger,148.0,21.0,27,23,7,1,590,85,390,9.0,1.5,0.46153846200000004,1.452991453,1.3986013990000001,1.260683761,0.39316239299999994,$4.49
Double Hamburger,136.0,18.0,26,21,6,1,410,70,350,7.0,1.0,0.495238095,1.333333333,1.33580705,0.976190476,0.4,$1.09
Double Quarter Pound King Sandwich,338.0,54.0,50,56,11,2,1740,210,900,25.0,3.0,0.37037037,1.5555555559999998,1.5584415580000002,1.611111111,0.414814815,0
Extra Long Cheeseburger,226.0,37.0,45,29,9,2,1050,100,630,14.0,1.5,0.47619047600000003,1.0582010579999999,1.5254586680000002,1.388888889,0.306878307,$6.09
Hamburger,99.0,10.0,26,13,6,1,380,35,240,3.5,0.5,0.7222222220000001,0.9722222220000001,1.082251082,1.3194444440000002,0.36111111100000004,$3.99
Rodeo King Sandwich,385.0,82.0,69,60,14,3,2270,230,1250,31.0,3.5,0.368,1.226666667,1.703896104,1.513333333,0.32,0
Single Quarter Pound King Sandwich,231.0,29.0,49,32,10,2,1310,105,580,13.0,1.5,0.563218391,1.2068965520000001,1.298701299,1.882183908,0.36781609200000004,0
Bacon & Cheese Crispy Chicken Sandwich,262.0,52.0,55,30,8,2,1650,95,800,13.0,1.0,0.45833333299999995,0.791666667,1.6883116880000002,1.71875,0.25,$1.79
Big Fish Sandwich,188.0,28.0,51,16,7,2,1180,30,510,4.5,0.0,0.666666667,0.39215686299999997,1.426024955,1.928104575,0.209150327,$6.39
BK Veggie Burger,219.0,17.0,41,21,9,5,980,5,390,2.5,0.0,0.7008547009999999,0.085470085,1.132201132,2.0940170940000002,0.35897435899999997,$2.09
Chicken Fries,91.0,17.0,20,13,1,1,850,35,280,2.5,0.0,0.47619047600000003,0.833333333,1.5769944340000002,2.529761905,0.30952381,$2.99
"Chicken Nuggets, 6 Piece",88.0,16.0,16,12,0,1,470,35,260,2.5,0.0,0.41025641,0.897435897,1.5984015980000001,1.506410256,0.307692308,$4.99
"Chicken Nuggets, 10 Piece",146.0,27.0,27,20,0,2,780,55,430,4.5,0.0,0.418604651,0.852713178,1.6309272119999998,1.5116279069999998,0.31007751899999997,$1.59
"Chicken Nuggets, 20 Piece",292.0,54.0,53,39,1,3,1570,115,860,9.0,0.0,0.410852713,0.8914728679999999,1.6309272119999998,1.521317829,0.302325581,$2.89
Crispy Chicken Jr.,142.0,30.0,34,12,5,2,780,30,450,5.0,0.0,0.503703704,0.444444444,1.731601732,1.4444444440000002,0.177777778,$1.00
Crispy Chicken Sandwich,228.0,41.0,54,23,8,2,1080,60,670,7.0,0.0,0.537313433,0.597014925,1.589455321,1.343283582,0.228855721,$6.19
Grilled Chicken Sandwich,229.0,19.0,39,37,6,6,850,85,470,3.5,0.0,0.553191489,1.205673759,1.0500138159999999,1.5070921990000001,0.524822695,$7.49
Original Chicken Sandwich,219.0,40.0,48,28,5,2,1170,75,660,7.0,0.0,0.484848485,0.757575758,1.574183392,1.477272727,0.282828283,$1.99
Rodeo Crispy Chicken Sandwich,270.0,60.0,72,33,14,3,2230,105,960,15.0,1.0,0.5,0.729166667,1.6233766230000002,1.935763889,0.229166667,$1.00
Spicy Crispy Chicken Jr.,142.0,21.0,37,12,6,2,740,30,390,3.5,0.0,0.632478632,0.512820513,1.3986013990000001,1.581196581,0.205128205,$1.00
Spicy Crispy Chicken Sandwich,242.0,42.0,57,25,8,3,1140,65,700,7.0,0.0,0.542857143,0.6190476189999999,1.5584415580000002,1.357142857,0.23809523800000001,0
Kids Cheeseburger,111.0,13.0,27,15,7,1,560,45,280,6.0,0.5,0.642857143,1.071428571,1.20593692,1.6666666669999999,0.35714285700000004,0
"Kids Chicken Nuggets, 6 Piece",88.0,16.0,16,12,0,1,470,35,260,2.5,0.0,0.41025641,0.897435897,1.5984015980000001,1.506410256,0.307692308,0
Kids Hamburger,99.0,10.0,26,13,6,1,380,35,240,3.5,0.5,0.7222222220000001,0.9722222220000001,1.082251082,1.3194444440000002,0.36111111100000004,0
Kids Oatmeal,167.0,3.0,32,4,12,3,260,5,170,1.5,0.0,1.2549019609999998,0.19607843100000003,0.458365164,1.274509804,0.156862745,0
Kids PB&J Jamwich,79.0,16.0,33,11,11,4,290,0,300,3.0,0.0,0.7333333329999999,0.0,1.385281385,0.805555556,0.24444444399999998,0
Kids Soft Serve Cone,120.0,4.5,32,5,24,0,150,20,190,3.0,0.0,1.122807018,0.701754386,0.615174299,0.657894737,0.175438596,0
Cheesy Tots,128.0,15.0,34,9,0,3,780,0,310,1.0,0.0,0.7311827959999999,0.0,1.256807708,2.096774194,0.193548387,$1.19
"Club Salad with Crispy Chicken, No Dressing",308.0,33.0,31,31,5,3,1380,95,540,10.0,0.0,0.382716049,1.1728395059999999,1.5873015869999998,2.12962963,0.382716049,0
"Club Salad with Grilled Chicken, No Dressing",334.0,23.0,16,44,5,7,1220,120,440,9.0,0.0,0.24242424199999998,1.8181818180000002,1.357733176,2.310606061,0.666666667,0
"French Fries, Large (Salted)",173.0,19.0,60,6,0,4,640,0,430,3.5,0.0,0.9302325579999999,0.0,1.14768952,1.240310078,0.093023256,$2.39
"French Fries, Medium (Salted)",153.0,17.0,53,5,0,4,570,0,380,3.0,0.0,0.929824561,0.0,1.161995899,1.25,0.087719298,$2.19
"French Fries, Small (Salted)",128.0,14.0,44,4,0,3,480,0,320,2.5,0.0,0.916666667,0.0,1.136363636,1.25,0.083333333,$1.79
"French Fries, Value (Salted)",89.0,10.0,31,3,0,2,330,0,220,1.5,0.0,0.939393939,0.0,1.180637544,1.25,0.090909091,$3.59
"Garden Chicken Salad with Crispy Chicken, No Dressing",287.0,25.0,31,25,4,3,930,75,440,7.0,0.0,0.46969697,1.136363636,1.47579693,1.761363636,0.378787879,$6.19
"Garden Chicken Salad with Grilled Chicken, No Dressing",313.0,15.0,16,39,4,7,770,100,340,6.0,0.0,0.31372549,1.960784314,1.145912911,1.8872549019999998,0.764705882,0
"Garden Side Salad, No Dressing",99.0,4.0,3,4,2,1,95,10,60,2.5,0.0,0.333333333,1.111111111,1.731601732,1.3194444440000002,0.444444444,$1.99
"Onion Rings, Large",142.0,25.0,64,5,7,5,1310,0,500,4.5,0.0,0.8533333329999999,0.0,1.298701299,2.183333333,0.066666667,$2.39
"Onion Rings, Medium",117.0,21.0,53,4,5,4,1080,0,410,3.5,0.0,0.861788618,0.0,1.33037694,2.195121951,0.06504065,$3.89
"Onion Rings, Small",91.0,16.0,41,3,4,3,840,0,320,3.0,0.0,0.854166667,0.0,1.298701299,2.1875,0.0625,$2.89
"Bacon, Egg & Cheese Biscuit",152.0,26.0,29,13,3,1,1270,170,400,13.0,0.0,0.483333333,2.833333333,1.6883116880000002,2.645833333,0.21666666699999998,0
BK Ultimate Breakfast Platter,487.0,70.0,122,29,33,5,2550,380,1230,23.0,0.5,0.661246612,2.059620596,1.4781966,1.7276422759999999,0.157181572,$4.89
"Croissan'wich Bacon, Egg & Cheese",132.0,21.0,30,14,4,1,760,170,370,9.0,0.0,0.540540541,3.063063063,1.474201474,1.7117117119999998,0.252252252,0
Croissan'wich Egg & Cheese,125.0,18.0,29,12,4,1,610,160,340,8.0,0.0,0.568627451,3.137254902,1.3750954930000001,1.4950980390000002,0.235294118,$5.99
"Croissan'wich Ham, Egg & Cheese",156.0,19.0,30,17,5,1,1030,175,370,8.0,0.0,0.540540541,3.1531531530000003,1.3338013340000001,2.31981982,0.30630630600000003,0
"Croissan'wich Sausage, Egg & Cheese",169.0,33.0,30,19,4,1,930,195,500,13.0,0.0,0.4,2.6,1.714285714,1.55,0.253333333,0
Egg-Normous Burrito,371.0,57.0,68,38,5,7,2460,375,940,20.0,1.0,0.48226950399999996,2.659574468,1.575020724,2.180851064,0.26950354600000004,0
"French Toast Sticks, 5 Piece",109.0,18.0,49,5,13,2,430,0,380,3.0,0.0,0.859649123,0.0,1.230348599,0.942982456,0.087719298,$3.99
Fully Loaded Biscuit,238.0,45.0,31,28,4,1,2190,225,640,20.0,0.0,0.322916667,2.34375,1.826298701,2.8515625,0.291666667,0
Fully Loaded Croissan'wich,218.0,40.0,31,28,5,1,1680,225,610,17.0,0.5,0.338797814,2.459016393,1.7032148180000002,2.295081967,0.306010929,$6.19
"Ham, Egg, & Cheese Biscuit",176.0,24.0,29,17,3,1,1550,175,400,12.0,0.0,0.483333333,2.916666667,1.5584415580000002,3.229166667,0.283333333,0
"Hash Browns, Large",225.0,44.0,65,5,0,9,1530,0,670,9.0,0.0,0.646766169,0.0,1.70575693,1.902985075,0.04975124400000001,$1.89
"Hash Browns, Medium",169.0,33.0,48,4,0,7,1140,0,500,7.0,0.0,0.64,0.0,1.714285714,1.9,0.053333333,$1.69
King Croissan'wich with Double Sausage,224.0,52.0,31,29,5,1,1420,240,710,20.0,0.5,0.291079812,2.253521127,1.9023230290000002,1.6666666669999999,0.272300469,$5.59
King Croissan'wich with Ham And Sausage,211.0,38.0,31,27,5,1,1530,220,580,16.0,0.5,0.356321839,2.528735632,1.701746529,2.198275862,0.310344828,0
King Croissan'wich with Sausage And Bacon,187.0,40.0,31,23,5,1,1260,215,580,16.0,0.5,0.356321839,2.471264368,1.791312136,1.810344828,0.26436781600000003,$4.79
NY Ultimate Platter,400.0,46.0,95,25,31,5,1760,380,900,12.0,0.0,0.703703704,2.814814815,1.327561328,1.62962963,0.185185185,0
Pancake and Sausage Platter,217.0,31.0,72,12,30,1,1010,80,610,9.0,0.0,0.786885246,0.87431694,1.319991484,1.379781421,0.131147541,$3.69
Quaker Oatmeal Maple Flavor,172.0,3.0,32,4,12,3,270,5,170,1.5,0.0,1.2549019609999998,0.19607843100000003,0.458365164,1.323529412,0.156862745,$1.99
"Sausage, Egg, & Cheese Biscuit",189.0,38.0,29,19,3,1,1440,195,530,17.0,0.0,0.364779874,2.452830189,1.862288655,2.264150943,0.23899371100000003,$5.59
"Sausage, Egg, Cheese & Hash Brown Burrito",143.0,23.0,27,15,2,3,930,150,370,8.0,0.0,0.486486486,2.702702703,1.614601615,2.094594595,0.27027027,0
