Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Carbs Metric,Cholesterol Metric,Fat Metric,Sodium Metric,Protein Metric,Price
Bacon & Egg Burrito,,34.0,38.0,26.0,1.0,1.0,1000.0,375.0,570.0,18.0,0.0,0.4444444444444445,4.385964912280701,1.5493278651173388,1.4619883040935673,0.30409356725146197,$3.29
"Bacon, Egg & Cheese Biscuit (California only)",,28.0,38.0,15.0,3.0,2.0,1130.0,190.0,470.0,15.0,0.0,0.5390070921985817,2.695035460992908,1.5473887814313347,2.00354609929078,0.2127659574468085,$2.79
"Bacon, Egg & Cheese Biscuit (outside California)",,30.0,38.0,15.0,3.0,3.0,1180.0,190.0,480.0,12.0,6.0,0.5277777777777778,2.6388888888888893,1.6233766233766234,2.0486111111111107,0.20833333333333331,$2.79
Big Country Breakfast Burrito,,43.0,55.0,25.0,2.0,3.0,1380.0,370.0,720.0,18.0,0.0,0.5092592592592593,3.4259259259259256,1.5512265512265513,1.5972222222222223,0.2314814814814815,$3.49
Biscuit 'N' Gravy (California only),,24.0,50.0,9.0,3.0,3.0,1320.0,10.0,450.0,12.0,0.0,0.7407407407407407,0.14814814814814814,1.3852813852813854,2.4444444444444438,0.13333333333333333,$4.19
Biscuit 'N' Gravy (outside California),,26.0,49.0,9.0,2.0,3.0,1390.0,10.0,460.0,7.0,7.0,0.7101449275362319,0.14492753623188406,1.4680971202710331,2.518115942028986,0.13043478260869568,$4.19
"Grilled Cheese Breakfast Sandwich, Bacon",,30.0,39.0,26.0,4.0,1.0,1290.0,215.0,510.0,15.0,0.5,0.5098039215686275,2.810457516339869,1.5278838808250572,2.107843137254902,0.33986928104575165,$3.49
"Grilled Cheese Breakfast Sandwich, Ham",,25.0,40.0,29.0,4.0,1.0,1650.0,220.0,490.0,13.0,0.5,0.5442176870748299,2.993197278911565,1.32520540683806,2.8061224489795915,0.39455782312925175,$3.49
"Grilled Cheese Breakfast Sandwich, Sausage",,43.0,40.0,30.0,4.0,2.0,1500.0,235.0,640.0,19.0,0.5,0.4166666666666667,2.447916666666667,1.74512987012987,1.953125,0.3125,$3.49
"Hash Brown Nuggets, Large",,37.0,52.0,5.0,0.0,5.0,710.0,0.0,560.0,7.0,0.0,0.6190476190476191,0.0,1.7161410018552876,1.0565476190476188,0.05952380952380953,$1.99
"Hash Brown Nuggets, Medium",,26.0,36.0,3.0,0.0,4.0,490.0,0.0,390.0,4.5,0.0,0.6153846153846154,0.0,1.7316017316017316,1.047008547008547,0.05128205128205129,$1.59
"Hash Brown Nuggets, Small",,23.0,32.0,3.0,0.0,3.0,440.0,0.0,350.0,4.0,0.0,0.6095238095238096,0.0,1.7068645640074211,1.0476190476190477,0.05714285714285715,$1.39
Loaded Breakfast Burrito,,48.0,53.0,31.0,2.0,3.0,1500.0,395.0,780.0,22.0,0.0,0.45299145299145294,3.3760683760683765,1.5984015984015985,1.6025641025641026,0.26495726495726496,$3.49
Made From Scratch Biscuit (California only),,13.0,37.0,6.0,2.0,2.0,730.0,0.0,290.0,7.0,0.0,0.8505747126436782,0.0,1.1643528884908194,2.0977011494252875,0.13793103448275862,$4.99
Made From Scratch Biscuit (outside California),,15.0,36.0,5.0,2.0,3.0,780.0,0.0,300.0,4.0,6.0,0.8,0.0,1.2987012987012987,2.166666666666667,0.11111111111111112,$4.99
"Mile High Bacon, Egg & Cheese Biscuit (California only)",,45.0,42.0,29.0,5.0,2.0,1980.0,240.0,680.0,22.0,0.0,0.411764705882353,2.3529411764705883,1.7188693659281895,2.426470588235294,0.2843137254901961,$3.99
"Mile High Bacon, Egg & Cheese Biscuit (outside California)",,46.0,41.0,28.0,5.0,3.0,2030.0,240.0,690.0,19.0,6.0,0.3961352657004831,2.318840579710145,1.7316017316017316,2.4516908212560393,0.2705314009661836,$3.99
Monster Biscuit (California only),,58.0,41.0,30.0,4.0,2.0,1800.0,400.0,800.0,29.0,0.5,0.3416666666666667,3.333333333333333,1.883116883116883,1.875,0.25,$5.99
Monster Biscuit (outside California),,60.0,40.0,29.0,4.0,3.0,1850.0,400.0,810.0,25.0,6.0,0.3292181069958848,3.2921810699588483,1.9240019240019242,1.9032921810699588,0.2386831275720165,$5.99
"Sausage, Egg & Cheese Biscuit",,42.0,39.0,20.0,3.0,2.0,1380.0,210.0,620.0,20.0,0.0,0.4193548387096774,2.2580645161290316,1.7595307917888563,1.8548387096774197,0.21505376344086025,$2.79
Steak & Egg Burrito,,36.0,44.0,35.0,3.0,2.0,1730.0,415.0,650.0,20.0,0.0,0.4512820512820513,4.256410256410256,1.4385614385614387,2.2179487179487185,0.35897435897435903,$5.29
