Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Carbs Metric,Cholesterol Metric,Fat Metric,Sodium Metric,Protein Metric,Price
Cinnamon Raisin Bagel,,1.0,67.0,11.0,13.0,4.0,510.0,0.0,320.0,0.0,0.0,1.3958333333333337,0.0,0.08116883116883117,1.328125,0.2291666666666667,0
Everything Bagel,,3.0,67.0,12.0,6.0,5.0,630.0,0.0,340.0,0.5,0.0,1.3137254901960784,0.0,0.22918258212375855,1.5441176470588236,0.2352941176470588,0
Multigrain Bagel,,8.0,63.0,15.0,8.0,8.0,550.0,0.0,380.0,1.0,0.0,1.1052631578947367,0.0,0.5468215994531784,1.2061403508771928,0.2631578947368421,0
Plain Bagel,,1.0,64.0,11.0,6.0,4.0,620.0,0.0,300.0,0.0,0.0,1.4222222222222225,0.0,0.08658008658008659,1.7222222222222223,0.2444444444444445,$0.89
Sesame Seed Bagel,,5.0,64.0,12.0,6.0,5.0,630.0,0.0,350.0,1.0,0.0,1.2190476190476192,0.0,0.3710575139146568,1.5,0.2285714285714286,0
White Cheddar Bagel Twist,,8.0,64.0,16.0,6.0,4.0,760.0,20.0,390.0,4.5,0.0,1.094017094017094,0.3418803418803419,0.5328005328005327,1.623931623931624,0.27350427350427353,0
"Vanilla Bean Coolatta, Large",,12.0,184.0,6.0,175.0,0.0,310.0,40.0,840.0,6.0,0.0,1.4603174603174605,0.31746031746031744,0.3710575139146568,0.30753968253968256,0.047619047619047616,$4.99
"Vanilla Bean Coolatta, Medium",,9.0,138.0,4.0,132.0,0.0,240.0,30.0,630.0,4.5,0.0,1.4603174603174605,0.31746031746031744,0.3710575139146568,0.31746031746031744,0.04232804232804233,$3.99
"Vanilla Bean Coolatta, Small",,6.0,92.0,3.0,88.0,0.0,160.0,20.0,420.0,3.0,0.0,1.4603174603174605,0.31746031746031744,0.3710575139146568,0.31746031746031744,0.047619047619047616,$2.99
Egg & Cheese Wake-Up Wrap,,10.0,14.0,7.0,1.0,0.0,470.0,95.0,180.0,4.0,0.0,0.5185185185185186,3.5185185185185186,1.4430014430014428,2.175925925925926,0.2592592592592593,$1.19
"Ham, Egg & Cheese Wake-Up Wrap",,11.0,15.0,9.0,1.0,0.0,600.0,100.0,190.0,4.0,0.0,0.5263157894736842,3.5087719298245608,1.5037593984962403,2.631578947368421,0.31578947368421056,0
Turkey Sausage Wake Up Wrap,,14.0,15.0,13.0,1.0,0.0,700.0,125.0,240.0,5.0,0.0,0.4166666666666667,3.4722222222222228,1.5151515151515151,2.430555555555556,0.3611111111111112,$1.39
Veggie Egg White Wake-Up Wrap,,8.0,15.0,8.0,1.0,1.0,510.0,20.0,160.0,4.0,0.0,0.625,0.8333333333333334,1.2987012987012987,2.65625,0.33333333333333337,$4.59
Apple 'n Spice Donut,,14.0,29.0,3.0,9.0,1.0,340.0,0.0,260.0,6.0,0.0,0.7435897435897436,0.0,1.3986013986013988,1.08974358974359,0.07692307692307693,0
Apple Crumb Donut,,15.0,42.0,3.0,20.0,1.0,350.0,0.0,320.0,7.0,0.0,0.8750000000000001,0.0,1.2175324675324677,0.9114583333333334,0.0625,0
