Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Carbs Metric,Cholesterol Metric,Fat Metric,Sodium Metric,Protein Metric,Price
Big Mac Bacon,,38.0,47.0,30.0,9.0,3.0,1210.0,95.0,610.0,12.0,1.0,0.5136612021857924,1.0382513661202186,1.6180540770704706,1.6530054644808745,0.3278688524590164,$3.99
Cheesy Bacon Fries,,34.0,51.0,15.0,5.0,4.0,1330.0,35.0,560.0,11.0,0.5,0.6071428571428571,0.4166666666666667,1.5769944341372912,1.9791666666666667,0.17857142857142858,$1.39
"Donut Sticks, 6 Piece",,13.0,34.0,6.0,9.0,1.0,260.0,15.0,280.0,4.5,0.0,0.8095238095238095,0.35714285714285715,1.2059369202226344,0.7738095238095238,0.14285714285714288,$3.99
"Donut Sticks, 12 Piece",,27.0,68.0,12.0,18.0,2.0,520.0,30.0,560.0,9.0,0.5,0.8095238095238095,0.35714285714285715,1.2523191094619666,0.7738095238095238,0.14285714285714288,$5.00
Quarter Pounder with Cheese Bacon,,34.0,44.0,39.0,11.0,2.0,1470.0,125.0,640.0,15.0,1.5,0.4583333333333334,1.3020833333333337,1.37987012987013,1.9140625,0.40625,$3.79
Bacon Clubhouse Burger,274.0,41.0,51.0,40.0,14.0,4.0,1420.0,120.0,740.0,16.0,1.5,0.4594594594594595,1.0810810810810811,1.4391014391014392,1.5990990990990992,0.3603603603603604,$4.49
Bacon Double Cheeseburger,,26.0,36.0,30.0,8.0,3.0,1280.0,100.0,500.0,12.0,1.0,0.48,1.3333333333333337,1.3506493506493509,2.1333333333333333,0.4,$1.69
Bacon Double Cheeseburger (New York),,26.0,36.0,30.0,8.0,2.0,1270.0,100.0,500.0,12.0,1.0,0.48,1.3333333333333337,1.3506493506493509,2.1166666666666667,0.4,$1.69
Bacon McDouble,162.0,23.0,34.0,28.0,7.0,2.0,1090.0,85.0,450.0,10.0,1.0,0.5037037037037038,1.2592592592592593,1.3275613275613276,2.0185185185185186,0.4148148148148148,$2.00
Bacon McDouble (New York),,22.0,34.0,28.0,7.0,2.0,1080.0,85.0,450.0,10.0,1.0,0.5037037037037038,1.2592592592592593,1.26984126984127,2.0,0.4148148148148148,$2.00
Artisan Grilled Chicken Sandwich,204.0,6.0,45.0,36.0,11.0,2.0,1120.0,95.0,380.0,2.0,0.0,0.7894736842105263,1.6666666666666667,0.4101161995898838,2.456140350877193,0.6315789473684211,$4.39
Bacon Buffalo Ranch McChicken,162.0,21.0,40.0,20.0,6.0,2.0,1040.0,55.0,430.0,4.5,0.0,0.6201550387596899,0.8527131782945737,1.2684989429175475,2.0155038759689923,0.31007751937984496,$4.59
