Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Carbs Metric,Cholesterol Metric,Fat Metric,Sodium Metric,Protein Metric,Price
"Asiago Bacon, Egg & Cheese on Asiago Cheese Bagel",,24.0,56.0,21.0,4.0,2.0,960.0,260.0,570.0,11.0,0.5,0.6549707602339182,3.04093567251462,1.0936431989063569,1.4035087719298245,0.2456140350877193,0
"Avocado, Egg White & Spinach on Sprouted Grain Bagel Flat",,14.0,52.0,21.0,4.0,7.0,590.0,25.0,410.0,6.0,0.0,0.8455284552845529,0.4065040650406504,0.8869179600886918,1.1991869918699187,0.3414634146341463,0
"Bacon, Egg & Cheese on Artisan Ciabatta",187.0,20.0,40.0,24.0,1.0,2.0,850.0,245.0,450.0,9.0,0.0,0.5925925925925927,3.629629629629629,1.1544011544011543,1.5740740740740742,0.3555555555555556,0
"Bacon, Egg & Cheese on Brioche",,25.0,32.0,24.0,6.0,1.0,790.0,295.0,460.0,12.0,0.5,0.463768115942029,4.27536231884058,1.4116318464144553,1.4311594202898552,0.3478260869565217,0
"Bacon, Scrambled Egg & Cheese on Artisan Ciabatta",161.0,22.0,40.0,25.0,1.0,2.0,760.0,275.0,460.0,9.0,0.0,0.5797101449275363,3.985507246376812,1.2422360248447206,1.376811594202899,0.3623188405797101,0
"Bacon, Scrambled Egg & Cheese on Brioche",,27.0,33.0,25.0,6.0,1.0,700.0,325.0,470.0,13.0,0.5,0.4680851063829788,4.609929078014185,1.4921248963802156,1.2411347517730495,0.3546099290780142,0
Egg & Cheese on Artisan Ciabatta,,15.0,39.0,19.0,0.0,2.0,700.0,230.0,380.0,7.0,0.0,0.6842105263157895,4.035087719298246,1.0252904989747094,1.5350877192982455,0.33333333333333337,0
Egg & Cheese on Brioche,,21.0,32.0,19.0,5.0,1.0,640.0,280.0,390.0,11.0,0.5,0.5470085470085471,4.786324786324786,1.3986013986013988,1.3675213675213675,0.3247863247863248,$7.69
Four Cheese Souffle,163.0,28.0,38.0,15.0,8.0,1.0,830.0,170.0,410.0,17.0,0.0,0.6178861788617886,2.7642276422764227,1.7738359201773837,1.6869918699186992,0.24390243902439024,$2.99
Greek Yogurt with Mixed Berries & Granola,,10.0,39.0,15.0,30.0,3.0,55.0,20.0,300.0,5.0,0.0,0.8666666666666667,0.4444444444444445,0.8658008658008658,0.15277777777777776,0.33333333333333337,0
Ham & Swiss Souffle,,30.0,36.0,18.0,8.0,1.0,810.0,160.0,450.0,18.0,0.0,0.5333333333333333,2.3703703703703707,1.7316017316017316,1.5,0.26666666666666666,$4.69
"Ham, Egg & Cheese on Whole Grain Farmstyle Bread",,15.0,20.0,22.0,1.0,2.0,790.0,245.0,310.0,7.0,0.0,0.4301075268817205,5.268817204301075,1.2568077084206115,2.1236559139784945,0.4731182795698925,0
"Ham, Egg, Cheese & Roasted Tomato on Whole Grain Farmstyle Bread",,15.0,21.0,22.0,1.0,2.0,820.0,245.0,320.0,7.0,0.0,0.4375000000000001,5.104166666666667,1.2175324675324677,2.135416666666667,0.4583333333333334,0
