Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Carbs Metric,Cholesterol Metric,Fat Metric,Sodium Metric,Protein Metric,Price
"6"" Black Forest Ham",219.0,4.5,46.0,18.0,8.0,5.0,800.0,25.0,290.0,1.0,0.0,1.057471264367816,0.574712643678161,0.4030452306314376,2.298850574712644,0.4137931034482759,$6.00
"6"" Oven Roasted Chicken",233.0,5.0,46.0,23.0,8.0,5.0,610.0,45.0,320.0,1.5,0.0,0.9583333333333331,0.9375,0.40584415584415584,1.5885416666666667,0.4791666666666666,$6.00
"6"" Roast Beef",233.0,5.0,45.0,25.0,7.0,5.0,660.0,45.0,320.0,1.5,0.0,0.9375,0.9375,0.40584415584415584,1.71875,0.5208333333333334,$6.00
"6"" Rotisserie-Style Chicken",247.0,6.0,45.0,29.0,7.0,5.0,660.0,55.0,350.0,1.5,0.0,0.8571428571428571,1.0476190476190477,0.44526901669758817,1.5714285714285714,0.5523809523809524,$6.00
"6"" Subway Club",240.0,4.5,46.0,23.0,8.0,5.0,840.0,40.0,310.0,1.5,0.0,0.989247311827957,0.8602150537634409,0.3770423125261835,2.2580645161290316,0.4946236559139785,$6.00
"6"" Sweet Onion Chicken Teriyaki",269.0,4.0,58.0,25.0,16.0,5.0,770.0,50.0,370.0,1.0,0.0,1.0450450450450453,0.9009009009009008,0.2808002808002808,1.7342342342342345,0.4504504504504505,$6.00
"6"" Turkey Breast",219.0,3.5,46.0,18.0,7.0,5.0,760.0,20.0,280.0,1.0,0.0,1.0952380952380951,0.4761904761904762,0.3246753246753247,2.2619047619047623,0.42857142857142855,$6.00
"6"" Veggie Delite",162.0,2.5,44.0,8.0,7.0,5.0,280.0,0.0,230.0,0.5,0.0,1.2753623188405798,0.0,0.282326369282891,1.0144927536231885,0.2318840579710145,$5.00
Footlong Black Forest Ham,438.0,9.0,92.0,36.0,16.0,10.0,1600.0,50.0,580.0,2.0,0.0,1.057471264367816,0.574712643678161,0.4030452306314376,2.298850574712644,0.4137931034482759,$6.00
Footlong Oven Roasted Chicken,466.0,10.0,92.0,46.0,16.0,10.0,1220.0,90.0,640.0,3.0,0.0,0.9583333333333331,0.9375,0.40584415584415584,1.5885416666666667,0.4791666666666666,$6.00
Footlong Roast Beef,466.0,10.0,90.0,50.0,14.0,10.0,1320.0,90.0,640.0,3.0,0.0,0.9375,0.9375,0.40584415584415584,1.71875,0.5208333333333334,$6.00
Footlong Rotisserie-Style Chicken,494.0,12.0,90.0,58.0,14.0,10.0,1320.0,110.0,700.0,3.0,0.0,0.8571428571428571,1.0476190476190477,0.44526901669758817,1.5714285714285714,0.5523809523809524,$6.00
Footlong Subway Club,480.0,9.0,92.0,46.0,16.0,10.0,1680.0,80.0,620.0,3.0,0.0,0.989247311827957,0.8602150537634409,0.3770423125261835,2.2580645161290316,0.4946236559139785,$6.00
Footlong Sweet Onion Chicken Teriyaki,538.0,8.0,116.0,50.0,32.0,10.0,1540.0,100.0,740.0,2.0,0.0,1.0450450450450453,0.9009009009009008,0.2808002808002808,1.7342342342342345,0.4504504504504505,$6.00
Footlong Turkey Breast,438.0,7.0,92.0,36.0,14.0,10.0,1520.0,40.0,560.0,2.0,0.0,1.0952380952380951,0.4761904761904762,0.3246753246753247,2.2619047619047623,0.42857142857142855,$6.00
Footlong Veggie Delite,324.0,5.0,88.0,16.0,14.0,10.0,560.0,0.0,460.0,1.0,0.0,1.2753623188405798,0.0,0.282326369282891,1.0144927536231885,0.2318840579710145,$5.00
"6"" Chicken & Bacon Ranch Melt",298.0,30.0,47.0,38.0,8.0,5.0,1290.0,95.0,610.0,10.0,0.5,0.5136612021857924,1.0382513661202186,1.2774111134766872,1.7622950819672132,0.41530054644808745,$6.00
"6"" Cold Cut Combo",226.0,12.0,46.0,17.0,7.0,5.0,1030.0,45.0,360.0,3.5,0.0,0.8518518518518519,0.8333333333333334,0.8658008658008658,2.3842592592592595,0.3148148148148148,$6.00
"6"" Italian B.M.T.",226.0,16.0,46.0,20.0,8.0,5.0,1260.0,45.0,410.0,6.0,0.0,0.7479674796747968,0.7317073170731707,1.0136205258156477,2.5609756097560976,0.3252032520325204,$6.00
"6"" Meatball Marinara",301.0,18.0,60.0,21.0,12.0,8.0,1000.0,40.0,480.0,7.0,0.5,0.8333333333333334,0.5555555555555556,0.9740259740259741,1.7361111111111114,0.2916666666666667,$6.00
