Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
"Bacon, Egg & Cheese Biscuit",N/A,21g,40g,15g,1g,2g,1240mg,170mg,420,11g,0g
"Bacon, Egg, & Cheese Muffin",N/A,12g,31g,16g,1g,1g,710mg,170mg,300,5g,0g
Buttered Biscuit,N/A,13g,41g,4g,4g,4g,710mg,0mg,300,7g,0g
"Chick-n-Minis, 4-Count",N/A,14g,37g,19g,6g,2g,860mg,55mg,350,4g,0g
"Chicken, Egg & Cheese Bagel",N/A,18g,51g,27g,8g,3g,1310mg,195mg,480,5g,0g
Chicken Biscuit,N/A,32g,50g,17g,5g,4g,1310mg,35mg,450,8g,0g
Egg White Grill,N/A,7g,31g,25g,1g,1g,970mg,55mg,300,3g,0g
Greek Yogurt Parfait with Chocolate Cookie Crumbs,N/A,8g,26g,11g,21g,1g,95mg,25mg,210,0g,0g
Greek Yogurt Parfait with Granola,N/A,8g,29g,12g,22g,2g,95mg,25mg,240,0g,0g
Hash Browns,N/A,15g,25g,2g,0g,2g,400mg,0mg,240,3g,0g
Hash Brown Scramble Bowl,N/A,29g,21g,31g,1g,4g,1230mg,370mg,460,9g,0g
Hash Brown Scramble Burrito,N/A,38g,50g,35g,1g,5g,1680mg,370mg,680,0g,0g
"Sausage, Egg, & Cheese Biscuit",N/A,40g,41g,20g,1g,3g,1520mg,200mg,600,18g,0g
"Sausage, Egg, & Cheese Muffin",N/A,30g,32g,20g,1g,2g,990mg,200mg,490,12g,0g
Sunflower Multigrain Bagel with Cream Cheese,N/A,10g,43g,7g,7g,3g,460mg,20mg,290,4.5g,0g
Chick-fil-A Deluxe Sandwich,N/A,23g,42g,31g,6g,3g,1590mg,75mg,500,7g,0g
"Chick-fil-A Nuggets, 4-Count",N/A,6g,5g,14g,0g,1g,490mg,40mg,130,0g,0g
"Chick-fil-A Nuggets, 6-Count",N/A,9g,7g,21g,0g,1g,730mg,55mg,190,0g,0g
"Chick-fil-A Nuggets, 8-Count",N/A,12g,9g,28g,0g,1g,980mg,75mg,260,0g,0g
"Chick-fil-A Nuggets, 12-Count",N/A,18g,14g,41g,1g,2g,1460mg,115mg,390,0g,0g
"Chick-n-Strips, 3-Count",N/A,17g,22g,28g,3g,1g,940mg,70mg,350,0g,0g
"Chick-n-Strips, 4-Count",N/A,23g,29g,37g,4g,1g,1250mg,90mg,470,0g,0g
Chicken Sandwich,N/A,19g,40g,28g,5g,2g,1350mg,60mg,440,4g,0g
Grilled Chicken Club Sandwich,N/A,16g,37g,37g,7g,3g,1120mg,85mg,430,8g,0g
Grilled Chicken Cool Wrap,N/A,13g,30g,40g,3g,0g,1030mg,65mg,360,4g,0g
Grilled Chicken Sandwich,N/A,6g,36g,29g,7g,3g,820mg,55mg,310,2g,0g
"Grilled Nuggets, 4-Count",N/A,2g,1g,13g,0g,0g,220mg,35mg,70,0g,0g
"Grilled Nuggets, 6-Count",N/A,2.5g,2g,19g,0g,0g,330mg,50mg,110,0g,0g
"Grilled Nuggets, 8-Count",N/A,3.5g,2g,25g,0g,0g,440mg,70mg,140,0g,0g
"Grilled Nuggets, 12-Count",N/A,5g,3g,38g,1g,0g,670mg,100mg,210,0g,0g
Spicy Deluxe Sandwich,N/A,25g,43g,34g,6g,2g,1760mg,80mg,540,8g,0g
Spicy Sandwich,N/A,19g,41g,30g,5g,1g,1620mg,60mg,450,4g,0g
Cobb Salad,N/A,28g,28g,40g,6g,6g,1360mg,150mg,510,7g,0g
Grilled Market Salad,N/A,14g,27g,27g,13g,6g,680mg,60mg,330,3.5g,0g
Honey Peppercorn Salad,N/A,30g,53g,39g,27g,0g,1410mg,100mg,630,7g,0g
Spicy Southwest Salad,N/A,19g,37g,34g,8g,10g,1070mg,75mg,450,4g,0g
"Chicken Noodle Soup, Large",N/A,4.5g,35g,22g,5g,4g,2000mg,55mg,240,0g,0g
"Chicken Noodle Soup, Small",N/A,2.5g,18g,12g,2g,2g,1040mg,30mg,130,0g,0g
"Fruit Cup, Large",N/A,0g,20g,0g,15g,4g,0mg,0mg,80,0g,0g
"Fruit Cup, Medium",N/A,0g,12g,0g,9g,2g,0mg,0mg,50,0g,0g
Side Salad,N/A,11g,12g,6g,3g,3g,180mg,15mg,160,3g,0g
