Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
Crispy Taco Corn Tortilla,N/A,3g,10g,1g,0g,1g,0mg,0mg,70,0g,0g
Flour Tortilla,N/A,9g,50g,8g,0g,3g,600mg,0mg,320,0.5g,0g
Soft Taco Flour Tortilla,N/A,2.5g,13g,2g,0g,1g,160mg,0mg,80,0g,0g
Barbacoa,N/A,7g,2g,24g,0g,1g,530mg,65mg,170,2.5g,0g
Carnitas,N/A,12g,0g,23g,0g,0g,450mg,65mg,210,7g,0g
Chicken,N/A,7g,0g,32g,0g,0g,310mg,125mg,180,3g,0g
Sofritas,N/A,10g,9g,8g,5g,3g,560mg,0mg,150,1.5g,0g
Steak,N/A,6g,1g,21g,0g,1g,330mg,80mg,150,2.5g,0g
Black Beans,N/A,1.5g,22g,8g,2g,7g,210mg,0mg,130,0g,0g
Brown Rice,N/A,6g,36g,4g,0g,2g,190mg,0mg,210,1g,0g
Fajita Vegetables,N/A,0g,5g,1g,2g,1g,150mg,0mg,20,0g,0g
Pinto Beans,N/A,1.5g,21g,8g,1g,8g,210mg,0mg,130,0g,0g
Romaine Lettuce for Salad,N/A,0g,2g,1g,1g,1g,5mg,0mg,10,0g,0g
White Rice,N/A,4g,40g,4g,0g,1g,350mg,0mg,210,0.5g,0g
Cheese,N/A,8g,1g,6g,0g,0g,190mg,30mg,110,5g,0g
Fresh Tomato Salsa,N/A,0g,4g,0g,1g,1g,550mg,0mg,25,0g,0g
Guacamole,N/A,22g,8g,2g,1g,6g,370mg,0mg,230,3.5g,0g
Queso,N/A,8g,4g,6g,1g,1g,200mg,25mg,120,5g,0g
Roasted Chili-Corn Salsa,N/A,1.5g,16g,3g,4g,3g,330mg,0mg,80,0g,0g
Romaine Lettuce,N/A,0g,1g,0g,0g,1g,0mg,0mg,5,0g,0g
Sour Cream,N/A,9g,2g,2g,2g,0g,30mg,40mg,110,7g,0g
Tomatillo-Green Chili Salsa,N/A,0g,4g,0g,2g,0g,260mg,0mg,15,0g,0g
Tomatillo-Red Chili Salsa,N/A,0g,4g,0g,0g,1g,500mg,0mg,30,0g,0g
Chips,N/A,25g,73g,7g,1g,7g,390mg,0mg,540,3.5g,0g
Chips & Fresh Tomato Salsa,N/A,25g,74g,7g,2g,8g,940mg,0mg,570,3.5g,0g
Chips & Guacamole,N/A,47g,81g,9g,2g,13g,760mg,0mg,770,7g,0g
Chips & Roasted Chili-Corn Salsa,N/A,27g,89g,10g,5g,10g,720mg,0mg,620,3.5g,0g
Chips & Tomatillo-Green Chili Salsa,N/A,25g,77g,7g,3g,7g,650mg,0mg,560,3.5g,0g
Chips & Tomatillo-Red Chili Salsa,N/A,25g,77g,7g,1g,8g,890mg,0mg,570,3.5g,0g
Large Chips,N/A,38g,110g,11g,2g,11g,590mg,0mg,810,5g,0g
Large Chips & Large Queso,N/A,71g,127g,36g,7g,14g,1390mg,105mg,1270,26g,0.5g
Large Side of Queso,N/A,33g,17g,25g,5g,3g,800mg,105mg,460,21g,0.5g
Side of Guacamole,N/A,22g,8g,2g,1g,6g,370mg,0mg,230,3.5g,0g
Side of Queso,N/A,16g,9g,13g,2g,1g,400mg,50mg,230,11g,0g
"Kids Quesadilla, Barbacoa",N/A,1g,0g,3g,0g,0g,65mg,10mg,20,0.5g,0g
"Kids Quesadilla, Black Beans",N/A,1g,16g,6g,1g,5g,160mg,0mg,100,0g,0g
"Kids Quesadilla, Brown Rice",N/A,3g,18g,2g,0g,1g,95mg,0mg,110,0.5g,0g
"Kids Quesadilla, Carnitas",N/A,2g,0g,3g,0g,0g,55mg,10mg,25,1g,0g
"Kids Quesadilla, Cheese",N/A,8g,1g,6g,0g,0g,190mg,30mg,110,5g,0g
"Kids Quesadilla, Chicken",N/A,1g,0g,4g,0g,0g,40mg,15mg,25,0.5g,0g
"Kids Quesadilla, Flour Tortilla",N/A,2.5g,13g,2g,0g,1g,160mg,0mg,80,0g,0g
"Kids Quesadilla, Guacamole",N/A,11g,3g,1g,0g,3g,190mg,0mg,110,1.5g,0g
"Kids Quesadilla, Pinto Beans",N/A,1g,15g,6g,1g,6g,160mg,0mg,100,0g,0g
"Kids Quesadilla, Sofritas",N/A,1g,1g,1g,1g,0g,70mg,0mg,15,0g,0g
"Kids Quesadilla, Steak",N/A,1g,0g,3g,0g,0g,40mg,10mg,20,0g,0g
"Kids Quesadilla, White Rice",N/A,2g,20g,2g,0g,0g,170mg,0mg,100,0g,0g
"Kids Tacos, 2 Crispy Corn Tortillas",N/A,6g,19g,2g,0g,2g,0mg,0mg,130,1g,0g
"Kids Tacos, 2 Soft Flour Tortillas",N/A,5g,27g,5g,0g,1g,320mg,0mg,170,0g,0g
"Kids Tacos, Barbacoa",N/A,3g,1g,12g,0g,1g,260mg,30mg,80,1.5g,0g
"Kids Tacos, Black Beans",N/A,1g,16g,6g,1g,5g,160mg,0mg,100,0g,0g
"Kids Tacos, Brown Rice",N/A,3g,18g,2g,0g,1g,95mg,0mg,110,0.5g,0g
"Kids Tacos, Carnitas",N/A,6g,0g,12g,0g,0g,220mg,30mg,110,3g,0g
"Kids Tacos, Cheese",N/A,8g,1g,6g,0g,0g,190mg,30mg,110,5g,0g
"Kids Tacos, Chicken",N/A,3g,0g,15g,0g,0g,150mg,65mg,90,1.5g,0g
"Kids Tacos, Fajita Vegetables",N/A,0g,1g,0g,1g,0g,60mg,0mg,5,0g,0g
"Kids Tacos, Fresh Tomato Salsa",N/A,0g,1g,0g,1g,0g,310mg,0mg,15,0g,0g
"Kids Tacos, Guacamole",N/A,11g,3g,1g,0g,3g,190mg,0mg,110,1.5g,0g
"Kids Tacos, Pinto Beans",N/A,1g,15g,6g,1g,6g,160mg,0mg,100,0g,0g
"Kids Tacos, Queso",N/A,8g,4g,6g,1g,1g,200mg,25mg,120,5g,0g
"Kids Tacos, Roasted Chili-Corn Salsa",N/A,1g,9g,1g,3g,1g,190mg,0mg,40,0g,0g
"Kids Tacos, Romaine Lettuce",N/A,0g,1g,0g,0g,1g,0mg,0mg,5,0g,0g
"Kids Tacos, Sofritas",N/A,5g,5g,4g,2g,2g,280mg,0mg,70,1g,0g
"Kids Tacos, Sour Cream",N/A,5g,1g,1g,1g,0g,15mg,20mg,60,3.5g,0g
"Kids Tacos, Steak",N/A,3g,1g,10g,0g,1g,160mg,40mg,70,1.5g,0g
"Kids Tacos, Tomatillo-Green Chili Salsa",N/A,0g,4g,0g,2g,0g,260mg,0mg,15,0g,0g
"Kids Tacos, Tomatillo-Red Chili Salsa",N/A,0g,4g,0g,0g,2g,500mg,0mg,30,0g,0g
"Kids Tacos, White Rice",N/A,2g,20g,2g,0g,0g,170mg,0mg,100,0g,0g
Organic Apple Juice,N/A,0g,25g,0g,22g,0g,10mg,0mg,100,0g,0g
Organic Chocolate Milk,N/A,2g,20g,7g,19g,1g,190mg,10mg,130,1.5g,0g
Organic Milk,N/A,2g,10g,7g,10g,0g,105mg,10mg,90,1.5g,0g
Blueberries,N/A,0g,0g,0g,3g,1g,0mg,0mg,20,0g,0g
Kids Chips,N/A,6g,18g,2g,0g,2g,95mg,0mg,140,1g,0g
Mandarin Orange,N/A,0g,9g,1g,7g,1g,0mg,0mg,35,0g,0g
