Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
55+ Belgian Waffle Slam (Add Egg & Meat Choices),N/A,19g,43g,7g,1g,1g,640mg,120mg,380,10g,0g
55+ Club Sandwich with French Fries,N/A,58g,97g,46g,11g,10g,2470mg,90mg,1090,12g,0g
55+ Country-Fried Steak with Gravy (Add Bread & Side Choices),N/A,21g,22g,17g,1g,1g,1010mg,65mg,350,8g,0g
55+ Fit Fare Loaded Veggie Omelette,N/A,9g,60g,27g,24g,6g,520mg,20mg,420,4.5g,0g
55+ Grilled Cheese Sandwich & Soup (Add Soup Choice),N/A,25g,39g,14g,3g,1g,1250mg,40mg,440,11g,0.5g
55+ Grilled Chicken (Add Bread & Side Choices),N/A,9g,0g,29g,0g,0g,330mg,75mg,200,2g,0g
55+ Grilled Tilapia (Add Bread & Side Choices),N/A,8g,1g,41g,0g,0g,570mg,90mg,250,2g,0g
55+ Omelette (Add Bread & Side Choices),N/A,38g,7g,27g,4g,1g,890mg,525mg,480,13g,0g
55+ Scrambled Eggs & Cheddar Breakfast,N/A,58g,80g,41g,21g,3g,2530mg,615mg,1010,21g,0g
Bacon Cheddar Tots with Sour Cream,N/A,34g,54g,18g,6g,4g,1600mg,70mg,580,13g,0.5g
"Build Your Own Sampler, Bacon Cheddar Tots (Add Sauce Choice)",N/A,15g,31g,10g,3g,2g,950mg,25mg,300,5g,0g
"Build Your Own Sampler, Cheese Quesadilla (Add Sauce Choice)",N/A,38g,40g,22g,3g,5g,1140mg,65mg,600,18g,0g
"Build Your Own Sampler, Chicken Strips (Add Sauce Choice)",N/A,8g,26g,17g,0g,1g,610mg,40mg,240,1.5g,0g
"Build Your Own Sampler, Chips & Queso (Add Sauce Choice)",N/A,36g,55g,12g,1g,4g,520mg,40mg,590,11g,0g
"Build Your Own Sampler, Mozzarella Cheese Sticks (Add Sauce Choice)",N/A,11g,30g,16g,2g,1g,1230mg,40mg,280,6g,0g
Chicken Strips with Buffalo Sauce (Add Dipping Sauce),N/A,30g,68g,43g,1g,4g,3130mg,105mg,700,5g,0g
