Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
Cinnamon Raisin Bagel,N/A,1g,67g,11g,13g,4g,510mg,0mg,320,0g,0g
Everything Bagel,N/A,3g,67g,12g,6g,5g,630mg,0mg,340,0.5g,0g
Multigrain Bagel,N/A,8g,63g,15g,8g,8g,550mg,0mg,380,1g,0g
Plain Bagel,N/A,1g,64g,11g,6g,4g,620mg,0mg,300,0g,0g
Sesame Seed Bagel,N/A,5g,64g,12g,6g,5g,630mg,0mg,350,1g,0g
White Cheddar Bagel Twist,N/A,8g,64g,16g,6g,4g,760mg,20mg,390,4.5g,0g
"Cold Brew Coffee, Large",N/A,0g,3g,1g,0g,0g,15mg,0mg,20,0g,0g
"Cold Brew Coffee, Medium",N/A,0g,2g,1g,0g,0g,10mg,0mg,15,0g,0g
"Cold Brew Coffee, Small",N/A,0g,2g,1g,0g,0g,10mg,0mg,10,0g,0g
"Cold Brew Coffee with Cream, Large",N/A,12g,6g,3g,0g,0g,40mg,40mg,140,7g,0g
"Cold Brew Coffee with Cream, Medium",N/A,9g,4g,2g,1g,0g,45mg,25mg,100,4.5g,0g
"Cold Brew Coffee with Cream, Small",N/A,6g,2g,1g,1g,0g,30mg,20mg,70,3g,0g
"Cold Brew Coffee with Cream and Sugar, Large",N/A,12g,40g,3g,36g,0g,60mg,35mg,270,6g,0g
"Cold Brew Coffee with Cream and Sugar, Medium",N/A,9g,30g,2g,27g,0g,45mg,25mg,200,4.5g,0g
"Cold Brew Coffee with Cream and Sugar, Small",N/A,6g,20g,1g,18g,0g,30mg,20mg,130,3g,0g
Butter Packet,N/A,4g,0g,0g,0g,0g,30mg,10mg,35,2.5g,0g
Butter Spread with Canola Oil,N/A,11g,0g,0g,0g,0g,85mg,15mg,100,4g,0g
"Blue Raspberry Coolatta, Large",N/A,0g,123g,0g,121g,0g,45mg,0mg,480,0g,0g
"Blue Raspberry Coolatta, Medium",N/A,0g,92g,0g,91g,0g,35mg,0mg,360,0g,0g
"Blue Raspberry Coolatta, Small",N/A,0g,62g,0g,61g,0g,25mg,0mg,240,0g,0g
"Strawberry Fruit Coolatta, Large",N/A,0g,148g,0g,144g,2g,20mg,0mg,590,0g,0g
"Strawberry Fruit Coolatta, Medium",N/A,0g,111g,0g,108g,1g,15mg,0mg,440,0g,0g
"Strawberry Fruit Coolatta, Small",N/A,0g,74g,0g,72g,1g,10mg,0mg,300,0g,0g
"Vanilla Bean Coolatta, Large",N/A,12g,184g,6g,175g,0g,310mg,40mg,840,6g,0g
"Vanilla Bean Coolatta, Medium",N/A,9g,138g,4g,132g,0g,240mg,30mg,630,4.5g,0g
"Vanilla Bean Coolatta, Small",N/A,6g,92g,3g,88g,0g,160mg,20mg,420,3g,0g
Classic Plain Cream Cheese Spread,N/A,12g,3g,2g,3g,0g,200mg,40mg,120,8g,0g
