Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
"Better for You, Chicken Fajita Pita made with Whole Grain without Salsa",220g,12g,35g,23g,3g,4g,1000mg,55mg,340,6g,0g
"Better for You, Chicken Teriyaki Bowl",N/A,6g,134g,27g,35g,5g,1910mg,40mg,690,1g,0g
"Better for You, Chiquita Apple Bites with Caramel Dip",76g,0g,17g,0g,13g,2g,55mg,0mg,70,0g,0g
"Better for You, Grilled Chicken Salad",372g,9g,13g,30g,6g,5g,750mg,80mg,250,4.5g,0g
"Better for You, Jr. Jumbo Jack",150g,26g,33g,14g,6g,2g,560mg,30mg,420,7g,1g
Bacon & Egg Chicken Sandwich,240g,39g,37g,37g,1g,2g,1630mg,300mg,650,11g,0.5g
Brunch Burger,215g,55g,32g,37g,3g,2g,730mg,320mg,770,22g,2g
Brunchfast Mini Pancakes,71g,1.5g,28g,4g,6g,1g,350mg,0mg,140,0g,0g
Homestyle Potatoes,165g,12g,34g,4g,1g,3g,580mg,0mg,260,2.5g,0g
Orange & Cranberry Mini Muffins,75g,16g,34g,4g,20g,1g,300mg,60mg,300,3g,0g
Southwest Scrambler Plate with Bacon,307g,28g,38g,23g,3g,4g,1380mg,325mg,500,9g,0g
Southwest Scrambler Plate with Sausage,327g,38g,38g,21g,2g,4g,1230mg,340mg,580,12g,0g
Bacon & Swiss Buttery Jack,240g,59g,48g,42g,11g,3g,1350mg,145mg,890,25g,2g
Bacon Ultimate Cheeseburger,272g,65g,32g,55g,6g,1g,1590mg,165mg,930,25g,3g
Cheeseburger,123g,21g,32g,16g,5g,1g,780mg,35mg,380,8g,1g
Classic Buttery Jack,270g,52g,50g,37g,12g,4g,1150mg,130mg,820,23g,1.5g
Double Jack,319g,58g,34g,46g,7g,2g,1130mg,140mg,830,22g,3g
Hamburger,111g,18g,32g,14g,5g,1g,570mg,25mg,340,5g,1g
Jr. Bacon Cheeseburger,129g,31g,32g,19g,5g,1g,860mg,45mg,480,10g,1g
Jr. Jumbo Jack,150g,26g,33g,14g,6g,2g,560mg,30mg,420,7g,1g
Jr. Jumbo Jack Cheeseburger,161g,29g,33g,16g,6g,2g,760mg,40mg,460,9g,1g
Jumbo Jack,223g,33g,32g,23g,6g,2g,580mg,60mg,520,10g,1.5g
Jumbo Jack Cheeseburger,245g,40g,33g,28g,6g,2g,990mg,80mg,600,14g,1.5g
Sourdough Jack,227g,45g,39g,35g,7g,3g,1180mg,95mg,700,15g,1.5g
Spicy Sriracha Burger,247g,45g,38g,33g,6g,3g,1330mg,90mg,680,14g,1.5g
Ultimate Cheeseburger,253g,59g,31g,47g,5g,1g,1180mg,150mg,840,23g,3g
Chicken Fajita Pita made with Whole Grain without Salsa,244g,12g,36g,24g,4g,4g,1120mg,55mg,350,6g,0g
Chicken Fajita Pita made with Whole Grain with Salsa,220g,12g,35g,23g,3g,4g,1000mg,55mg,340,6g,0g
Chicken Nuggets (5 pc.),77g,17g,13g,9g,0g,1g,600mg,25mg,240,2g,0g
Chicken Nuggets (10 pc.),153g,33g,26g,19g,0g,2g,1210mg,50mg,480,4.5g,0g
Chicken Nuggets (20 pc.),306g,66g,51g,38g,1g,4g,2420mg,105mg,950,9g,0g
Chicken Sandwich,156g,31g,42g,15g,4g,2g,940mg,35mg,510,5g,0g
Chicken Sandwich with Bacon,169g,35g,42g,21g,4g,2g,1210mg,45mg,560,7g,0.5g
Crispy Chicken Strips,195g,24g,53g,33g,0g,3g,1580mg,60mg,560,3g,0g
Fish Sandwich,173g,19g,45g,16g,4g,2g,890mg,30mg,410,3g,0g
Homestyle Ranch Chicken Club,267g,33g,66g,40g,12g,4g,1880mg,80mg,710,8g,0g
Jack's Spicy Chicken,232g,29g,48g,26g,5g,2g,770mg,55mg,550,5g,0g
Jack's Spicy Chicken with Cheese,255g,35g,49g,30g,5g,2g,1060mg,70mg,630,8g,0.5g
Sourdough Grilled Chicken Club,266g,30g,38g,39g,6g,3g,1500mg,95mg,580,8g,0g
Bacon Ranch Monster Taco,117g,24g,19g,11g,1g,1g,660mg,30mg,340,6g,0.5g
Chicken Teriyaki Bowl,499g,6g,134g,27g,35g,5g,1910mg,40mg,690,1g,0g
Monster Taco,118g,17g,19g,9g,1g,2g,630mg,25mg,270,6g,0.5g
Nacho Monster Taco,136g,22g,23g,9g,2g,2g,930mg,15mg,330,6g,0.5g
Chicken Club Salad with Crispy Chicken,375g,28g,36g,32g,4g,5g,1230mg,70mg,510,9g,0g
Chicken Club Salad with Grilled Chicken,376g,20g,11g,39g,5g,4g,1060mg,105mg,370,9g,0g
Creamy Southwest Dressing,50g,19g,3g,1g,1g,0g,740mg,20mg,190,3g,0g
Gourmet Seasoned Croutons,14g,3g,9g,1g,1g,0g,150mg,0mg,70,0g,0g
Grilled Chicken Salad,372g,9g,13g,30g,6g,5g,750mg,80mg,250,4.5g,0g
Low Fat Balsamic Vinaigrette Dressing,43g,1.5g,3g,0g,2g,0g,370mg,0mg,25,0g,0g
Ranch Dressing,50g,25g,5g,1g,1g,0g,410mg,25mg,250,4g,0g
Southwest Chicken Salad with Crispy Chicken,428g,23g,52g,28g,5g,8g,1260mg,55mg,500,7g,0g
Southwest Chicken Salad with Grilled Chicken,430g,15g,27g,35g,6g,7g,1090mg,90mg,350,6g,0g
Spicy Corn Sticks,12g,2.5g,8g,1g,0g,1g,60mg,0mg,60,0g,0g
Bacon Cheddar Potato Wedges,252g,41g,58g,17g,2g,5g,1250mg,30mg,680,9g,0g
Chiquita Apple Bites,57g,0g,1g,0g,0g,6g,60mg,0mg,30,0g,0g
Egg Roll (1 pc.),58g,7g,15g,5g,2g,2g,320mg,5mg,150,1.5g,0g
Egg Roll (3 pc.),174g,22g,46g,16g,6g,7g,950mg,20mg,440,5g,0g
"French Fries, Large",176g,25g,75g,6g,1g,5g,1010mg,0mg,550,2.5g,0g
"French Fries, Medium",137g,20g,58g,5g,0g,4g,780mg,0mg,430,2g,0g
"French Fries, Small",94g,14g,40g,3g,0g,3g,540mg,0mg,300,1g,0g
Panko Onion Rings,118g,24g,52g,6g,5g,3g,620mg,0mg,440,2g,0g
"Seasoned Curly Fries, Large",147g,28g,4g,0g,6g,0g,600mg,1060mg,480,2.5g,0g
"Seasoned Curly Fries, Medium",130g,25g,46g,5g,0g,4g,940mg,0mg,430,2g,0g
"Seasoned Curly Fries, Small",85g,16g,30g,3g,0g,3g,610mg,0mg,280,1.5g,0g
Side Salad,115g,0g,4g,1g,2g,2g,10mg,0mg,20,0g,0g
Stuffed Jalapenos (3 pc.),71g,12g,21g,6g,2g,1g,730mg,15mg,220,4.5g,0g
Stuffed Jalapenos (7 pc.),165g,29g,49g,14g,5g,3g,1690mg,40mg,510,10g,0.5g
"Taco, Regular",81g,9g,16g,6g,1g,2g,360mg,15mg,170,3g,0g
"Bacon, Egg & Cheese Biscuit",128g,25g,26g,16g,3g,2g,1180mg,240mg,410,12g,0g
Bacon Breakfast Jack,123g,21g,30g,17g,4g,1g,850mg,240mg,380,7g,0g
Biscuit,68g,14g,25g,5g,2g,2g,690mg,0mg,260,7g,0g
Breakfast Jack,132g,18g,30g,16g,4g,1g,840mg,240mg,350,6g,0g
Extreme Sausage Sandwich,192g,49g,29g,25g,3g,1g,1140mg,295mg,650,16g,0.5g
Grande Sausage Breakfast Burrito without Salsa,358g,70g,67g,35g,4g,4g,2010mg,390mg,1040,20g,0.5g
Grande Sausage Breakfast Burrito with Salsa,381g,70g,68g,36g,5g,5g,2130mg,390mg,1040,20g,0.5g
Grilled Breakfast Sandwich,253g,29g,53g,36g,4g,4g,1810mg,490mg,620,10g,0g
Hash Browns,64g,13g,17g,2g,0g,2g,350mg,0mg,190,1g,0g
Jumbo Breakfast Platter with Bacon,247g,29g,47g,23g,7g,3g,1390mg,345mg,540,6g,0g
Jumbo Breakfast Platter with Sausage,267g,39g,47g,21g,7g,3g,1250mg,360mg,620,9g,0g
Loaded Breakfast Sandwich,242g,47g,36g,36g,4g,2g,1690mg,515mg,710,16g,0g
Meat Lovers Breakfast Burrito without Salsa,292g,50g,48g,39g,3g,2g,1590mg,410mg,780,21g,0.5g
Meat Lovers Breakfast Burrito with Salsa,316g,50g,50g,39g,4g,3g,1710mg,410mg,790,21g,0.5g
Mini Pancakes,71g,1.5g,28g,4g,6g,1g,350mg,0mg,140,0g,0g
"Sausage, Egg & Cheese Biscuit",158g,38g,27g,18g,3g,2g,1240mg,265mg,530,16g,0g
Sausage Biscuit,107g,29g,26g,11g,3g,2g,960mg,30mg,430,12g,0g
Sausage Breakfast Jack,152g,34g,30g,19g,4g,1g,920mg,265mg,500,11g,0.5g
Sausage Croissant,159g,39g,32g,19g,3g,2g,760mg,275mg,560,16g,0.5g
Sourdough Breakfast Melt,152g,21g,35g,20g,4g,2g,1010mg,250mg,410,8g,0g
Spicy Chicken Biscuit,170g,29g,44g,25g,3g,2g,1110mg,50mg,550,9g,0g
Supreme Croissant,148g,27g,32g,19g,4g,2g,890mg,260mg,450,12g,0.5g
Ultimate Breakfast Sandwich,214g,31g,30g,3g,4g,1g,1540mg,490mg,520,11g,0g
Chick-N-Tater Melt Munchie Meal,1213g,109g,220g,44g,76g,13g,3470mg,120mg,2010,28g,1.5g
Halfsies (a al carte),122g,21g,46g,5g,0g,4g,810mg,0mg,390,2g,0g
Halfsies (in Munchie Meal),140g,24g,53g,5g,0g,4g,930mg,0mg,450,2g,0g
Spicy Nacho Chicken Munchie Meal,1199g,80g,224g,48g,78g,13g,3260mg,80mg,1790,14g,1g
Sriracha Curly Fry Burger Munchie Meal,1121g,87g,196g,44g,75g,11g,2700mg,105mg,1720,20g,2.5g
Stacked Grilled Cheese Burger Munchie Meal,1241g,94g,213g,56g,79g,13g,3660mg,130mg,1890,27g,2.5g
"Blood Orange Fruit Cooler, 16 fl oz",435g,0g,53g,0g,52g,0g,45mg,0mg,200,0g,0g
"Blood Orange Fruit Cooler, 24 fl oz",641g,0g,78g,0g,77g,0g,65mg,0mg,300,0g,0g
"Coffee, Decaf, 12 fl oz",340g,0g,0g,0g,0g,0g,5mg,0mg,5,0g,0g
"Coffee, Decaf, 16 fl oz",454g,0g,0g,1g,0g,0g,10mg,0mg,5,0g,0g
"Coffee, Regular, 12 fl oz",340g,0g,0g,0g,0g,0g,5mg,0mg,5,0g,0g
"Coffee, Regular, 16 fl oz",454g,0g,0g,1g,0g,0g,10mg,0mg,5,0g,0g
"Diet Dr. Pepper, 16 fl oz",479g,0g,0g,0g,0g,0g,95mg,0mg,0,0g,0g
"Diet Dr. Pepper, 20 fl oz",599g,0g,1g,0g,0g,0g,120mg,0mg,0,0g,0g
"Diet Dr. Pepper, 30 fl oz",898g,0g,1g,0g,0g,0g,180mg,0mg,0,0g,0g
"Diet Dr. Pepper, 40 fl oz",1198g,0g,1g,0g,0g,0g,240mg,0mg,0,0g,0g
"Dr. Pepper, 16 fl oz",499g,0g,53g,0g,52g,0g,60mg,0mg,190,0g,0g
"Dr. Pepper, 20 fl oz",624g,0g,66g,0g,65g,0g,75mg,0mg,240,0g,0g
