Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
Breakfast Crunchwrap - Bacon,207g,42g,51g,21g,3g,4g,1280mg,145mg,660,12g,0g
Breakfast Crunchwrap - Sausage,221.1g,46g,51g,21g,3g,4g,1200mg,150mg,700,14g,0g
Breakfast Crunchwrap - Steak,229.6g,39g,51g,24g,3g,4g,1290mg,150mg,650,11g,0g
Breakfast Quesadilla - Bacon,167.3g,28g,37g,26g,2g,4g,1260mg,160mg,510,13g,0.5g
Breakfast Quesadilla - Sausage,167.3g,29g,37g,24g,2g,3g,1100mg,155mg,500,13g,0.5g
Breakfast Quesadilla - Steak,189.9g,26g,38g,29g,2g,3g,1260mg,165mg,500,12g,0.5g
Breakfast Soft Taco - Bacon,78g,14g,15g,12g,1g,1g,560mg,120mg,230,5g,0g
Breakfast Soft Taco - Egg & Cheese,63.8g,9g,15g,7g,1g,1g,330mg,105mg,170,3g,0g
Breakfast Soft Taco - Sausage,78g,14g,15g,9g,1g,1g,400mg,115mg,230,5g,0g
Cinnabon® Delights™ (2 Pack),34.6g,9g,17g,2g,10g,0g,80mg,5mg,160,2g,0g
Cinnabon® Delights™ (4 Pack),69.2g,18g,35g,3g,20g,1g,160mg,15mg,310,4.5g,0.5g
Cinnabon® Delights™ (12 Pack - Serves 4),207.5g,53g,104g,9g,59g,3g,480mg,40mg,930,13g,2g
Grande Scrambler Burrito - Bacon,289.2g,33g,65g,21g,4g,5g,1470mg,225mg,650,9g,0g
Grande Scrambler Burrito - Sausage,289.2g,34g,65g,19g,4g,5g,1310mg,220mg,640,9g,0g
Grande Scrambler Burrito - Steak,311.8g,31g,65g,24g,4g,5g,1480mg,230mg,640,8g,0g
Grilled Breakfast Burrito - Bacon,130.4g,17g,37g,13g,3g,2g,890mg,115mg,350,4.5g,0g
Grilled Breakfast Burrito - Fiesta Potato,158.8g,14g,43g,10g,3g,3g,780mg,100mg,340,3.5g,0g
Grilled Breakfast Burrito - Sausage,130.4g,17g,36g,11g,3g,2g,730mg,110mg,340,5g,0g
Hashbrown,53.9g,12g,13g,1g,0g,2g,270mg,0mg,160,1g,0g
Iced Regular Coffee,368.5g,0g,0g,2g,0g,0g,0mg,0mg,10,0g,0g
Mini Skillet Bowl,112g,11g,16g,5g,1g,2g,430mg,100mg,180,2g,0g
Mtn Dew® Kickstart™ Orange Citrus,N/A,0g,18g,0g,18g,0g,75mg,0mg,70,0g,0g
Nestle® Coffee-Mate™ Sweetened Original Creamer (1 portion creamer),6g,1.5g,3g,0g,3g,0g,0mg,0mg,25,1g,0g
Rainforest Coffee,368.5g,0g,0g,2g,0g,0g,0mg,0mg,10,0g,0g
Rainforest Coffee with Nestle® Coffee-Mate™ Sweetened Original Creamer (1 portion creamer),374.5g,1.5g,3g,2g,3g,0g,0mg,0mg,30,1g,0g
Sausage Flatbread Quesadilla,110.6g,18g,27g,14g,3g,2g,520mg,120mg,330,6g,0g
Tropicana® Orange Juice,294.6g,0g,33g,2g,28g,1g,20mg,0mg,140,0g,0g
Breakfast Soft Taco - Bacon,78g,14g,15g,12g,1g,1g,560mg,120mg,230,5g,0g
Breakfast Soft Taco - Egg & Cheese,63.8g,9g,15g,7g,1g,1g,330mg,105mg,170,3g,0g
Breakfast Soft Taco - Sausage,78g,14g,15g,9g,1g,1g,400mg,115mg,230,5g,0g
Cinnabon® Delights™ (2 Pack),34.6g,9g,17g,2g,10g,0g,80mg,5mg,160,2g,0g
Grilled Breakfast Burrito - Bacon,130.4g,17g,37g,13g,3g,2g,890mg,115mg,350,4.5g,0g
Grilled Breakfast Burrito - Fiesta Potato,158.8g,14g,43g,10g,3g,3g,780mg,100mg,340,3.5g,0g
Grilled Breakfast Burrito - Sausage,130.4g,17g,36g,11g,3g,2g,730mg,110mg,340,5g,0g
Hashbrown,53.9g,12g,13g,1g,0g,2g,270mg,0mg,160,1g,0g
Iced Regular Coffee,368.5g,0g,0g,2g,0g,0g,0mg,0mg,10,0g,0g
Mini Skillet Bowl,112g,11g,16g,5g,1g,2g,430mg,100mg,180,2g,0g
Mtn Dew® Kickstart™ Orange Citrus,N/A,0g,18g,0g,18g,0g,75mg,0mg,70,0g,0g
Rainforest Coffee,368.5g,0g,0g,2g,0g,0g,0mg,0mg,10,0g,0g
Rainforest Coffee with Nestle® Coffee-Mate™ Sweetened Original Creamer (1 portion creamer),374.5g,1.5g,3g,2g,3g,0g,0mg,0mg,30,1g,0g
Sausage Flatbread Quesadilla,110.6g,18g,27g,14g,3g,2g,520mg,120mg,330,6g,0g
7-Layer Burrito,228.2g,16g,59g,14g,4g,7g,1000mg,15mg,440,6g,0g
Bean Burrito,189.9g,11g,55g,14g,3g,9g,1060mg,5mg,380,4g,0g
Beefy 5-Layer Burrito,225.4g,19g,64g,19g,5g,8g,1280mg,30mg,500,7g,0g
Beefy Fritos® Burrito,181.4g,18g,57g,13g,3g,5g,1000mg,20mg,440,4.5g,0g
Beefy Nacho Loaded Griller,144.6g,15g,48g,12g,3g,5g,820mg,20mg,370,4g,0g
Black Bean Burrito,204.1g,11g,60g,13g,2g,8g,1020mg,10mg,390,4g,0g
Burrito Supreme® - Beef,235.3g,15g,52g,17g,4g,8g,1140mg,30mg,400,6g,0g
Burrito Supreme® - Chicken,235.3g,12g,49g,20g,4g,6g,1110mg,35mg,380,5g,0g
Burrito Supreme® - Steak,229.6g,12g,50g,19g,4g,6g,1120mg,35mg,390,5g,0g
Cheesy Bean & Rice Burrito,181.4g,17g,57g,11g,4g,6g,910mg,5mg,430,3.5g,0g
Cheesy Potato Griller,147.4g,13g,50g,8g,3g,3g,780mg,5mg,340,3g,0g
Chili Cheese Burrito (regional),153.1g,17g,40g,16g,2g,4g,960mg,40mg,370,8g,0.5g
Chipotle Chicken Loaded Griller,141.7g,16g,36g,14g,3g,2g,770mg,35mg,340,4.5g,0g
Quesarito - Beef,255.1g,33g,68g,21g,5g,5g,1390mg,60mg,650,12g,0.5g
Quesarito - Chicken,255.1g,32g,66g,22g,4g,4g,1340mg,75mg,640,11g,0g
Quesarito - Steak,249.5g,30g,66g,24g,4g,4g,1370mg,65mg,630,11g,0g
Shredded Chicken Burrito,168.7g,20g,47g,14g,2g,3g,890mg,45mg,420,5g,0g
XXL Grilled Stuft Burrito - Beef,429.5g,40g,97g,32g,6g,13g,2140mg,65mg,870,14g,1g
XXL Grilled Stuft Burrito - Chicken,429.5g,34g,92g,38g,5g,10g,2070mg,80mg,830,11g,0g
XXL Grilled Stuft Burrito - Steak,418.2g,35g,94g,37g,5g,10g,2090mg,75mg,840,12g,0g
Beefy Fritos® Burrito,181.4g,18g,57g,13g,3g,5g,1000mg,20mg,440,4.5g,0g
Beefy Mini Quesadilla,83.6g,11g,17g,9g,1g,3g,540mg,25mg,210,4g,0g
Caramel Apple Empanada,85g,13g,38g,3g,15g,1g,260mg,5mg,280,3.5g,0g
Cheesy Bean & Rice Burrito,181.4g,17g,57g,11g,4g,6g,910mg,5mg,430,3.5g,0g
Cheesy Roll Up,56.7g,9g,15g,9g,1g,2g,430mg,20mg,180,5g,0g
Cinnabon® Delights™ (2 Pack),34.6g,9g,17g,2g,10g,0g,80mg,5mg,160,2g,0g
Cinnamon Twists,35.4g,6g,27g,1g,13g,1g,210mg,0mg,170,0g,0g
Shredded Chicken Mini Quesadilla,83.6g,10g,15g,10g,1g,1g,490mg,40mg,200,3.5g,0g
Spicy Potato Soft Taco,97.8g,12g,27g,5g,1g,2g,460mg,10mg,230,3g,0g
Spicy Tostada,120.5g,10g,22g,6g,2g,5g,440mg,10mg,210,3g,0g
Triple Layer Nachos,127.6g,15g,41g,7g,2g,6g,610mg,0mg,320,1.5g,0g
Mtn Dew® Baja Blast Freeze™ (16 oz),N/A,0g,51g,0g,51g,0g,50mg,0mg,180,0g,0g
Mtn Dew® Baja Blast Freeze™ (20 oz),N/A,0g,64g,0g,64g,0g,65mg,0mg,230,0g,0g
Strawberry Skittles Freeze™ (16 oz),460.7g,0g,43g,0g,43g,0g,40mg,0mg,160,0g,0g
Strawberry Skittles Freeze™ (20 oz),581.2g,0g,54g,0g,54g,0g,50mg,0mg,210,0g,0g
Watermelon Freeze™ (16 oz),467.8g,0g,59g,0g,58g,0g,60mg,0mg,220,0g,0g
Watermelon Freeze™ (20 oz),588.3g,0g,72g,0g,72g,0g,70mg,0mg,270,0g,0g
