Item,Weight (g),Calories,Calories from Fat,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbs (g),Dietary Fiber (g),Protein (g),Sugars (g),Vitamin A (% DV),Vitamin C (% DV),Calcium (% DV),Iron (% DV)
Whataburger®,316,590,230,25,8,1,45,1220,62,4,29,12,12,15,14,37
Double Meat Whataburger®,400,830,400,44,14,2,90,1470,62,4,47,12,12,15,14,50
Triple Meat Whataburger®,484,1080,570,63,21,3,130,1720,62,4,65,12,13,15,15,63
Jalapeño & Cheese Whataburger®,352,680,290,32,12,1,65,1800,63,4,34,12,19,21,29,37
Bacon & Cheese Whataburger®,354,750,330,37,13,1,80,1910,62,4,39,12,23,15,30,37
Double Meat Whataburger Jr.®,198,420,180,20,6,1,40,700,37,2,23,6,7,9,12,27
Whataburger Jr.®,158,310,100,11,4,0,20,580,37,2,14,6,7,9,12,21
Avocado Bacon Burger,327,790,440,49,15,1,85,1510,51,4,37,7,21,16,23,26
Monterey Melt,403,1110,640,71,24,2,130,2510,62,4,54,12,20,54,39,44
Sweet & Spicy Bacon Burger,392,1080,560,62,23,2,140,2310,69,3,60,18,19,4,40,49
Whataburger® Patty Melt,331,940,550,61,21,2,125,1760,45,1,49,6,12,3,27,39
Chop House Cheddar Burger,366,1080,600,67,25,2,150,1590,60,2,60,11,15,3,44,42
Honey BBQ Chicken Strip Sandwich,301,870,350,39,9,0,95,2420,90,2,38,17,10,7,27,13
Green Chile Double,353,980,520,58,22,2,125,2330,59,2,54,11,19,114,37,43
Whatachick'n® Sandwich,256,600,230,26,10,0,85,890,57,4,33,11,11,11,20,11
Grilled Chicken Sandwich,257,500,180,20,4,0,90,1070,48,5,32,10,9,11,19,11
Chicken Fajita Taco,203,350,110,13,4,0,80,1340,31,3,29,1,4,27,15,9
Whatachick'n® Strips 3 piece,232,530,250,28,5,0,65,1370,42,2,26,2,1,0,3,2
Whatachick'n® Bites 6 pcs,229,450,200,22,4,0,75,1190,33,2,30,2,4,1,1,3
Whatachick'n® Bites 9 pcs,301,640,280,31,5,0,110,1580,45,3,45,2,5,2,2,4
Grilled Chicken Melt,225,410,110,13,5,0,95,1470,39,3,33,6,8,27,27,11
Taquito with Cheese,165,400,200,22,9,0,345,1170,28,1,20,1,14,0,22,16
Breakfast On A Bun®,139,350,130,15,6,0,230,910,34,1,18,5,13,0,22,16
Biscuit Sandwich,144,400,220,24,10,0,210,680,32,1,12,2,11,14,11,20
Pancake Platter,273,670,180,20,6,0,15,1520,108,3,13,36,9,0,23,24
Breakfast Platter,270,620,370,41,16,0,655,1050,36,1,28,3,25,15,20,30
Honey Butter Chicken Biscuit,155,560,300,33,11,0,30,990,51,2,13,9,5,14,9,15
Biscuit and Gravy,255,470,260,29,13,0,15,1530,46,1,7,4,5,15,8,19
Egg Sandwich,129,310,110,12,5,0,220,740,34,1,15,5,9,0,21,15
Egg and Cheese Biscuit,154,420,230,26,13,0,220,1000,32,1,14,2,13,14,18,20
Jalapeño Cheddar Biscuit,85,330,180,20,12,0,10,700,31,2,8,0,16,10,18,9
Biscuit with Bacon,97,360,190,22,10,0,10,790,32,1,8,2,10,14,9,14
Biscuit with Sausage,145,520,340,38,16,0,30,990,32,1,16,2,6,14,8,18
Biscuit,85,290,140,16,8,0,0,600,32,1,5,2,4,14,8,14
Pancakes ,264,630,150,17,5,0,0,1350,108,3,9,36,5,0,21,24
Cinnamon Roll,175,570,160,17,11,0,15,1290,94,7,10,38,4,13,13,14
Hash Brown Sticks,60,190,100,11,2,0,0,500,21,2,2,0,0,0,0,0
Whatacatch® Sandwich,236,520,190,21,3,0,50,920,61,6,20,6,7,10,13,16
Whatacatch® Fish Filet 2 Pieces,311,830,510,58,10,0,125,1560,54,8,30,0,0,4,4,11
Justaburger®,106,300,100,11,3,0,20,570,34,1,14,5,1,0,11,20
Whatachick'n® Strips 2 Piece Kid's Meal,662,870,280,31,4,0,45,880,131,4,20,65,26,109,3,5
Whatachick'n® Bites 4 Piece Kid's Meal,660,810,240,27,4,0,50,750,125,4,23,65,28,110,2,6
Grilled Cheese,140,510,250,28,10,0,40,1300,42,0,16,4,15,0,34,12
Apple Slices,57,30,0,0,0,0,5,0,7,1,0,5,1,22,3,1
French Fries,128,420,190,21,3,0,0,260,52,4,5,1,1,13,2,7
Onion Rings (Large),136,450,230,25,4,0,0,650,49,6,7,3,22,0,5,8
Apple & Cranberry Salad,284,260,90,10,6,0,35,200,36,7,10,25,303,34,29,11
Garden Salad with Grilled Chicken,396,290,110,12,7,0,110,770,12,6,34,4,404,29,34,11
Hot Apple Pie,86,270,120,14,5,0,0,260,34,2,3,7,0,6,1,1
Hot Lemon Pie,91,320,140,16,5,0,0,230,41,3,4,12,0,1,1,21
Cinnamon Roll,175,570,160,17,11,0,15,1290,94,7,10,38,4,13,13,14
Fruit Chews,26,80,0,0,0,0,0,10,20,0,0,11,25,100,0,0
Chocolate Chunk Cookie,51,230,100,11,6,0,15,180,31,1,2,18,8,0,2,6
Coca-Cola® Classic,907,390,0,0,0,0,0,105,107,0,0,107,0,0,0,0
"Coffee, Decaf Colombian (Small)",355,0,0,0,0,0,0,10,1,0,0,0,0,0,1,1
"Tea,  Sweet (Kid's)",474,160,0,0,0,0,0,15,40,0,0,39,0,0,0,1
Vanilla Shake 20 oz,429,500,110,12,7,0,50,500,85,0,10,85,0,0,50,0
Strawberry Malt 20 oz,429,580,100,11,6,0,45,460,110,0,9,109,0,7,43,1
Simply Orange® Juice,340,160,0,0,0,0,0,0,37,0,2,33,0,120,2,0
Chocolate Milk Low Fat 1%,236,160,25,3,2,0,10,220,27,0,8,25,10,0,30,2
Grilled Chicken Sandwich,257,500,180,20,4,0,90,1070,48,5,32,10,9,11,19,11
Apple & Cranberry Salad,284,260,90,10,6,0,35,200,36,7,10,25,303,34,29,11
Egg Sandwich,129,310,110,12,5,0,220,740,34,1,15,5,9,0,21,15
"Taquito with Sausage, No Cheese",165,380,210,23,8,0,335,840,28,1,16,1,9,0,14,17
Biscuit Sandwich with Bacon,164,470,260,29,14,0,230,1170,32,1,18,2,17,14,20,20
Biscuit with Bacon,97,360,190,22,10,0,10,790,32,1,8,2,10,14,9,14
Egg and Cheese Biscuit,154,420,230,26,13,0,220,1000,32,1,14,2,13,14,18,20
Biscuit with Sausage,145,520,340,38,16,0,30,990,32,1,16,2,6,14,8,18
Hash Brown Sticks,60,190,100,11,2,0,0,500,21,2,2,0,0,0,0,0
Garden Salad with Grilled Chicken,396,290,110,12,7,0,110,770,12,6,34,4,404,29,34,11
Cinnamon Roll,175,570,160,17,11,0,15,1290,94,7,10,38,4,13,13,14
Grilled Cheese,140,510,250,28,10,0,40,1300,42,0,16,4,15,0,34,12
Whataburger Jr.® with Bacon & Cheese,180,400,160,18,7,0,40,970,37,2,21,6,13,9,20,21
Double Meat Whataburger Jr.®,198,420,180,20,6,1,40,700,37,2,23,6,7,9,12,27
Double Meat Whataburger Jr.® with Cheese,210,470,210,24,9,1,50,920,37,2,26,6,10,9,20,27
Whatacatch® Sandwich,236,520,190,21,3,0,50,920,61,6,20,6,7,10,13,16
Chicken Fajita Taco,203,350,110,13,4,0,80,1340,31,3,29,1,4,27,15,9
Grilled Chicken Melt,225,410,110,13,5,0,95,1470,39,3,33,6,8,27,27,11
