,Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price
0,"6"" Personal Hand Tossed Cheese Only Pizza, Double Cheese",35g,6g,3g,6g,0g,0g,300mg,25mg,90,4g,0g,0
1,"6"" Personal Hand Tossed Cheese Only Pizza, Extra Cheese",35g,6g,3g,6g,0g,0g,300mg,25mg,90,4g,0g,0
2,"6"" Personal Hand Tossed Cheese Only Pizza, Light Cheese",13g,2.5g,1g,2g,0g,0g,110mg,10mg,35,1.5g,0g,0
3,"6"" Personal Hand Tossed Cheese Only Pizza, Regular Cheese",25g,4.5g,2g,4g,0g,0g,210mg,15mg,60,2.5g,0g,0
4,"6"" Personal Hand Tossed Pizza, Alfredo Sauce",10g,2g,1g,1g,0g,0g,60mg,5mg,25,1.5g,0g,0
5,"6"" Personal Hand Tossed Pizza, American Cheese",7g,2g,1g,1g,0g,0g,125mg,5mg,25,1.5g,0g,0
6,"6"" Personal Hand Tossed Pizza, Anchovies",14g,1.5g,0g,4g,0g,0g,520mg,10mg,30,0g,0g,0
7,"6"" Personal Hand Tossed Pizza, Bacon",7g,2.5g,1g,2g,0g,0g,150mg,10mg,35,1g,0g,0
8,"6"" Personal Hand Tossed Pizza, BBQ Sauce",10g,0g,4g,0g,3g,0g,65mg,0mg,15,0g,0g,0
9,"6"" Personal Hand Tossed Pizza, Beef",7g,2g,0g,1g,0g,0g,50mg,0mg,20,0.5g,0g,0
10,"6"" Personal Hand Tossed Pizza, Black Olives",3g,0g,0g,0g,0g,0g,25mg,0mg,5,0g,0g,0
11,"6"" Personal Hand Tossed Pizza, Cheddar",3g,1g,0g,1g,0g,0g,20mg,5mg,10,0.5g,0g,0
12,"6"" Personal Hand Tossed Pizza, Chicken Grilled",10g,0g,0g,2g,0g,0g,55mg,5mg,15,0g,0g,0
13,"6"" Personal Hand Tossed Pizza, Chorizo",7g,0g,0g,2g,0g,0g,55mg,5mg,15,0g,0g,$1.79
14,"6"" Personal Hand Tossed Pizza, Crust",68g,4.5g,30g,5g,1g,1g,200mg,0mg,190,1g,0g,0
15,"6"" Personal Hand Tossed Pizza, Diced Tomatoes",3g,0g,0g,0g,0g,0g,10mg,0mg,0,0g,0g,0
16,"6"" Personal Hand Tossed Pizza, Double Cheese",35g,6g,3g,6g,0g,0g,300mg,25mg,90,4g,0g,0
17,"6"" Personal Hand Tossed Pizza, Extra Cheese",27g,4.5g,2g,4g,0g,0g,220mg,20mg,70,3g,0g,0
18,"6"" Personal Hand Tossed Pizza, Feta Cheese",3g,0g,0g,1g,0g,0g,35mg,0mg,5,0g,0g,0
19,"6"" Personal Hand Tossed Pizza, Garlic",3g,0g,1g,0g,0g,0g,0mg,0mg,5,0g,0g,0
20,"6"" Personal Hand Tossed Pizza, Garlic Parm (White Sauce)",10g,4.5g,1g,0g,0g,0g,95mg,5mg,45,1g,0g,0
21,"6"" Personal Hand Tossed Pizza, Green Olive",3g,0g,0g,0g,0g,0g,45mg,0mg,5,0g,0g,0
22,"6"" Personal Hand Tossed Pizza, Ham",9g,0.5g,0g,1g,0g,0g,135mg,5mg,10,0g,0g,0
23,"6"" Personal Hand Tossed Pizza, Hearty Marinara Sauce",14g,0g,2g,0g,1g,0g,100mg,0mg,10,0g,0g,0
24,"6"" Personal Hand Tossed Pizza, Hot Banana Peppers",3g,0g,0g,0g,0g,0g,45mg,0mg,0,0g,0g,0
25,"6"" Personal Hand Tossed Pizza, Hot Sauce",7g,0g,0g,0g,0g,0g,250mg,0mg,0,0g,0g,0
26,"6"" Personal Hand Tossed Pizza, Jalapeno",3g,0g,0g,0g,0g,0g,45mg,0mg,0,0g,0g,0
27,"6"" Personal Hand Tossed Pizza, Light Cheese",13g,2.5g,1g,2g,0g,0g,110mg,10mg,35,1.5g,0g,0
28,"6"" Personal Hand Tossed Pizza, Pepperoni",7g,3g,0g,1g,0g,0g,135mg,5mg,30,1g,0g,0
29,"6"" Personal Hand Tossed Pizza, Philly Meat",10g,1g,1g,1g,0g,0g,115mg,5mg,15,0g,0g,0
30,"6"" Personal Hand Tossed Pizza, Pineapple",7g,0g,1g,0g,1g,0g,0mg,0mg,5,0g,0g,0
31,"6"" Personal Hand Tossed Pizza, Pizza Sauce",14g,0g,2g,0g,1g,0g,75mg,0mg,10,0g,0g,0
32,"6"" Personal Hand Tossed Pizza, Provolone",3g,0.5g,0g,1g,0g,0g,25mg,5mg,10,0g,0g,0
33,"6"" Personal Hand Tossed Pizza, Regular Cheese",18g,3g,1g,3g,0g,0g,150mg,10mg,45,2g,0g,0
34,"6"" Personal Hand Tossed Pizza, Roasted Red Pepper",3g,0g,0g,0g,0g,0g,10mg,0mg,0,0g,0g,0
35,"6"" Personal Hand Tossed Pizza, Salami",4.5g,1.5g,0g,1g,0g,0g,85mg,5mg,20,0.5g,0g,0
36,"6"" Personal Hand Tossed Pizza, Sausage",7g,2.5g,0g,0g,0g,0g,45mg,0mg,30,1g,0g,0
37,"6"" Personal Hand Tossed Pizza, Shredded Parmesan",3g,1g,0g,1g,0g,0g,25mg,5mg,10,0.5g,0g,0
38,"8"" Extra Small Hand Tossed Cheese Only Pizza, Double Cheese",50g,9g,4g,8g,0g,1g,420mg,35mg,130,5g,0g,0
39,"8"" Extra Small Hand Tossed Cheese Only Pizza, Extra Cheese",50g,9g,4g,8g,0g,1g,420mg,35mg,130,5g,0g,0
40,"8"" Extra Small Hand Tossed Cheese Only Pizza, Light Cheese",19g,3.5g,1g,3g,0g,0g,160mg,15mg,50,2g,0g,0
41,"8"" Extra Small Hand Tossed Cheese Only Pizza, Regular Cheese",35g,6g,3g,6g,0g,0g,300mg,25mg,90,4g,0g,0
42,"8"" Extra Small Hand Tossed Pizza, Alfredo Sauce",14g,3g,1g,1g,0g,0g,85mg,10mg,35,2g,0g,0
43,"8"" Extra Small Hand Tossed Pizza, American Cheese",14g,4.5g,1g,3g,1g,0g,250mg,15mg,50,2.5g,0g,0
44,"8"" Extra Small Hand Tossed Pizza, Anchovies",14g,1.5g,0g,4g,0g,0g,520mg,10mg,30,0g,0g,0
45,"8"" Extra Small Hand Tossed Pizza, Bacon",14g,5g,1g,4g,1g,0g,300mg,20mg,70,2g,0g,0
46,"8"" Extra Small Hand Tossed Pizza, BBQ Sauce",14g,0g,6g,0g,5g,0g,90mg,0mg,25,0g,0g,0
47,"8"" Extra Small Hand Tossed Pizza, Beef",21g,5g,0g,4g,0g,0g,160mg,15mg,60,2g,0g,0
48,"8"" Extra Small Hand Tossed Pizza, Black Olives",14g,2g,1g,0g,0g,0g,115mg,0mg,25,0g,0g,0
49,"8"" Extra Small Hand Tossed Pizza, Cheddar",7g,2.5g,0g,2g,0g,0g,45mg,5mg,30,1.5g,0g,0
50,"8"" Extra Small Hand Tossed Pizza, Chicken Grilled",21g,1g,1g,5g,0g,0g,115mg,15mg,30,0g,0g,0
51,"8"" Extra Small Hand Tossed Pizza, Chorizo",21g,1.5g,1g,6g,0g,0g,170mg,20mg,40,0g,0g,0
52,"8"" Extra Small Hand Tossed Pizza, Crust",94g,7g,42g,7g,1g,1g,290mg,0mg,260,1.5g,0g,0
53,"8"" Extra Small Hand Tossed Pizza, Diced Tomatoes",21g,0g,1g,0g,0g,0g,65mg,0mg,5,0g,0g,0
54,"8"" Extra Small Hand Tossed Pizza, Double Cheese",50g,9g,4g,8g,0g,1g,420mg,35mg,130,5g,0g,0
55,"8"" Extra Small Hand Tossed Pizza, Extra Cheese",37g,7g,3g,6g,0g,0g,310mg,25mg,100,4g,0g,0
56,"8"" Extra Small Hand Tossed Pizza, Feta Cheese",7g,1g,0g,2g,0g,0g,85mg,5mg,15,0.5g,0g,0
57,"8"" Extra Small Hand Tossed Pizza, Garlic",7g,0g,1g,0g,0g,0g,0mg,0mg,5,0g,0g,0
58,"8"" Extra Small Hand Tossed Pizza, Garlic Parm (White Sauce)",14g,7g,1g,0g,0g,0g,135mg,5mg,60,1g,0g,0
59,"8"" Extra Small Hand Tossed Pizza, Green Chile Peppers",14g,0g,1g,0g,0g,0g,0mg,0mg,5,0g,0g,0
60,"8"" Extra Small Hand Tossed Pizza, Green Olive",14g,2g,1g,0g,0g,0g,230mg,0mg,25,0g,0g,0
61,"8"" Extra Small Hand Tossed Pizza, Green Peppers",14g,0g,1g,0g,0g,0g,0mg,0mg,5,0g,0g,0
62,"8"" Extra Small Hand Tossed Pizza, Ham",14g,1g,0g,2g,0g,0g,200mg,5mg,20,0g,0g,0
63,"8"" Extra Small Hand Tossed Pizza, Hearty Marinara Sauce",21g,0g,3g,1g,2g,1g,150mg,0mg,15,0g,0g,0
64,"8"" Extra Small Hand Tossed Pizza, Hot Banana Peppers",14g,0g,1g,0g,0g,0g,230mg,0mg,5,0g,0g,0
65,"8"" Extra Small Hand Tossed Pizza, Hot Sauce",7g,0g,0g,0g,0g,0g,250mg,0mg,0,0g,0g,0
66,"8"" Extra Small Hand Tossed Pizza, Jalapeno",14g,0g,1g,0g,0g,0g,240mg,0mg,5,0g,0g,0
67,"8"" Extra Small Hand Tossed Pizza, Light Cheese",19g,3.5g,1g,3g,0g,0g,160mg,15mg,50,2g,0g,0
68,"8"" Extra Small Hand Tossed Pizza, Mushrooms",21g,0g,1g,1g,0g,0g,0mg,0mg,5,0g,0g,0
69,"8"" Extra Small Hand Tossed Pizza, Onions",14g,0g,1g,0g,1g,0g,0mg,0mg,5,0g,0g,0
70,"8"" Extra Small Hand Tossed Pizza, Pepperoni",11g,4g,0g,2g,0g,0g,200mg,10mg,50,1.5g,0g,0
71,"8"" Extra Small Hand Tossed Pizza, Philly Meat",14g,1g,1g,2g,0g,0g,160mg,5mg,20,0g,0g,0
72,"8"" Extra Small Hand Tossed Pizza, Pineapple",21g,0g,4g,0g,3g,0g,0mg,0mg,15,0g,0g,0
73,"8"" Extra Small Hand Tossed Pizza, Pizza Sauce",21g,0g,2g,0g,2g,0g,115mg,0mg,10,0g,0g,0
74,"8"" Extra Small Hand Tossed Pizza, Provolone",7g,1.5g,0g,1g,0g,0g,60mg,5mg,25,1g,0g,0
75,"8"" Extra Small Hand Tossed Pizza, Regular Cheese",25g,4.5g,2g,4g,0g,0g,210mg,15mg,60,2.5g,0g,0
76,"8"" Extra Small Hand Tossed Pizza, Roasted Red Pepper",14g,0g,1g,0g,1g,0g,40mg,0mg,5,0g,0g,0
77,"8"" Extra Small Hand Tossed Pizza, Salami",9g,3g,0g,2g,0g,0g,170mg,10mg,35,1g,0g,0
78,"8"" Extra Small Hand Tossed Pizza, Sausage",21g,8g,0g,3g,0g,0g,135mg,10mg,80,2.5g,0g,0
79,"8"" Extra Small Hand Tossed Pizza, Shredded Parmesan",7g,2g,0g,2g,0g,0g,55mg,5mg,30,1.5g,0g,0
80,"8"" Extra Small Hand Tossed Pizza, Spinach",14g,0g,1g,0g,0g,0g,10mg,0mg,5,0g,0g,0
81,"10"" Small Hand Tossed Cheese Only Pizza, Double Cheese",33g,6g,3g,6g,0g,0g,280mg,25mg,90,3.5g,0g,0
82,"10"" Small Hand Tossed Cheese Only Pizza, Extra Cheese",33g,6g,3g,6g,0g,0g,280mg,25mg,90,3.5g,0g,0
83,"10"" Small Hand Tossed Cheese Only Pizza, Light Cheese",12g,2g,1g,2g,0g,0g,100mg,10mg,30,1.5g,0g,0
84,"10"" Small Hand Tossed Cheese Only Pizza, Regular Cheese",24g,4g,2g,4g,0g,0g,200mg,15mg,60,2.5g,0g,0
85,"10"" Small Hand Tossed Pizza, Alfredo Sauce",7g,1.5g,0g,0g,0g,0g,45mg,5mg,15,1g,0g,0
86,"10"" Small Hand Tossed Pizza, American Cheese",9g,3g,1g,2g,0g,0g,170mg,10mg,35,2g,0g,0
87,"10"" Small Hand Tossed Pizza, Anchovies",4.5g,0g,0g,1g,0g,0g,170mg,5mg,10,0g,0g,0
88,"10"" Small Hand Tossed Pizza, Bacon",9g,3.5g,1g,3g,0g,0g,200mg,15mg,45,1g,0g,0
89,"10"" Small Hand Tossed Pizza, BBQ Sauce",7g,0g,3g,0g,2g,0g,45mg,0mg,10,0g,0g,0
90,"10"" Small Hand Tossed Pizza, Beef",12g,3g,0g,2g,0g,0g,85mg,10mg,35,1g,0g,0
91,"10"" Small Hand Tossed Pizza, Black Olives",7g,1g,0g,0g,0g,0g,60mg,0mg,10,0g,0g,0
92,"10"" Small Hand Tossed Pizza, Cheddar",5g,1.5g,0g,1g,0g,0g,30mg,5mg,20,1g,0g,0
93,"10"" Small Hand Tossed Pizza, Chicken Grilled",12g,0.5g,0g,3g,0g,0g,65mg,10mg,20,0g,0g,0
94,"10"" Small Hand Tossed Pizza, Chorizo",12g,0.5g,0g,3g,0g,0g,90mg,10mg,20,0g,0g,0
95,"10"" Small Hand Tossed Pizza, Crust",49g,3g,22g,4g,1g,1g,140mg,0mg,130,0.5g,0g,0
96,"10"" Small Hand Tossed Pizza, Diced Tomatoes",12g,0g,0g,0g,0g,0g,35mg,0mg,0,0g,0g,0
97,"10"" Small Hand Tossed Pizza, Double Cheese",33g,6g,3g,6g,0g,0g,280mg,25mg,90,3.5g,0g,0
98,"10"" Small Hand Tossed Pizza, Extra Cheese",24g,4g,2g,4g,0g,0g,200mg,15mg,60,2.5g,0g,0
99,"10"" Small Hand Tossed Pizza, Feta Cheese",4.5g,0.5g,0g,1g,0g,0g,60mg,5mg,10,0g,0g,0
100,"10"" Small Hand Tossed Pizza, Garlic",3.5g,0g,1g,0g,0g,0g,0mg,0mg,5,0g,0g,0
101,"10"" Small Hand Tossed Pizza, Garlic Parm (White Sauce)",7g,3.5g,0g,0g,0g,0g,65mg,0mg,30,0.5g,0g,0
102,"10"" Small Hand Tossed Pizza, Green Olive",7g,1g,0g,0g,0g,0g,115mg,0mg,10,0g,0g,0
103,"10"" Small Hand Tossed Pizza, Ham",8g,0g,0g,1g,0g,0g,115mg,5mg,10,0g,0g,0
104,"10"" Small Hand Tossed Pizza, Hearty Marinara Sauce",14g,0g,2g,0g,1g,0g,100mg,0mg,10,0g,0g,0
105,"10"" Small Hand Tossed Pizza, Hot Banana Peppers",7g,0g,0g,0g,0g,0g,115mg,0mg,0,0g,0g,0
106,"10"" Small Hand Tossed Pizza, Hot Sauce",4.5g,0g,0g,0g,0g,0g,170mg,0mg,0,0g,0g,0
107,"10"" Small Hand Tossed Pizza, Jalapeno",7g,0g,0g,0g,0g,0g,120mg,0mg,0,0g,0g,0
108,"10"" Small Hand Tossed Pizza, Light Cheese",12g,2g,1g,2g,0g,0g,100mg,10mg,30,1.5g,0g,0
109,"10"" Small Hand Tossed Pizza, Mushrooms",12g,0g,0g,0g,0g,0g,0mg,0mg,5,0g,0g,0
110,"10"" Small Hand Tossed Pizza, Onions",7g,0g,1g,0g,0g,0g,0mg,0mg,5,0g,0g,0
111,"10"" Small Hand Tossed Pizza, Pepperoni",6g,2.5g,0g,1g,0g,0g,115mg,5mg,25,1g,0g,0
112,"10"" Small Hand Tossed Pizza, Philly Meat",9g,1g,0g,1g,0g,0g,110mg,5mg,15,0g,0g,0
113,"10"" Small Hand Tossed Pizza, Pineapple",12g,0g,2g,0g,2g,0g,0mg,0mg,10,0g,0g,0
114,"10"" Small Hand Tossed Pizza, Pizza Sauce",14g,0g,2g,0g,1g,0g,75mg,0mg,10,0g,0g,0
115,"10"" Small Hand Tossed Pizza, Provolone",4.5g,1g,0g,1g,0g,0g,40mg,5mg,15,0.5g,0g,0
116,"10"" Small Hand Tossed Pizza, Regular Cheese",17g,3g,1g,3g,0g,0g,140mg,10mg,45,2g,0g,0
117,"10"" Small Hand Tossed Pizza, Roasted Red Pepper",7g,0g,0g,0g,0g,0g,20mg,0mg,0,0g,0g,0
118,"10"" Small Hand Tossed Pizza, Salami",6g,2g,0g,1g,0g,0g,115mg,5mg,25,0.5g,0g,0
119,"10"" Small Hand Tossed Pizza, Sausage",12g,4.5g,0g,2g,0g,0g,75mg,5mg,45,1.5g,0g,0
120,"10"" Small Hand Tossed Pizza, Shredded Parmesan",4.5g,1.5g,0g,1g,0g,0g,40mg,5mg,20,1g,0g,0
121,"10"" Small Hand Tossed Pizza, Spinach",7g,0g,0g,0g,0g,0g,5mg,0mg,0,0g,0g,0
122,"10"" Small Gluten Free Cheese Only Pizza, Double Cheese",66g,12g,5g,11g,0g,1g,550mg,45mg,170,7g,0g,0
123,"10"" Small Gluten Free Cheese Only Pizza, Extra Cheese",66g,12g,5g,11g,0g,1g,550mg,45mg,170,7g,0g,0
124,"10"" Small Gluten Free Cheese Only Pizza, Light Cheese",24g,4g,2g,4g,0g,0g,200mg,15mg,60,2.5g,0g,0
125,"10"" Small Gluten Free Cheese Only Pizza, Regular Cheese",47g,8g,4g,8g,0g,1g,400mg,35mg,120,5g,0g,0
