,Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price
0,Big Mac Bacon,,38g,47g,30g,9g,3g,1210mg,95mg,610,12g,1g,$3.69
1,Cheesy Bacon Fries,,34g,51g,15g,5g,4g,1330mg,35mg,560,11g,0.5g,$1.00
2,"Donut Sticks, 6 Piece",,13g,34g,6g,9g,1g,260mg,15mg,280,4.5g,0g,0
3,"Donut Sticks, 12 Piece",,27g,68g,12g,18g,2g,520mg,30mg,560,9g,0.5g,0
4,Quarter Pounder with Cheese Bacon,,34g,44g,39g,11g,2g,1470mg,125mg,640,15g,1.5g,$6.69
5,Bacon Clubhouse Burger,274g,41g,51g,40g,14g,4g,1420mg,120mg,740,16g,1.5g,$3.99
6,Bacon Double Cheeseburger,,26g,36g,30g,8g,3g,1280mg,100mg,500,12g,1g,$1.69
7,Bacon Double Cheeseburger (New York),,26g,36g,30g,8g,2g,1270mg,100mg,500,12g,1g,0
8,Bacon McDouble,162g,23g,34g,28g,7g,2g,1090mg,85mg,450,10g,1g,$2.00
9,Bacon McDouble (New York),,22g,34g,28g,7g,2g,1080mg,85mg,450,10g,1g,$4.79
10,Artisan Grilled Chicken Sandwich,204g,6g,45g,36g,11g,2g,1120mg,95mg,380,2g,0g,$4.99
11,Bacon Buffalo Ranch McChicken,162g,21g,40g,20g,6g,2g,1040mg,55mg,430,4.5g,0g,0
12,Bacon Cheddar Hot 'n Spicy McChicken,,32g,41g,24g,6g,3g,960mg,80mg,550,9g,0.5g,0
13,Bacon Cheddar McChicken,172g,32g,41g,24g,6g,2g,950mg,80mg,550,9g,0g,$1.29
14,Bacon Smokehouse Artisan Grilled Chicken Sandwich,,31g,62g,55g,18g,2g,1940mg,155mg,750,10g,0.5g,$2.59
15,Apple Cinnamon Muffin,,2.5g,61g,7g,30g,3g,520mg,0mg,300,0.5g,0g,$2.79
16,"Bacon, Egg & Cheese Bagel",191g,25g,54g,26g,7g,4g,1270mg,225mg,550,11g,0.5g,$5.19
17,"Bacon, Egg & Cheese Bagel with Egg Whites",191g,22g,53g,25g,7g,3g,1240mg,65mg,510,10g,0.5g,0
18,"Bacon, Egg & Cheese Biscuit",147g,24g,40g,18g,3g,2g,1300mg,200mg,450,12g,0g,$4.49
