,Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price
0,Brown Steamed Rice,,4g,86g,9g,1g,4g,15mg,0mg,420,1g,0g,$1.80
1,Chow Fun,,9g,73g,9g,6g,1g,1110mg,0mg,410,1g,0g,0
2,Chow Mein,266g,20g,80g,13g,9g,6g,860mg,0mg,510,3.5g,0g,0
3,Fried Rice,264g,16g,85g,11g,3g,1g,850mg,120mg,520,3g,0g,0
4,"Mixed Vegetables, Side",,0.5g,16g,4g,5g,5g,540mg,0mg,80,0g,0g,0
5,White Steamed Rice,,0g,87g,7g,0g,0g,0mg,0mg,380,0g,0g,0
6,Country Style Bean Curd,,12g,14g,7g,8g,2g,950mg,0mg,190,1.5g,0g,0
7,Eggplant Tofu,173g,24g,23g,7g,17g,3g,520mg,0mg,340,3.5g,0g,0
8,Hot Szechuan Tofu,,8g,10g,6g,5g,2g,580mg,0mg,140,1g,0g,0
9,"Mixed Veggies, Entree",122g,0g,8g,2g,2g,3g,280mg,0mg,35,0g,0g,$30.00
10,Asian Chicken,,13g,14g,41g,10g,3g,630mg,195mg,340,3.5g,0g,0
11,Black Pepper Chicken,173g,19g,15g,13g,7g,1g,1130mg,55mg,280,3.5g,0g,0
12,Grilled Asian Chicken,,13g,8g,36g,8g,0g,530mg,185mg,300,4g,0g,0
13,Grilled Teriyaki Chicken,,13g,8g,36g,8g,0g,530mg,185mg,300,4g,0g,0
14,Kung Pao Chicken,164g,19g,14g,16g,6g,2g,970mg,55mg,290,3.5g,0g,0
15,Mushroom Chicken,167g,14g,11g,12g,4g,1g,840mg,50mg,220,2.5g,0g,0
16,Orange Chicken,162g,23g,51g,25g,19g,2g,820mg,80mg,490,5g,0g,0
17,Potato Chicken,147g,10g,18g,8g,4g,2g,680mg,30mg,190,2g,0g,0
18,Teriyaki Chicken,,13g,14g,41g,10g,3g,630mg,195mg,340,3.5g,0g,0
19,Honey Sesame Chicken Breast,,22g,40g,16g,19g,2g,480mg,45mg,420,4g,0g,0
20,String Bean Chicken Breast,159g,9g,13g,14g,4g,4g,590mg,35mg,190,2g,0g,0
21,Sweet & Sour Chicken Breast,156g,12g,40g,10g,24g,1g,260mg,25mg,300,3g,0g,0
22,SweetFire Chicken Breast,164g,15g,47g,13g,27g,1g,320mg,35mg,380,3g,0g,0
23,Beijing Beef,159g,26g,46g,13g,24g,1g,660mg,25mg,470,5g,0g,0
24,Broccoli Beef,153g,7g,13g,9g,7g,2g,520mg,10mg,150,1.5g,0g,0
25,Shanghai Angus Steak with String Beans,,19g,17g,19g,11g,1g,790mg,40mg,310,4g,0g,0
26,"Crispy Shrimp, Entree",,13g,26g,9g,2g,1g,800mg,60mg,260,2g,0g,$4.90
27,Golden Treasure Shrimp,142g,18g,35g,14g,14g,2g,440mg,100mg,360,3g,0g,0
28,Honey Walnut Shrimp,105g,23g,35g,13g,9g,2g,440mg,100mg,360,3.5g,0g,0
29,Steamed Ginger Fish,,12g,8g,15g,6g,0g,1990mg,40mg,200,2.5g,0g,$0.75
30,Chicken Egg Roll,85g,10g,20g,6g,2g,2g,340mg,20mg,200,2g,0g,$9.70
31,Chicken Potsticker,94g,6g,20g,6g,2g,1g,250mg,20mg,160,1.5g,0g,0
32,Cream Cheese Rangoon,68g,8g,24g,5g,1g,2g,180mg,35mg,190,5g,0g,$7.50
33,Crispy Shrimp,,6g,13g,5g,1g,1g,400mg,30mg,130,1g,0g,$1.90
34,Vegetable Spring Roll,96g,8g,27g,3g,3g,2g,520mg,0mg,190,1.5g,0g,$2.10
35,"Hot & Sour Soup, Bowl",,6g,20g,10g,6g,1g,1260mg,90mg,170,1g,0g,0
36,"Hot & Sour Soup, Cup",301g,5g,14g,7g,4g,1g,880mg,65mg,120,0.5g,0g,0
37,Chili Sauce,,0g,2g,0g,2g,0g,125mg,0mg,10,0g,0g,0
38,Chocolate Chip Chunk Cookie,,7g,25g,2g,14g,1g,125mg,5mg,160,3g,0g,0
39,Hot Mustard,,1g,0g,0g,0g,0g,115mg,0mg,10,0g,0g,0
40,Plum Sauce,,0g,3g,0g,3g,0g,55mg,0mg,15,0g,0g,0
41,Potsticker Sauce,,0g,3g,0g,2g,0g,290mg,0mg,10,0g,0g,0
42,Soy Sauce,,0g,0g,0g,0g,0g,380mg,0mg,5,0g,0g,$1.90
43,Sweet & Sour Sauce,51g,0g,21g,0g,20g,0g,115mg,0mg,70,0g,0g,0
44,Teriyaki Sauce,,0g,16g,0g,14g,0g,380mg,0mg,70,0g,0g,0
45,"Diet Pepsi, Large",,0g,0g,0g,0g,0g,115mg,0mg,0,0g,0g,0
46,"Diet Pepsi, Medium",,0g,0g,0g,0g,0g,80mg,0mg,0,0g,0g,0
47,"Diet Pepsi, Small",,0g,0g,0g,0g,0g,60mg,0mg,0,0g,0g,0
48,"Dr. Pepper, Large",,0g,106g,0g,106g,0g,140mg,0mg,390,0g,0g,0
49,"Dr Pepper, Medium",,0g,76g,0g,76g,0g,100mg,0mg,280,0g,0g,0
50,"Dr Pepper, Small",,0g,56g,0g,56g,0g,70mg,0mg,210,0g,0g,0
51,"Lipton Brisk Raspberry, Large",,0g,96g,0g,96g,0g,115mg,0mg,370,0g,0g,0
52,"Lipton Brisk Raspberry, Medium",,0g,69g,0g,69g,0g,80mg,0mg,260,0g,0g,0
53,"Lipton Brisk Raspberry, Small",,0g,51g,0g,51g,0g,60mg,0mg,190,0g,0g,0
54,"Lipton No Calorie Brisk Peach, Large",,0g,0g,0g,0g,0g,320mg,0mg,0,0g,0g,0
55,"Lipton No Calorie Brisk Peach, Medium",,0g,0g,0g,0g,0g,230mg,0mg,0,0g,0g,$1.25
56,"Lipton No Calorie Brisk Peach, Small",,0g,0g,0g,0g,0g,170mg,0mg,0,0g,0g,0
57,"Mountain Dew, Large",,0g,133g,0g,133g,0g,160mg,0mg,510,0g,0g,$2.00
58,"Mountain Dew, Medium",,0g,95g,0g,95g,0g,115mg,0mg,360,0g,0g,$1.80
59,"Mountain Dew, Small",,0g,70g,0g,70g,0g,85mg,0mg,260,0g,0g,$1.60
60,"Mug Root Beer, Large",,0g,119g,0g,119g,0g,70mg,0mg,460,0g,0g,0
61,"Mug Root Beer, Medium",,0g,85g,0g,85g,0g,50mg,0mg,330,0g,0g,0
62,"Mug Root Beer, Small",,0g,63g,0g,63g,0g,35mg,0mg,240,0g,0g,0
63,"Pepsi, Large",,0g,129g,0g,124g,0g,115mg,0mg,460,0g,0g,0
64,"Pepsi, Medium",,0g,92g,0g,89g,0g,80mg,0mg,330,0g,0g,0
65,"Pepsi, Small",,0g,67g,0g,65g,0g,60mg,0mg,240,0g,0g,0
66,"Sierra Mist, Large",,0g,124g,0g,124g,0g,90mg,0mg,460,0g,0g,0
67,"Sierra Mist, Medium",,0g,89g,0g,89g,0g,65mg,0mg,330,0g,0g,0
68,"Sierra Mist, Small",,0g,65g,0g,65g,0g,50mg,0mg,240,0g,0g,0
69,"Sobe Lean, Large",,0g,0g,0g,0g,0g,115mg,0mg,0,0g,0g,0
70,"Sobe Lean, Medium",,0g,0g,0g,0g,0g,80mg,0mg,0,0g,0g,0
71,"Sobe Lean, Small",,0g,0g,0g,0g,0g,60mg,0mg,0,0g,0g,0
72,"Tropicana Fruit Punch, Large",,0g,138g,0g,138g,0g,115mg,0mg,510,0g,0g,0
73,"Tropicana Fruit Punch, Medium",,0g,98g,0g,98g,0g,80mg,0mg,360,0g,0g,0
74,"Tropicana Fruit Punch, Small",,0g,72g,0g,72g,0g,60mg,0mg,260,0g,0g,0
75,"Tropicana Lemonade, Large",,0g,124g,0g,124g,0g,480mg,0mg,460,0g,0g,0
76,"Tropicana Lemonade, Medium",,0g,89g,0g,89g,0g,350mg,0mg,330,0g,0g,0
77,"Tropicana Lemonade, Small",,0g,65g,0g,65g,0g,260mg,0mg,240,0g,0g,0
78,"Tropicana Pink Lemonade, Large",,0g,124g,0g,124g,0g,480mg,0mg,460,0g,0g,0
79,"Tropicana Pink Lemonade, Medium",,0g,89g,0g,89g,0g,350mg,0mg,330,0g,0g,0
80,"Tropicana Pink Lemonade, Small",,0g,65g,0g,65g,0g,260mg,0mg,240,0g,0g,0
81,"Diet Pepsi, Kids",,0g,0g,0g,0g,0g,35mg,0mg,0,0g,0g,0
82,"Dr Pepper, Kids",,0g,30g,0g,30g,0g,40mg,0mg,110,0g,0g,0
83,Kids Asian Chicken,,8g,8g,25g,6g,2g,380mg,115mg,200,2g,0g,0
84,Kids Beijing Beef,,20g,34g,10g,18g,1g,490mg,20mg,350,4g,0g,0
85,Kids Broccoli Beef,,6g,10g,7g,5g,2g,400mg,10mg,110,1g,0g,0
86,Kids Brown Steamed Rice,,3g,64g,7g,1g,3g,10mg,0mg,310,0.5g,0g,0
87,Kids Chow Fun,,6g,53g,6g,4g,1g,810mg,0mg,300,0.5g,0g,0
88,Kids Chow Mein,,12g,36g,7g,5g,2g,540mg,0mg,280,2g,0g,0
89,Kids Country Style Bean Curd,,8g,9g,4g,5g,1g,600mg,0mg,120,1g,0g,0
90,Kids Crispy Shrimp,,8g,17g,6g,1g,1g,520mg,40mg,170,1.5g,0g,0
91,Kids Eggplant Tofu,,18g,17g,5g,13g,2g,390mg,0mg,250,2.5g,0g,0
92,Kids Fried Rice,,10g,57g,7g,2g,0g,570mg,80mg,350,2g,0g,0
93,Kids Golden Treasure Shrimp,,10g,20g,8g,8g,1g,250mg,60mg,210,1.5g,0g,0
94,Kids Grilled Asian Chicken,,8g,5g,22g,5g,0g,320mg,110mg,180,2.5g,0g,0
95,Kids Grilled Teriyaki Chicken,,8g,5g,22g,5g,0g,320mg,110mg,180,2.5g,0g,0
96,Kids Honey Sesame Chicken Breast,,17g,30g,12g,14g,2g,360mg,30mg,320,3g,0g,$9.70
97,Kids Honey Walnut Shrimp,,13g,14g,7g,5g,1g,240mg,55mg,200,2g,0g,0
98,Kids Hot Szechuan Tofu,,6g,7g,4g,4g,1g,430mg,0mg,100,0.5g,0g,0
99,Kids Kung Pao Chicken,,14g,10g,11g,4g,2g,690mg,40mg,200,2.5g,0g,0
100,"Kids Mixed Vegetables, Side",,0g,12g,3g,4g,4g,400mg,0mg,60,0g,0g,0
101,Kids Mixed Veggies Entree,,0g,6g,2g,2g,2g,200mg,0mg,30,0g,0g,0
102,Kids Mushroom Chicken,,7g,8g,9g,3g,1g,580mg,30mg,130,1.5g,0g,0
103,Kids Orange Chicken,,17g,38g,19g,14g,1g,620mg,60mg,370,3.5g,0g,0
104,Kids Potato Chicken,,8g,15g,6g,3g,0g,510mg,20mg,140,1.5g,0g,0
105,Kids Shanghai Angus Steak with String Beans,,14g,13g,14g,8g,1g,590mg,30mg,230,3g,0g,$13.45
106,Kids Steamed Ginger Fish,,4g,3g,5g,2g,0g,660mg,15mg,70,1g,0g,0
107,Kids String Bean Chicken Breast,,7g,10g,11g,3g,3g,440mg,25mg,140,1.5g,0g,0
