Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price
"Asiago Bacon, Egg & Cheese on Asiago Cheese Bagel",,24g,56g,21g,4g,2g,960mg,260mg,570,11g,0.5g,0
"Avocado, Egg White & Spinach on Sprouted Grain Bagel Flat",,14g,52g,21g,4g,7g,590mg,25mg,410,6g,0g,0
"Bacon, Egg & Cheese on Artisan Ciabatta",187g,20g,40g,24g,1g,2g,850mg,245mg,450,9g,0g,0
"Bacon, Egg & Cheese on Brioche",,25g,32g,24g,6g,1g,790mg,295mg,460,12g,0.5g,0
"Bacon, Scrambled Egg & Cheese on Artisan Ciabatta",161g,22g,40g,25g,1g,2g,760mg,275mg,460,9g,0g,0
"Bacon, Scrambled Egg & Cheese on Brioche",,27g,33g,25g,6g,1g,700mg,325mg,470,13g,0.5g,0
Basil Pesto Sauce,,3g,0g,0g,0g,0g,30mg,0mg,30,0g,0g,$7.19
Chipotle Ailoi Sauce,,4.5g,0g,0g,0g,0g,55mg,5mg,45,1g,0g,0
Egg & Cheese on Artisan Ciabatta,,15g,39g,19g,0g,2g,700mg,230mg,380,7g,0g,0
Egg & Cheese on Brioche,,21g,32g,19g,5g,1g,640mg,280mg,390,11g,0.5g,$7.69
Four Cheese Souffle,163g,28g,38g,15g,8g,1g,830mg,170mg,410,17g,0g,0
Greek Yogurt with Mixed Berries & Granola,,10g,39g,15g,30g,3g,55mg,20mg,300,5g,0g,0
Ham & Swiss Souffle,,30g,36g,18g,8g,1g,810mg,160mg,450,18g,0g,$4.69
"Ham, Egg & Cheese on Whole Grain Farmstyle Bread",,15g,20g,22g,1g,2g,790mg,245mg,310,7g,0g,0
"Ham, Egg, Cheese & Roasted Tomato on Whole Grain Farmstyle Bread",,15g,21g,22g,1g,2g,820mg,245mg,320,7g,0g,0
"Ham, Scrambled Egg & Cheese on Whole Grain Farmstyle Bread",,17g,21g,23g,1g,2g,710mg,275mg,330,7g,0g,0
"Ham, Scrambled Egg, Cheese & Roasted Tomato on Whole Grain Farmstyle Bread",,17g,22g,23g,1g,2g,730mg,275mg,330,7g,0g,0
"Sausage, Egg & Cheese on Brioche",,34g,33g,27g,6g,1g,970mg,325mg,550,16g,0.5g,0
"Sausage, Scrambled Egg & Cheese on Artisan Ciabatta",,30g,41g,28g,1g,2g,940mg,305mg,560,12g,0g,0
"Sausage, Scrambled Egg & Cheese on Brioche",,35g,33g,28g,6g,1g,880mg,355mg,570,16g,0.5g,0
Scrambled Egg & Cheese on Artisan Ciabatta,,17g,40g,20g,0g,2g,620mg,260mg,400,7g,0g,0
Scrambled Egg & Cheese on Brioche,,22g,32g,20g,5g,1g,550mg,310mg,410,11g,0.5g,0
Seasonal Fruit Cup,142g,0g,17g,1g,12g,1g,15mg,0mg,60,0g,0g,$2.59
Spinach & Artichoke Souffle,,33g,39g,18g,8g,2g,890mg,170mg,520,19g,0.5g,0
Spinach & Bacon Souffle,,35g,37g,20g,8g,1g,900mg,185mg,550,19g,0.5g,0
Steak & Egg on Everything Bagel,,19g,59g,34g,4g,3g,1030mg,260mg,550,8g,0g,0
Steak & Scrambled Egg on Everything Bagel,,20g,60g,35g,4g,3g,940mg,290mg,570,9g,0g,0
"Steel Cut Oatmeal with Almonds, Quinoa & Honey",,7g,51g,8g,7g,8g,220mg,0mg,300,1g,0g,0
Steel Cut Oatmeal with Strawberries & Pecans,,14g,51g,6g,16g,9g,160mg,0mg,340,2g,0g,$4.19
Sweet Maple Sauce,,3g,2g,0g,2g,0g,25mg,5mg,35,1g,0g,0
Asiago Cheese Bagel,,6g,55g,13g,3g,2g,470mg,15mg,330,3g,0g,$3.09
Blueberry Bagel,,1.5g,69g,10g,10g,2g,430mg,0mg,340,0g,0g,$1.34
Cherry Vanilla Bagel,,5g,69g,10g,18g,3g,380mg,0mg,360,3g,0g,0
Chocolate Chip Bagel,,6g,68g,11g,13g,2g,410mg,5mg,380,3g,0g,$1.34
Cinnamon Crunch Bagel,,7g,82g,10g,32g,2g,380mg,0mg,430,7g,0g,$1.34
Cinnamon Swirl & Raisin Bagel,,2g,66g,10g,11g,3g,410mg,0mg,320,1g,0g,$1.34
Cranberry Walnut Bagel,,6g,65g,10g,14g,3g,380mg,0mg,350,0.5g,0g,0
Everything Bagel,,2g,58g,10g,4g,2g,590mg,0mg,300,0g,0g,$1.05
French Toast Bagel,,4g,67g,10g,15g,2g,560mg,0mg,350,2.5g,0g,$12.99
Jalapeno Cheddar Bagel,,3g,57g,12g,3g,2g,750mg,5mg,310,1.5g,0g,0
Plain Bagel,109g,1.5g,58g,10g,3g,2g,410mg,0mg,290,0g,0g,$1.05
Poppyseed Bagel,,2.5g,58g,10g,4g,2g,410mg,0mg,300,2.5g,0g,0
Salt Bagel,,1.5g,58g,10g,3g,2g,2740mg,0mg,290,0g,0g,$6.25
Sesame Bagel,,3g,58g,10g,3g,2g,410mg,0mg,300,0g,0g,$1.05
Sprouted Grain Bagel Flat,,1.5g,48g,8g,4g,5g,300mg,0mg,240,0g,0g,$1.05
Whole Grain Bagel,,2.5g,67g,13g,5g,7g,460mg,0mg,330,0g,0g,$7.69
Apple Crunch Muffin,139g,12g,80g,7g,49g,2g,380mg,55mg,450,3g,0g,$2.19
Bear Claw,128g,31g,59g,9g,29g,3g,350mg,75mg,550,15g,0g,$2.69
Blueberry Muffin with Fresh Blueberries,128g,18g,69g,6g,40g,1g,380mg,60mg,460,3g,0g,$2.39
Candy Cookie,,19g,58g,5g,30g,1g,260mg,70mg,420,11g,0.5g,$1.99
Cheese Pastry,110g,23g,43g,8g,15g,1g,340mg,65mg,410,15g,0.5g,$0.85
Cherry Pastry,137g,22g,58g,7g,28g,1g,360mg,60mg,460,14g,0.5g,$2.69
Chocolate Chip Muffie,78g,14g,46g,4g,28g,1g,230mg,35mg,320,4g,0g,$1.59
Chocolate Chipper Cookie,,19g,51g,4g,30g,2g,290mg,50mg,380,11g,0g,$2.49
Chocolate Pastry,99g,24g,46g,7g,17g,2g,250mg,50mg,420,15g,0g,$2.69
Cinnamon Crumb Coffee Cake,,28g,61g,6g,33g,2g,340mg,110mg,510,11g,0.5g,$15.49
Cinnamon Crunch Scone,,23g,79g,8g,42g,2g,900mg,70mg,550,16g,0.5g,$2.59
Cinnamon Roll,170g,25g,100g,13g,47g,3g,660mg,95mg,670,12g,0g,$2.79
Cobblestone,197g,12g,102g,11g,56g,3g,500mg,60mg,560,7g,0g,$2.69
Coconut Macaroon,,7g,17g,1g,14g,2g,65mg,0mg,140,6g,0g,0
Cranberry Orange Muffin,,19g,71g,6g,40g,2g,400mg,65mg,480,3g,0g,$2.19
Double Fudge Brownie,,22g,80g,6g,58g,4g,250mg,40mg,520,11g,0g,0
French Croissant,71g,18g,32g,6g,7g,1g,260mg,60mg,310,11g,0g,$2.29
Kitchen Sink Cookie,,44g,97g,8g,54g,3g,770mg,90mg,800,28g,1g,$2.49
Lemon Drop Cookie,,20g,61g,5g,33g,1g,270mg,70mg,440,13g,0.5g,$1.99
Oatmeal Raisin Cookie with Berries,,13g,54g,4g,32g,2g,170mg,50mg,340,7g,0g,$1.99
Orange Mini Scone,,7g,27g,3g,12g,1g,270mg,25mg,180,4.5g,0g,0
