,Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price
0,*Create your own 1-2 Topping Large Ultimate Cheesy Crust Slice (Limited Time),119.2g,16g,33g,18g,2g,3g,530mg,40mg,330,9g,1.5g,0
1,*Create your own 3+ Topping Large Ultimate Cheesy Crust Slice (Limited Time),119.2g,16g,33g,18g,2g,3g,530mg,40mg,330,9g,1.5g,0
2,Backyard BBQ Chicken - Large Ultimate Cheesy Crust Slice (Limited Time),148.8g,16g,39g,19g,6g,2g,670mg,45mg,380,8g,0g,0
3,Buffalo Chicken - Large Ultimate Cheesy Crust Slice (Limited Time),148.2g,15g,37g,19g,2g,2g,850mg,45mg,360,8g,0g,0
4,Cheese - Large Ultimate Cheesy Crust Slice (Limited Time),142.2g,17g,35g,20g,2g,3g,660mg,45mg,360,10g,1.5g,0
5,Chicken-Bacon Parmesan - Large Ultimate Cheesy Crust Slice (Limited Time),153.5g,19g,34g,22g,2g,3g,680mg,50mg,380,10g,1.5g,0
6,Hawaiian Chicken - Large Ultimate Cheesy Crust Slice (Limited Time),160.5g,16g,36g,21g,4g,3g,720mg,45mg,360,9g,1.5g,0
7,Meat Lover's® - Large Ultimate Cheesy Crust Slice (Limited Time),163.5g,25g,35g,23g,2g,3g,900mg,60mg,440,12g,1.5g,0
8,Pepperoni - Large Ultimate Cheesy Crust Slice (Limited Time),141.4g,20g,35g,20g,2g,3g,710mg,50mg,380,10g,1.5g,0
9,Pepperoni Lover's® - Large Ultimate Cheesy Crust Slice (Limited Time),156.2g,24g,35g,23g,3g,3g,820mg,60mg,430,12g,1.5g,0
10,Supreme - Large Ultimate Cheesy Crust Slice (Limited Time),163.9g,20g,36g,20g,3g,3g,730mg,50mg,390,11g,1.5g,$15.99
11,Ultimate Cheese Lover's® - Large Ultimate Cheesy Crust Slice (Limited Time),142g,18g,33g,20g,1g,2g,660mg,50mg,380,10g,0.5g,0
12,Veggie Lover's® - Large Ultimate Cheesy Crust Slice (Limited Time),165.1g,16g,36g,18g,3g,4g,650mg,40mg,350,9g,1.5g,0
13,Backyard BBQ Chicken - Personal Pan Pizza® Slice,78.5g,6g,25g,8g,8g,1g,370mg,15mg,180,2g,0g,0
14,Buffalo Chicken - Personal Pan Pizza® Slice,77.3g,5g,22g,7g,2g,1g,570mg,15mg,160,2g,0g,0
