Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price
Baconator,,62g,40g,59g,8g,2g,1630mg,205mg,950,24g,3g,$8.09
Dave's Double,,51g,41g,49g,8g,3g,1280mg,175mg,810,20g,3g,$7.19
Dave's Single,,34g,40g,30g,9g,3g,1110mg,100mg,570,13g,1.5g,$6.19
Dave's Triple,,72g,43g,71g,9g,3g,1650mg,260mg,1090,30g,4g,$8.09
Double Stack,,21g,26g,25g,6g,1g,740mg,90mg,390,9g,1.5g,$0.99
Jr. Bacon Cheeseburger,,22g,25g,19g,5g,1g,680mg,65mg,380,8g,1g,$1.99
Jr. Cheeseburger,,13g,26g,16g,6g,1g,660mg,50mg,280,6g,1g,$3.69
Jr. Cheeseburger Deluxe,,19g,27g,16g,7g,2g,660mg,55mg,340,7g,1g,$0.99
Son of Baconator,,39g,37g,34g,7g,2g,1280mg,125mg,630,15g,1.5g,$6.69
3 Piece Chicken Tenders,,16g,22g,24g,0g,0g,1010mg,75mg,330,2.5g,0g,0
4 Piece Chicken Nuggets,,11g,10g,9g,0g,0g,340mg,35mg,170,2g,0g,$3.69
4 Piece Chicken Tenders,,21g,29g,32g,1g,0g,1350mg,100mg,430,3.5g,0g,0
6 Picece Chicken Nuggets,,16g,14g,13g,0g,1g,510mg,50mg,250,3.5g,0g,$1.79
6 Piece Chicken Tenders,,32g,43g,48g,1g,0g,2020mg,150mg,650,5g,0g,0
10 Piece Chicken Nuggets,,27g,24g,22g,0g,1g,850mg,80mg,420,5g,0g,$5.99
Crispy Chicken BLT,,23g,35g,20g,5g,2g,950mg,50mg,420,6g,0g,$1.39
Crispy Chicken Sandwich,,16g,33g,14g,4g,2g,600mg,30mg,330,3g,0g,$0.99
Grilled Asiago Ranch Club,,23g,36g,43g,6g,3g,1220mg,120mg,530,7g,0g,0
Grilled Chicken Sandwich,,10g,38g,34g,8g,3g,830mg,90mg,370,2g,0g,0
Grilled Chicken Wrap,,10g,24g,20g,3g,2g,640mg,55mg,270,3.5g,0g,$3.79
Homestyle Asiago Ranch Chicken Club,,34g,52g,38g,7g,3g,1650mg,100mg,660,9g,0g,$6.69
Homestyle Chicken Sandwich,,22g,51g,28g,6g,3g,1150mg,70mg,510,4g,0g,$6.69
S'Awesome Sauce,,12g,4g,1g,3g,1g,170mg,0mg,120,2g,0g,0
Spicy Asiago Ranch Club,,32g,55g,38g,6g,4g,1530mg,100mg,670,9g,0g,0
Spicy Chicken Sandwich,,20g,54g,29g,6g,4g,1030mg,65mg,510,3.5g,0g,0
Spicy Chicken Wrap,,20g,30g,18g,2g,2g,850mg,50mg,370,5g,0g,$1.79
"Apple Pecan Chicken Salad, Full Size",,24g,52g,38g,40g,7g,1020mg,115mg,560,7g,0g,$6.69
"Apple Pecan Chicken Salad, Half Size",,17g,29g,20g,22g,4g,550mg,55mg,340,4g,0g,$4.69
"Berry Burst Chicken Salad, Full Size",,17g,41g,41g,29g,7g,1090mg,105mg,460,4.5g,0g,0
"Berry Burst Chicken Salad, Half Size",,13g,23g,23g,15g,5g,570mg,50mg,290,2.5g,0g,0
