Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
Bacon & Cheese Whopper Sandwich,303g,51g,50g,35g,11g,2g,1560mg,125mg,790,17g,2g
BBQ Bacon Whopper Sandwich,303g,51g,53g,35g,14g,2g,1540mg,125mg,800,17g,2g
Double Whopper Sandwich,354g,58g,49g,48g,11g,2g,1050mg,175mg,900,20g,3g
Double Whopper Sandwich with Cheese,377g,64g,50g,52g,11g,2g,1410mg,195mg,980,24g,3g
Triple Whopper Sandwich with Cheese,461g,82g,50g,71g,11g,2g,1470mg,280mg,1220,32g,4.5g
Whopper Jr. Sandwich,134g,18g,27g,13g,7g,1g,390mg,40mg,310,5g,0.5g
Whopper Sandwich,270g,40g,49g,28g,11g,2g,980mg,90mg,660,12g,1.5g
Whopper Sandwich with Cheese,292g,46g,50g,32g,11g,2g,1340mg,115mg,740,16g,2g
Bacon Cheeseburger,118g,16g,27g,17g,7g,1g,710mg,55mg,320,7g,0.5g
Bacon Double Cheeseburger,155g,24g,27g,25g,7g,1g,740mg,90mg,420,10g,1.5g
Bacon King Jr. Sandwich,175g,38g,27g,29g,6g,1g,1050mg,115mg,570,15g,1.5g
Bacon King Sandwich,356g,79g,49g,61g,10g,2g,2150mg,240mg,1150,31g,3.5g
Cheeseburger,111g,13g,27g,15g,7g,1g,560mg,45mg,280,6g,0.5g
Double Cheeseburger,148g,21g,27g,23g,7g,1g,590mg,85mg,390,9g,1.5g
Double Hamburger,136g,18g,26g,21g,6g,1g,410mg,70mg,350,7g,1g
Double Quarter Pound King Sandwich,338g,54g,50g,56g,11g,2g,1740mg,210mg,900,25g,3g
Extra Long Cheeseburger,226g,37g,45g,29g,9g,2g,1050mg,100mg,630,14g,1.5g
Hamburger,99g,10g,26g,13g,6g,1g,380mg,35mg,240,3.5g,0.5g
Rodeo King Sandwich,385g,82g,69g,60g,14g,3g,2270mg,230mg,1250,31g,3.5g
Single Quarter Pound King Sandwich,231g,29g,49g,32g,10g,2g,1310mg,105mg,580,13g,1.5g
Bacon & Cheese Crispy Chicken Sandwich,262g,52g,55g,30g,8g,2g,1650mg,95mg,800,13g,1g
Big Fish Sandwich,188g,28g,51g,16g,7g,2g,1180mg,30mg,510,4.5g,0g
BK Veggie Burger,219g,17g,41g,21g,9g,5g,980mg,5mg,390,2.5g,0g
Chicken Fries,91g,17g,20g,13g,1g,1g,850mg,35mg,280,2.5g,0g
"Chicken Nuggets, 6 Piece",88g,16g,16g,12g,0g,1g,470mg,35mg,260,2.5g,0g
"Chicken Nuggets, 10 Piece",146g,27g,27g,20g,0g,2g,780mg,55mg,430,4.5g,0g
"Chicken Nuggets, 20 Piece",292g,54g,53g,39g,1g,3g,1570mg,115mg,860,9g,0g
Crispy Chicken Jr.,142g,30g,34g,12g,5g,2g,780mg,30mg,450,5g,0g
Crispy Chicken Sandwich,228g,41g,54g,23g,8g,2g,1080mg,60mg,670,7g,0g
Grilled Chicken Sandwich,229g,19g,39g,37g,6g,6g,850mg,85mg,470,3.5g,0g
Original Chicken Sandwich,219g,40g,48g,28g,5g,2g,1170mg,75mg,660,7g,0g
Rodeo Crispy Chicken Sandwich,270g,60g,72g,33g,14g,3g,2230mg,105mg,960,15g,1g
Spicy Crispy Chicken Jr.,142g,21g,37g,12g,6g,2g,740mg,30mg,390,3.5g,0g
Spicy Crispy Chicken Sandwich,242g,42g,57g,25g,8g,3g,1140mg,65mg,700,7g,0g
Kids Cheeseburger,111g,13g,27g,15g,7g,1g,560mg,45mg,280,6g,0.5g
"Kids Chicken Nuggets, 6 Piece",88g,16g,16g,12g,0g,1g,470mg,35mg,260,2.5g,0g
Kids Hamburger,99g,10g,26g,13g,6g,1g,380mg,35mg,240,3.5g,0.5g
Kids Oatmeal,167g,3g,32g,4g,12g,3g,260mg,5mg,170,1.5g,0g
Kids PB&J Jamwich,79g,16g,33g,11g,11g,4g,290mg,0mg,300,3g,0g
Kids Soft Serve Cone,120g,4.5g,32g,5g,24g,0g,150mg,20mg,190,3g,0g
Cheesy Tots,128g,15g,34g,9g,0g,3g,780mg,0mg,310,1g,0g
"Club Salad with Crispy Chicken, No Dressing",308g,33g,31g,31g,5g,3g,1380mg,95mg,540,10g,0g
"Club Salad with Grilled Chicken, No Dressing",334g,23g,16g,44g,5g,7g,1220mg,120mg,440,9g,0g
