Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
"Bacon, Egg & Cheese Biscuit",,21g,40g,15g,1g,2g,1240mg,170mg,420,11g,0g
"Bacon, Egg, & Cheese Muffin",,12g,31g,16g,1g,1g,710mg,170mg,300,5g,0g
Buttered Biscuit,,13g,41g,4g,4g,4g,710mg,0mg,300,7g,0g
"Chick-n-Minis, 4-Count",,14g,37g,19g,6g,2g,860mg,55mg,350,4g,0g
"Chicken, Egg & Cheese Bagel",,18g,51g,27g,8g,3g,1310mg,195mg,480,5g,0g
Chicken Biscuit,,32g,50g,17g,5g,4g,1310mg,35mg,450,8g,0g
Egg White Grill,,7g,31g,25g,1g,1g,970mg,55mg,300,3g,0g
Greek Yogurt Parfait with Chocolate Cookie Crumbs,,8g,26g,11g,21g,1g,95mg,25mg,210,0g,0g
Greek Yogurt Parfait with Granola,,8g,29g,12g,22g,2g,95mg,25mg,240,0g,0g
Hash Brown Scramble Bowl,,29g,21g,31g,1g,4g,1230mg,370mg,460,9g,0g
Hash Brown Scramble Burrito,,38g,50g,35g,1g,5g,1680mg,370mg,680,0g,0g
"Sausage, Egg, & Cheese Biscuit",,40g,41g,20g,1g,3g,1520mg,200mg,600,18g,0g
"Sausage, Egg, & Cheese Muffin",,30g,32g,20g,1g,2g,990mg,200mg,490,12g,0g
Sunflower Multigrain Bagel with Cream Cheese,,10g,43g,7g,7g,3g,460mg,20mg,290,4.5g,0g
Chick-fil-A Deluxe Sandwich,,23g,42g,31g,6g,3g,1590mg,75mg,500,7g,0g
"Chick-fil-A Nuggets, 4-Count",,6g,5g,14g,0g,1g,490mg,40mg,130,0g,0g
"Chick-fil-A Nuggets, 6-Count",,9g,7g,21g,0g,1g,730mg,55mg,190,0g,0g
"Chick-fil-A Nuggets, 8-Count",,12g,9g,28g,0g,1g,980mg,75mg,260,0g,0g
"Chick-fil-A Nuggets, 12-Count",,18g,14g,41g,1g,2g,1460mg,115mg,390,0g,0g
"Chick-n-Strips, 3-Count",,17g,22g,28g,3g,1g,940mg,70mg,350,0g,0g
"Chick-n-Strips, 4-Count",,23g,29g,37g,4g,1g,1250mg,90mg,470,0g,0g
Chicken Sandwich,,19g,40g,28g,5g,2g,1350mg,60mg,440,4g,0g
Grilled Chicken Club Sandwich,,16g,37g,37g,7g,3g,1120mg,85mg,430,8g,0g
Grilled Chicken Cool Wrap,,13g,30g,40g,3g,0g,1030mg,65mg,360,4g,0g
Grilled Chicken Sandwich,,6g,36g,29g,7g,3g,820mg,55mg,310,2g,0g
"Grilled Nuggets, 4-Count",,2g,1g,13g,0g,0g,220mg,35mg,70,0g,0g
"Grilled Nuggets, 6-Count",,2.5g,2g,19g,0g,0g,330mg,50mg,110,0g,0g
"Grilled Nuggets, 8-Count",,3.5g,2g,25g,0g,0g,440mg,70mg,140,0g,0g
"Grilled Nuggets, 12-Count",,5g,3g,38g,1g,0g,670mg,100mg,210,0g,0g
Spicy Deluxe Sandwich,,25g,43g,34g,6g,2g,1760mg,80mg,540,8g,0g
Spicy Sandwich,,19g,41g,30g,5g,1g,1620mg,60mg,450,4g,0g
Cobb Salad,,28g,28g,40g,6g,6g,1360mg,150mg,510,7g,0g
Grilled Market Salad,,14g,27g,27g,13g,6g,680mg,60mg,330,3.5g,0g
Honey Peppercorn Salad,,30g,53g,39g,27g,0g,1410mg,100mg,630,7g,0g
Spicy Southwest Salad,,19g,37g,34g,8g,10g,1070mg,75mg,450,4g,0g
"Chicken Noodle Soup, Large",,4.5g,35g,22g,5g,4g,2000mg,55mg,240,0g,0g
"Chicken Noodle Soup, Small",,2.5g,18g,12g,2g,2g,1040mg,30mg,130,0g,0g
Side Salad,,11g,12g,6g,3g,3g,180mg,15mg,160,3g,0g
"Superfood Side, Large",,9g,25g,4g,18g,3g,250mg,0mg,190,0g,0g
"Superfood Side, Small",,9g,18g,3g,12g,2g,180mg,0mg,150,0g,0g
"Waffle Potato Fries, Large",,24g,56g,6g,0g,7g,370mg,0mg,460,0g,0g
"Waffle Potato Fries, Medium",,18g,43g,5g,0g,5g,280mg,0mg,360,0g,0g
"Waffle Potato Fries, Small",,14g,33g,4g,0g,4g,220mg,0mg,280,0g,0g
Chocolate Chunk Cookie,,14g,45g,4g,27g,2g,230mg,15mg,330,8g,0g
"Frosted Sunrise, Large",,7g,74g,9g,58g,5g,25mg,0mg,390,0g,0g
"Frosted Sunrise, Small",,5g,60g,7g,47g,4g,135mg,20mg,320,3.5g,0g
"Icedream Cone, Large",,6g,45g,7g,38g,0g,170mg,20mg,260,3.5g,0g
"Icedream Cone, Small",,4g,31g,5g,25g,0g,115mg,15mg,170,2g,0g
Icedream Cup,,7g,50g,8g,49g,0g,200mg,25mg,290,5g,0g
