Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
"Buffalo Chicken Hand Tossed Pizza, Large",134g,15g,35g,17g,2g,1g,890mg,45mg,340,8g,0g
"Buffalo Chicken Hand Tossed Pizza, Medium",101g,12g,26g,13g,2g,1g,670mg,35mg,260,6g,0g
"Buffalo Chicken Hand Tossed Pizza, Small",94g,11g,25g,11g,1g,1g,660mg,30mg,240,5g,0g
"Buffalo Chicken Hand Tossed Pizza, XLarge",174g,19g,46g,21g,3g,2g,1150mg,60mg,450,10g,0.5g
"Cali Chicken Bacon Ranch Hand Tossed Pizza, Large",148g,20g,36g,17g,2g,2g,880mg,50mg,400,7g,0g
"Cali Chicken Bacon Ranch Hand Tossed Pizza, Medium",110g,15g,26g,13g,2g,1g,660mg,40mg,300,5g,0g
"Cali Chicken Bacon Ranch Hand Tossed Pizza, Small",99g,13g,25g,12g,1g,1g,600mg,35mg,270,4.5g,0g
"Cali Chicken Bacon Ranch Hand Tossed Pizza, XLarge",192g,26g,47g,22g,3g,2g,1150mg,65mg,520,9g,0.5g
"Deluxe Hand Tossed Pizza, Large",146g,13g,37g,12g,3g,2g,670mg,25mg,320,5g,0g
"Deluxe Hand Tossed Pizza, Medium",106g,10g,27g,9g,2g,2g,490mg,20mg,230,4g,0g
"Deluxe Hand Tossed Pizza, Small",98g,9g,25g,9g,2g,1g,460mg,15mg,220,3.5g,0g
"Deluxe Hand Tossed Pizza, XLarge",191g,17g,48g,16g,4g,3g,890mg,35mg,410,7g,0g
"ExtravaganZZa Hand Tossed Pizza, Large",178g,18g,38g,17g,3g,2g,970mg,40mg,390,7g,0g
"ExtravaganZZa Hand Tossed Pizza, Medium",129g,13g,28g,12g,2g,2g,710mg,30mg,280,5g,0g
"ExtravaganZZa Hand Tossed Pizza, Small",118g,12g,26g,11g,2g,2g,650mg,30mg,260,5g,0g
"ExtravaganZZa Hand Tossed Pizza, XLarge",235g,24g,50g,22g,4g,3g,1310mg,55mg,510,10g,0.5g
"Honolulu Hawaiian Hand Tossed Pizza, Large",146g,13g,38g,15g,4g,2g,830mg,35mg,330,6g,0g
"Honolulu Hawaiian Hand Tossed Pizza, Medium",107g,10g,28g,11g,3g,1g,610mg,30mg,240,4g,0g
"Honolulu Hawaiian Hand Tossed Pizza, Small",99g,9g,26g,10g,3g,1g,560mg,25mg,230,4g,0g
"Honolulu Hawaiian Hand Tossed Pizza, Xlarge",192g,16g,49g,19g,6g,3g,1090mg,50mg,430,7g,0g
"MeatZZa Hand Tossed Pizza, Large",155g,17g,37g,16g,3g,2g,930mg,40mg,370,7g,0g
"MeatZZa Hand Tossed Pizza, Medium",113g,13g,27g,12g,2g,1g,680mg,30mg,270,5g,0g
"MeatZZa Hand Tossed Pizza, Small",106g,12g,26g,11g,2g,1g,630mg,30mg,260,5g,0g
"MeatZZa Hand Tossed Pizza, XLarge",204g,23g,48g,22g,4g,3g,1250mg,55mg,490,10g,0.5g
"Memphis BBQ Chicken Hand Tossed Pizza, Large",141g,14g,39g,17g,6g,2g,660mg,40mg,350,7g,0g
"Memphis BBQ Chicken Hand Tossed Pizza, Medium",105g,10g,29g,12g,4g,1g,490mg,30mg,260,5g,0g
"Memphis BBQ Chicken Hand Tossed Pizza, Small",94g,9g,27g,11g,3g,1g,430mg,25mg,240,4g,0g
"Memphis BBQ Chicken Hand Tossed Pizza, XLarge",183g,17g,52g,21g,7g,2g,850mg,55mg,450,9g,0.5g
"Pacific Veggie Hand Tossed Pizza, Large",151g,11g,37g,13g,3g,2g,660mg,30mg,310,5g,0g
"Pacific Veggie Hand Tossed Pizza, Medium",110g,8g,27g,10g,2g,2g,490mg,20mg,230,4g,0g
"Pacific Veggie Hand Tossed Pizza, Small",98g,8g,25g,9g,2g,1g,430mg,20mg,210,3.5g,0g
"Pacific Veggie Hand Tossed Pizza, XLarge",194g,14g,48g,17g,4g,3g,840mg,35mg,390,7g,0g
"Philly Cheese Steak Hand Tossed Pizza, Large",130g,13g,35g,14g,2g,2g,730mg,35mg,310,6g,0g
"Philly Cheese Steak Hand Tossed Pizza, Medium",97g,10g,26g,10g,2g,1g,570mg,25mg,230,5g,0g
"Philly Cheese Steak Hand Tossed Pizza, Small",90g,9g,25g,10g,2g,1g,520mg,25mg,220,4.5g,0g
"Philly Cheese Steak Hand Tossed Pizza, XLarge",169g,16g,46g,17g,3g,2g,930mg,45mg,400,8g,0.5g
