Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
Cinnamon Raisin Bagel,,1g,67g,11g,13g,4g,510mg,0mg,320,0g,0g
Everything Bagel,,3g,67g,12g,6g,5g,630mg,0mg,340,0.5g,0g
Multigrain Bagel,,8g,63g,15g,8g,8g,550mg,0mg,380,1g,0g
Plain Bagel,,1g,64g,11g,6g,4g,620mg,0mg,300,0g,0g
Sesame Seed Bagel,,5g,64g,12g,6g,5g,630mg,0mg,350,1g,0g
White Cheddar Bagel Twist,,8g,64g,16g,6g,4g,760mg,20mg,390,4.5g,0g
"Vanilla Bean Coolatta, Large",,12g,184g,6g,175g,0g,310mg,40mg,840,6g,0g
"Vanilla Bean Coolatta, Medium",,9g,138g,4g,132g,0g,240mg,30mg,630,4.5g,0g
"Vanilla Bean Coolatta, Small",,6g,92g,3g,88g,0g,160mg,20mg,420,3g,0g
Egg & Cheese Wake-Up Wrap,,10g,14g,7g,1g,0g,470mg,95mg,180,4g,0g
"Ham, Egg & Cheese Wake-Up Wrap",,11g,15g,9g,1g,0g,600mg,100mg,190,4g,0g
Turkey Sausage Wake Up Wrap,,14g,15g,13g,1g,0g,700mg,125mg,240,5g,0g
Veggie Egg White Wake-Up Wrap,,8g,15g,8g,1g,1g,510mg,20mg,160,4g,0g
Apple 'n Spice Donut,,14g,29g,3g,9g,1g,340mg,0mg,260,6g,0g
Apple Crumb Donut,,15g,42g,3g,20g,1g,350mg,0mg,320,7g,0g
Apple Fritter,,19g,58g,6g,24g,2g,380mg,0mg,420,8g,0g
Apple Stick,,25g,44g,4g,20g,1g,390mg,30mg,420,11g,0g
Apple Streusel Donut (Regional),,16g,45g,3g,22g,1g,350mg,0mg,340,7g,0g
Bavarian Kreme Donut,,15g,30g,3g,11g,1g,370mg,0mg,270,7g,0g
Bismark,,24g,65g,5g,40g,1g,380mg,0mg,490,11g,0g
Boston Kreme Donut,,16g,37g,3g,17g,1g,390mg,0mg,300,7g,0g
Bowtie Donut (Regional),,12g,38g,4g,16g,1g,270mg,0mg,270,4.5g,0g
Butternut Donut,,20g,55g,4g,33g,1g,330mg,25mg,410,9g,0g
Chocolate Butternut Donut,,20g,54g,4g,31g,2g,430mg,0mg,410,10g,0g
Chocolate Coconut Donut (Regional),,21g,47g,4g,25g,2g,430mg,0mg,390,10g,0g
Chocolate Creme Donut,,19g,35g,4g,15g,1g,360mg,0mg,320,9g,0g
Chocolate Creme Stick (Regional),,25g,59g,5g,33g,1g,360mg,0mg,480,11g,0g
Chocolate Dipped French Cruller,,14g,34g,3g,20g,0g,190mg,55mg,280,6g,0g
Chocolate Frosted Cake Donut,,19g,40g,4g,20g,1g,340mg,25mg,350,9g,0g
Chocolate Frosted Donut,,15g,31g,3g,13g,1g,340mg,0mg,280,7g,0g
Chocolate Frosted with Sprinkles,,16g,34g,3g,14g,1g,340mg,0mg,290,7g,0g
Chocolate Headlight Donut,,18g,39g,4g,19g,1g,370mg,0mg,330,8g,0g
Chocolate Long John,,17g,42g,5g,16g,1g,320mg,0mg,340,7g,0g
Cinnamon Donut,,19g,32g,4g,13g,1g,320mg,25mg,310,9g,0g
Cinnamon Stick,,25g,35g,4g,13g,1g,370mg,30mg,380,11g,0g
Coconut Donut,,20g,48g,4g,27g,1g,330mg,25mg,390,10g,0g
Creme Delight Donut (Regional),,20g,43g,3g,24g,1g,370mg,0mg,360,9g,0g
Donut Fries,,14g,22g,4g,5g,1g,220mg,20mg,240,8g,0g
Double Chocolate Donut,,20g,39g,4g,18g,2g,440mg,0mg,350,9g,0g
Dulce de Leche Donut (Regional),,16g,35g,4g,13g,1g,350mg,0mg,300,7g,0g
Eclair,,18g,51g,5g,23g,1g,390mg,0mg,380,7g,0g
French Cruller,,13g,23g,3g,10g,0g,170mg,55mg,220,6g,0g
Frosted Vanilla Creme Donut,,20g,43g,3g,24g,1g,370mg,0mg,360,9g,0g
Frosted with DD Sprinkles Donut,,16g,35g,3g,15g,1g,340mg,0mg,290,7g,0g
Glazed Blueberry Donut,,16g,44g,4g,22g,1g,370mg,30mg,340,7g,0g
Glazed Chocolate Donut,,19g,38g,3g,17g,1g,420mg,0mg,340,9g,0g
Glazed Chocolate Stick,,25g,42g,4g,20g,2g,540mg,0mg,410,10g,0g
Glazed Donut,,14g,30g,3g,12g,1g,330mg,0mg,260,6g,0g
Glazed Jelly Donut,,14g,42g,3g,24g,1g,350mg,0mg,310,6g,0g
Glazed Jelly Stick,,25g,61g,4g,39g,1g,420mg,30mg,490,11g,0g
Glazed Lemon Donut (Regional),,14g,39g,3g,19g,1g,380mg,0mg,300,6g,0g
Glazed Stick,,25g,43g,4g,21g,1g,370mg,30mg,410,11g,0g
Glazed Strawberry Donut,,14g,43g,3g,23g,1g,350mg,0mg,310,6g,0g
Guava Donut (Regional),,15g,30g,3g,11g,1g,350mg,0mg,270,7g,0g
Jelly Donut,,14g,34g,3g,16g,1g,350mg,0mg,280,6g,0g
Jelly Stick,,25g,52g,4g,32g,1g,410mg,30mg,450,11g,0g
Lemon Donut,,15g,29g,3g,10g,1g,380mg,0mg,260,7g,0g
Lemon Stick,,25g,45g,4g,21g,1g,450mg,30mg,420,11g,0g
Maple Creme Donut,,19g,36g,3g,18g,1g,350mg,0mg,320,8g,0g
Maple Creme Stick,,24g,60g,5g,35g,1g,350mg,0mg,480,11g,0g
Maple Frosted Donut,,15g,32g,3g,14g,1g,340mg,0mg,280,7g,0g
Maple Vanilla Creme Donut,,20g,43g,3g,25g,1g,360mg,0mg,360,9g,0g
Marble Frosted Donut (Regional),,15g,35g,3g,16g,1g,340mg,0mg,290,7g,0g
New Yorker Donut (Regional),,20g,43g,3g,24g,1g,370mg,0mg,360,9g,0g
Old Fashioned Donut,,19g,28g,4g,10g,1g,320mg,25mg,290,8g,0g
Oreo Donut,,24g,58g,4g,34g,2g,440mg,0mg,460,10g,0g
Peanut Donut,,26g,48g,7g,26g,2g,330mg,25mg,450,10g,0g
