Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
*Create your own 1-2 Topping Large Ultimate Cheesy Crust Slice (Limited Time),119.2g,16g,33g,18g,2g,3g,530mg,40mg,330,9g,1.5g
*Create your own 3+ Topping Large Ultimate Cheesy Crust Slice (Limited Time),119.2g,16g,33g,18g,2g,3g,530mg,40mg,330,9g,1.5g
Backyard BBQ Chicken - Large Ultimate Cheesy Crust Slice (Limited Time),148.8g,16g,39g,19g,6g,2g,670mg,45mg,380,8g,0g
Buffalo Chicken - Large Ultimate Cheesy Crust Slice (Limited Time),148.2g,15g,37g,19g,2g,2g,850mg,45mg,360,8g,0g
Cheese - Large Ultimate Cheesy Crust Slice (Limited Time),142.2g,17g,35g,20g,2g,3g,660mg,45mg,360,10g,1.5g
Chicken-Bacon Parmesan - Large Ultimate Cheesy Crust Slice (Limited Time),153.5g,19g,34g,22g,2g,3g,680mg,50mg,380,10g,1.5g
Hawaiian Chicken - Large Ultimate Cheesy Crust Slice (Limited Time),160.5g,16g,36g,21g,4g,3g,720mg,45mg,360,9g,1.5g
Meat Lover's® - Large Ultimate Cheesy Crust Slice (Limited Time),163.5g,25g,35g,23g,2g,3g,900mg,60mg,440,12g,1.5g
Pepperoni - Large Ultimate Cheesy Crust Slice (Limited Time),141.4g,20g,35g,20g,2g,3g,710mg,50mg,380,10g,1.5g
Pepperoni Lover's® - Large Ultimate Cheesy Crust Slice (Limited Time),156.2g,24g,35g,23g,3g,3g,820mg,60mg,430,12g,1.5g
Supreme - Large Ultimate Cheesy Crust Slice (Limited Time),163.9g,20g,36g,20g,3g,3g,730mg,50mg,390,11g,1.5g
Ultimate Cheese Lover's® - Large Ultimate Cheesy Crust Slice (Limited Time),142g,18g,33g,20g,1g,2g,660mg,50mg,380,10g,0.5g
Veggie Lover's® - Large Ultimate Cheesy Crust Slice (Limited Time),165.1g,16g,36g,18g,3g,4g,650mg,40mg,350,9g,1.5g
Backyard BBQ Chicken - Personal Pan Pizza® Slice,78.5g,6g,25g,8g,8g,1g,370mg,15mg,180,2g,0g
Buffalo Chicken - Personal Pan Pizza® Slice,77.3g,5g,22g,7g,2g,1g,570mg,15mg,160,2g,0g
Chicken-Bacon Parmesan - Personal Pan Pizza® Slice,77.4g,8g,17g,9g,2g,1g,350mg,20mg,180,3g,0g
Hawaiian Chicken - Personal Pan Pizza® Slice,76.7g,5g,18g,8g,3g,1g,340mg,15mg,150,2g,0g
Meat Lover's® - Personal Pan Pizza® Slice,82.4g,12g,17g,9g,2g,1g,470mg,25mg,210,4.5g,0g
Pepperoni Lover's® - Personal Pan Pizza® Slice,72g,9g,17g,8g,2g,1g,370mg,20mg,180,3.5g,0g
Supreme - Personal Pan Pizza® Slice,77.7g,8g,18g,7g,2g,1g,360mg,15mg,170,3g,0g
Veggie Lover's® - Personal Pan Pizza® Slice,73.8g,5g,18g,6g,2g,1g,290mg,10mg,140,2g,0g
Hawaiian Chicken - Small Original Pan™ Slice,70.4g,5g,16g,7g,2g,1g,310mg,15mg,140,2g,0g
Meat Lover's® - Small Original Pan™ Slice,73.2g,10g,16g,8g,2g,1g,410mg,20mg,190,3.5g,0g
Supreme - Small Original Pan™ Slice,71.5g,7g,16g,6g,2g,1g,320mg,15mg,160,2.5g,0g
Veggie Lover's® - Small Original Pan™ Slice,70.5g,5g,16g,5g,2g,1g,270mg,10mg,130,2g,0g
Meat Lover's® - Small Hand Tossed Slice,71.9g,9g,17g,7g,1g,1g,380mg,20mg,180,3.5g,0g
Supreme - Small Hand Tossed Slice,70.2g,6g,17g,6g,1g,1g,280mg,15mg,150,2.5g,0g
Backyard BBQ Chicken - Medium Original Pan™ Slice,109.3g,10g,33g,11g,6g,2g,450mg,25mg,270,4g,0g
Buffalo Chicken - Medium Original Pan™ Slice,111.9g,9g,31g,11g,2g,2g,680mg,20mg,240,3.5g,0g
Cheese - Medium Original Pan™ Slice,105.7g,10g,28g,11g,1g,2g,450mg,25mg,250,4.5g,0g
Chicken-Bacon Parmesan - Medium Original Pan™ Slice,114.6g,13g,27g,12g,1g,2g,470mg,30mg,270,4.5g,0g
Hawaiian Chicken - Medium Original Pan™ Slice,118.6g,9g,29g,11g,2g,2g,490mg,25mg,240,3.5g,0g
Meat Lover's® - Medium Original Pan™ Slice,123.2g,17g,28g,13g,1g,2g,660mg,35mg,320,6g,0g
Pepperoni - Medium Original Pan™ Slice,101.3g,11g,28g,10g,1g,2g,470mg,25mg,250,4.5g,0g
Pepperoni Lover's® - Medium Original Pan™ Slice,116.6g,15g,28g,13g,1g,2g,580mg,35mg,300,6g,0g
