Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
"6"" Black Forest Ham",219g,4.5g,46g,18g,8g,5g,800mg,25mg,290,1g,0g
"6"" Oven Roasted Chicken",233g,5g,46g,23g,8g,5g,610mg,45mg,320,1.5g,0g
"6"" Roast Beef",233g,5g,45g,25g,7g,5g,660mg,45mg,320,1.5g,0g
"6"" Rotisserie-Style Chicken",247g,6g,45g,29g,7g,5g,660mg,55mg,350,1.5g,0g
"6"" Subway Club",240g,4.5g,46g,23g,8g,5g,840mg,40mg,310,1.5g,0g
"6"" Sweet Onion Chicken Teriyaki",269g,4g,58g,25g,16g,5g,770mg,50mg,370,1g,0g
"6"" Turkey Breast",219g,3.5g,46g,18g,7g,5g,760mg,20mg,280,1g,0g
"6"" Veggie Delite",162g,2.5g,44g,8g,7g,5g,280mg,0mg,230,0.5g,0g
Footlong Black Forest Ham,438g,9g,92g,36g,16g,10g,1600mg,50mg,580,2g,0g
Footlong Oven Roasted Chicken,466g,10g,92g,46g,16g,10g,1220mg,90mg,640,3g,0g
Footlong Roast Beef,466g,10g,90g,50g,14g,10g,1320mg,90mg,640,3g,0g
Footlong Rotisserie-Style Chicken,494g,12g,90g,58g,14g,10g,1320mg,110mg,700,3g,0g
Footlong Subway Club,480g,9g,92g,46g,16g,10g,1680mg,80mg,620,3g,0g
Footlong Sweet Onion Chicken Teriyaki,538g,8g,116g,50g,32g,10g,1540mg,100mg,740,2g,0g
Footlong Turkey Breast,438g,7g,92g,36g,14g,10g,1520mg,40mg,560,2g,0g
Footlong Veggie Delite,324g,5g,88g,16g,14g,10g,560mg,0mg,460,1g,0g
"6"" Chicken & Bacon Ranch Melt",298g,30g,47g,38g,8g,5g,1290mg,95mg,610,10g,0.5g
"6"" Cold Cut Combo",226g,12g,46g,17g,7g,5g,1030mg,45mg,360,3.5g,0g
"6"" Italian B.M.T.",226g,16g,46g,20g,8g,5g,1260mg,45mg,410,6g,0g
"6"" Meatball Marinara",301g,18g,60g,21g,12g,8g,1000mg,40mg,480,7g,0.5g
"6"" Spicy Italian",222g,24g,46g,20g,8g,5g,1490mg,50mg,480,9g,0.5g
"6"" Steak & Cheese",245g,10g,49g,26g,9g,5g,1030mg,50mg,380,4.5g,0g
"6"" Tuna",237g,25g,44g,20g,7g,5g,580mg,40mg,480,4.5g,0g
Footlong Chicken & Bacon Ranch Melt,596g,60g,94g,76g,16g,10g,2580mg,190mg,1220,20g,1g
Footlong Cold Cut Combo,452g,24g,92g,34g,14g,10g,2060mg,90mg,720,7g,0g
Footlong Italian B.M.T.,452g,32g,92g,40g,16g,10g,2520mg,90mg,820,12g,0g
Footlong Meatball Marinara,602g,36g,120g,42g,24g,16g,2000mg,80mg,960,14g,1g
Footlong Spicy Italian,444g,48g,92g,40g,16g,10g,2980mg,100mg,960,18g,1g
Footlong Steak & Cheese,490g,20g,98g,52g,18g,10g,2060mg,100mg,760,9g,0g
Footlong Tuna,474g,50g,88g,40g,14g,10g,1160mg,80mg,960,9g,0g
Black Forest Ham on Tomato Basil Wrap,307g,12g,57g,27g,6g,4g,1780mg,50mg,430,5g,0g
Chicken & Bacon Ranch Melt on Tomato Basil Wrap,394g,42g,56g,60g,5g,4g,2380mg,155mg,850,16g,1g
Chipotle Southwest Steak on Tomato Basil Wrap,389g,37g,65g,43g,8g,6g,2250mg,100mg,760,12g,1g
Cold Cut Combo on Tomato Basil Wrap,314g,27g,57g,27g,4g,3g,2230mg,90mg,570,10g,0.5g
Italian B.M.T. on Tomato Basil Wrap,314g,36g,57g,32g,6g,4g,2700mg,90mg,670,14g,0.5g
Meatball Marinara on Tomato Basil Wrap,381g,40g,81g,34g,12g,8g,2200mg,80mg,820,16g,2g
Oven Roasted Chicken Breast on Spinach Wrap,335g,13g,56g,38g,5g,4g,1460mg,90mg,500,5g,0g
Roast Beef on Spinach Wrap,335g,13g,54g,42g,5g,4g,1560mg,90mg,500,5g,0g
Rotisserie-Style Chicken Caesar on Spinach Wrap,365g,34g,54g,55g,4g,3g,1900mg,135mg,730,10g,0.5g
Rotisserie-Style Chicken on Spinach Wrap,364g,15g,54g,51g,4g,3g,1560mg,110mg,550,5g,0g
Spicy Italian on Tomato Wrap,304g,52g,56g,32g,6g,4g,3140mg,105mg,820,20g,1g
Steak & Cheese on Tomato Basil Wrap,269g,19g,59g,41g,5g,3g,2030mg,90mg,570,9g,1g
Subway Club on Spinach Wrap,349g,13g,56g,39g,5g,4g,1920mg,75mg,490,5g,0g
Sweet Onion Chicken Teriyaki on Tomato Basil Wrap,385g,12g,71g,42g,14g,4g,1630mg,100mg,550,4g,0g
Tuna on Tomato Basil Wrap,335g,54g,53g,33g,3g,3g,1330mg,75mg,820,11g,0.5g
"Turkey, Bacon & Guacamole on Tomato Basil Wrap",380g,42g,62g,43g,6g,5g,2960mg,75mg,810,13g,0.5g
Turkey Breast on Spinach Wrap,307g,10g,57g,28g,4g,3g,1760mg,40mg,430,4g,0g
Veggie Delite on Spinach Wrap,285g,8g,56g,10g,5g,4g,800mg,0mg,330,3g,0g
Kids Black Forest Ham,136g,2.5g,30g,10g,5g,3g,450mg,10mg,180,0.5g,0g
Kids Roast Beef,146g,3g,30g,14g,5g,4g,390mg,25mg,200,1g,0g
Kids Turkey Breast,136g,2g,30g,10g,5g,3g,430mg,10mg,180,0.5g,0g
Kids Veggie Delite,108g,1.5g,29g,6g,4g,3g,190mg,0mg,150,0g,0g
"6"" Applewood Pulled Pork",276g,9g,62g,23g,24g,5g,980mg,45mg,420,2g,0g
"6"" B.L.T.",165g,13g,44g,20g,7g,5g,1130mg,20mg,380,4.5g,0g
"6"" BBQ Rib Melt",255g,29g,49g,24g,10g,5g,840mg,60mg,550,11g,0g
"6"" Big Cheesy",126g,17g,43g,18g,5g,4g,980mg,45mg,390,10g,0.5g
"6"" Buffalo Chicken Rotisserie-Style",283g,17g,47g,29g,8g,6g,1270mg,60mg,460,3g,0g
"6"" Buffalo Chicken with Chicken Strips",269g,16g,46g,25g,8g,6g,1100mg,55mg,420,3g,0g
"6"" Caesar Chicken Melt with Chicken Strips",268g,22g,46g,29g,7g,5g,800mg,75mg,490,6g,0.5g
"6"" Chicken Caesar Melt Rotisserie Style",283g,24g,46g,34g,8g,5g,1010mg,75mg,520,6g,0.5g
"6"" Chicken Parmesan",277g,16g,63g,24g,10g,6g,1000mg,35mg,480,5g,0.5g
"6"" Chicken Pizziola Melt",293g,15g,50g,32g,10g,6g,1140mg,80mg,460,6g,0.5g
"6"" Chicken Salad",170g,10g,51g,19g,12g,6g,660mg,45mg,370,2g,0g
"6"" Chicken Strips",233g,4g,44g,25g,7g,5g,490mg,50mg,310,1g,0g
"6"" Corned Beef Reuben",328g,15g,52g,39g,13g,7g,1720mg,85mg,490,5g,0.5g
"6"" Crunchy Chicken Enchilada",303g,26g,60g,26g,10g,7g,1120mg,20mg,580,7g,0.5g
"6"" Cubano",307g,14g,48g,32g,9g,5g,1430mg,70mg,460,4.5g,0g
"6"" Egg Salad",247g,26g,45g,17g,7g,5g,450mg,255mg,480,5g,0g
"6"" Falafel",276g,24g,73g,18g,8g,13g,1050mg,10mg,580,4g,0.5g
"6"" Italian Hero",266g,29g,47g,26g,9g,5g,1470mg,75mg,550,9g,0.5g
"6"" Italian Hero Supreme",302g,27g,54g,29g,14g,5g,1660mg,90mg,570,11g,0.5g
"6"" Malibu Garden Vegan Patty",247g,10g,64g,13g,8g,9g,780mg,0mg,380,2g,0g
"6"" Mediterranean Chicken",283g,20g,46g,30g,7g,5g,930mg,70mg,490,6g,0g
"6"" Mediterranean Steak",283g,22g,49g,29g,9g,5g,1270mg,60mg,520,7g,0.5g
"6"" Orchard Chicken Salad",247g,8g,54g,20g,15g,6g,530mg,40mg,370,1.5g,0g
"6"" Pastrami",230g,17g,46g,20g,8g,5g,980mg,50mg,420,7g,0g
"6"" Pastrami Melt, Big Hot",287g,28g,47g,29g,8g,5g,1470mg,85mg,580,11g,0g
"6"" Pepperoni",198g,17g,45g,16g,8g,5g,1080mg,30mg,390,6g,0.5g
"6"" Pizza Sub Melt",195g,24g,49g,20g,9g,5g,1640mg,55mg,490,10g,0.5g
"6"" Sea Salt & Pepper Fish",286g,19g,74g,21g,8g,7g,1130mg,40mg,600,4.5g,0g
"6"" Subway Melt",246g,13g,48g,26g,9g,5g,1410mg,40mg,410,5g,0.5g
"6"" Subway Seafood SensationTM",233g,19g,51g,13g,8g,5g,780mg,15mg,420,3g,0g
"6"" Turkey & Bacon",234g,9g,47g,23g,8g,5g,1190mg,30mg,360,3g,0g
"6"" Turkey & Bacon Avocado",270g,14g,50g,24g,8g,7g,1190mg,30mg,420,3.5g,0g
"6"" Turkey & Bacon Guacamole",270g,15g,50g,24g,8g,7g,1280mg,30mg,440,4g,0g
"6"" Turkey Breast & Black Forest Ham",219g,4g,46g,18g,8g,5g,780mg,20mg,280,1g,0g
"6"" Turkey Italiano Melt",252g,23g,48g,22g,9g,5g,1560mg,50mg,480,8g,0.5g
"6"" Veggie Patty",247g,10g,52g,21g,9g,8g,800mg,0mg,390,3g,0g
Footlong Applewood Pulled Pork,552g,18g,124g,46g,48g,10g,1960mg,90mg,840,4g,0g
