Item,Price
1/3 lb. Cheeseburger ,$4.19
1/3 lb. Cheeseburger - Combo ,$6.69
1/2 lb. Cheeseburger ,$5.49
1/2 lb. Cheeseburger - Combo ,$7.99
1/3 lb. Original Thickburger ,$4.59
1/3 lb. Original Thickburger - Combo ,$7.09
1/2 lb. Original Thickburger ,$5.79
1/2 lb. Original Thickburger - Combo ,$8.69
1/3 lb. Mushroom & Swiss Thickburger ,$4.79
1/3 lb. Mushroom & Swiss Thickburger - Combo ,$7.29
1/2 lb. Mushroom & Swiss Thickburger ,$6.19
1/2 lb. Mushroom & Swiss Thickburger - Combo ,$8.69
1/3 lb. Bacon Cheese Thickburger ,$5.29
1/3 lb. Bacon Cheese Thickburger - Combo ,$7.79
1/2 lb. Bacon Cheese Thickburger ,$6.59
1/2 lb. Bacon Cheese Thickburger - Combo ,$9.09
1/3 lb. Frisco Thickburger ,$5.29
1/3 lb. Frisco Thickburger - Combo ,$7.79
1/2 lb. Frisco Thickburger ,$6.29
1/2 lb. Frisco Thickburger - Combo ,$8.79
2/3 lb. Monster Thickburger ,$7.29
2/3 lb. Monster Thickburger - Combo ,$9.79
1/4 lb. Little Thick Cheeseburger ,$2.79
1/4 lb. Little Thick Cheeseburger - Combo ,$5.29
1/4 lb. Little Thickburger ,$3.19
1/4 lb. Little Thickburger - Combo ,$5.69
Beer-Battered COD Fish Sandwich ,$3.69
Beer-Battered COD Fish Sandwich - Combo ,$5.89
Charbroiled Chicken Club ,$5.29
Charbroiled Chicken Club - Combo ,$7.79
Big Hot Ham 'n' Cheese ,$4.39
Big Hot Ham 'n' Cheese - Combo ,$6.89
1/3 lb. Tex Mex Thickburger (Limited Time) ,$6.29
1/3 lb. Tex Mex Thickburger - Combo (Limited Time) ,$8.79
1/2 lb. Tex Mex Thickburger (Limited Time) ,$7.49
1/2 lb. Tex Mex Thickburger - Combo (Limited Time) ,$9.99
Single All-Natural Burger ,$4.99
Single All-Natural Burger - Combo ,$7.49
Double All-Natural Burger ,$7.99
Double All-Natural Burger - Combo ,$10.49
Upgrade to Medium Combo ,$0.59
Upgrade to Large Combo ,$0.99
Hand-Breaded Chicken Tenders 3 Pc.,$3.99
Hand-Breaded Chicken Tenders - Combo 3 Pc.,$6.49
Hand-Breaded Chicken Tenders 5 Pc.,$5.79
Hand-Breaded Chicken Tenders - Combo 5 Pc.,$8.29
Hand-Breaded Chicken Tenders Box 10 Pc.,$10.49
Hand-Breaded Chicken Tenders Box 15 Pc.,$14.99
Hand-Breaded Chicken Tenders Box 20 Pc.,$18.99
Big Chicken Fillet Sandwich ,$4.59
Big Chicken Fillet Sandwich - Combo ,$7.09
Small Hamburger ,$1.49
Small Cheeseburger ,$1.79
Double Cheeseburger ,$2.49
BBQ Chicken Sandwich ,$4.79
Side Salad ,$1.69
Low Carb ,$4.59
Apple Turnover ,$0.99
Cookie ,$0.89
French Fries Small,$1.79
French Fries Medium,$1.99
French Fries Large,$2.19
Crispy Curls Small,$1.79
Crispy Curls Medium,$1.99
Crispy Curls Large,$2.19
Beer Battered Onion Rings ,$2.19
Jalapeno Poppers (Limited Time) 6 Pc.,$2.69
Chocolate Chip Cookie 1 Pc.,$0.89
Beverages Small,$1.69
Beverages Medium,$1.89
Beverages Large,$2.19
Orange Juice ,$1.69
Colombian Coffee Small,$1.29
Colombian Coffee Medium,$1.59
Colombian Coffee Large,$1.79
Milk ,$1.29
"Ice Cream Shakes & Malts (Chocolate, Vanilla, or Strawberry) ",$3.29
Dasani Water ,$1.69
Make It Combo ,$2.50
Chicken Bowl ,$3.99
Red Chicken Burrito ,$5.29
Red Beef Burrito ,$5.29
Chicken Grilled Burrito ,$3.99
Beef Grilled Burrito ,$3.99
"Bean, Rice & Cheese Burrito ",$3.29
Beef Taco ,$1.19
Chicken Soft Taco ,$1.69
Southwest Chicken Taco ,$1.99
Beef Taco 5 - Pack,$5.49
Quesadilla (Cheese) ,$1.99
Quesadilla (Chicken) ,$2.99
Super Nachos (Beef or Chicken) ,$3.29
Taco Salad (Beef or Chicken) Mini,$1.89
Taco Salad (Beef or Chicken) Regular,$5.79
Chicken Taquitos 3 Pc.,$2.99
Chicken Taquitos 5 Pc.,$3.99
Beans or Rice ,$0.99
Chips & Salsa ,$1.49
Sour Cream ,$0.25
Small Cheeseburger ,$5.55
Double Cheeseburger ,$5.55
Spicy Chicken Sandwich ,$5.55
Hot Ham 'N' Cheese ,$5.55
Loaded Omelet Biscuit ,$2.99
Loaded Omelet Biscuit - Combo ,$4.99
Bacon Egg & Cheese ,$2.79
Bacon Egg & Cheese -Combo ,$4.79
Sausage & Egg ,$2.69
Sausage & Egg - Combo ,$4.69
Monster Biscuit ,$3.99
Monster Biscuit - Combo ,$5.99
Biscuit 'N' Gravy ,$2.19
Biscuit 'N' Gravy - Combo ,$4.19
Country-Fried Steak Biscuit ,$2.79
Country-Fried Steak Biscuit - Combo ,$4.49
Chicken Fillet ,$3.59
Chicken Fillet - Combo ,$5.59
Loaded Breakfast Burrito ,$3.49
Loaded Breakfast Burrito - Combo ,$5.19
Sunrise Croissant ,$2.99
Sunrise Croissant - Combo ,$4.99
Frisco Breakfast Sandwich ,$3.49
Frisco Breakfast Sandwich - Combo ,$5.49
Cinnamon Swirl French Toast Breakfast Sandwich (Limited Time) ,$3.49
Cinnamon Swirl French Toast Breakfast Sandwich - Combo (Limited Time) ,$5.49
Bacon Swiss Chicken Biscuit (Limited Time) ,$3.79
Bacon Swiss Chicken Biscuit - Combo (Limited Time) ,$5.79
Bacon Swiss Chicken & Egg Biscuit (Limited Time) ,$4.29
Bacon Swiss Chicken & Egg Biscuit - Combo (Limited Time) ,$6.29
"Grilled Pork Chop, Egg & Cheese Biscuit (Limited Time) ",$3.99
"Grilled Pork Chop, Egg & Cheese Biscuit - Combo (Limited Time) ",$5.69
Hardee Breakfast Platter ,$3.89
Sausage Biscuit 1 Pc.,$1.99
Sausage Biscuit 2 Pc.,$2.49
Cinnamon 'N' Raisin Biscuit 1 Pc.,$1.29
Cinnamon 'N' Raisin Biscuit 2 Pc.,$2.09
Cinnamon 'N' Raisin Biscuit 6 Pc.,$4.99
Hash Rounds Small,$1.39
Hash Rounds Medium,$1.59
Hash Rounds Large,$1.99
Country-Fried Steak Biscuits (Limited Time) 2 Pc.,$3.50
Sunrise Croissant Sandwiches (Limited Time) 2 Pc.,$4.00
