Item,Price
Frontega Chicken Whole,$7.69
Frontega Chicken Half,$5.69
Steak & White Cheddar Whole,$8.79
Steak & White Cheddar Half,$6.19
Roasted Turkey & Avocado BLT Whole,$8.79
Roasted Turkey & Avocado BLT Half,$6.19
"Roasted Turkey, Apple & Cheddar Whole",$9.29
"Roasted Turkey, Apple & Cheddar Half",$6.59
Bacon Turkey Bravo Whole,$7.69
Bacon Turkey Bravo Half,$5.69
Napa Almond Chicken Salad Whole,$7.19
Napa Almond Chicken Salad Half,$5.29
Italian Combo Whole,$8.29
Italian Combo Half,$5.99
Asiago Steak Whole,$8.29
Asiago Steak Half,$5.99
Sierra Turkey Whole,$7.19
Sierra Turkey Half,$5.29
Smoked Turkey Breast Whole,$6.39
Smoked Turkey Breast Half,$4.69
Mediterranean Veggie Whole,$6.39
Mediterranean Veggie Half,$4.69
Classic Grilled Cheese Whole,$6.39
Classic Grilled Cheese Half,$4.69
Tuna Salad Whole,$6.39
Tuna Salad Half,$4.69
Smoked Ham & Swiss Whole,$6.39
Smoked Ham & Swiss Half,$4.69
Soba Noodle Bowl with Chicken ,$8.69
Soba Noodle Bowl with Edamame ,$8.19
Lentil Quinoa Bowl with Chicken ,$8.69
Lentil Quinoa Bowl with Cage-Free Egg ,$8.19
Soba Noodle Bowl with Edamame or Lentil Quinoa Bowl with Cage-Free Egg - Meal ,$11.18
Soba Noodle Bowl with Chicken or Lentil Quinoa Bowl with Chicken - Meal ,$11.68
Chicken Tortellini Alfredo ,$8.19
Butternut Squash Ravioli ,$8.19
Pasta Primavera ,$8.19
Pesto Sacchettini Pasta ,$7.19
Tortellini Alfredo Pasta ,$7.19
Pesto Sacchettini or Tortellini Alfredo Pasta - Meal ,$10.18
"Chicken Tortellini Alfredo, Butternut Squash Ravioli or Pasta Primavera - Meal ",$11.18
Mac & Cheese Small,$4.99
Mac & Cheese Large,$7.99
Mac & Cheese Bread Bowl,$5.99
Tomato Mozzarella Flatbread ,$4.99
"Chicken, Ham & Swiss Flatbread ",$5.99
Roasted Turkey Cranberry Flatbread ,$5.99
Southwestern Chicken Flatbread ,$4.99
Tomato Mozzarella or Southwestern Chicken Flatbreads 2 Pc.,$7.59
"Chicken, Ham & Swiss or Roasted Turkey Cranberry Flatbreads 2 Pc.",$8.59
Chicken Cobb with Avocado Whole,$8.79
Chicken Cobb with Avocado Half,$6.19
Power Kale Chicken Caesar Salad Whole,$9.29
Power Kale Chicken Caesar Salad Half,$6.59
Mediterranean Chicken & Quinoa Salad Whole,$9.29
Mediterranean Chicken & Quinoa Salad Half,$6.59
"Ancient Grain, Arugula & Chicken Salad Whole",$9.29
"Ancient Grain, Arugula & Chicken Salad Half",$6.59
BBQ Chicken Salad Whole,$8.49
BBQ Chicken Salad Half,$5.99
Thai Chicken Salad Whole,$8.79
Thai Chicken Salad Half,$6.19
Asian Sesame Chicken Salad Whole,$7.79
Asian Sesame Chicken Salad Half,$5.69
Fuji Apple Chicken Salad Whole,$8.49
Fuji Apple Chicken Salad Half,$5.99
Chicken Caesar Salad Whole,$7.79
Chicken Caesar Salad Half,$5.69
Greek with Chicken Salad Whole,$7.79
Greek with Chicken Salad Half,$5.69
Classic with Chicken Salad Whole,$7.79
Classic with Chicken Salad Half,$5.69
Chicken Cobb Salad Whole,$8.49
Chicken Cobb Salad Half,$5.99
Greek Salad Whole,$6.09
Greek Salad Half,$4.59
Classic Salad Whole,$6.09
Classic Salad Half,$4.59
Caesar Salad Whole,$6.09
Caesar Salad Half,$4.59
Vegetarian Creamy Tomato Soup Cup,$4.29
Vegetarian Creamy Tomato Soup Bowl,$5.29
Vegetarian Creamy Tomato Soup Bread Bowl,$5.29
Broccoli Cheddar Soup Cup,$4.29
Broccoli Cheddar Soup Bowl,$5.29
Broccoli Cheddar Soup Bread Bowl,$5.29
All Natural Low-Fat Chicken Noodle Soup Cup,$4.29
All Natural Low-Fat Chicken Noodle Soup Bowl,$5.29
All Natural Low-Fat Chicken Noodle Soup Bread Bowl,$5.29
All-Natural Turkey Chili Cup,$4.99
All-Natural Turkey Chili Bowl,$5.99
All-Natural Turkey Chili Bread Bowl,$6.19
Cream of Chicken & Wild Rice Soup Cup,$4.29
Cream of Chicken & Wild Rice Soup Bowl,$5.29
Cream of Chicken & Wild Rice Soup Bread Bowl,$5.29
Low-Fat Vegetarian Black Bean Soup Cup,$4.29
Low-Fat Vegetarian Black Bean Soup Bowl,$5.29
Low-Fat Vegetarian Black Bean Soup Bread Bowl,$5.29
New England Clam Chowder Soup Cup,$4.29
New England Clam Chowder Soup Bowl,$5.29
New England Clam Chowder Soup Bread Bowl,$5.29
Vegetarian Autumn Squash Soup Cup,$4.29
Vegetarian Autumn Squash Soup Bowl,$5.29
Vegetarian Autumn Squash Soup Bread Bowl,$5.29
Baked Potato Soup Cup,$4.29
Baked Potato Soup Bowl,$5.29
Baked Potato Soup Bread Bowl,$5.29
Low-Fat Garden Vegetable Soup Cup,$4.29
Low-Fat Garden Vegetable Soup Bowl,$5.29
Low-Fat Garden Vegetable Soup Bread Bowl,$5.29
Vegetarian Creamy Tomato Soup ,$12.99
Broccoli Cheddar Soup ,$12.99
All Natural Low-Fat Chicken Noodle Soup ,$12.99
All-Natural Turkey Chili ,$18.99
Cream of Chicken & Wild Rice Soup ,$12.99
Low-Fat Vegetarian Black Bean Soup ,$12.99
New England Clam Chowder Soup ,$12.99
Vegetarian Autumn Squash Soup ,$12.99
Baked Potato Soup ,$12.99
Low-Fat Garden Vegetable Soup ,$12.99
Kid's Peanut Butter & Jelly Sandwich ,$4.29
Kid's Grilled Cheese ,$4.29
Kid's Smoked Turkey Sandwich ,$4.29
Kid's Smoked Ham Sandwich ,$4.29
Kid's Caesar Salad ,$4.59
Kid's Classic Cafe Salad ,$4.59
Kid's Greek Salad ,$4.59
Signature Mac & Cheese Kid's Meal ,$4.99
Kid's Buttered Ribbon Noodle ,$4.49
Kid's Cream of Chicken & Wild Rice Soup ,$4.29
Kid's Low-Fat Vegetarian Black Bean Soup ,$4.29
Kid's Broccoli Cheddar Soup ,$4.29
Kid's All Natural Low-Fat Chicken Noodle Soup ,$4.29
Kid's Vegetarian Creamy Tomato Soup ,$4.29
Kid's Turkey Chili ,$4.99
Kids New England Clam Chowder Soup ,$4.29
Kids Vegetarian Autumn Squash Soup ,$4.29
Kids Baked Potato Soup ,$4.29
