Item,Price
Hand-Tossed Medium,$8.49
Hand-Tossed Large,$10.49
Pan Pizza Personal,$4.29
Pan Pizza Medium,$8.49
Pan Pizza Large,$10.49
Thin N Crispy Medium,$8.49
Thin N Crispy Large,$10.49
Stuffed Crust Large,$12.49
Skinny Slice Large,$10.49
Cheesy Bites Large,$11.99
Pepperoni Lover's Pizza (Hand-Tossed) Medium,$12.49
Pepperoni Lover's Pizza (Hand-Tossed) Large,$15.49
Pepperoni Lover's Pizza (Pan Pizza) Personal,$4.79
Pepperoni Lover's Pizza (Pan Pizza) Medium,$12.49
Pepperoni Lover's Pizza (Pan Pizza) Large,$15.49
Pepperoni Lover's Pizza (Thin N Crispy) Medium,$12.49
Pepperoni Lover's Pizza (Thin N Crispy) Large,$15.49
Pepperoni Lover's Pizza (Stuffed Crust) Large,$17.49
Pepperoni Lover's Pizza (Skinny Slice) Large,$15.49
Pepperoni Lover's Pizza (Cheesy Bites) Large,$15.99
Meat Lover's Pizza (Hand-Tossed) Medium,$12.49
Meat Lover's Pizza (Hand-Tossed) Large,$15.49
Meat Lover's Pizza (Pan Pizza) Personal,$4.79
Meat Lover's Pizza (Pan Pizza) Medium,$12.49
Meat Lover's Pizza (Pan Pizza) Large,$15.49
Meat Lover's Pizza (Thin N Crispy) Medium,$12.49
Meat Lover's Pizza (Thin N Crispy) Large,$15.49
Meat Lover's Pizza (Stuffed Crust) Large,$17.49
Meat Lover's Pizza (Skinny Slice) Large,$15.49
Meat Lover's Pizza (Cheesy Bites) Large,$15.99
Ultimate Cheese Lover's Pizza (Hand-Tossed) Medium,$12.49
Ultimate Cheese Lover's Pizza (Hand-Tossed) Large,$15.49
Ultimate Cheese Lover's Pizza (Pan Pizza) Personal,$4.79
Ultimate Cheese Lover's Pizza (Pan Pizza) Medium,$12.49
Ultimate Cheese Lover's Pizza (Pan Pizza) Large,$15.49
Ultimate Cheese Lover's Pizza (Thin N Crispy) Medium,$12.49
Ultimate Cheese Lover's Pizza (Thin N Crispy) Large,$15.49
Ultimate Cheese Lover's Pizza (Stuffed Crust) Large,$17.49
Ultimate Cheese Lover's Pizza (Skinny Slice) Large,$15.49
Veggie Lover's Pizza (Hand-Tossed) Medium,$12.49
Veggie Lover's Pizza (Hand-Tossed) Large,$15.49
Veggie Lover's Pizza (Pan Pizza) Personal,$4.79
Veggie Lover's Pizza (Pan Pizza) Medium,$12.49
Veggie Lover's Pizza (Pan Pizza) Large,$15.49
Veggie Lover's Pizza (Thin N Crispy) Medium,$12.49
Veggie Lover's Pizza (Thin N Crispy) Large,$15.49
Veggie Lover's Pizza (Stuffed Crust) Large,$17.49
Veggie Lover's Pizza (Skinny Slice) Large,$15.49
Veggie Lover's Pizza (Cheesy Bites) Large,$15.99
Supreme Pizza (Hand-Tossed) Medium,$12.49
Supreme Pizza (Hand-Tossed) Large,$15.49
Supreme Pizza (Pan Pizza) Personal,$4.79
Supreme Pizza (Pan Pizza) Medium,$12.49
Supreme Pizza (Pan Pizza) Large,$15.49
Supreme Pizza (Thin N Crispy) Medium,$12.49
Supreme Pizza (Thin N Crispy) Large,$15.49
Supreme Pizza (Stuffed Crust) Large,$17.49
Supreme Pizza (Skinny Slice) Large,$15.49
Supreme Pizza (Cheesy Bites) Large,$15.99
BBQ Lover's (Hand-Tossed) Medium,$12.49
BBQ Lover's (Hand-Tossed) Large,$15.49
BBQ Lover's (Pan Pizza) Personal,$4.79
BBQ Lover's (Pan Pizza) Medium,$12.49
BBQ Lover's (Pan Pizza) Large,$15.49
BBQ Lover's (Thin N Crispy) Medium,$12.49
BBQ Lover's (Thin N Crispy) Large,$15.49
BBQ Lover's (Stuffed Crust) Large,$17.49
BBQ Lover's (Skinny Slice) Large,$15.49
Chicken Supreme Pizza (Hand-Tossed) Medium,$13.49
Chicken Supreme Pizza (Hand-Tossed) Large,$16.49
Chicken Supreme Pizza (Pan Pizza) Personal,$5.29
Chicken Supreme Pizza (Pan Pizza) Medium,$13.49
Chicken Supreme Pizza (Pan Pizza) Large,$16.49
Chicken Supreme Pizza (Thin N Crispy) Medium,$13.49
Chicken Supreme Pizza (Thin N Crispy) Large,$16.49
Chicken Supreme Pizza (Stuffed Crust) Large,$18.49
Chicken Supreme Pizza (Skinny Slice) Large,$16.49
Chicken Supreme Pizza (Cheesy Bites) Large,$16.99
BBQ Beef Pizza (Hand-Tossed) Medium,$12.49
BBQ Beef Pizza (Hand-Tossed) Large,$15.49
BBQ Beef Pizza (Pan Pizza) Personal,$4.79
BBQ Beef Pizza (Pan Pizza) Medium,$12.49
BBQ Beef Pizza (Pan Pizza) Large,$15.49
BBQ Beef Pizza (Thin N Crispy) Medium,$12.49
BBQ Beef Pizza (Thin N Crispy) Large,$15.49
BBQ Beef Pizza (Stuffed Crust) Large,$17.49
BBQ Beef Pizza (Skinny Slice) Large,$15.49
Hawaiian Luau (Hand-Tossed) Medium,$12.49
Hawaiian Luau (Hand-Tossed) Large,$15.49
Hawaiian Luau (Pan Pizza) Personal,$4.79
Hawaiian Luau (Pan Pizza) Medium,$12.49
Hawaiian Luau (Pan Pizza) Large,$15.49
Hawaiian Luau (Thin N Crispy) Medium,$12.49
Hawaiian Luau (Thin N Crispy) Large,$15.49
Hawaiian Luau (Stuffed Crust) Large,$17.49
Hawaiian Luau (Skinny Slice) Large,$15.49
Super Supreme Pizza (Hand-Tossed) Medium,$13.49
Super Supreme Pizza (Hand-Tossed) Large,$16.49
Super Supreme Pizza (Pan Pizza) Personal,$5.29
Super Supreme Pizza (Pan Pizza) Medium,$13.49
Super Supreme Pizza (Pan Pizza) Large,$16.49
Super Supreme Pizza (Thin N Crispy) Medium,$13.49
Super Supreme Pizza (Thin N Crispy) Large,$16.49
Super Supreme Pizza (Stuffed Crust) Large,$18.49
Super Supreme Pizza (Skinny Slice) Large,$16.49
Super Supreme Pizza (Cheesy Bites) Large,$16.99
Garden Party (Thin N Crispy) Medium,$12.49
Garden Party (Thin N Crispy) Large,$15.49
Old Fashioned Meatbrawl (Pan Pizza) Personal,$4.79
Old Fashioned Meatbrawl (Pan Pizza) Medium,$12.49
Old Fashioned Meatbrawl (Pan Pizza) Large,$15.49
Cock-a-doodle Bacon (Hand-Tossed) Medium,$12.49
Cock-a-doodle Bacon (Hand-Tossed) Large,$15.49
Hot and Twisted (Hand-Tossed) Medium,$12.49
Hot and Twisted (Hand-Tossed) Large,$15.49
Pretzel Piggy (Hand-Tossed) Medium,$12.49
Pretzel Piggy (Hand-Tossed) Large,$15.49
BBQ Bacon Cheeseburger (Hand-Tossed) Medium,$12.49
BBQ Bacon Cheeseburger (Hand-Tossed) Large,$15.49
Giddy-Up BBQ Chicken (Hand-Tossed) Medium,$12.49
Giddy-Up BBQ Chicken (Hand-Tossed) Large,$15.49
Buffalo State of Mind (Hand-Tossed) Medium,$12.49
Buffalo State of Mind (Hand-Tossed) Large,$15.49
Cherry Pepper Bombshell (Thin N Crispy) Medium,$12.49
Cherry Pepper Bombshell (Thin N Crispy) Large,$15.49
7-Alarm Fire (Hand-Tossed) Medium,$12.49
7-Alarm Fire (Hand-Tossed) Large,$15.49
Sweet Sriracha Dynamite (Thin N Crispy) Medium,$12.49
Sweet Sriracha Dynamite (Thin N Crispy) Large,$15.49
Skinny Beach (Skinny Slice) Large,$15.49
Skinny With A Kick (Skinny Slice) Large,$15.49
Skinny Italy (Skinny Slice) Large,$15.49
Skinny Luau (Skinny Slice) Large,$15.49
Skinny Club (Skinny Slice) Large,$15.49
Create Your Own (Gluten-Free Crust) Small,$9.99
The Misha Collins Mizzapocalypse (Thin N Crispy) Large,$15.49
The Official Captain Sparklez Pizza (Stuffed Crust) Large,$17.49
The Alex G Pizza (Hand-Tossed) Large,$15.49
Tuscani Chicken Alfredo with Breadsticks ,$7.99
Tuscani Meaty Marinara with Breadsticks ,$7.99
"Traditional Bone-Out (Naked, Garlic Parmesan, Honey BBQ, Sweet Chili, Spicy BBQ, Honey Sriracha or Buffalo - Mild, Medium or Burnin' Hot) 8 Pc.",$6.49
"Traditional Bone-Out (Naked, Garlic Parmesan, Honey BBQ, Sweet Chili, Spicy BBQ, Honey Sriracha or Buffalo - Mild, Medium or Burnin' Hot) 16 Pc.",$12.49
"Traditional Bone-Out (Naked, Garlic Parmesan, Honey BBQ, Sweet Chili, Spicy BBQ, Honey Sriracha or Buffalo - Mild, Medium or Burnin' Hot) 24 Pc.",$17.99
