Item,Price
Dave's Hot 'n Juicy 1/4 lb. Single with Cheese ,$4.19
Dave's Hot 'n Juicy 1/4 lb. Single with Cheese - Combo ,$6.19
Dave's Hot 'n Juicy 1/2 lb.. Double with Cheese ,$5.19
Dave's Hot 'n Juicy 1/2 lb.. Double with Cheese - Combo ,$7.19
Dave's Hot 'n Juicy 3/4 lb. Triple with Cheese ,$6.09
Dave's Hot 'n Juicy 3/4 lb. Triple with Cheese - Combo ,$8.09
Baconator ,$6.09
Baconator - Combo ,$8.09
Son of Baconator ,$4.69
Son of Baconator - Combo ,$6.69
Gouda Bacon Cheeseburger (Limited Time) ,$4.99
Gouda Bacon Cheeseburger - Combo (Limited Time) ,$6.99
Upgrade to Medium Combo ,$0.60
Upgrade to Large Combo ,$1.10
Spicy Chicken ,$4.69
Spicy Chicken - Combo ,$6.69
Homestyle Chicken ,$4.69
Homestyle Chicken - Combo ,$6.69
Asiago Ranch Chicken Club ,$5.49
Asiago Ranch Chicken Club - Combo ,$7.49
Ultimate Chicken Grill ,$4.69
Ultimate Chicken Grill - Combo ,$6.69
10 Pc. Chicken Nuggets - Combo ,$5.99
Upgrade to Medium Combo ,$0.60
Upgrade to Large Combo ,$1.10
Apple Pecan Chicken Half,$4.69
Apple Pecan Chicken Full,$6.69
Asian Cashew Chicken Half,$4.69
Asian Cashew Chicken Full,$6.69
BBQ Ranch Chicken Half,$4.69
BBQ Ranch Chicken Full,$6.69
Spicy Chicken Caesar Half,$4.69
Spicy Chicken Caesar Full,$6.69
Jr. Cheeseburger Deluxe ,$1.89
Jr. Bacon Cheeseburger ,$1.99
Double Stack ,$2.09
6 Pc. Regular or Spicy Chicken Nuggets ,$1.79
Chicken Go Wrap (Spicy or Grilled) ,$1.79
Caesar or Garden Side Salad ,$1.49
Chili Small,$2.09
Jr. Cheeseburger ,$0.99
Crispy Chicken Sandwich ,$0.99
4 Pc. Regular or Spicy Chicken Nuggets ,$0.99
Value Natural-Cut Fries ,$0.99
Value Soft Drink ,$0.99
Small Frosty ,$0.99
Bacon & Cheese Baked Potato ,$2.89
Broccoli & Cheese Baked Potato ,$2.89
Natural-Cut Fries Small,$1.69
Natural-Cut Fries Medium,$1.99
Natural-Cut Fries Large,$2.19
Cheese Fries ,$2.19
Bacon Fondue Fries (Limited Time) ,$1.99
Sour Cream & Chives Baked Potato ,$2.79
Rich & Meaty Chili Small,$2.09
Rich & Meaty Chili Large,$2.79
Caesar Side Salad ,$1.49
Garden Side Salad ,$1.49
Meal (Limited Time) 4 Pc.,$4.00
Soft Drink or Freshly Brewed Iced Tea Small,$1.69
Soft Drink or Freshly Brewed Iced Tea Medium,$1.89
Soft Drink or Freshly Brewed Iced Tea Large,$2.19
Nestle Bottled Water ,$1.59
Trumoo Milk 1% Low-Fat (White or Chocolate) ,$1.29
Hot Coffee (Regular or Decaf) Regular,$0.99
Hot Coffee (Regular or Decaf) Large,$1.49
"Iced Coffee (Vanilla, Caramel, Mocha, or Skinny Vanilla) Small",$1.79
"Iced Coffee (Vanilla, Caramel, Mocha, or Skinny Vanilla) Medium",$2.49
Premium Hot Tea Regular,$0.99
Espresso Chip Bar ,$1.39
Oatmeal Bar ,$1.39
Sugar Cookie ,$1.39
Chocolate Chunk Cookie ,$1.39
Double Chocolate Chip Cookie ,$1.39
Classic Frosty (Chocolate or Vanilla) Small,$0.99
Classic Frosty (Chocolate or Vanilla) Medium,$1.99
Classic Frosty (Chocolate or Vanilla) Large,$2.29
All-Natural Lemonade Small,$1.99
All-Natural Lemonade Medium,$2.29
All-Natural Lemonade Large,$2.69
Strawberry Lemonade Small,$2.29
Strawberry Lemonade Medium,$2.69
Strawberry Lemonade Large,$3.19
Honest Tropical Green Tea Small,$1.99
Honest Tropical Green Tea Medium,$2.29
Honest Tropical Green Tea Large,$2.69
Cheeseburger ,$3.69
Grilled Chicken Wrap ,$3.79
4 Pc. Chicken Nuggets ,$3.69
Hamburger ,$3.39
