Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
Bacon & Egg Burrito,,34,38,26,1,1,1000,375,570,18,0
"Bacon, Egg & Cheese Biscuit (California only)",,28,38,15,3,2,1130,190,470,15,0
"Bacon, Egg & Cheese Biscuit (outside California)",,30,38,15,3,3,1180,190,480,12,6
Big Country Breakfast Burrito,,43,55,25,2,3,1380,370,720,18,0
Biscuit 'N' Gravy (California only),,24,50,9,3,3,1320,10,450,12,0
Biscuit 'N' Gravy (outside California),,26,49,9,2,3,1390,10,460,7,7
"Grilled Cheese Breakfast Sandwich, Bacon",,30,39,26,4,1,1290,215,510,15,0.5
"Grilled Cheese Breakfast Sandwich, Ham",,25,40,29,4,1,1650,220,490,13,0.5
"Grilled Cheese Breakfast Sandwich, Sausage",,43,40,30,4,2,1500,235,640,19,0.5
"Hash Brown Nuggets, Large",,37,52,5,0,5,710,0,560,7,0
"Hash Brown Nuggets, Medium",,26,36,3,0,4,490,0,390,4.5,0
"Hash Brown Nuggets, Small",,23,32,3,0,3,440,0,350,4,0
Loaded Breakfast Burrito,,48,53,31,2,3,1500,395,780,22,0
Made From Scratch Biscuit (California only),,13,37,6,2,2,730,0,290,7,0
Made From Scratch Biscuit (outside California),,15,36,5,2,3,780,0,300,4,6
"Mile High Bacon, Egg & Cheese Biscuit (California only)",,45,42,29,5,2,1980,240,680,22,0
"Mile High Bacon, Egg & Cheese Biscuit (outside California)",,46,41,28,5,3,2030,240,690,19,6
Monster Biscuit (California only),,58,41,30,4,2,1800,400,800,29,0.5
Monster Biscuit (outside California),,60,40,29,4,3,1850,400,810,25,6
"Sausage, Egg & Cheese Biscuit",,42,39,20,3,2,1380,210,620,20,0
Steak & Egg Burrito,,36,44,35,3,2,1730,415,650,20,0
The Breakfast Burger,,43,68,37,13,4,1380,245,800,18,1
Big Hamburger,,18,56,25,13,3,870,50,480,8,0.5
Double All-Natural Burger,,64,62,54,19,3,1260,165,1030,22,2
Double Western Bacon Cheeseburger,,53,75,52,16,4,1820,140,990,24,2
Famous Star with Cheese,,37,57,28,13,3,1210,75,670,13,1
Kid's Cheeseburger,,15,34,14,7,1,810,40,330,7,0.5
Kid's Hamburger,,10,33,11,7,1,540,25,270,3.5,0.5
Single All-Natural Burger,,44,62,31,19,3,990,90,760,13,1
Super Star with Cheese,,56,59,48,14,3,1540,140,930,23,2
Teriyaki Burger,,29,65,28,20,3,1060,70,630,11,1
The 1/2 lb. Guacamole Bacon Thickburger,,89,57,43,14,4,1910,160,1210,31,3
The 1/2 lb. Jalapeno Thickburger,,80,55,39,13,3,1760,150,1100,28,3
The 1/2 lb. Low Carb Thickburger,,56,9,33,5,1,1310,140,670,24,3
The 1/2 lb. Mile High Bacon Thickburger,,88,56,53,14,3,2290,195,1230,33,3
The 1/2 lb. Original Six Dollar Thickburger,,72,62,40,20,3,1820,150,1050,27,3
The 1/2 lb. Western Bacon Thickburger,,69,74,44,17,3,2150,145,1090,28,3
The 1/3 lb. Guacamole Bacon Thickburger,,68,56,32,13,4,1720,110,990,19,2
The 1/3 lb. Jalapeno Thickburger,,58,54,28,12,3,1620,100,880,17,2
The 1/3 lb. Low Carb Thickburger,,34,9,22,5,1,1060,85,450,13,1.5
The 1/3 lb. Mile High Bacon Thickburger,,67,56,42,13,3,2030,140,1010,22,2
The 1/3 lb. Original Six Dollar Thickburger,,51,62,29,19,3,1560,95,830,16,2
The 1/3 lb. Western Bacon Thickburger,,47,74,33,17,3,1890,95,870,17,2
The Big Carl,,58,56,47,12,3,1380,140,920,23,2
Western Bacon Cheeseburger,,34,74,33,16,4,1500,75,730,14,1
Guacamole Turkey Burger,,19,44,32,9,3,1000,85,480,6,0
Jalapeno Turkey Burger,,22,43,31,9,3,1150,90,500,6,0
Teriyaki Turkey Burger,,14,56,32,19,3,1120,85,480,5,0
Turkey Burger,,22,45,29,10,3,960,80,490,4.5,0
Bacon Swiss Crispy Chicken Sandwich,,42,64,38,13,4,1850,95,780,11,0.5
Beer-Battered Cod Fish Sandwich,,19,74,21,12,3,1140,45,550,3.5,0
Big Chicken Fillet Sandwich,,35,62,32,11,4,1360,75,680,6,0
