Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
Cinnamon Raisin Bagel,,1,67,11,13,4,510,0,320,0,0
Everything Bagel,,3,67,12,6,5,630,0,340,0.5,0
Multigrain Bagel,,8,63,15,8,8,550,0,380,1,0
Plain Bagel,,1,64,11,6,4,620,0,300,0,0
Sesame Seed Bagel,,5,64,12,6,5,630,0,350,1,0
White Cheddar Bagel Twist,,8,64,16,6,4,760,20,390,4.5,0
"Vanilla Bean Coolatta, Large",,12,184,6,175,0,310,40,840,6,0
"Vanilla Bean Coolatta, Medium",,9,138,4,132,0,240,30,630,4.5,0
"Vanilla Bean Coolatta, Small",,6,92,3,88,0,160,20,420,3,0
Egg & Cheese Wake-Up Wrap,,10,14,7,1,0,470,95,180,4,0
"Ham, Egg & Cheese Wake-Up Wrap",,11,15,9,1,0,600,100,190,4,0
Turkey Sausage Wake Up Wrap,,14,15,13,1,0,700,125,240,5,0
Veggie Egg White Wake-Up Wrap,,8,15,8,1,1,510,20,160,4,0
Apple 'n Spice Donut,,14,29,3,9,1,340,0,260,6,0
Apple Crumb Donut,,15,42,3,20,1,350,0,320,7,0
Apple Fritter,,19,58,6,24,2,380,0,420,8,0
Apple Stick,,25,44,4,20,1,390,30,420,11,0
Apple Streusel Donut (Regional),,16,45,3,22,1,350,0,340,7,0
Bavarian Kreme Donut,,15,30,3,11,1,370,0,270,7,0
Bismark,,24,65,5,40,1,380,0,490,11,0
Boston Kreme Donut,,16,37,3,17,1,390,0,300,7,0
Bowtie Donut (Regional),,12,38,4,16,1,270,0,270,4.5,0
Butternut Donut,,20,55,4,33,1,330,25,410,9,0
Chocolate Butternut Donut,,20,54,4,31,2,430,0,410,10,0
Chocolate Coconut Donut (Regional),,21,47,4,25,2,430,0,390,10,0
Chocolate Creme Donut,,19,35,4,15,1,360,0,320,9,0
Chocolate Creme Stick (Regional),,25,59,5,33,1,360,0,480,11,0
Chocolate Dipped French Cruller,,14,34,3,20,0,190,55,280,6,0
Chocolate Frosted Cake Donut,,19,40,4,20,1,340,25,350,9,0
Chocolate Frosted Donut,,15,31,3,13,1,340,0,280,7,0
Chocolate Frosted with Sprinkles,,16,34,3,14,1,340,0,290,7,0
Chocolate Headlight Donut,,18,39,4,19,1,370,0,330,8,0
Chocolate Long John,,17,42,5,16,1,320,0,340,7,0
Cinnamon Donut,,19,32,4,13,1,320,25,310,9,0
Cinnamon Stick,,25,35,4,13,1,370,30,380,11,0
Coconut Donut,,20,48,4,27,1,330,25,390,10,0
Creme Delight Donut (Regional),,20,43,3,24,1,370,0,360,9,0
Donut Fries,,14,22,4,5,1,220,20,240,8,0
Double Chocolate Donut,,20,39,4,18,2,440,0,350,9,0
Dulce de Leche Donut (Regional),,16,35,4,13,1,350,0,300,7,0
Eclair,,18,51,5,23,1,390,0,380,7,0
French Cruller,,13,23,3,10,0,170,55,220,6,0
Frosted Vanilla Creme Donut,,20,43,3,24,1,370,0,360,9,0
Frosted with DD Sprinkles Donut,,16,35,3,15,1,340,0,290,7,0
Glazed Blueberry Donut,,16,44,4,22,1,370,30,340,7,0
Glazed Chocolate Donut,,19,38,3,17,1,420,0,340,9,0
Glazed Chocolate Stick,,25,42,4,20,2,540,0,410,10,0
Glazed Donut,,14,30,3,12,1,330,0,260,6,0
Glazed Jelly Donut,,14,42,3,24,1,350,0,310,6,0
Glazed Jelly Stick,,25,61,4,39,1,420,30,490,11,0
Glazed Lemon Donut (Regional),,14,39,3,19,1,380,0,300,6,0
Glazed Stick,,25,43,4,21,1,370,30,410,11,0
Glazed Strawberry Donut,,14,43,3,23,1,350,0,310,6,0
Guava Donut (Regional),,15,30,3,11,1,350,0,270,7,0
Jelly Donut,,14,34,3,16,1,350,0,280,6,0
Jelly Stick,,25,52,4,32,1,410,30,450,11,0
Lemon Donut,,15,29,3,10,1,380,0,260,7,0
Lemon Stick,,25,45,4,21,1,450,30,420,11,0
Maple Creme Donut,,19,36,3,18,1,350,0,320,8,0
Maple Creme Stick,,24,60,5,35,1,350,0,480,11,0
Maple Frosted Donut,,15,32,3,14,1,340,0,280,7,0
Maple Vanilla Creme Donut,,20,43,3,25,1,360,0,360,9,0
Marble Frosted Donut (Regional),,15,35,3,16,1,340,0,290,7,0
New Yorker Donut (Regional),,20,43,3,24,1,370,0,360,9,0
Old Fashioned Donut,,19,28,4,10,1,320,25,290,8,0
Oreo Donut,,24,58,4,34,2,440,0,460,10,0
Peanut Donut,,26,48,7,26,2,330,25,450,10,0
Plain Stick,,25,31,4,10,1,370,30,370,11,0
Powdered Donut,,19,33,4,14,1,320,25,320,9,0
Powdered Stick,,25,37,4,15,1,370,30,390,11,0
Pumpkin Donut,,19,39,3,19,1,380,20,340,9,0
Sour Cream Donut,,17,47,4,26,1,330,10,350,7,0
Spider Donut,,19,42,4,19,1,430,0,350,8,0
