Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
"Better for You, Chicken Fajita Pita made with Whole Grain without Salsa",220,12,35,23,3,4,1000,55,340,6,0
"Better for You, Chicken Teriyaki Bowl",,6,134,27,35,5,1910,40,690,1,0
"Better for You, Grilled Chicken Salad",372,9,13,30,6,5,750,80,250,4.5,0
"Better for You, Jr. Jumbo Jack",150,26,33,14,6,2,560,30,420,7,1
Bacon & Egg Chicken Sandwich,240,39,37,37,1,2,1630,300,650,11,0.5
Brunch Burger,215,55,32,37,3,2,730,320,770,22,2
Brunchfast Mini Pancakes,71,1.5,28,4,6,1,350,0,140,0,0
Homestyle Potatoes,165,12,34,4,1,3,580,0,260,2.5,0
Orange & Cranberry Mini Muffins,75,16,34,4,20,1,300,60,300,3,0
Southwest Scrambler Plate with Bacon,307,28,38,23,3,4,1380,325,500,9,0
Southwest Scrambler Plate with Sausage,327,38,38,21,2,4,1230,340,580,12,0
Bacon & Swiss Buttery Jack,240,59,48,42,11,3,1350,145,890,25,2
Bacon Ultimate Cheeseburger,272,65,32,55,6,1,1590,165,930,25,3
Cheeseburger,123,21,32,16,5,1,780,35,380,8,1
Classic Buttery Jack,270,52,50,37,12,4,1150,130,820,23,1.5
Double Jack,319,58,34,46,7,2,1130,140,830,22,3
Hamburger,111,18,32,14,5,1,570,25,340,5,1
Jr. Bacon Cheeseburger,129,31,32,19,5,1,860,45,480,10,1
Jr. Jumbo Jack,150,26,33,14,6,2,560,30,420,7,1
Jr. Jumbo Jack Cheeseburger,161,29,33,16,6,2,760,40,460,9,1
Jumbo Jack,223,33,32,23,6,2,580,60,520,10,1.5
Jumbo Jack Cheeseburger,245,40,33,28,6,2,990,80,600,14,1.5
Sourdough Jack,227,45,39,35,7,3,1180,95,700,15,1.5
Spicy Sriracha Burger,247,45,38,33,6,3,1330,90,680,14,1.5
Ultimate Cheeseburger,253,59,31,47,5,1,1180,150,840,23,3
Chicken Fajita Pita made with Whole Grain without Salsa,244,12,36,24,4,4,1120,55,350,6,0
Chicken Fajita Pita made with Whole Grain with Salsa,220,12,35,23,3,4,1000,55,340,6,0
Chicken Nuggets (5 pc.),77,17,13,9,0,1,600,25,240,2,0
Chicken Nuggets (10 pc.),153,33,26,19,0,2,1210,50,480,4.5,0
Chicken Nuggets (20 pc.),306,66,51,38,1,4,2420,105,950,9,0
Chicken Sandwich,156,31,42,15,4,2,940,35,510,5,0
Chicken Sandwich with Bacon,169,35,42,21,4,2,1210,45,560,7,0.5
Crispy Chicken Strips,195,24,53,33,0,3,1580,60,560,3,0
Fish Sandwich,173,19,45,16,4,2,890,30,410,3,0
Homestyle Ranch Chicken Club,267,33,66,40,12,4,1880,80,710,8,0
Jack's Spicy Chicken,232,29,48,26,5,2,770,55,550,5,0
Jack's Spicy Chicken with Cheese,255,35,49,30,5,2,1060,70,630,8,0.5
Sourdough Grilled Chicken Club,266,30,38,39,6,3,1500,95,580,8,0
Bacon Ranch Monster Taco,117,24,19,11,1,1,660,30,340,6,0.5
Chicken Teriyaki Bowl,499,6,134,27,35,5,1910,40,690,1,0
Monster Taco,118,17,19,9,1,2,630,25,270,6,0.5
Nacho Monster Taco,136,22,23,9,2,2,930,15,330,6,0.5
Chicken Club Salad with Crispy Chicken,375,28,36,32,4,5,1230,70,510,9,0
Chicken Club Salad with Grilled Chicken,376,20,11,39,5,4,1060,105,370,9,0
Grilled Chicken Salad,372,9,13,30,6,5,750,80,250,4.5,0
Southwest Chicken Salad with Crispy Chicken,428,23,52,28,5,8,1260,55,500,7,0
Southwest Chicken Salad with Grilled Chicken,430,15,27,35,6,7,1090,90,350,6,0
Bacon Cheddar Potato Wedges,252,41,58,17,2,5,1250,30,680,9,0
Egg Roll (3 pc.),174,22,46,16,6,7,950,20,440,5,0
"French Fries, Large",176,25,75,6,1,5,1010,0,550,2.5,0
"French Fries, Medium",137,20,58,5,0,4,780,0,430,2,0
"French Fries, Small",94,14,40,3,0,3,540,0,300,1,0
Panko Onion Rings,118,24,52,6,5,3,620,0,440,2,0
"Seasoned Curly Fries, Medium",130,25,46,5,0,4,940,0,430,2,0
"Seasoned Curly Fries, Small",85,16,30,3,0,3,610,0,280,1.5,0
Stuffed Jalapenos (3 pc.),71,12,21,6,2,1,730,15,220,4.5,0
Stuffed Jalapenos (7 pc.),165,29,49,14,5,3,1690,40,510,10,0.5
"Taco, Regular",81,9,16,6,1,2,360,15,170,3,0
"Bacon, Egg & Cheese Biscuit",128,25,26,16,3,2,1180,240,410,12,0
Bacon Breakfast Jack,123,21,30,17,4,1,850,240,380,7,0
Breakfast Jack,132,18,30,16,4,1,840,240,350,6,0
Extreme Sausage Sandwich,192,49,29,25,3,1,1140,295,650,16,0.5
Grande Sausage Breakfast Burrito without Salsa,358,70,67,35,4,4,2010,390,1040,20,0.5
Grande Sausage Breakfast Burrito with Salsa,381,70,68,36,5,5,2130,390,1040,20,0.5
Grilled Breakfast Sandwich,253,29,53,36,4,4,1810,490,620,10,0
Jumbo Breakfast Platter with Bacon,247,29,47,23,7,3,1390,345,540,6,0
Jumbo Breakfast Platter with Sausage,267,39,47,21,7,3,1250,360,620,9,0
Loaded Breakfast Sandwich,242,47,36,36,4,2,1690,515,710,16,0
Meat Lovers Breakfast Burrito without Salsa,292,50,48,39,3,2,1590,410,780,21,0.5
Meat Lovers Breakfast Burrito with Salsa,316,50,50,39,4,3,1710,410,790,21,0.5
Mini Pancakes,71,1.5,28,4,6,1,350,0,140,0,0
"Sausage, Egg & Cheese Biscuit",158,38,27,18,3,2,1240,265,530,16,0
Sausage Biscuit,107,29,26,11,3,2,960,30,430,12,0
Sausage Breakfast Jack,152,34,30,19,4,1,920,265,500,11,0.5
Sausage Croissant,159,39,32,19,3,2,760,275,560,16,0.5
Sourdough Breakfast Melt,152,21,35,20,4,2,1010,250,410,8,0
Spicy Chicken Biscuit,170,29,44,25,3,2,1110,50,550,9,0
Supreme Croissant,148,27,32,19,4,2,890,260,450,12,0.5
Ultimate Breakfast Sandwich,214,31,30,3,4,1,1540,490,520,11,0
Chick-N-Tater Melt Munchie Meal,1213,109,220,44,76,13,3470,120,2010,28,1.5
Halfsies (a al carte),122,21,46,5,0,4,810,0,390,2,0
Halfsies (in Munchie Meal),140,24,53,5,0,4,930,0,450,2,0
Spicy Nacho Chicken Munchie Meal,1199,80,224,48,78,13,3260,80,1790,14,1
Sriracha Curly Fry Burger Munchie Meal,1121,87,196,44,75,11,2700,105,1720,20,2.5
Stacked Grilled Cheese Burger Munchie Meal,1241,94,213,56,79,13,3660,130,1890,27,2.5
"Milk, Low Fat",214,2,12,9,12,0,130,10,110,1.5,0
Chocolate Overload Cake,93,7,57,4,34,2,350,40,300,1.5,0
Mini Churros (5 pc.),86,18,42,4,12,2,280,5,350,3.5,0
Mini Churros (10 pc.),172,37,84,7,25,4,550,10,690,7,0
New York Style Cheesecake,92,17,32,7,22,1,260,25,310,9,0
Kids Breakfast Jack,132,18,30,16,4,1,840,240,350,6,0
Kids Cheeseburger,123,21,32,16,5,1,780,35,380,8,1
Kids Chicken Nuggets,77,17,13,9,0,1,600,25,240,2,0
Kids Chicken Sandwich,156,31,42,15,4,2,940,35,510,5,0
Kids Crispy Chicken Strips,98,12,26,17,0,1,790,30,280,1.5,0
Kids Grilled Cheese Sandwich,94,16,34,11,3,2,800,20,330,6,0
Kids Hamburger,111,18,32,14,5,1,570,25,340,5,1
Kids Mini Pancakes,71,1.5,28,4,6,1,350,0,140,0,0
Jack's Deals Chicken Nuggets (5 pc.),77,17,13,9,0,1,600,25,240,2,0
Jack's Deals Chicken Nuggets (10 pc.),153,33,26,19,0,2,1210,50,480,4.5,0
Jack's Deals Chicken Nuggets (20 pc.),306,66,51,38,1,4,2420,105,950,9,0
Jack's Deals Chicken Sandwich,158,37,30,25,5,1,700,70,540,12,1.5
Jack's Deals Chicken Sandwich with Bacon,158,37,30,25,5,1,700,70,540,12,1.5
Jack's Deals Grilled Cheese Sandwich,94,16,34,11,3,2,800,20,330,6,0
Jack's Deals Jr. Bacon Cheeseburger,129,31,32,19,5,1,860,45,480,10,1
Jack's Deals Jr. Jumbo Jack,150,26,33,14,6,2,560,30,420,7,1
Jack's Deals Jr. Jumbo Jack Cheeseburger,161,29,33,16,6,2,760,40,460,9,1
Jack's Deals Jumbo Jack,223,33,32,23,6,2,580,60,520,10,1.5
Jack's Deals Jumbo Jack Cheeseburger,245,40,33,28,6,2,990,80,600,14,1.5
"Jack's Deals Tacos, Regular",162,19,33,12,2,5,720,25,340,6,0.5
