Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
Chicken & Waffles Sandwich,273,53,102,33,30,0,1450,100,1020,14,0
KFC Waffle,71,20,34,7,10,0,330,25,340,6,0
Original Recipe® Chicken Breast,172,21,11,39,0,2,1190,120,390,4,0
Original Recipe® Chicken Drumstick,53,8,4,12,0,1,430,55,130,1.5,0
Original Recipe® Chicken Thigh,104,19,8,19,0,1,910,100,280,4.5,0
Original Recipe® Chicken Whole Wing,43,8,3,10,0,0,380,55,130,2,0
Extra Crispy™ Chicken Breast,178,35,18,35,0,0,1150,105,530,6,0
Extra Crispy™ Chicken Drumstick,55,12,5,10,0,0,390,50,170,2,0
Extra Crispy™ Chicken Thigh,112,23,9,22,0,0,700,100,330,4.5,0
Extra Crispy™ Chicken Whole Wing,48,13,5,10,0,0,340,45,170,2,0
Kentucky Grilled Chicken® Breast,131,7,0,38,0,0,710,130,210,2,0
Kentucky Grilled Chicken® Drumstick,41,4,0,11,0,0,220,55,80,1,0
Kentucky Grilled Chicken® Thigh,71,9,0,17,0,0,420,90,150,3,0
Kentucky Grilled Chicken® Whole Wing,30,3,0,9,0,0,180,45,70,1,0
Spicy Crispy Chicken Breast,146,20,11,30,0,1,1100,100,350,3.5,0
Spicy Crispy Chicken Drumstick,46,8,5,9,0,1,420,40,130,1.5,0
Spicy Crispy Chicken Thigh,79,20,10,13,0,1,720,65,270,3.5,0
Spicy Crispy Chicken Whole Wing,35,8,5,7,0,0,350,35,120,1.5,0
Extra Crispy™ Tender (each),100,14,15,19,0,1,610,50,260,2,0
Georgia Gold Extra Crispy™ Tender (each),60.4,14,9,10,1,1,400,25,200,2,0
Hot Honey Extra Crispy™ Tender (each),62.7,12,11,10,3,1,490,25,190,1.5,0
Nashville Hot Extra Crispy™ Tender (each),63.2,16,9,10,1,1,460,25,220,2.5,0
Smoky Mountain BBQ Extra Crispy™ Tender (each),60.8,13,11,10,3,1,340,25,200,2,0
Fiery Buffalo Hot Wings™,29,4,5,4,0,0,290,20,70,1,0
Georgia Gold Hot Wings™,25,7,4,4,0,0,200,20,90,1,0
HBBQ Hot Wings™,32,4,9,4,3,0,270,20,90,1,0
Hot Honey Hot Wings™,26,6,5,4,1,0,230,20,90,1,0
Nashville Hot Hot Wings™,25,6,4,4,0,0,190,20,90,1,0
Smoky Mountain BBQ Hot Wings™,26,6,5,4,1,0,170,20,90,1,0
Popcorn Nuggets - Kids,81.2,19,19,13,0,1,870,30,290,2.5,0
Popcorn Nuggets - Large,170.2,39,39,27,0,2,1820,65,620,5,0
Nashville Hot Extra Crispy™ Chicken Breast,210,60,21,35,1,1,1530,105,770,10,0
Nashville Hot Extra Crispy™ Chicken Drumstick,66,21,6,11,0,1,530,50,250,3.5,0
Nashville Hot Extra Crispy™ Chicken Thigh,134,40,11,22,1,1,970,100,500,7,0
Nashville Hot Extra Crispy™ Chicken Whole Wing,64,25,6,10,1,1,520,45,290,4,0
Nashville Hot Kentucky Grilled Chicken® Breast,138,12,1,38,0,0,790,130,260,3,0
Nashville Hot Kentucky Grilled Chicken® Drumstick,43,6,0,11,0,0,260,55,100,1.5,0
Nashville Hot Kentucky Grilled Chicken® Thigh,74,12,0,17,0,0,470,90,180,3.5,0
Nashville Hot Kentucky Grilled Chicken® Whole Wing,33,6,1,9,0,0,210,45,90,1.5,0
Nashville Hot Spicy Crispy Chicken Breast,171,40,14,31,1,2,1390,100,540,7,0
Nashville Hot Spicy Crispy Chicken Drumstick,53,14,6,9,0,1,510,40,190,2.5,0
Nashville Hot Spicy Crispy Chicken Thigh,94,32,12,13,1,2,900,65,390,6,0
Nashville Hot Spicy Crispy Chicken Whole Wing,43,15,5,8,0,1,450,35,180,2.5,0
Georgia Gold Extra Crispy™ Chicken Breast,201,54,21,35,3,1,1370,110,710,8,0
Georgia Gold Extra Crispy™ Chicken Drumstick,63,18,6,11,1,1,460,55,230,3,0
Georgia Gold Extra Crispy™ Chicken Thigh,128,36,11,22,2,0,860,105,460,6,0
Georgia Gold Extra Crispy™ Chicken Whole Wing,57,19,6,10,1,1,420,45,240,3,0
Georgia Gold Kentucky Grilled Chicken® Breast,135,10,1,38,1,0,760,130,250,2.5,0
Georgia Gold Kentucky Grilled Chicken® Drumstick,43,6,0,11,0,0,250,55,90,1.5,0
Georgia Gold Kentucky Grilled Chicken® Thigh,74,11,0,17,0,0,450,90,170,3,0
Georgia Gold Kentucky Grilled Chicken® Whole Wing,33,6,1,9,0,0,210,45,90,1.5,0
Georgia Gold Spicy Crispy Chicken Breast,172,40,15,31,3,1,1340,100,550,7,0
Georgia Gold Spicy Crispy Chicken Drumstick,52,13,6,9,1,1,480,40,180,2,0
Georgia Gold Spicy Crispy Chicken Thigh,91,29,12,13,1,1,830,65,360,5,0
Georgia Gold Spicy Crispy Chicken Whole Wing,43,14,6,8,1,1,420,35,180,2.5,0
Smoky Mountain BBQ Extra Crispy™ Chicken Breast,204,51,27,35,8,0,1220,105,710,8,0
Smoky Mountain BBQ Extra Crispy™ Chicken Drumstick,63,16,8,11,2,1,410,50,220,2.5,0
Smoky Mountain BBQ Extra Crispy™ Chicken Thigh,129,33,15,22,5,0,750,100,450,6,0
Smoky Mountain BBQ Extra Crispy™ Chicken Whole Wing,58,18,8,10,3,0,360,45,240,3,0
Smoky Mountain BBQ Kentucky Grilled Chicken® Breast,138,11,2,38,2,0,730,130,260,3,0
Smoky Mountain BBQ Kentucky Grilled Chicken® Drumstick,44,5,1,11,1,0,230,55,100,1.5,0
Smoky Mountain BBQ Kentucky Grilled Chicken® Thigh,74,11,1,17,1,0,430,90,180,3,0
Smoky Mountain BBQ Kentucky Grilled Chicken® Whole Wing,33,5,1,9,1,0,180,45,90,1.5,0
Smoky Mountain BBQ Spicy Crispy Chicken Breast,173,36,21,31,8,1,1170,100,530,6,0
Smoky Mountain BBQ Spicy Crispy Chicken Drumstick,54,13,8,9,3,1,450,40,190,2,0
Smoky Mountain BBQ Spicy Crispy Chicken Thigh,95,30,16,13,5,1,760,65,380,5,0
Smoky Mountain BBQ Spicy Crispy Chicken Whole Wing,44,14,8,8,3,1,380,35,180,2.5,0
Hot Honey Extra Crispy™ Chicken Breast,210,49,26,35,7,1,1630,105,680,8,0
Hot Honey Extra Crispy™ Chicken Drumstick,65,16,7,11,2,1,540,50,220,2.5,0
Hot Honey Extra Crispy™ Chicken Thigh,134,32,15,22,5,0,1040,100,440,6,0
Hot Honey Extra Crispy™ Chicken Whole Wing,60,18,8,10,3,1,510,45,230,3,0
Hot Honey Kentucky Grilled Chicken® Breast,140,11,3,38,2,0,860,130,260,3,0
Hot Honey Kentucky Grilled Chicken® Drumstick,44,5,1,11,1,0,270,55,90,1.5,0
Hot Honey Kentucky Grilled Chicken® Thigh,77,12,2,17,1,0,520,90,180,3.5,0
Hot Honey Kentucky Grilled Chicken® Whole Wing,34,4.5,1,9,1,0,230,45,80,1,0
Hot Honey Spicy Crispy Chicken Breast,177,33,19,31,7,1,1560,100,500,6,0
Hot Honey Spicy Crispy Chicken Drumstick,57,13,8,9,3,1,590,40,180,2,0
Hot Honey Spicy Crispy Chicken Thigh,97,27,15,13,4,2,1000,65,360,5,0
Hot Honey Spicy Crispy Chicken Whole Wing,43,12,7,7,2,1,480,35,160,2,0
BBQ Baked Beans,151.4,1.5,43,14,18,9,820,0,240,0,0
Biscuit,50.4,8,22,4,1,1,520,0,180,4.5,0
KFC® Cornbread Muffin,52,9,28,3,11,1,240,35,210,1.5,0
Macaroni & Cheese,135,7,20,5,2,1,660,5,160,1.5,0
Mashed Potatoes With Gravy,145.4,4,18,3,0,1,510,0,120,1,0
Mashed Potatoes With Gravy (Fill Up Meal),187,5,23,3,0,2,650,0,150,1.5,0
Potato Wedges,107.5,13,34,4,0,3,700,0,270,1.5,0
