Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
"Asiago Bacon, Egg & Cheese on Asiago Cheese Bagel",,24,56,21,4,2,960,260,570,11,0.5
"Avocado, Egg White & Spinach on Sprouted Grain Bagel Flat",,14,52,21,4,7,590,25,410,6,0
"Bacon, Egg & Cheese on Artisan Ciabatta",187,20,40,24,1,2,850,245,450,9,0
"Bacon, Egg & Cheese on Brioche",,25,32,24,6,1,790,295,460,12,0.5
"Bacon, Scrambled Egg & Cheese on Artisan Ciabatta",161,22,40,25,1,2,760,275,460,9,0
"Bacon, Scrambled Egg & Cheese on Brioche",,27,33,25,6,1,700,325,470,13,0.5
Egg & Cheese on Artisan Ciabatta,,15,39,19,0,2,700,230,380,7,0
Egg & Cheese on Brioche,,21,32,19,5,1,640,280,390,11,0.5
Four Cheese Souffle,163,28,38,15,8,1,830,170,410,17,0
Greek Yogurt with Mixed Berries & Granola,,10,39,15,30,3,55,20,300,5,0
Ham & Swiss Souffle,,30,36,18,8,1,810,160,450,18,0
"Ham, Egg & Cheese on Whole Grain Farmstyle Bread",,15,20,22,1,2,790,245,310,7,0
"Ham, Egg, Cheese & Roasted Tomato on Whole Grain Farmstyle Bread",,15,21,22,1,2,820,245,320,7,0
"Ham, Scrambled Egg & Cheese on Whole Grain Farmstyle Bread",,17,21,23,1,2,710,275,330,7,0
"Ham, Scrambled Egg, Cheese & Roasted Tomato on Whole Grain Farmstyle Bread",,17,22,23,1,2,730,275,330,7,0
"Sausage, Egg & Cheese on Brioche",,34,33,27,6,1,970,325,550,16,0.5
"Sausage, Scrambled Egg & Cheese on Artisan Ciabatta",,30,41,28,1,2,940,305,560,12,0
"Sausage, Scrambled Egg & Cheese on Brioche",,35,33,28,6,1,880,355,570,16,0.5
Scrambled Egg & Cheese on Artisan Ciabatta,,17,40,20,0,2,620,260,400,7,0
Scrambled Egg & Cheese on Brioche,,22,32,20,5,1,550,310,410,11,0.5
Spinach & Artichoke Souffle,,33,39,18,8,2,890,170,520,19,0.5
Spinach & Bacon Souffle,,35,37,20,8,1,900,185,550,19,0.5
Steak & Egg on Everything Bagel,,19,59,34,4,3,1030,260,550,8,0
Steak & Scrambled Egg on Everything Bagel,,20,60,35,4,3,940,290,570,9,0
"Steel Cut Oatmeal with Almonds, Quinoa & Honey",,7,51,8,7,8,220,0,300,1,0
Steel Cut Oatmeal with Strawberries & Pecans,,14,51,6,16,9,160,0,340,2,0
Asiago Cheese Bagel,,6,55,13,3,2,470,15,330,3,0
Blueberry Bagel,,1.5,69,10,10,2,430,0,340,0,0
Cherry Vanilla Bagel,,5,69,10,18,3,380,0,360,3,0
