Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Carbs Metric,Cholesterol Metric,Fat Metric,Sodium Metric,Protein Metric
*Create your own 1-2 Topping Large Ultimate Cheesy Crust Slice (Limited Time),119.2,16.0,33.0,18.0,2.0,3.0,530.0,40.0,330.0,9.0,1.5,0.6666666666666667,0.8080808080808082,1.2593467138921683,1.3383838383838385,0.36363636363636365
*Create your own 3+ Topping Large Ultimate Cheesy Crust Slice (Limited Time),119.2,16.0,33.0,18.0,2.0,3.0,530.0,40.0,330.0,9.0,1.5,0.6666666666666667,0.8080808080808082,1.2593467138921683,1.3383838383838385,0.36363636363636365
Backyard BBQ Chicken - Large Ultimate Cheesy Crust Slice (Limited Time),148.8,16.0,39.0,19.0,6.0,2.0,670.0,45.0,380.0,8.0,0.0,0.6842105263157895,0.7894736842105263,1.0936431989063569,1.469298245614035,0.33333333333333337
Buffalo Chicken - Large Ultimate Cheesy Crust Slice (Limited Time),148.2,15.0,37.0,19.0,2.0,2.0,850.0,45.0,360.0,8.0,0.0,0.6851851851851852,0.8333333333333334,1.0822510822510822,1.9675925925925928,0.35185185185185186
Cheese - Large Ultimate Cheesy Crust Slice (Limited Time),142.2,17.0,35.0,20.0,2.0,3.0,660.0,45.0,360.0,10.0,1.5,0.6481481481481481,0.8333333333333334,1.2265512265512266,1.5277777777777777,0.37037037037037035
Chicken-Bacon Parmesan - Large Ultimate Cheesy Crust Slice (Limited Time),153.5,19.0,34.0,22.0,2.0,3.0,680.0,50.0,380.0,10.0,1.5,0.5964912280701755,0.8771929824561403,1.2987012987012987,1.4912280701754386,0.3859649122807018
Hawaiian Chicken - Large Ultimate Cheesy Crust Slice (Limited Time),160.5,16.0,36.0,21.0,4.0,3.0,720.0,45.0,360.0,9.0,1.5,0.6666666666666667,0.8333333333333334,1.1544011544011545,1.6666666666666667,0.3888888888888889
Meat Lover's® - Large Ultimate Cheesy Crust Slice (Limited Time),163.5,25.0,35.0,23.0,2.0,3.0,900.0,60.0,440.0,12.0,1.5,0.5303030303030303,0.9090909090909091,1.4757969303423848,1.7045454545454546,0.34848484848484845
Pepperoni - Large Ultimate Cheesy Crust Slice (Limited Time),141.4,20.0,35.0,20.0,2.0,3.0,710.0,50.0,380.0,10.0,1.5,0.6140350877192983,0.8771929824561403,1.367053998632946,1.5570175438596492,0.3508771929824561
Pepperoni Lover's® - Large Ultimate Cheesy Crust Slice (Limited Time),156.2,24.0,35.0,23.0,3.0,3.0,820.0,60.0,430.0,12.0,1.5,0.5426356589147288,0.9302325581395349,1.4497130776200544,1.5891472868217056,0.35658914728682173
