Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
"6"" Black Forest Ham",219,4.5,46,18,8,5,800,25,290,1,0
"6"" Oven Roasted Chicken",233,5,46,23,8,5,610,45,320,1.5,0
"6"" Roast Beef",233,5,45,25,7,5,660,45,320,1.5,0
"6"" Rotisserie-Style Chicken",247,6,45,29,7,5,660,55,350,1.5,0
"6"" Subway Club",240,4.5,46,23,8,5,840,40,310,1.5,0
"6"" Sweet Onion Chicken Teriyaki",269,4,58,25,16,5,770,50,370,1,0
"6"" Turkey Breast",219,3.5,46,18,7,5,760,20,280,1,0
"6"" Veggie Delite",162,2.5,44,8,7,5,280,0,230,0.5,0
Footlong Black Forest Ham,438,9,92,36,16,10,1600,50,580,2,0
Footlong Oven Roasted Chicken,466,10,92,46,16,10,1220,90,640,3,0
Footlong Roast Beef,466,10,90,50,14,10,1320,90,640,3,0
Footlong Rotisserie-Style Chicken,494,12,90,58,14,10,1320,110,700,3,0
Footlong Subway Club,480,9,92,46,16,10,1680,80,620,3,0
Footlong Sweet Onion Chicken Teriyaki,538,8,116,50,32,10,1540,100,740,2,0
Footlong Turkey Breast,438,7,92,36,14,10,1520,40,560,2,0
Footlong Veggie Delite,324,5,88,16,14,10,560,0,460,1,0
"6"" Chicken & Bacon Ranch Melt",298,30,47,38,8,5,1290,95,610,10,0.5
"6"" Cold Cut Combo",226,12,46,17,7,5,1030,45,360,3.5,0
"6"" Italian B.M.T.",226,16,46,20,8,5,1260,45,410,6,0
"6"" Meatball Marinara",301,18,60,21,12,8,1000,40,480,7,0.5
"6"" Spicy Italian",222,24,46,20,8,5,1490,50,480,9,0.5
"6"" Steak & Cheese",245,10,49,26,9,5,1030,50,380,4.5,0
"6"" Tuna",237,25,44,20,7,5,580,40,480,4.5,0
Footlong Chicken & Bacon Ranch Melt,596,60,94,76,16,10,2580,190,1220,20,1
Footlong Cold Cut Combo,452,24,92,34,14,10,2060,90,720,7,0
Footlong Italian B.M.T.,452,32,92,40,16,10,2520,90,820,12,0
Footlong Meatball Marinara,602,36,120,42,24,16,2000,80,960,14,1
Footlong Spicy Italian,444,48,92,40,16,10,2980,100,960,18,1
Footlong Steak & Cheese,490,20,98,52,18,10,2060,100,760,9,0
Footlong Tuna,474,50,88,40,14,10,1160,80,960,9,0
Black Forest Ham on Tomato Basil Wrap,307,12,57,27,6,4,1780,50,430,5,0
Chicken & Bacon Ranch Melt on Tomato Basil Wrap,394,42,56,60,5,4,2380,155,850,16,1
Chipotle Southwest Steak on Tomato Basil Wrap,389,37,65,43,8,6,2250,100,760,12,1
Cold Cut Combo on Tomato Basil Wrap,314,27,57,27,4,3,2230,90,570,10,0.5
Italian B.M.T. on Tomato Basil Wrap,314,36,57,32,6,4,2700,90,670,14,0.5
Meatball Marinara on Tomato Basil Wrap,381,40,81,34,12,8,2200,80,820,16,2
Oven Roasted Chicken Breast on Spinach Wrap,335,13,56,38,5,4,1460,90,500,5,0
Roast Beef on Spinach Wrap,335,13,54,42,5,4,1560,90,500,5,0
Rotisserie-Style Chicken Caesar on Spinach Wrap,365,34,54,55,4,3,1900,135,730,10,0.5
Rotisserie-Style Chicken on Spinach Wrap,364,15,54,51,4,3,1560,110,550,5,0
Spicy Italian on Tomato Wrap,304,52,56,32,6,4,3140,105,820,20,1
Steak & Cheese on Tomato Basil Wrap,269,19,59,41,5,3,2030,90,570,9,1
Subway Club on Spinach Wrap,349,13,56,39,5,4,1920,75,490,5,0
Sweet Onion Chicken Teriyaki on Tomato Basil Wrap,385,12,71,42,14,4,1630,100,550,4,0
Tuna on Tomato Basil Wrap,335,54,53,33,3,3,1330,75,820,11,0.5
"Turkey, Bacon & Guacamole on Tomato Basil Wrap",380,42,62,43,6,5,2960,75,810,13,0.5
Turkey Breast on Spinach Wrap,307,10,57,28,4,3,1760,40,430,4,0
Veggie Delite on Spinach Wrap,285,8,56,10,5,4,800,0,330,3,0
Kids Black Forest Ham,136,2.5,30,10,5,3,450,10,180,0.5,0
Kids Roast Beef,146,3,30,14,5,4,390,25,200,1,0
Kids Turkey Breast,136,2,30,10,5,3,430,10,180,0.5,0
Kids Veggie Delite,108,1.5,29,6,4,3,190,0,150,0,0
"6"" Applewood Pulled Pork",276,9,62,23,24,5,980,45,420,2,0
"6"" B.L.T.",165,13,44,20,7,5,1130,20,380,4.5,0
"6"" BBQ Rib Melt",255,29,49,24,10,5,840,60,550,11,0
"6"" Big Cheesy",126,17,43,18,5,4,980,45,390,10,0.5
"6"" Buffalo Chicken Rotisserie-Style",283,17,47,29,8,6,1270,60,460,3,0
"6"" Buffalo Chicken with Chicken Strips",269,16,46,25,8,6,1100,55,420,3,0
"6"" Caesar Chicken Melt with Chicken Strips",268,22,46,29,7,5,800,75,490,6,0.5
"6"" Chicken Caesar Melt Rotisserie Style",283,24,46,34,8,5,1010,75,520,6,0.5
