Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
Baconator,,62,40,59,8,2,1630,205,950,24,3
Dave's Double,,51,41,49,8,3,1280,175,810,20,3
Dave's Single,,34,40,30,9,3,1110,100,570,13,1.5
Dave's Triple,,72,43,71,9,3,1650,260,1090,30,4
Double Stack,,21,26,25,6,1,740,90,390,9,1.5
Jr. Bacon Cheeseburger,,22,25,19,5,1,680,65,380,8,1
Jr. Cheeseburger,,13,26,16,6,1,660,50,280,6,1
Jr. Cheeseburger Deluxe,,19,27,16,7,2,660,55,340,7,1
Son of Baconator,,39,37,34,7,2,1280,125,630,15,1.5
3 Piece Chicken Tenders,,16,22,24,0,0,1010,75,330,2.5,0
4 Piece Chicken Nuggets,,11,10,9,0,0,340,35,170,2,0
4 Piece Chicken Tenders,,21,29,32,1,0,1350,100,430,3.5,0
6 Picece Chicken Nuggets,,16,14,13,0,1,510,50,250,3.5,0
6 Piece Chicken Tenders,,32,43,48,1,0,2020,150,650,5,0
10 Piece Chicken Nuggets,,27,24,22,0,1,850,80,420,5,0
Crispy Chicken BLT,,23,35,20,5,2,950,50,420,6,0
Crispy Chicken Sandwich,,16,33,14,4,2,600,30,330,3,0
Grilled Asiago Ranch Club,,23,36,43,6,3,1220,120,530,7,0
Grilled Chicken Sandwich,,10,38,34,8,3,830,90,370,2,0
Grilled Chicken Wrap,,10,24,20,3,2,640,55,270,3.5,0
Homestyle Asiago Ranch Chicken Club,,34,52,38,7,3,1650,100,660,9,0
Homestyle Chicken Sandwich,,22,51,28,6,3,1150,70,510,4,0
Spicy Asiago Ranch Club,,32,55,38,6,4,1530,100,670,9,0
Spicy Chicken Sandwich,,20,54,29,6,4,1030,65,510,3.5,0
Spicy Chicken Wrap,,20,30,18,2,2,850,50,370,5,0
"Apple Pecan Chicken Salad, Full Size",,24,52,38,40,7,1020,115,560,7,0
"Apple Pecan Chicken Salad, Half Size",,17,29,20,22,4,550,55,340,4,0
"Berry Burst Chicken Salad, Full Size",,17,41,41,29,7,1090,105,460,4.5,0
"Berry Burst Chicken Salad, Half Size",,13,23,23,15,5,570,50,290,2.5,0
Caesar Side Salad,,15,19,8,4,3,500,30,240,4,0
Garden Side Salad,,18,18,7,4,2,460,20,250,4,0
"Southwest Avocado Chicken Salad, Full Size",,41,18,42,7,7,1220,135,600,11,0
"Southwest Avocado Chicken Salad, Half Size",,20,10,21,4,4,620,70,300,6,0
"Spicy Caesar Chicken Salad, Full Size",,42,44,42,6,8,1680,150,720,12,1
"Spicy Caesar Chicken Salad, Half Size",,23,30,23,4,5,930,75,410,6,0.5
"Taco Salad, Full Size",,32,63,32,18,10,1820,85,660,13,1
"Taco Salad, Half Size",,23,49,19,12,7,1320,45,470,8,0.5
Baconator Fries,,28,45,14,2,4,550,35,490,9,0
Bacon Cheese Baked Potato,,14,64,17,4,7,550,35,440,6,0
Cheese Baked Potato,,13,65,14,5,7,560,30,430,7,0
Chili & Cheese Baked Potato,,11,71,19,7,8,710,35,460,5,0
"Chili, Large",,7,23,23,9,5,1170,50,250,3,0.5
"Chili, Small",,5,16,15,6,4,780,35,170,2,0
Chili Cheese Fries,,25,53,16,4,6,710,35,500,8,0.5
"Natural-Cut Fries, Junior",,10,30,3,0,3,15,0,230,2,0
"Natural-Cut Fries, Large",,24,70,7,0,6,520,0,530,4.5,0
"Natural-Cut Fries, Medium",,19,56,6,0,5,420,0,420,3.5,0
"Natural-Cut Fries, Small",,15,43,5,0,4,320,0,320,2.5,0
Plain Baked Potato,,0,61,7,3,7,25,0,270,0,0
Sour Cream and Chive Baked Potato,,2.5,63,8,4,7,35,10,310,2.5,0
"Classic Chocolate Frosty, Junior",,5,33,6,27,0,90,20,200,3,0
"Classic Chocolate Frosty, Large",,15,99,17,81,0,260,60,590,10,0.5
"Classic Chocolate Frosty, Medium",,12,79,13,65,0,210,50,470,8,0.5
"Classic Chocolate Frosty, Small",,9,58,10,47,0,150,35,350,6,0
"Vanilla Frosty, Junior",,5,32,5,27,0,90,25,190,3.5,0
"Vanilla Frosty, Large",,15,94,15,78,0,260,70,570,10,0.5
"Vanilla Frosty, Medium",,12,75,12,63,0,210,55,450,8,0.5
"Vanilla Frosty, Small",,9,56,9,47,0,160,45,340,6,0
Chocolate Chunk Cookie,,16,40,3,24,2,210,20,310,8,0
Double Chocolate Chunk Cookie,,14,39,4,21,4,230,20,290,7,0
Sugar Cookie,,16,43,3,24,1,300,25,330,8,0
Kids 2 Piece Chicken Tenders,,10,13,15,0,0,620,45,200,1.5,0
Kids 4 Piece Chicken Nuggets,,11,10,9,0,0,340,35,170,2,0
Kids Cheeseburger,,13,25,15,5,1,540,50,280,6,0.5
Kids Grilled Chicken Wrap,,10,24,20,3,2,640,55,270,3.5,0
Kids Hamburger,,9,24,13,5,1,350,40,240,3.5,0.5
Artisan Egg Sandwich with Bacon,,17,25,18,4,1,750,245,320,8,0
Artisan Egg Sandwich with Sausage,,33,27,21,4,1,980,275,480,13,0
Bacon Breakfast Bowl,,28,44,19,2,4,1390,245,510,9,0
Biggie Breakfast Sandwich,,40,37,27,7,2,1400,290,610,15,0
Fresh-Baked Biscuit with Applewood Smoked Bacon,,24,34,15,5,1,970,235,410,13,0
Fresh Baked Biscuit with Natural Sausage,,41,36,20,6,1,1270,270,590,19,0
Gravy and Sausage Bowl,,22,50,12,2,4,1260,220,450,6,0
Honey Butter Chicken Biscuit,,26,48,19,9,1,1120,50,500,12,0
Sausage and Egg Burrito,,20,29,17,2,1,920,210,360,8,0
Sausage and Gravy Biscuit,,29,49,8,6,2,1400,20,490,14,0
Sausage Biscuit,,33,35,12,5,1,1010,50,480,15,0
Sausage Breakfast Bowl,,42,46,21,3,4,1540,270,640,14,0
"Seasoned Home-Style Potatoes, Large",,13,57,5,1,6,1080,0,360,2.5,0
"Seasoned Home-Style Potatoes, Medium",,9,39,4,1,4,750,0,250,1.5,0
"Seasoned Home-Style Potatoes, Small",,8,35,3,0,4,680,0,230,1.5,0
Two Sausage and Egg Burritos,,41,59,34,5,2,1830,420,720,16,0
Two Sausage Biscuits,,65,70,23,10,3,2020,95,960,31,0
