Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
Avocado Bacon Burger,334,52,51,37,7,4,1600,90,820,15,1
Avocado Bacon Burger Whatameal,1368,73,216,42,119,8,1910,90,1650,18,1
Avocado Bacon Burger Whatameal with Lower Calorie Sides,1339,52,62,37,12,5,1630,90,860,15,1
Bacon & Cheese Whataburger,354,37,62,39,12,4,1910,80,750,13,1
Bacon & Cheese Whataburger Whatameal,1389,58,226,44,124,8,2210,80,1580,16,1
Bacon & Cheese Whataburger Whatameal with Lower Calorie Sides,1314,37,70,39,15,4,1940,85,780,13,1
Double Meat Whataburger,400,44,62,47,12,4,1470,90,830,14,2
Double Meat Whataburger Jr.,208,20,37,23,6,2,870,40,420,6,1
Double Meat Whataburger Jr. Whatameal,853,35,141,26,76,5,1070,45,960,8,1
Double Meat Whataburger Jr. Whatameal with Lower Calorie Sides,851,20,46,23,11,3,890,45,460,6,1
Double Meat Whataburger Jr. with Cheese,221,24,37,26,6,2,1090,50,470,9,1
Double Meat Whataburger Whatameal,1435,65,226,52,124,8,1780,90,1660,17,2
Double Meat Whataburger Whatameal with Lower Calorie Sides,1405,44,72,47,17,5,1500,90,870,14,2
Jalapeno & Cheese Whataburger,352,32,63,34,12,4,1800,65,680,12,1
Jalapeno & Cheese Whataburger Whatameal,1387,53,227,39,124,8,2100,65,1510,14,1
Jalapeno & Cheese Whataburger Whatameal with Lower Calorie Sides,1357,32,73,34,17,5,1830,65,720,12,1
Sweet & Spicy Bacon Burger,392,62,69,60,18,3,2310,140,1080,23,2
Sweet & Spicy Bacon Burger Jr.,209,33,42,32,11,1,1350,80,600,13,1
Sweet & Spicy Bacon Burger Jr. Whatameal,861,47,146,35,81,4,1550,80,1140,15,1
Sweet & Spicy Bacon Burger Jr. Whatameal with Lower Calorie Sides,859,33,51,32,16,3,1370,80,640,13,1
Sweet & Spicy Bacon Burger Whatameal,1427,83,233,65,130,7,2620,140,1910,25,2
Sweet & Spicy Bacon Burger Whatameal with Lower Calorie Sides,1397,62,79,60,23,4,2340,140,1120,23,2
Triple Meat Whataburger,484,63,62,65,12,4,1720,130,1080,21,3
Triple Meat Whataburger Whatameal,1519,84,226,70,124,8,2020,135,1900,23,3
Triple Meat Whataburger Whatameal with Lower Calorie Sides,1489,63,72,65,17,5,1750,135,1120,21,3
Whataburger,316,25,62,29,12,4,1220,45,590,8,1
Whataburger Jr.,168,11,37,14,6,2,750,20,310,4,0
Whataburger Jr. Whatameal,820,26,142,18,77,5,950,20,850,5,0
Whataburger Jr. Whatameal with Lower Calorie Sides,1173,11,47,15,11,3,780,25,350,4,0
