Item 1,Item 2,Item 3,Metric,Price
"Homestyle Fries, Large",Roast Turkey Ranch & Bacon Sandwich,"Homestyle Fries, Large",6.54665,9.67
"Homestyle Fries, Large","Sausage Gravy Biscuit, Double",Apple Turnover,6.55379,9.969999999999999
"Curly Fries, Medium","Homestyle Fries, Medium","Sausage Gravy Biscuit, Double",6.62421,9.57
"Ultimate Chocolate Shake, Large",Apple Turnover,"Homestyle Fries, Large",6.72284,7.369999999999999
"Curly Fries, Large","Curly Fries, Medium",Roast Turkey Ranch & Bacon Sandwich,6.77466,9.469999999999999
"Orange Cream Shake, Medium","Curly Fries, Large","Homestyle Fries, Large",6.77801,6.369999999999999
"Ultimate Chocolate Shake, Large","Homestyle Fries, Medium","Curly Fries, Medium",6.79327,6.970000000000001
"Sausage Gravy Biscuit, Double",Reuben,French Toast Sticks,6.80397,15.07
"Curly Fries, Large","Homestyle Fries, Large","Jamocha Handcrafted Shake, Medium",6.81265,6.17
Potato Cakes (4),Roast Turkey & Swiss Sandwich,Roast Turkey Ranch & Bacon Sandwich,6.91542,12.469999999999999
Arby-Q,"Curly Fries, Large","Orange Cream Shake, Large",6.92359,12.07
"Jamocha Handcrafted Shake, Large","Curly Fries, Large",Arby-Q,6.95093,11.870000000000001
"Curly Fries, Large",Loaded Curly Fries,"Curly Fries, Large",6.95975,6.57
"Orange Cream Shake, Large",French Toast Sticks,Loaded Curly Fries,6.96518,8.87
"Ultimate Chocolate Shake, Large",French Toast Sticks,Reuben,6.97303,12.47
Salted Caramel & Chocolate Cookie,"Homestyle Fries, Large","Sausage Gravy Biscuit, Double",6.98789,10.77
French Toast Sticks,"Jamocha Handcrafted Shake, Large",Loaded Curly Fries,6.99252,8.67
"Curly Fries, Medium",Sausage Gravy Biscuit,"Sausage Gravy Biscuit, Double",7.01689,13.17
Roast Turkey Ranch & Bacon Sandwich,Roast Turkey Ranch & Bacon Sandwich,Arby-Q,7.03874,18.27
Roast Turkey Ranch & Bacon Sandwich,"Homestyle Fries, Large",Prime-Cut Chicken Tenders (5),7.05545,12.670000000000002
"Sausage Gravy Biscuit, Double","Homestyle Fries, Medium","Ultimate Chocolate Shake, Small",7.06231,9.57
"Sausage Gravy Biscuit, Double",Apple Turnover,Prime-Cut Chicken Tenders (5),7.06259,12.969999999999999
"Jamocha Handcrafted Shake, Small","Sausage Gravy Biscuit, Double",Potato Cakes (4),7.08074,9.37
"Homestyle Fries, Small","Sausage Gravy Biscuit, Double",Reuben,7.09686,12.27
"Orange Cream Shake, Large","Curly Fries, Snack",Roast Turkey Ranch & Bacon Sandwich,7.10717,9.17
Bourbon BBQ Chicken Sandwich,Roast Turkey & Swiss Sandwich,"Homestyle Fries, Large",7.10951,12.47
"Homestyle Fries, Medium",Buttermilk Buffalo Chicken Sandwich,"Sausage Gravy Biscuit, Double",7.11284,12.870000000000001
Mozzarella Sticks (6),Roast Turkey Ranch & Bacon Sandwich,"Curly Fries, Medium",7.12338,11.97
Mozzarella Sticks (6),"Orange Cream Shake, Medium","Homestyle Fries, Large",7.12673,8.870000000000001
"Homestyle Fries, Large",Potato Cakes (4),Bourbon BBQ Triple Stack Sandwich,7.13256,9.370000000000001
Roast Turkey Ranch & Bacon Sandwich,"Curly Fries, Snack","Jamocha Handcrafted Shake, Large",7.13451,8.97
Roast Beef Gyro,"Sausage Gravy Biscuit, Double","Homestyle Fries, Medium",7.14542,9.17
"Sausage Gravy Biscuit, Double",Bourbon BBQ Steak Sandwich,Potato Cakes (4),7.14969,12.77
Salted Caramel & Chocolate Cookie,"Ultimate Chocolate Shake, Large","Homestyle Fries, Large",7.15695,8.17
"Jamocha Handcrafted Shake, Medium",Mozzarella Sticks (6),"Homestyle Fries, Large",7.16136,8.67
"Orange Cream Shake, Large","Homestyle Fries, Large",Classic Beef 'n Cheddar Sandwich,7.17498,8.370000000000001
"Ultimate Chocolate Shake, Large","Curly Fries, Medium",Sausage Gravy Biscuit,7.18594,10.57
"Homestyle Fries, Large","Jamocha Handcrafted Shake, Large",Classic Beef 'n Cheddar Sandwich,7.20232,8.17
Roast Turkey Ranch & Bacon Sandwich,"Curly Fries, Large","Ultimate Chocolate Shake, Small",7.21275,9.47
Roast Turkey & Swiss Sandwich,"Ultimate Chocolate Shake, Snack","Sausage Gravy Biscuit, Double",7.21517,11.870000000000001
French Toast Sticks,"Sausage Gravy Biscuit, Double",Loaded Italian,7.21637,11.07
"Orange Cream Shake, Medium","Ultimate Chocolate Shake, Medium",Potato Cakes (4),7.22426,6.67
Loaded Curly Fries,Loaded Curly Fries,"Homestyle Fries, Large",7.22498,6.57
