Item 1,Item 2,Item 3,Metric,Price
Tropical Mango Smoothie,"Hash Browns, Large",Rodeo Crispy Chicken Sandwich,6.75462,5.38
Rodeo King Sandwich,Tropical Mango Smoothie,"French Toast Sticks, 5 Piece",6.93811,8.67
Rodeo King Sandwich,Tropical Mango Smoothie,"French Fries, Medium (Salted)",6.93993,8.67
Rodeo Crispy Chicken Sandwich,Crispy Chicken Sandwich,Tropical Mango Smoothie,7.12588,8.48
Rodeo Crispy Chicken Sandwich,Froot Loops Shake,"French Fries, Small (Salted)",7.28737,3.79
Triple Whopper Sandwich with Cheese,"Onion Rings, Medium",Tropical Mango Smoothie,7.29079,11.07
"French Fries, Small (Salted)",Oreo Shake,Rodeo Crispy Chicken Sandwich,7.32152,4.48
BK Veggie Burger,BK Veggie Burger,Triple Whopper Sandwich with Cheese,7.38613,12.969999999999999
Rodeo Crispy Chicken Sandwich,Froot Loops Shake,"Onion Rings, Small",7.38721,3.79
Rodeo Crispy Chicken Sandwich,"Onion Rings, Small",Oreo Shake,7.42136,4.48
Rodeo King Sandwich,"French Fries, Large (Salted)","French Fries, Small (Salted)",7.42952,8.170000000000002
Rodeo Crispy Chicken Sandwich,Kids PB&J Jamwich,Chocolate Oreo Shake,7.46408,6.99
Froot Loops Shake,Value Menu Rodeo Crispy Chicken Jr.,"Chicken Nuggets, 20 Piece",7.49501,6.99
"Hash Browns, Large",Original Chicken Sandwich,"Hash Browns, Large",7.52165,7.869999999999999
Value Menu Rodeo Crispy Chicken Jr.,"Chicken Nuggets, 20 Piece",Oreo Shake,7.52916,7.68
"French Fries, Large (Salted)",Rodeo King Sandwich,"Onion Rings, Small",7.52935,8.170000000000002
"Onion Rings, Medium",Rodeo King Sandwich,Dutch Apple Pie,7.56025,7.67
Rodeo Crispy Chicken Sandwich,"Hash Browns, Large",Pie Made with Twix,7.60006,6.88
Spicy Crispy Chicken Sandwich,Dutch Apple Pie,Rodeo Crispy Chicken Sandwich,7.64241,3.49
"Hash Browns, Large","Hash Browns, Large",Whopper Sandwich,7.68327,7.970000000000001
Froot Loops Shake,"Hash Browns, Large",Pancake and Sausage Platter,7.71551,6.58
"French Fries, Large (Salted)",Bacon King Sandwich,Value Menu Rodeo Crispy Chicken Jr.,7.71755,7.380000000000001
Oreo Shake,"Hash Browns, Large",Pancake and Sausage Platter,7.74966,7.27
"French Toast Sticks, 5 Piece",Rodeo Crispy Chicken Sandwich,Original Chicken Sandwich,7.75915,7.279999999999999
Rodeo Crispy Chicken Sandwich,"French Fries, Medium (Salted)",Original Chicken Sandwich,7.76097,7.279999999999999
"Hash Browns, Large","French Fries, Large (Salted)",Double Whopper Sandwich,7.76359,9.57
Rodeo King Sandwich,Pie Made with Twix,"French Toast Sticks, 5 Piece",7.78355,10.17
Rodeo King Sandwich,Pie Made with Twix,"French Fries, Medium (Salted)",7.78538,10.17
"French Toast Sticks, 5 Piece",Froot Loops Shake,Double Whopper Sandwich,7.80493,8.48
"French Fries, Medium (Salted)",Double Whopper Sandwich,Froot Loops Shake,7.80676,8.48
Bacon & Cheese Crispy Chicken Sandwich,"Onion Rings, Large",Spicy Crispy Chicken Sandwich,7.81069,8.38
Double Whopper Sandwich,Oreo Shake,"French Toast Sticks, 5 Piece",7.83908,9.17
Oreo Shake,Double Whopper Sandwich,"French Fries, Medium (Salted)",7.84091,9.17
Double Whopper Sandwich with Cheese,Kids PB&J Jamwich,Froot Loops Shake,7.86334,10.280000000000001
"Hash Browns, Large",Original Chicken Sandwich,Crispy Chicken Sandwich,7.89291,10.969999999999999
Oreo Shake,Kids PB&J Jamwich,Double Whopper Sandwich with Cheese,7.89749,10.969999999999999
"French Fries, Large (Salted)",Rodeo Crispy Chicken Sandwich,Pancake and Sausage Platter,7.91166,7.08
"French Fries, Large (Salted)",Double Quarter Pound King Sandwich,"Hash Browns, Large",7.91481,8.770000000000001
Rodeo Crispy Chicken Sandwich,"French Toast Sticks, 5 Piece",Whopper Sandwich,7.92076,7.380000000000001
"French Fries, Medium (Salted)",Rodeo Crispy Chicken Sandwich,Whopper Sandwich,7.92259,7.380000000000001
Bacon & Cheese Crispy Chicken Sandwich,Dutch Apple Pie,"Chicken Nuggets, 20 Piece",7.94108,11.47
Hershey's Chocolate Sundae,Triple Whopper Sandwich with Cheese,"Onion Rings, Large",7.9457,10.47
Double Quarter Pound King Sandwich,"French Toast Sticks, 5 Piece",Froot Loops Shake,7.95616,7.68
