Item 1,Item 2,Item 3,Metric,Price
Side of Beans,"Taco Salad, Ground Beef","Super Nachos, Chicken",7.02292,6.87
"Super Nachos, Chicken","Taco Salad, Steak",Made From Scratch Biscuit (California only),7.10227,10.17
"Super Nachos, Chicken",Beer-Battered Cod Fish Sandwich,Beer-Battered Cod Fish Sandwich,7.1204,10.67
"Super Nachos, Ground Beef",Western Bacon Cheeseburger,Made From Scratch Biscuit (outside California),7.13448,14.87
"Super Nachos, Ground Beef",Side of Beans,Bacon Swiss Crispy Chicken Sandwich,7.15292,10.530000000000001
"Super Nachos, Steak",Onion Rings,"Burrito Mexicano, Steak",7.19279,8.27
"Natural-Cut Fries, Small","Super Nachos, Ground Beef",Western Bacon Cheeseburger,7.20115,11.67
"Super Nachos, Steak",Made From Scratch Biscuit (California only),Bacon Swiss Crispy Chicken Sandwich,7.23287,13.830000000000002
Made From Scratch Biscuit (outside California),"Super Nachos, Steak","Taco Salad, Chicken",7.23394,10.170000000000002
"Beef, Bean & Cheese Burrito","Super Nachos, Ground Beef","Hash Brown Nuggets, Large",7.24205,8.57
"Super Nachos, Ground Beef",Big Hamburger,Beer-Battered Cod Fish Sandwich,7.25126,8.47
The 1/3 lb. Mile High Bacon Thickburger,Onion Rings,"Natural-Cut Fries, Large",7.25358,9.67
Fried Zucchini,"Super Nachos, Chicken","Taco Salad, Chicken",7.25989,10.47
Teriyaki Burger,"Super Nachos, Steak",Bean & Cheese Burrito,7.27307,14.57
Beer-Battered Cod Fish Sandwich,"Natural-Cut Fries, Large",Double Western Bacon Cheeseburger,7.27536,8.370000000000001
"Super Nachos, Ground Beef",Western Bacon Cheeseburger,Chips,7.28542,11.37
"Burrito Mexicano, Chicken","Super Nachos, Ground Beef",Onion Rings,7.28931,10.77
"Super Nachos, Steak","Taco Salad, Chicken","Natural-Cut Fries, Small",7.30061,6.97
Famous Star with Cheese,"Super Nachos, Chicken","Natural-Cut Fries, Medium",7.31001,8.07
"Natural-Cut Fries, Large",Western Bacon Cheeseburger,"Taco Salad, Steak",7.31415,10.67
"Natural-Cut Fries, Large",Beer-Battered Cod Fish Sandwich,The 1/3 lb. Guacamole Bacon Thickburger,7.33894,11.17
"Natural-Cut Fries, Large",Fried Zucchini,The 1/2 lb. Guacamole Bacon Thickburger,7.34742,14.07
"Natural-Cut Fries, Large",Biscuit 'N' Gravy (California only),The 1/2 lb. Western Bacon Thickburger,7.35516,12.670000000000002
"Burrito Mexicano, Steak","Super Nachos, Chicken","Hash Brown Nuggets, Large",7.36908,8.07
The 1/2 lb. Western Bacon Thickburger,CrissCut Fries,"Natural-Cut Fries, Large",7.37709,10.67
Chips,"Super Nachos, Steak","Taco Salad, Chicken",7.38488,6.67
"Taco Salad, Ground Beef","Taco Salad, Ground Beef",Made From Scratch Biscuit (outside California),7.4025,8.77
Biscuit 'N' Gravy (California only),"Super Nachos, Steak","Chicken Taquitos, 5 Pieces",7.4107,11.47
Bean & Cheese Burrito,Double All-Natural Burger,Onion Rings,7.41119,13.47
"Natural-Cut Fries, Large",The 1/2 lb. Jalapeno Thickburger,Bean & Cheese Burrito,7.41726,11.27
Onion Rings,Big Hamburger,Double Western Bacon Cheeseburger,7.4241,6.17
OREO Cookie Malt,Side of Beans,"Super Nachos, Ground Beef",7.4282,5.87
"Super Nachos, Steak","Chicken Taquitos, 5 Pieces",CrissCut Fries,7.43263,9.47
"Natural-Cut Fries, Large","Taco Salad, Chicken","Taco Salad, Chicken",7.44706,5.97
Biscuit 'N' Gravy (California only),Double Western Bacon Cheeseburger,"Hash Brown Nuggets, Large",7.4477,8.67
"Super Nachos, Ground Beef","Hash Brown Nuggets, Small",Big Chicken Fillet Sandwich,7.46173,9.27
Onion Rings,"Taco Salad, Ground Beef","Chicken Taquitos, 5 Pieces",7.46757,8.07
"Natural-Cut Fries, Small","Taco Salad, Ground Beef","Taco Salad, Ground Beef",7.46916,5.569999999999999
CrissCut Fries,Double Western Bacon Cheeseburger,"Hash Brown Nuggets, Large",7.46963,6.67
"Hash Brown Nuggets, Large","Natural-Cut Fries, Medium",The 1/3 lb. Mile High Bacon Thickburger,7.47316,9.27
The 1/3 lb. Original Six Dollar Thickburger,"Natural-Cut Fries, Kids","Super Nachos, Steak",7.47721,9.870000000000001
Biscuit 'N' Gravy (outside California),Onion Rings,The 1/3 lb. Mile High Bacon Thickburger,7.47944,11.670000000000002
Big Chicken Fillet Sandwich,Charbroiled BBQ Chicken Sandwich,"Super Nachos, Steak",7.48694,12.669999999999998
Big Chicken Fillet Sandwich,"Hash Brown Nuggets, Medium","Super Nachos, Steak",7.48739,9.469999999999999
Onion Rings,Big Hamburger,The 1/3 lb. Guacamole Bacon Thickburger,7.48768,8.969999999999999
"Super Nachos, Chicken",Garden Side Salad (add dressing),Double Western Bacon Cheeseburger,7.49341,7.470000000000001
Beer-Battered Cod Fish Sandwich,Double Western Bacon Cheeseburger,Biscuit 'N' Gravy (outside California),7.50122,10.370000000000001
