Item 1,Item 2,Item 3,Metric,Price
"Maple Pecan Swirl Frozen Chocolate, Large","Pumpkin Swirl Frozen Chocolate, Large",Pretzel Bites with Mustard,5.48262,8.690000000000001
Plain Bagel,"Pumpkin Swirl Frozen Chocolate, Large","Frozen Vanilla Chai, Large",5.48545,8.19
"Pumpkin Swirl Frozen Chocolate, Large",English Muffin,"French Vanilla Swirl Frozen Chocolate, Large",5.5289,6.390000000000001
"Hazelnut Swirl Frozen Chocolate, Large","Pumpkin Swirl Frozen Chocolate, Large",English Muffin,5.53615,6.390000000000001
English Muffin,"Maple Pecan Swirl Frozen Chocolate, Large","Maple Pecan Swirl Frozen Chocolate, Large",5.56594,6.390000000000001
Sesame Seed Bagel,"Frozen Dunkaccino, Medium","Frozen Chocolate, Large",5.59625,8.129999999999999
"Frozen Dunkaccino, Medium",Everything Bagel,"Frozen Dunkaccino, Large",5.61783,7.87
Multigrain Bagel,"Pumpkin Swirl Frozen Chocolate, Medium","Frozen Chocolate, Large",5.62314,6.789999999999999
Multigrain Bagel,"Pumpkin Swirl Frozen Chocolate, Large","Frozen Dunkaccino, Medium",5.63657,6.73
"French Vanilla Swirl Frozen Chocolate, Large",Multigrain Bagel,"French Vanilla Swirl Frozen Chocolate, Medium",5.67673,6.790000000000001
Multigrain Bagel,"French Vanilla Swirl Frozen Chocolate, Medium","Hazelnut Swirl Frozen Chocolate, Large",5.68398,6.789999999999999
"Frozen Chocolate, Medium",Multigrain Bagel,"French Vanilla Swirl Frozen Chocolate, Large",5.68527,6.789999999999999
"Maple Pecan Swirl Frozen Chocolate, Medium",Multigrain Bagel,"French Vanilla Swirl Frozen Chocolate, Large",5.68626,6.789999999999999
Multigrain Bagel,"Caramel Swirl Frozen Chocolate, Large","Frozen Chocolate, Medium",5.69251,6.790000000000001
"Caramel Swirl Frozen Chocolate, Large","Maple Pecan Swirl Frozen Chocolate, Medium",Multigrain Bagel,5.6935,6.79
"Vanilla Bean Coolatta, Large","Vanilla Bean Coolatta, Large",Cinnamon Raisin Bagel,5.77467,11.47
"Oreo Hot Chocolate, XLarge","Original Hot Chocolate, Extra Large","French Vanilla Swirl Frozen Chocolate, Large",5.82137,7.25
"Original Hot Chocolate, Extra Large","Hazelnut Swirl Frozen Chocolate, Large","Oreo Hot Chocolate, XLarge",5.82862,7.25
"French Vanilla Swirl Frozen Chocolate, Small","French Vanilla Swirl Frozen Chocolate, Large","Oreo Hot Chocolate, XLarge",5.84163,6.75
"Oreo Hot Chocolate, XLarge","Oreo Hot Chocolate, XLarge","Vanilla Bean Coolatta, Large",5.84192,10.09
"Frozen Dunkaccino, Large","Frozen Vanilla Chai, Medium","Oreo Hot Chocolate, Large",5.84657,6.789999999999999
"Oreo Hot Chocolate, XLarge","Hazelnut Swirl Frozen Chocolate, Large","French Vanilla Swirl Frozen Chocolate, Small",5.84888,6.75
"Oreo Hot Chocolate, XLarge","French Vanilla Swirl Frozen Chocolate, Large","Maple Pecan Swirl Frozen Chocolate, Small",5.85497,6.75
"Frozen Chocolate, Large","Frozen Dunkaccino, Medium","Oreo Hot Chocolate, Medium",5.85698,6.59
"Salted Caramel Hot Chocolate, Extra Large","Maple Pecan Swirl Frozen Chocolate, Large","Oreo Hot Chocolate, XLarge",5.85864,7.25
Kosher Egg White and Cheese on an English Muffin,"Frozen Vanilla Chai, Large","Frozen Chocolate, Large",5.85946,10.29
"Caramel Swirl Frozen Chocolate, Large","Caramel Swirl Frozen Chocolate, Small","Oreo Hot Chocolate, XLarge",5.86221,6.75
"Mint Hot Chocolate, Extra Large","Oreo Hot Chocolate, XLarge","Frozen Chocolate, Large",5.87211,7.25
"French Vanilla Swirl Frozen Chocolate, Medium","Oreo Hot Chocolate, XLarge","Frozen Dunkaccino, Medium",5.87464,6.789999999999999
"Pumpkin Swirl Frozen Chocolate, Large","Frozen Vanilla Chai, Medium","Original Hot Chocolate, Extra Large",5.882,6.85
"Oreo Hot Chocolate, XLarge","Frozen Dunkaccino, Medium","Frozen Chocolate, Medium",5.88317,6.789999999999999
"Frozen Dunkaccino, Medium","Oreo Hot Chocolate, XLarge","Caramel Swirl Frozen Chocolate, Medium",5.88416,6.789999999999999
"Oreo Hot Chocolate, XLarge","Frozen Dunkaccino, Small","Maple Pecan Swirl Frozen Chocolate, Large",5.89157,6.59
"Frozen Vanilla Chai, Medium","Frozen Vanilla Chai, Medium","Frozen Vanilla Chai, Large",5.89257,6.449999999999999
"Frozen Vanilla Chai, Medium","Pumpkin Swirl Frozen Chocolate, Small","Pumpkin Swirl Frozen Chocolate, Large",5.90226,6.35
"French Vanilla Swirl Frozen Chocolate, Large","Frozen Chocolate, Small","Oreo Hot Chocolate, XLarge",5.90691,6.75
"Frozen Chocolate, Small","Oreo Hot Chocolate, XLarge","Hazelnut Swirl Frozen Chocolate, Large",5.91416,6.75
"Pumpkin Swirl Frozen Chocolate, Large","Frozen Vanilla Chai, Medium","Hazelnut Swirl Frozen Chocolate, Small",5.91559,6.35
"Maple Pecan Swirl Frozen Chocolate, Large","Frozen Vanilla Chai, Small","Pumpkin Swirl Frozen Chocolate, Medium",5.94087,6.65
"Pumpkin Swirl Frozen Chocolate, Large","Frozen Vanilla Chai, Small","French Vanilla Swirl Frozen Chocolate, Medium",5.94236,6.65
