Item 1,Item 2,Item 3,Metric,Price
Sriracha Curly Fry Burger Munchie Meal,Kids Mini Pancakes,Brunchfast Mini Pancakes,5.70372,3.99
"Taco, Regular",Sriracha Curly Fry Burger Munchie Meal,"Milk, Low Fat",6.87684,4.27
Bacon Cheddar Potato Wedges,"Better for You, Chicken Teriyaki Bowl",Jack's Spicy Chicken with Cheese,7.03811,12.370000000000001
Jack's Spicy Chicken with Cheese,Mini Churros (10 pc.),Bacon Cheddar Potato Wedges,7.43211,9.67
"Better for You, Chicken Teriyaki Bowl",Jack's Deals Jumbo Jack Cheeseburger,Homestyle Ranch Chicken Club,7.47231,12.870000000000001
"Better for You, Chicken Teriyaki Bowl",Jack's Spicy Chicken with Cheese,Spicy Sriracha Burger,7.58305,13.970000000000002
Jack's Deals Chicken Nuggets (20 pc.),"French Fries, Large",Southwest Chicken Salad with Crispy Chicken,7.61045,12.870000000000001
"Better for You, Chicken Teriyaki Bowl",Bacon & Swiss Buttery Jack,"Better for You, Jr. Jumbo Jack",7.6825,12.370000000000001
Bacon & Swiss Buttery Jack,"French Fries, Medium",Bacon Cheddar Potato Wedges,7.70371,10.27
"French Fries, Large",Bacon & Swiss Buttery Jack,Crispy Chicken Strips,7.71571,12.07
Bacon Ultimate Cheeseburger,Kids Cheeseburger,Chicken Teriyaki Bowl,7.74544,12.27
Bacon Cheddar Potato Wedges,"Seasoned Curly Fries, Medium",Bacon & Swiss Buttery Jack,7.81969,10.469999999999999
Bacon Ultimate Cheeseburger,Bacon Cheddar Potato Wedges,Halfsies (a al carte),7.84133,10.67
Mini Churros (10 pc.),Jack's Deals Jumbo Jack Cheeseburger,Homestyle Ranch Chicken Club,7.86632,10.17
Double Jack,Jack's Deals Jr. Bacon Cheeseburger,Chicken Teriyaki Bowl,7.8666,8.77
Classic Buttery Jack,"French Fries, Large",Jack's Spicy Chicken with Cheese,7.90254,11.67
Chicken Sandwich with Bacon,Bacon & Swiss Buttery Jack,"French Fries, Large",7.91639,8.67
Jack's Deals Chicken Nuggets (10 pc.),Double Jack,"Better for You, Chicken Teriyaki Bowl",7.96093,10.370000000000001
Jack's Deals Chicken Nuggets (20 pc.),Homestyle Ranch Chicken Club,Kids Hamburger,7.97013,13.370000000000001
Jack's Spicy Chicken with Cheese,Mini Churros (10 pc.),Spicy Sriracha Burger,7.97705,11.27
Homestyle Ranch Chicken Club,Ultimate Cheeseburger,Halfsies (in Munchie Meal),8.00948,14.67
Homestyle Ranch Chicken Club,Homestyle Ranch Chicken Club,Sourdough Grilled Chicken Club,8.02849,14.97
Spicy Chicken Biscuit,Southwest Chicken Salad with Crispy Chicken,Jack's Deals Chicken Nuggets (20 pc.),8.02965,15.17
Halfsies (in Munchie Meal),Chicken Nuggets (20 pc.),Jack's Deals Jumbo Jack Cheeseburger,8.05687,13.27
