Item 1,Item 2,Item 3,Metric,Price
Mashed Potatoes (Family),BBQ Baked Beans (Family),BBQ Baked Beans (Family),4.57699,10.77
BBQ Baked Beans (Family),Green Beans (Family),Potato Wedges (Family),4.86977,10.77
Mashed Potatoes With Gravy (Family),Potato Wedges (Family),Georgia Gold Chicken Littles®,6.56301,10.57
Potato Wedges (Family),Honey BBQ Sandwich,Macaroni & Cheese (Family),6.57131,13.17
Mashed Potatoes With Gravy (Family),Hot Honey Chicken Littles®,Potato Wedges (Family),6.58322,10.57
Potato Wedges (Family),Macaroni & Cheese,KFC® Famous Bowl,6.65624,13.370000000000001
Macaroni & Cheese (Family),Potato Wedges (Family),Nashville Hot Chicken Littles®,6.71722,12.370000000000001
HBBQ Hot Wings,BBQ Baked Beans (Family),Potato Wedges (Family),6.76876,9.37
Mashed Potatoes (Family),Colonel's Crispy Sandwich,Potato Wedges (Family),6.77252,12.57
Potato Wedges (Family),KFC Waffle,Macaroni & Cheese (Family),6.83283,13.370000000000001
Hot Honey Extra Crispy Tender (each),BBQ Baked Beans (Family),Chicken & Waffles Sandwich,6.93622,11.469999999999999
Potato Wedges (Family),BBQ Baked Beans (Family),Nashville Hot Hot Wings,6.97559,9.37
BBQ Baked Beans (Family),Potato Wedges (Family),Smoky Mountain BBQ Hot Wings,7.04967,9.37
Macaroni & Cheese,Chicken Pot Pie,Potato Wedges (Family),7.05691,8.57
KFC® Famous Bowl,Sweet Kernel Corn,Potato Salad (Family),7.13047,13.370000000000001
BBQ Baked Beans (Family),Georgia Gold Hot Wings,Potato Wedges (Family),7.26419,9.37
Smoky Mountain BBQ Sandwich,Potato Wedges (Family),Honey BBQ Sandwich,7.26475,15.57
Hot Honey Extra Crispy Chicken Breast,BBQ Baked Beans (Family),Georgia Gold Sandwich,7.27062,12.27
Hot Honey Extra Crispy Chicken Breast,BBQ Baked Beans (Family),Nashville Hot Sandwich,7.36863,12.27
Potato Wedges (Family),Smoky Mountain BBQ Sandwich,Nashville Hot Chicken Littles®,7.41066,14.77
Green Beans (Family),Potato Salad (Family),Smoky Mountain BBQ Extra Crispy Chicken Breast,7.4355,9.87
Potato Salad (Family),Hot Honey Sandwich,Corn on the Cob (Family),7.48809,15.07
BBQ Baked Beans (Family),Chicken & Waffles Sandwich,Smoky Mountain BBQ Spicy Crispy Chicken Drumstick,7.49398,14.770000000000001
Georgia Gold Sandwich,Potato Salad (Family),Sweet Kernel Corn (Family),7.52415,13.17
Smoky Mountain BBQ Sandwich,KFC Waffle,Potato Wedges (Family),7.52627,15.77
Potato Salad (Family),Sweet Kernel Corn,Chicken Pot Pie,7.53114,8.57
Georgia Gold Extra Crispy Chicken Breast,Potato Salad (Family),Green Beans (Family),7.53586,9.87
Nashville Hot Spicy Crispy Chicken Drumstick,BBQ Baked Beans (Family),Chicken & Waffles Sandwich,7.56051,14.77
Sweet Kernel Corn (Family),Chicken & Waffles Sandwich,Smoky Mountain BBQ Extra Crispy Chicken Breast,7.62051,11.47
Sweet Kernel Corn (Family),Nashville Hot Sandwich,Potato Salad (Family),7.62216,13.17
