Item 1,Item 2,Item 3,Metric,Price
"Bistro French Onion Soup, Bread Bowl","Cream of Chicken & Wild Rice Soup, Bread Bowl",Everything Bagel,4.90082,11.63
"Bistro French Onion Soup, Bread Bowl","Cream of Chicken & Wild Rice Soup, Bread Bowl",Poppyseed Bagel,4.94411,11.63
Sprouted Grain Bagel Flat,"Bistro French Onion Soup, Bread Bowl","Broccoli Cheddar Soup, Bread Bowl",4.98005,11.629999999999999
"Cream of Chicken & Wild Rice Soup, Bread Bowl",Sesame Bagel,"Bistro French Onion Soup, Bread Bowl",4.9874,11.629999999999999
Cinnamon Crunch Bagel,Sourdough Bread Bowl,"Broccoli Cheddar Soup, Bread Bowl",5.04458,8.620000000000001
"Vegetarian Creamy Tomato Soup, Bread Bowl",Everything Bagel,"Cream of Chicken & Wild Rice Soup, Bread Bowl",5.12563,11.629999999999999
"Bistro French Onion Soup, Bread Bowl","Bistro French Onion Soup, Bread Bowl",Strawberry Smoothie,5.14388,14.370000000000001
Poppyseed Bagel,"Vegetarian Creamy Tomato Soup, Bread Bowl","Cream of Chicken & Wild Rice Soup, Bread Bowl",5.16892,11.629999999999999
"Steel Cut Oatmeal with Almonds, Quinoa & Honey","Cream of Chicken & Wild Rice Soup, Bread Bowl","Bistro French Onion Soup, Bread Bowl",5.17816,14.77
"Broccoli Cheddar Soup, Bread Bowl","Vegetarian Creamy Tomato Soup, Bread Bowl",Sprouted Grain Bagel Flat,5.20485,11.63
Cinnamon Swirl & Raisin Bagel,"Cream of Chicken & Wild Rice Soup, Bread Bowl","Cream of Chicken & Wild Rice Soup, Bread Bowl",5.21101,11.92
"Vegetarian Creamy Tomato Soup, Bread Bowl",Sesame Bagel,"Cream of Chicken & Wild Rice Soup, Bread Bowl",5.21221,11.629999999999999
"Mediterranean Veggie Sandwich on Tomato Basil, Whole",Sourdough Bread Bowl,"Baked Potato Soup, Bread Bowl",5.29068,13.669999999999998
"New England Clam Chowder, Bread Bowl",Salt Bagel,Sourdough Bread Bowl,5.3003,9.47
Sourdough Bread Bowl,"Tuna Salad Sandwich on Black Pepper Focaccia, Whole",Sourdough Bread Bowl,5.35378,10.37
"Vegetarian Creamy Tomato Soup, Bread Bowl",Strawberry Smoothie,"Bistro French Onion Soup, Bread Bowl",5.36868,14.370000000000001
Cherry Vanilla Bagel,"Bistro French Onion Soup, Bread Bowl","Low-Fat Chicken Noodle Soup, Bread Bowl",5.37011,15.169999999999998
"Steel Cut Oatmeal with Almonds, Quinoa & Honey","Vegetarian Creamy Tomato Soup, Bread Bowl","Cream of Chicken & Wild Rice Soup, Bread Bowl",5.40297,14.77
Cinnamon Crunch Bagel,Blueberry Bagel,"BBQ Chicken Mac & Cheese, Bread Bowl",5.43839,8.67
"Baked Potato Soup, Bread Bowl","Bistro French Onion Soup, Bread Bowl",Strawberry Banana Smoothie,5.45557,14.870000000000001
"Cream of Chicken & Wild Rice Soup, Bread Bowl",Vegan Lentil Quinoa Broth Bowl,"Baked Potato Soup, Bread Bowl",5.46058,19.27
