Item 1,Item 2,Item 3,Metric,Price
Egg White Patty,Footlong Falafel,Footlong Malibu Garden Vegan Patty,4.73449,17.5
Footlong Crunchy Chicken Enchilada,Egg White Patty,Footlong Malibu Garden Vegan Patty,4.78958,16.75
Footlong Malibu Garden Vegan Patty,Footlong Veggie Patty,Footlong Veggie Delite,4.91891,17.0
Footlong Sea Salt & Pepper Fish,Egg White Patty,"Footlong Black Forest Ham, Egg White & Cheese",4.93418,11.0
Egg White Patty,Footlong Falafel,Footlong B.L.T.,4.93955,17.5
Footlong Crunchy Chicken Enchilada,Egg White Patty,Footlong B.L.T.,4.99464,16.75
Egg White Patty,Footlong Sunrise Subway Melt with Egg White,Footlong Sunrise Subway Melt Flatbread with Egg White,5.06135,14.25
Footlong Turkey & Bacon,Egg White Patty,Footlong Sea Salt & Pepper Fish,5.0638,15.0
Footlong Veggie Patty,Footlong Veggie Delite,Footlong B.L.T.,5.12397,17.0
Egg White Patty,Footlong Mega Melt with Egg White,"Footlong Bacon, Egg White & Cheese",5.13748,14.75
Footlong Egg White & Cheese Flatbread,Footlong Sea Salt & Pepper Fish,Chicken Enchilada,5.14702,9.75
Footlong Veggie Patty,Footlong Mega Melt with Egg White,Chicken Enchilada,5.16723,16.0
Footlong Turkey Breast,Footlong Veggie Patty,Footlong Egg White & Cheese,5.17158,18.0
Cheese Pizza,Egg White Patty,Footlong Sea Salt & Pepper Fish,5.17937,11.0
Footlong Veggie Patty,"6"" Turkey & Bacon Guacamole",Footlong Veggie Patty,5.20738,19.5
Footlong Veggie Patty,Footlong Turkey Breast & Black Forest Ham,Footlong Egg White & Cheese,5.21796,18.0
Footlong Breakfast B.M.T with Egg White,Egg White Patty,Footlong Sunrise Subway Melt Flatbread with Egg White,5.22861,13.75
Footlong Falafel,"Footlong Black Forest Ham, Egg White & Cheese",Chicken Enchilada,5.22915,13.75
Footlong Falafel,Footlong Veggie Patty,Veggie Delite Salad,5.23882,16.5
Footlong Egg White & Cheese,Footlong Egg White & Cheese Flatbread,Footlong Egg White & Cheese,5.24432,15.5
"Footlong Sausage, Egg White & Cheese",Footlong Sunrise Subway Melt Flatbread with Egg White,Egg White Patty,5.25551,15.5
Footlong Egg White & Cheese Flatbread,Footlong Veggie Delite,"Footlong Bacon, Egg White & Cheese Flatbread",5.25917,12.0
Chicken Enchilada,Footlong Crunchy Chicken Enchilada,"Footlong Black Forest Ham, Egg White & Cheese",5.28423,13.0
Veggie Delite Salad,Footlong Crunchy Chicken Enchilada,Footlong Veggie Patty,5.29391,15.75
Footlong Mega Melt Flatbread with Egg White,"Footlong Steak, Egg White & Cheese",Egg White Patty,5.29511,15.5
Footlong Mega Melt with Egg White,"Footlong Steak, Egg White & Cheese Flatbread",Egg White Patty,5.31803,14.75
Egg White Patty,Footlong Falafel,Footlong Steak & Cheese,5.34853,17.5
Egg White Patty,Footlong Chicken Parmesan,Footlong Chicken Parmesan,5.35317,21.0
Chicken Enchilada,Footlong Falafel,Footlong Turkey & Bacon,5.35878,17.75
Egg White Patty,Footlong Veggie Patty,Footlong Italian Hero Supreme,5.3688,18.0
Footlong Turkey & Bacon Guacamole,Footlong Veggie Delite,Footlong Egg White & Cheese,5.37587,18.5
"Footlong Black Forest Ham, Egg White & Cheese","Footlong Bacon, Egg White & Cheese",Footlong Veggie Delite,5.38381,12.0
Footlong Veggie Delite,"6"" Malibu Garden Vegan Patty",Footlong Falafel,5.39283,16.5
"6"" Black Forest Ham, Egg White & Cheese","Footlong Bacon, Egg White & Cheese Flatbread",Footlong Veggie Patty,5.39886,13.0
Egg White Patty,Footlong Crunchy Chicken Enchilada,Footlong Steak & Cheese,5.40361,16.75
Footlong Sunrise Subway Melt with Egg White,Chicken Enchilada,Footlong Sunrise Subway Melt with Egg White,5.40906,14.25
Footlong Turkey & Bacon,Chicken Enchilada,Footlong Crunchy Chicken Enchilada,5.41386,17.0
"Footlong Bacon, Egg White & Cheese",Footlong Veggie Patty,"6"" Steak, Egg White & Cheese",5.43472,15.5
Footlong Crunchy Chicken Enchilada,Footlong Veggie Delite,"6"" Malibu Garden Vegan Patty",5.44792,15.75
"6"" Egg White & Cheese Flatbread",Footlong Veggie Delite,Footlong Sea Salt & Pepper Fish,5.45002,10.0
"6"" Egg White & Cheese Flatbread",Footlong Veggie Patty,Footlong Turkey & Bacon Guacamole,5.45565,17.0
Footlong Mega Melt Flatbread with Egg White,Footlong Malibu Garden Vegan Patty,Chicken Enchilada,5.45744,14.25
Footlong Egg White & Cheese Flatbread,Veggie Patty,Footlong Falafel,5.464,15.0
Footlong BBQ Rib Melt,"Footlong Bacon, Egg White & Cheese",Egg White Patty,5.47058,15.0
Egg White Patty,Footlong Chicken Parmesan,Footlong Breakfast B.M.T Flatbread with Egg White,5.4724,17.0
Chicken Enchilada,Cheese Pizza,Footlong Falafel,5.47434,13.75
Egg White Patty,Footlong Malibu Garden Vegan Patty,"Footlong Pastrami Melt, Big Hot",5.47684,17.5
Footlong Chicken Parmesan,Egg White Patty,Footlong Meatball Marinara,5.48918,19.5
Footlong Turkey & Bacon Guacamole,Footlong Mediterranean Steak,Egg White Patty,5.49329,19.5
