Item 1,Item 2,Item 3,Metric,Price
Spicy Chicken Sandwich,Two Sausage Biscuits,"Natural-Cut Fries, Large",7.53532,6.57
"Natural-Cut Fries, Large",Two Sausage Biscuits,Homestyle Chicken Sandwich,7.66332,10.27
Two Sausage Biscuits,"Classic Chocolate Frosty, Large","Vanilla Frosty, Medium",7.98002,6.67
"Classic Chocolate Frosty, Medium","Vanilla Frosty, Large",Two Sausage Biscuits,7.9991,6.37
"Classic Chocolate Frosty, Large",Chili & Cheese Baked Potato,Baconator,8.02876,11.27
Sausage and Gravy Biscuit,Dave's Triple,"Natural-Cut Fries, Medium",8.10884,9.07
"Vanilla Frosty, Large",Two Sausage Biscuits,"Taco Salad, Half Size",8.11055,5.87
"Natural-Cut Fries, Small",Dave's Triple,"Classic Chocolate Frosty, Large",8.13926,10.07
Dave's Triple,Baconator Fries,"Natural-Cut Fries, Medium",8.2055,14.17
"Natural-Cut Fries, Large",Dave's Double,"Taco Salad, Full Size",8.22416,5.77
Dave's Double,Two Sausage Biscuits,"Seasoned Home-Style Potatoes, Small",8.23561,7.470000000000001
Dave's Triple,"Taco Salad, Full Size","Seasoned Home-Style Potatoes, Medium",8.29829,9.870000000000001
Dave's Double,Two Sausage Biscuits,"Natural-Cut Fries, Junior",8.31654,7.67
Spicy Asiago Ranch Club,Spicy Asiago Ranch Club,"Taco Salad, Full Size",8.31997,12.47
"Natural-Cut Fries, Small","Spicy Caesar Chicken Salad, Full Size",Two Sausage Biscuits,8.3293,11.770000000000001
Homestyle Asiago Ranch Chicken Club,"Natural-Cut Fries, Large",Dave's Double,8.34327,9.77
Chili & Cheese Baked Potato,Dave's Triple,"Vanilla Frosty, Medium",8.34484,9.97
"Classic Chocolate Frosty, Medium",Dave's Triple,Bacon Cheese Baked Potato,8.38833,10.97
"Seasoned Home-Style Potatoes, Medium",Homestyle Asiago Ranch Chicken Club,Dave's Triple,8.4174,13.870000000000001
Spicy Asiago Ranch Club,Homestyle Asiago Ranch Chicken Club,Spicy Asiago Ranch Club,8.43909,16.47
Dave's Triple,"Taco Salad, Half Size",Bacon Cheese Baked Potato,8.49978,10.47
Spicy Chicken Wrap,Spicy Asiago Ranch Club,Two Sausage Biscuits,8.53277,13.57
Two Sausage Biscuits,Grilled Asiago Ranch Club,Spicy Chicken Sandwich,8.56808,9.870000000000001
"Classic Chocolate Frosty, Medium",Two Sausage Biscuits,Dave's Single,8.5842,6.87
Spicy Asiago Ranch Club,Grilled Chicken Sandwich,Two Sausage Biscuits,8.69564,9.870000000000001
Two Sausage Biscuits,Dave's Single,"Taco Salad, Half Size",8.69565,6.37
Homestyle Chicken Sandwich,Grilled Asiago Ranch Club,Two Sausage Biscuits,8.69608,13.57
Two Sausage Biscuits,Bacon Cheese Baked Potato,"Southwest Avocado Chicken Salad, Full Size",8.70583,12.97
Dave's Triple,Jr. Bacon Cheeseburger,"Natural-Cut Fries, Large",8.70832,10.27
Two Sausage Biscuits,Jr. Bacon Cheeseburger,"Taco Salad, Full Size",8.74149,6.87
Cheese Baked Potato,Sausage Biscuit,Dave's Triple,8.79333,12.370000000000001
Baconator,"Natural-Cut Fries, Medium",Son of Baconator,8.80055,12.77
Sausage and Gravy Biscuit,Crispy Chicken BLT,Dave's Triple,8.81653,8.07
Dave's Triple,"Southwest Avocado Chicken Salad, Full Size",Sour Cream and Chive Baked Potato,8.82318,15.57
"Vanilla Frosty, Small",Dave's Triple,"Vanilla Frosty, Large",8.83852,8.07
Two Sausage Biscuits,Homestyle Asiago Ranch Chicken Club,Jr. Bacon Cheeseburger,8.86061,10.870000000000001
Baconator Fries,Dave's Triple,Crispy Chicken BLT,8.91319,13.17
"Classic Chocolate Frosty, Large",Baconator,"Berry Burst Chicken Salad, Full Size",8.94726,15.07
Sausage Biscuit,Two Sausage Biscuits,"Apple Pecan Chicken Salad, Full Size",8.97203,13.47
Baconator,Sausage Biscuit,"Vanilla Frosty, Large",8.98237,10.47
Sausage and Gravy Biscuit,Baconator,"Apple Pecan Chicken Salad, Full Size",8.99173,13.77
"Taco Salad, Full Size","Chili, Large",Dave's Triple,8.99716,10.370000000000001
Baconator,Baconator Fries,"Apple Pecan Chicken Salad, Full Size",9.08838,18.87
Spicy Asiago Ranch Club,Kids Hamburger,Dave's Triple,9.10357,14.97
"Classic Chocolate Frosty, Small",Dave's Triple,"Apple Pecan Chicken Salad, Full Size",9.10953,13.77
Homestyle Asiago Ranch Chicken Club,"Chili, Large",Dave's Triple,9.11628,14.370000000000001
"Apple Pecan Chicken Salad, Half Size","Vanilla Frosty, Large",Dave's Triple,9.11634,11.77
Chili Cheese Fries,Dave's Triple,"Spicy Caesar Chicken Salad, Half Size",9.20536,12.969999999999999
Dave's Triple,Garden Side Salad,"Taco Salad, Full Size",9.20669,9.07
"Classic Chocolate Frosty, Medium","Spicy Caesar Chicken Salad, Full Size",Dave's Double,9.21758,10.77
Jr. Cheeseburger Deluxe,"Vanilla Frosty, Large",Dave's Triple,9.22991,8.969999999999999
Dave's Double,Grilled Asiago Ranch Club,"Taco Salad, Full Size",9.25691,9.07
Crispy Chicken Sandwich,Baconator,"Spicy Caesar Chicken Salad, Full Size",9.25797,13.77
Dave's Triple,"Vanilla Frosty, Medium","Berry Burst Chicken Salad, Full Size",9.26334,13.77
Spicy Asiago Ranch Club,Jr. Bacon Cheeseburger,Baconator,9.27999,13.57
Dave's Triple,Homestyle Asiago Ranch Chicken Club,Garden Side Salad,9.3258,13.07
"Taco Salad, Half Size",Dave's Double,"Spicy Caesar Chicken Salad, Full Size",9.32903,10.27
Caesar Side Salad,Spicy Asiago Ranch Club,Dave's Triple,9.33625,13.07
"Classic Chocolate Frosty, Large",Dave's Double,"Southwest Avocado Chicken Salad, Full Size",9.34504,11.07
Baconator,Sugar Cookie,"Spicy Caesar Chicken Salad, Full Size",9.35898,14.17
Sausage and Gravy Biscuit,Dave's Triple,10 Piece Chicken Nuggets,9.36549,10.77
Grilled Asiago Ranch Club,Homestyle Asiago Ranch Chicken Club,Dave's Double,9.37603,13.07
"Spicy Caesar Chicken Salad, Half Size",Honey Butter Chicken Biscuit,Dave's Triple,9.39064,15.47
"Spicy Caesar Chicken Salad, Half Size",Two Sausage Biscuits,Son of Baconator,9.39109,12.77
Dave's Single,"Vanilla Frosty, Small",Dave's Triple,9.42362,8.57
Baconator Fries,Dave's Triple,10 Piece Chicken Nuggets,9.46214,15.87
"Vanilla Frosty, Medium",Baconator,"Southwest Avocado Chicken Salad, Full Size",9.5079,13.77
Baconator,Crispy Chicken BLT,Son of Baconator,9.50824,11.77
Double Stack,6 Piece Chicken Tenders,Two Sausage Biscuits,9.54421,9.17
Double Stack,Baconator,"Taco Salad, Full Size",9.55025,9.67
Dave's Triple,"Spicy Caesar Chicken Salad, Full Size","Vanilla Frosty, Junior",9.5639,13.770000000000001
Dave's Single,Sausage Biscuit,Baconator,9.56747,10.969999999999999
Dave's Double,Baconator,Kids Hamburger,9.57943,11.57
Homestyle Asiago Ranch Chicken Club,Baconator,Double Stack,9.66936,13.67
"Southwest Avocado Chicken Salad, Full Size",Chocolate Chunk Cookie,Dave's Triple,9.67474,14.17
Dave's Triple,6 Picece Chicken Nuggets,"Taco Salad, Full Size",9.69223,11.27
"Apple Pecan Chicken Salad, Half Size",Dave's Single,Dave's Triple,9.70144,12.27
"Spicy Caesar Chicken Salad, Full Size","Apple Pecan Chicken Salad, Full Size","Spicy Caesar Chicken Salad, Full Size",9.72416,20.07
Jr. Bacon Cheeseburger,Dave's Triple,Grilled Asiago Ranch Club,9.74107,13.57
Sausage Biscuit,Dave's Triple,4 Piece Chicken Tenders,9.8037,13.17
6 Picece Chicken Nuggets,Dave's Triple,Homestyle Asiago Ranch Chicken Club,9.81134,15.27
Baconator,Dave's Double,Caesar Side Salad,9.81211,9.67
Jr. Cheeseburger Deluxe,Dave's Single,Dave's Triple,9.81501,9.469999999999999
"Apple Pecan Chicken Salad, Full Size",Son of Baconator,Dave's Double,9.83665,13.47
Kids Cheeseburger,Dave's Triple,Son of Baconator,9.88278,14.469999999999999
6 Piece Chicken Tenders,"Spicy Caesar Chicken Salad, Full Size",Son of Baconator,9.89186,15.07
Son of Baconator,Jr. Cheeseburger,Dave's Triple,9.90659,11.77
Jr. Bacon Cheeseburger,Dave's Double,Dave's Double,9.90907,6.17
3 Piece Chicken Tenders,"Spicy Caesar Chicken Salad, Full Size",Baconator,9.94484,16.47
10 Piece Chicken Nuggets,Baconator,Son of Baconator,10.0572,14.469999999999999
Plain Baked Potato,Sausage Breakfast Bowl,Dave's Triple,10.07131,11.17
"Natural-Cut Fries, Large",Bacon Breakfast Bowl,Two Sausage Biscuits,10.16498,8.47
Two Sausage Biscuits,Biggie Breakfast Sandwich,Cheese Baked Potato,10.43961,7.27
Gravy and Sausage Bowl,Two Sausage Biscuits,"Classic Chocolate Frosty, Large",10.6313,7.17
"Vanilla Frosty, Medium",Two Sausage Biscuits,Fresh Baked Biscuit with Natural Sausage,10.78566,6.57
Baconator,Chili & Cheese Baked Potato,Fresh Baked Biscuit with Natural Sausage,10.8344,11.17
Two Sausage and Egg Burritos,Two Sausage Biscuits,"Natural-Cut Fries, Small",10.93212,6.07
"Natural-Cut Fries, Small",Fresh Baked Biscuit with Natural Sausage,Dave's Triple,10.94489,9.969999999999999
Chili & Cheese Baked Potato,Gravy and Sausage Bowl,Dave's Triple,10.99612,10.469999999999999
Baconator,Biggie Breakfast Sandwich,Bacon Cheese Baked Potato,11.01788,9.97
Two Sausage Biscuits,Bacon Breakfast Bowl,Grilled Asiago Ranch Club,11.19773,11.77
Spicy Asiago Ranch Club,Biggie Breakfast Sandwich,"Spicy Caesar Chicken Salad, Full Size",11.37127,13.170000000000002
Biggie Breakfast Sandwich,4 Piece Chicken Tenders,Two Sausage Biscuits,11.44998,8.07
Dave's Triple,Sausage Breakfast Bowl,Grilled Chicken Wrap,11.47776,12.07
