Item 1,Item 2,Item 3,Metric,Price
Large White Bun,Pancakes,Grilled Cheese Kid's Meal,5.74312,7.82
Whataburger Jr. Whatameal,Whataburger Jr. Whatameal,Large White Bun,5.80752,10.52
Whatachick'n Sandwich Whatameal,Texas Toast (2 Slices),"French Fries, Medium",5.88168,8.48
Pancake Platter with Bacon,Large White Bun,Pancake Platter with Sausage Whatameal,5.89092,9.719999999999999
Jalapeno & Cheese Whataburger Whatameal,Texas Toast (2 Slices),Hot Apple Pie,5.89602,5.48
"Whatachick'n Strips, 3 Piece Whatameal",Texas Toast (2 Slices),Whataburger Jr.,5.9044,6.48
Texas Toast (2 Slices),Justaburger Kid's Meal with Lower Calorie Sides,Grilled Chicken Sandwich Whatameal,5.9066,12.23
Large White Bun,Whataburger Whatameal,"French Fries, Small",5.92309,8.969999999999999
"Whataburger Patty Melt, Single Whatameal",Texas Toast (2 Slices),Whataburger Jr.,5.94645,9.98
Justaburger Kid's Meal,Pancake Platter with Sausage,Large White Bun,5.95009,8.52
Texas Toast (2 Slices),Grilled Chicken Melt Whatameal,"French Fries, Large",5.95059,8.98
Texas Toast (2 Slices),Pancake Platter with Sausage,Whatachick'n Strips 2 Piece Kid's Meal,5.98299,7.68
Justaburger Kid's Meal with Lower Calorie Sides,Pancakes,Whataburger Jr. Whatameal,6.01839,12.52
Honey BBQ Chicken Strip Sandwich Jr. Whatameal,Large White Bun,Biscuit,6.04142,10.22
Biscuit and Jelly,Green Chile Double Jr. Whatameal,Large White Bun,6.05063,11.370000000000001
Texas Toast (2 Slices),Monterey Melt Jr. Whatameal,Whataburger Jr. Whatameal with Lower Calorie Sides,6.05498,12.129999999999999
Whataburger Jr. Whatameal with Lower Calorie Sides,Chop House Cheddar Burger Jr. Whatameal,Texas Toast (2 Slices),6.06013,10.13
Large White Bun,"Whatachick'n Bites, 6 Piece Whatameal",Whataburger Jr.,6.07097,7.619999999999999
Honey BBQ Chicken Strip Sandwich Whatameal with Lower Calorie Sides,Pancake Platter with Bacon Whatameal,Texas Toast (2 Slices),6.11619,12.18
Jalapeno Cheddar Biscuit and Gravy Whatameal,Grilled Cheese Kid's Meal,Texas Toast (2 Slices),6.15842,6.58
Large White Bun,Grilled Cheese Kid's Meal,Whataburger Whatameal with Lower Calorie Sides,6.16819,10.620000000000001
Whole Grain Bun,Medium French Fry,Whatachick'n Sandwich Whatameal,6.17841,10.97
Pancake Platter with Sausage Whatameal,Honey Butter Chicken Biscuit Whatameal,Texas Toast (2 Slices),6.17942,7.38
Hot Apple Pie,Jalapeno & Cheese Whataburger Whatameal,Whole Grain Bun,6.19275,7.720000000000001
Biscuit with Bacon,Large White Bun,Whatachick'n Sandwich Whatameal,6.20109,10.870000000000001
Whole Grain Bun,"Whatachick'n Strips, 3 Piece Whatameal",Whataburger Jr.,6.20113,8.72
Sweet & Spicy Bacon Burger Jr. Whatameal,Large French Fry,Large White Bun,6.20188,9.17
Grilled Chicken Sandwich Whatameal,Whole Grain Bun,Justaburger Kid's Meal with Lower Calorie Sides,6.20333,14.47
Texas Toast (2 Slices),Double Meat Whataburger Jr.,Whatachick'n Sandwich Whatameal,6.21666,9.73
Texas Toast (2 Slices),Chop House Cheddar Burger Whatameal with Lower Calorie Sides,Pancakes,6.22118,10.379999999999999
Large White Bun,Monterey Melt Jr. Whatameal,Hot Apple Pie,6.22202,10.22
Small French Fry,Pancake Platter with Bacon Whatameal,Whataburger Jr. Whatameal,6.22608,10.82
Large White Bun,Chop House Cheddar Burger Jr. Whatameal,Hot Apple Pie,6.22717,8.219999999999999
Grilled Cheese Kid's Meal,Kids Justaburger,Pancakes,6.24038,9.17
"Whataburger Patty Melt, Single Whatameal",Whataburger Jr.,Whole Grain Bun,6.24319,12.22
Whole Grain Bun,Large French Fry,Grilled Chicken Melt Whatameal,6.24732,11.22
Grilled Cheese Kid's Meal,Pancakes,"Onion Rings, Medium",6.24875,8.07
Pancake Platter with Sausage Whatameal,Large White Bun,Biscuit and Gravy Whatameal,6.2583,9.969999999999999
Justaburger Kid's Meal,Justaburger Kid's Meal,"French Fries, Small",6.2607,7.92
Texas Toast (2 Slices),Bacon & Cheese Whataburger,Pancake Platter with Sausage Whatameal,6.26681,9.58
Chicken Fajita Taco Whatameal,Honey BBQ Chicken Strip Sandwich Jr. Whatameal with Lower Calorie Sides,Texas Toast (2 Slices),6.27262,14.03
Hot Apple Pie,Justaburger Kid's Meal,Pancake Platter with Bacon Whatameal,6.2796,8.57
Whole Grain Bun,Pancake Platter with Sausage,Whatachick'n Strips 2 Piece Kid's Meal,6.27973,9.920000000000002
Grilled Chicken Sandwich Whatameal,Texas Toast (2 Slices),Jalapeno Cheddar Biscuit and Gravy,6.29288,9.43
Biscuit,Justaburger Kid's Meal,Whataburger Jr. Whatameal,6.2981,8.52
Double Meat Whataburger,Pancake Platter with Bacon Whatameal,Large White Bun,6.30412,10.82
Whataburger Jr. Whatameal,Whataburger Jr. Whatameal,Kids Justaburger,6.30478,11.87
Whataburger Jr. Whatameal,"Onion Rings, Medium",Whataburger Jr. Whatameal,6.31315,10.77
Texas Toast (2 Slices),Grilled Chicken Melt Whatameal,Honey Butter Chicken Biscuit,6.31345,9.48
Biscuit with Bacon,Pancake Platter with Sausage Whatameal,Pancakes,6.33311,9.77
Whataburger Jr. Whatameal with Lower Calorie Sides,Whole Grain Bun,Monterey Melt Jr. Whatameal,6.35171,14.370000000000001
Whataburger Jr. Whatameal with Lower Calorie Sides,Whole Grain Bun,Chop House Cheddar Burger Jr. Whatameal,6.35686,12.370000000000001
Large White Bun,Jalapeno Cheddar Biscuit,Green Chile Double Jr. Whatameal,6.36546,11.370000000000001
Pancake Platter with Bacon,Pancake Platter with Sausage Whatameal,Kids Justaburger,6.38818,11.07
Chop House Cheddar Burger,Pancake Platter with Bacon,Texas Toast (2 Slices),6.38995,9.28
"Onion Rings, Medium",Pancake Platter with Bacon,Pancake Platter with Sausage Whatameal,6.39655,9.969999999999999
Cinnamon Roll,Whatachick'n Strips 2 Piece Kid's Meal,Pancakes,6.40344,15.669999999999998
Pancakes,Jalapeno Cheddar Biscuit and Gravy,Whataburger Jr. Whatameal,6.40467,9.719999999999999
Kids Grilled Cheese,Pancakes,Justaburger Kid's Meal,6.40599,9.17
Pancake Platter with Sausage,Biscuit,Pancake Platter with Bacon Whatameal,6.40605,8.870000000000001
Honey BBQ Chicken Strip Sandwich Whatameal with Lower Calorie Sides,Pancake Platter with Bacon Whatameal,Whole Grain Bun,6.41292,14.42
Kids Justaburger,Whataburger Whatameal,Small French Fry,6.42035,10.87
Pancake Platter with Sausage,Whataburger Jr.,Whataburger Jr. Whatameal,6.42096,10.02
"Onion Rings, Medium","French Fries, Small",Whataburger Whatameal,6.42872,9.219999999999999
Justaburger Kid's Meal with Lower Calorie Sides,Whataburger Jr. Whatameal,Whataburger Whatameal with Lower Calorie Sides,6.44346,15.32
Kids Justaburger,Justaburger Kid's Meal,Pancake Platter with Sausage,6.44734,9.870000000000001
