Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price,Carbs Metric,Cholesterol Metric,Protein Metric,Fat Metric,Sodium Metric,Saturated Fat Metric
Bacon & Egg Burrito,,34.0,38,26,1,1,1000,375,570,18.0,0.0,3.29,0.4444444444444445,4.385964912280702,1.824561403508772,1.5493278651173388,1.4619883040935673,3.1578947368421053
"Bacon, Egg & Cheese Biscuit (California only)",,28.0,38,15,3,2,1130,190,470,15.0,0.0,2.79,0.5390070921985817,2.6950354609929077,1.276595744680851,1.5473887814313347,2.00354609929078,3.1914893617021276
"Bacon, Egg & Cheese Biscuit (outside California)",,30.0,38,15,3,3,1180,190,480,12.0,6.0,2.79,0.5277777777777778,2.638888888888889,1.25,1.6233766233766234,2.048611111111111,2.5
Big Country Breakfast Burrito,,43.0,55,25,2,3,1380,370,720,18.0,0.0,3.49,0.5092592592592593,3.4259259259259256,1.3888888888888888,1.5512265512265513,1.5972222222222223,2.5
Biscuit 'N' Gravy (California only),,24.0,50,9,3,3,1320,10,450,12.0,0.0,4.19,0.7407407407407407,0.14814814814814817,0.8,1.3852813852813854,2.444444444444444,2.666666666666667
Biscuit 'N' Gravy (outside California),,26.0,49,9,2,3,1390,10,460,7.0,7.0,4.19,0.7101449275362319,0.14492753623188406,0.782608695652174,1.4680971202710333,2.518115942028986,1.5217391304347827
"Grilled Cheese Breakfast Sandwich, Bacon",,30.0,39,26,4,1,1290,215,510,15.0,0.5,3.49,0.5098039215686275,2.8104575163398695,2.0392156862745097,1.5278838808250572,2.107843137254902,2.941176470588235
"Grilled Cheese Breakfast Sandwich, Ham",,25.0,40,29,4,1,1650,220,490,13.0,0.5,3.49,0.5442176870748299,2.993197278911565,2.36734693877551,1.3252054068380599,2.806122448979592,2.6530612244897958
"Grilled Cheese Breakfast Sandwich, Sausage",,43.0,40,30,4,2,1500,235,640,19.0,0.5,3.49,0.4166666666666667,2.447916666666667,1.875,1.74512987012987,1.953125,2.96875
"Hash Brown Nuggets, Large",,37.0,52,5,0,5,710,0,560,7.0,0.0,1.99,0.6190476190476191,0.0,0.3571428571428571,1.7161410018552876,1.056547619047619,1.25
"Hash Brown Nuggets, Medium",,26.0,36,3,0,4,490,0,390,4.5,0.0,1.59,0.6153846153846154,0.0,0.3076923076923077,1.7316017316017316,1.047008547008547,1.153846153846154
"Hash Brown Nuggets, Small",,23.0,32,3,0,3,440,0,350,4.0,0.0,1.39,0.6095238095238096,0.0,0.34285714285714286,1.7068645640074211,1.0476190476190477,1.1428571428571428
Loaded Breakfast Burrito,,48.0,53,31,2,3,1500,395,780,22.0,0.0,3.49,0.452991452991453,3.376068376068376,1.5897435897435896,1.5984015984015985,1.6025641025641026,2.8205128205128207
