Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price,Carbs Metric,Cholesterol Metric,Protein Metric,Fat Metric,Sodium Metric,Saturated Fat Metric
"Bacon, Egg & Cheese Biscuit",,21.0,40,15,1,2,1240,170,420,11.0,0,2.59,0.6349206349206349,2.6984126984126986,1.4285714285714284,1.2987012987012987,2.4603174603174605,2.619047619047619
"Bacon, Egg, & Cheese Muffin",,12.0,31,16,1,1,710,170,300,5.0,0,2.59,0.6888888888888889,3.7777777777777777,2.1333333333333333,1.0389610389610389,1.9722222222222223,1.6666666666666667
Buttered Biscuit,,13.0,41,4,4,4,710,0,300,7.0,0,0.89,0.9111111111111111,0.0,0.5333333333333333,1.1255411255411256,1.9722222222222223,2.3333333333333335
"Chick-n-Minis, 4-Count",,14.0,37,19,6,2,860,55,350,4.0,0,2.99,0.7047619047619048,1.0476190476190477,2.1714285714285713,1.0389610389610389,2.047619047619048,1.1428571428571428
"Chicken, Egg & Cheese Bagel",,18.0,51,27,8,3,1310,195,480,5.0,0,3.39,0.7083333333333334,2.7083333333333335,2.25,0.974025974025974,2.2743055555555554,1.0416666666666665
Chicken Biscuit,,32.0,50,17,5,4,1310,35,450,8.0,0,2.35,0.7407407407407407,0.5185185185185186,1.511111111111111,1.847041847041847,2.425925925925926,1.7777777777777777
Egg White Grill,,7.0,31,25,1,1,970,55,300,3.0,0,3.39,0.6888888888888889,1.222222222222222,3.333333333333333,0.6060606060606061,2.6944444444444446,1.0
Greek Yogurt Parfait with Chocolate Cookie Crumbs,,8.0,26,11,21,1,95,25,210,0.0,0,2.45,0.8253968253968255,0.7936507936507936,2.0952380952380953,0.9894867037724181,0.376984126984127,0.0
Greek Yogurt Parfait with Granola,,8.0,29,12,22,2,95,25,240,0.0,0,2.45,0.8055555555555556,0.6944444444444445,2.0,0.8658008658008658,0.3298611111111111,0.0
Hash Brown Scramble Bowl,,29.0,21,31,1,4,1230,370,460,9.0,0,0.99,0.30434782608695654,5.362318840579711,2.6956521739130435,1.6374929418407678,2.2282608695652173,1.956521739130435
Hash Brown Scramble Burrito,,38.0,50,35,1,5,1680,370,680,0.0,0,0.99,0.4901960784313726,3.627450980392157,2.0588235294117645,1.4514896867838045,2.058823529411765,0.0
