Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price,Carbs Metric,Cholesterol Metric,Protein Metric,Fat Metric,Sodium Metric,Saturated Fat Metric
"Buffalo Chicken Hand Tossed Pizza, Large",134,15.0,35,17,2,1,890,45,340,8.0,0.0,11.99,0.6862745098039216,0.8823529411764707,2.0,1.145912910618793,2.181372549019608,2.3529411764705883
"Buffalo Chicken Hand Tossed Pizza, Medium",101,12.0,26,13,2,1,670,35,260,6.0,0.0,13.99,0.6666666666666667,0.8974358974358975,2.0,1.1988011988011988,2.147435897435898,2.307692307692308
"Buffalo Chicken Hand Tossed Pizza, Small",94,11.0,25,11,1,1,660,30,240,5.0,0.0,11.99,0.6944444444444445,0.8333333333333334,1.8333333333333333,1.1904761904761905,2.291666666666667,2.083333333333333
"Buffalo Chicken Hand Tossed Pizza, XLarge",174,19.0,46,21,3,2,1150,60,450,10.0,0.5,11.99,0.6814814814814816,0.888888888888889,1.8666666666666667,1.0966810966810967,2.1296296296296298,2.2222222222222223
"Cali Chicken Bacon Ranch Hand Tossed Pizza, Large",148,20.0,36,17,2,2,880,50,400,7.0,0.0,11.99,0.6,0.8333333333333334,1.7000000000000002,1.2987012987012987,1.8333333333333335,1.7500000000000002
"Cali Chicken Bacon Ranch Hand Tossed Pizza, Medium",110,15.0,26,13,2,1,660,40,300,5.0,0.0,13.99,0.5777777777777778,0.888888888888889,1.7333333333333334,1.2987012987012987,1.8333333333333335,1.6666666666666667
"Cali Chicken Bacon Ranch Hand Tossed Pizza, Small",99,13.0,25,12,1,1,600,35,270,4.5,0.0,11.99,0.6172839506172839,0.8641975308641975,1.777777777777778,1.2506012506012505,1.851851851851852,1.6666666666666667
"Cali Chicken Bacon Ranch Hand Tossed Pizza, XLarge",192,26.0,47,22,3,2,1150,65,520,9.0,0.5,11.99,0.6025641025641025,0.8333333333333334,1.6923076923076925,1.2987012987012987,1.842948717948718,1.7307692307692308
"Deluxe Hand Tossed Pizza, Large",146,13.0,37,12,3,2,670,25,320,5.0,0.0,9.99,0.7708333333333334,0.5208333333333334,1.5,1.0551948051948052,1.7447916666666667,1.5625
"Deluxe Hand Tossed Pizza, Medium",106,10.0,27,9,2,2,490,20,230,4.0,0.0,7.99,0.782608695652174,0.5797101449275363,1.565217391304348,1.129305477131564,1.7753623188405798,1.7391304347826086
"Deluxe Hand Tossed Pizza, Small",98,9.0,25,9,2,1,460,15,220,3.5,0.0,5.99,0.7575757575757576,0.45454545454545453,1.6363636363636362,1.062573789846517,1.7424242424242424,1.5909090909090908
"Deluxe Hand Tossed Pizza, XLarge",191,17.0,48,16,4,3,890,35,410,7.0,0.0,9.99,0.7804878048780488,0.5691056910569107,1.5609756097560976,1.0769718086791258,1.8089430894308944,1.707317073170732
"ExtravaganZZa Hand Tossed Pizza, Large",178,18.0,38,17,3,2,970,40,390,7.0,0.0,11.99,0.6495726495726496,0.6837606837606838,1.7435897435897436,1.1988011988011988,2.072649572649573,1.7948717948717947
"ExtravaganZZa Hand Tossed Pizza, Medium",129,13.0,28,12,2,2,710,30,280,5.0,0.0,13.99,0.6666666666666667,0.7142857142857143,1.7142857142857144,1.2059369202226344,2.113095238095238,1.7857142857142856
"ExtravaganZZa Hand Tossed Pizza, Small",118,12.0,26,11,2,2,650,30,260,5.0,0.0,11.99,0.6666666666666667,0.7692307692307693,1.6923076923076925,1.1988011988011988,2.0833333333333335,1.9230769230769231
"ExtravaganZZa Hand Tossed Pizza, XLarge",235,24.0,50,22,4,3,1310,55,510,10.0,0.5,11.99,0.6535947712418301,0.7189542483660132,1.7254901960784315,1.2223071046600458,2.140522875816994,1.9607843137254901
"Honolulu Hawaiian Hand Tossed Pizza, Large",146,13.0,38,15,4,2,830,35,330,6.0,0.0,11.99,0.7676767676767677,0.7070707070707071,1.8181818181818183,1.0232192050373867,2.095959595959596,1.8181818181818181
"Honolulu Hawaiian Hand Tossed Pizza, Medium",107,10.0,28,11,3,1,610,30,240,4.0,0.0,13.99,0.7777777777777778,0.8333333333333334,1.8333333333333333,1.0822510822510822,2.1180555555555554,1.6666666666666667
"Honolulu Hawaiian Hand Tossed Pizza, Small",99,9.0,26,10,3,1,560,25,230,4.0,0.0,11.99,0.7536231884057971,0.7246376811594203,1.7391304347826086,1.0163749294184077,2.028985507246377,1.7391304347826086
"Honolulu Hawaiian Hand Tossed Pizza, Xlarge",192,16.0,49,19,6,3,1090,50,430,7.0,0.0,11.99,0.7596899224806202,0.7751937984496124,1.7674418604651163,0.9664753850800363,2.112403100775194,1.627906976744186
"MeatZZa Hand Tossed Pizza, Large",155,17.0,37,16,3,2,930,40,370,7.0,0.0,9.99,0.6666666666666667,0.7207207207207208,1.7297297297297298,1.1934011934011934,2.0945945945945947,1.891891891891892
"MeatZZa Hand Tossed Pizza, Medium",113,13.0,27,12,2,1,680,30,270,5.0,0.0,7.99,0.6666666666666667,0.7407407407407407,1.777777777777778,1.2506012506012505,2.0987654320987654,1.8518518518518516
"MeatZZa Hand Tossed Pizza, Small",106,12.0,26,11,2,1,630,30,260,5.0,0.0,11.99,0.6666666666666667,0.7692307692307693,1.6923076923076925,1.1988011988011988,2.019230769230769,1.9230769230769231
"MeatZZa Hand Tossed Pizza, XLarge",204,23.0,48,22,4,3,1250,55,490,10.0,0.5,9.99,0.6530612244897959,0.7482993197278912,1.7959183673469385,1.2191889742910151,2.1258503401360547,2.0408163265306123
"Memphis BBQ Chicken Hand Tossed Pizza, Large",141,14.0,39,17,6,2,660,40,350,7.0,0.0,11.99,0.7428571428571429,0.7619047619047619,1.9428571428571428,1.0389610389610389,1.5714285714285714,2.0
"Memphis BBQ Chicken Hand Tossed Pizza, Medium",105,10.0,29,12,4,1,490,30,260,5.0,0.0,13.99,0.7435897435897436,0.7692307692307693,1.8461538461538463,0.999000999000999,1.5705128205128205,1.9230769230769231
"Memphis BBQ Chicken Hand Tossed Pizza, Small",94,9.0,27,11,3,1,430,25,240,4.0,0.0,11.99,0.75,0.6944444444444445,1.8333333333333333,0.974025974025974,1.4930555555555556,1.6666666666666667
"Memphis BBQ Chicken Hand Tossed Pizza, XLarge",183,17.0,52,21,7,2,850,55,450,9.0,0.5,11.99,0.7703703703703704,0.8148148148148148,1.8666666666666667,0.9812409812409812,1.5740740740740742,2.0
"Pacific Veggie Hand Tossed Pizza, Large",151,11.0,37,13,3,2,660,30,310,5.0,0.0,11.99,0.7956989247311829,0.6451612903225806,1.6774193548387097,0.9216589861751152,1.7741935483870968,1.6129032258064515
"Pacific Veggie Hand Tossed Pizza, Medium",110,8.0,27,10,2,2,490,20,230,4.0,0.0,13.99,0.782608695652174,0.5797101449275363,1.7391304347826086,0.9034443817052513,1.7753623188405798,1.7391304347826086
"Pacific Veggie Hand Tossed Pizza, Small",98,8.0,25,9,2,1,430,20,210,3.5,0.0,11.99,0.7936507936507936,0.6349206349206349,1.7142857142857144,0.9894867037724181,1.7063492063492063,1.6666666666666667
"Pacific Veggie Hand Tossed Pizza, XLarge",194,14.0,48,17,4,3,840,35,390,7.0,0.0,11.99,0.8205128205128206,0.5982905982905983,1.7435897435897436,0.9324009324009324,1.794871794871795,1.7948717948717947
"Philly Cheese Steak Hand Tossed Pizza, Large",130,13.0,35,14,2,2,730,35,310,6.0,0.0,11.99,0.7526881720430108,0.7526881720430108,1.8064516129032258,1.0892333472978635,1.9623655913978497,1.935483870967742
"Philly Cheese Steak Hand Tossed Pizza, Medium",97,10.0,26,10,2,1,570,25,230,5.0,0.0,13.99,0.7536231884057971,0.7246376811594203,1.7391304347826086,1.129305477131564,2.0652173913043477,2.1739130434782608
"Philly Cheese Steak Hand Tossed Pizza, Small",90,9.0,25,10,2,1,520,25,220,4.5,0.0,11.99,0.7575757575757576,0.7575757575757576,1.8181818181818183,1.062573789846517,1.96969696969697,2.0454545454545454
"Philly Cheese Steak Hand Tossed Pizza, XLarge",169,16.0,46,17,3,2,930,45,400,8.0,0.5,11.99,0.7666666666666667,0.75,1.7000000000000002,1.0389610389610389,1.9375000000000002,2.0
"Spinach & Feta Hand Tossed Pizza, Large",127,14.0,35,14,1,2,610,35,320,7.0,0.0,11.99,0.7291666666666667,0.7291666666666667,1.75,1.1363636363636362,1.5885416666666667,2.1875
"Spinach & Feta Hand Tossed Pizza, Medium",93,10.0,26,10,1,1,450,25,240,5.0,0.0,13.99,0.7222222222222223,0.6944444444444445,1.6666666666666665,1.0822510822510822,1.5625,2.083333333333333
"Spinach & Feta Hand Tossed Pizza, XLarge",164,17.0,46,18,2,2,770,45,410,9.0,0.5,11.99,0.7479674796747968,0.7317073170731707,1.7560975609756095,1.0769718086791258,1.565040650406504,2.195121951219512
"Ultimate Pepperoni Hand Tossed Pizza, Large",139,17.0,36,16,3,2,890,45,370,8.0,0.0,11.99,0.6486486486486487,0.8108108108108109,1.7297297297297298,1.1934011934011934,2.0045045045045047,2.1621621621621623
"Ultimate Pepperoni Hand Tossed Pizza, Medium",102,13.0,26,12,2,1,660,30,270,6.0,0.0,13.99,0.6419753086419754,0.7407407407407407,1.777777777777778,1.2506012506012505,2.037037037037037,2.2222222222222223
"Ultimate Pepperoni Hand Tossed Pizza, Small",95,12.0,25,11,2,1,610,30,250,5.0,0.0,11.99,0.6666666666666667,0.8,1.7599999999999998,1.2467532467532467,2.033333333333333,2.0
"Ultimate Pepperoni Hand Tossed Pizza, XLarge",183,22.0,47,21,4,2,1180,55,480,10.0,0.5,11.99,0.6527777777777778,0.7638888888888888,1.75,1.1904761904761905,2.048611111111111,2.083333333333333
"Wisconsin 6 Cheese Hand Tossed Pizza, Large",135,14.0,36,16,3,2,690,35,340,7.0,0.0,11.99,0.7058823529411765,0.6862745098039216,1.8823529411764706,1.0695187165775402,1.6911764705882353,2.0588235294117645
"Wisconsin 6 Cheese Hand Tossed Pizza, Medium",100,11.0,27,12,2,1,520,30,250,5.0,0.0,13.99,0.72,0.8,1.92,1.1428571428571428,1.7333333333333334,2.0
"Wisconsin 6 Cheese Hand Tossed Pizza, Small",90,9.0,25,10,2,1,450,20,220,4.5,0.0,11.99,0.7575757575757576,0.6060606060606061,1.8181818181818183,1.062573789846517,1.7045454545454546,2.0454545454545454
"Wisconsin 6 Cheese Hand Tossed Pizza, XLarge",178,18.0,48,20,4,2,910,50,440,9.0,0.5,11.99,0.7272727272727273,0.7575757575757576,1.8181818181818183,1.062573789846517,1.7234848484848486,2.0454545454545454
