Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price,Carbs Metric,Cholesterol Metric,Protein Metric,Fat Metric,Sodium Metric,Saturated Fat Metric
"Better for You, Chicken Fajita Pita made with Whole Grain without Salsa",220.0,12.0,35,23,3,4,1000,55,340,6.0,0.0,6.99,0.6862745098039216,1.0784313725490198,2.705882352941176,0.9167303284950343,2.450980392156863,1.7647058823529411
"Better for You, Chicken Teriyaki Bowl",,6.0,134,27,35,5,1910,40,690,1.0,0.0,4.69,1.2946859903381644,0.3864734299516908,1.565217391304348,0.22586109542631283,2.3067632850241546,0.14492753623188406
"Better for You, Grilled Chicken Salad",372.0,9.0,13,30,6,5,750,80,250,4.5,0.0,5.49,0.3466666666666667,2.1333333333333333,4.8,0.9350649350649349,2.5,1.7999999999999998
"Better for You, Jr. Jumbo Jack",150.0,26.0,33,14,6,2,560,30,420,7.0,1.0,2.59,0.5238095238095238,0.47619047619047616,1.3333333333333333,1.6079158936301794,1.1111111111111112,1.6666666666666667
Bacon & Egg Chicken Sandwich,240.0,39.0,37,37,1,2,1630,300,650,11.0,0.5,1.29,0.3794871794871795,3.076923076923077,2.276923076923077,1.5584415584415583,2.08974358974359,1.6923076923076923
Brunch Burger,215.0,55.0,32,37,3,2,730,320,770,22.0,2.0,2.29,0.27705627705627706,2.770562770562771,1.9220779220779223,1.8552875695732838,0.7900432900432901,2.857142857142857
Brunchfast Mini Pancakes,71.0,1.5,28,4,6,1,350,0,140,0.0,0.0,1.00,1.3333333333333335,0.0,1.1428571428571428,0.2782931354359926,2.0833333333333335,0.0
Homestyle Potatoes,165.0,12.0,34,4,1,3,580,0,260,2.5,0.0,4.99,0.8717948717948719,0.0,0.6153846153846154,1.1988011988011988,1.858974358974359,0.9615384615384616
Orange & Cranberry Mini Muffins,75.0,16.0,34,4,20,1,300,60,300,3.0,0.0,2.29,0.7555555555555555,1.3333333333333335,0.5333333333333333,1.3852813852813854,0.8333333333333334,1.0
Southwest Scrambler Plate with Bacon,307.0,28.0,38,23,3,4,1380,325,500,9.0,0.0,5.49,0.5066666666666667,4.333333333333334,1.8399999999999999,1.4545454545454546,2.3,1.7999999999999998
