Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price,Carbs Metric,Cholesterol Metric,Protein Metric,Fat Metric,Sodium Metric,Saturated Fat Metric
Chicken & Waffles Sandwich,273.0,53.0,102,33,30,0,1450,100,1020,14.0,0,5.19,0.6666666666666667,0.6535947712418301,1.2941176470588236,1.3496307613954672,1.184640522875817,1.3725490196078431
KFC Waffle,71.0,20.0,34,7,10,0,330,25,340,6.0,0,6.19,0.6666666666666667,0.4901960784313726,0.8235294117647058,1.5278838808250572,0.8088235294117647,1.7647058823529411
Original Recipe® Chicken Breast,172.0,21.0,11,39,0,2,1190,120,390,4.0,0,5.99,0.18803418803418803,2.0512820512820515,4.0,1.3986013986013988,2.5427350427350426,1.0256410256410255
Original Recipe® Chicken Drumstick,53.0,8.0,4,12,0,1,430,55,130,1.5,0,5.99,0.20512820512820515,2.8205128205128207,3.6923076923076925,1.5984015984015985,2.7564102564102564,1.153846153846154
Original Recipe® Chicken Thigh,104.0,19.0,8,19,0,1,910,100,280,4.5,0,5.99,0.19047619047619047,2.380952380952381,2.714285714285714,1.7625231910946195,2.7083333333333335,1.607142857142857
Original Recipe® Chicken Whole Wing,43.0,8.0,3,10,0,0,380,55,130,2.0,0,13.99,0.15384615384615385,2.8205128205128207,3.076923076923077,1.5984015984015985,2.4358974358974357,1.5384615384615385
Extra Crispy Chicken Breast,178.0,35.0,18,35,0,0,1150,105,530,6.0,0,5.19,0.22641509433962265,1.3207547169811322,2.641509433962264,1.7152658662092624,1.808176100628931,1.1320754716981132
Extra Crispy Chicken Drumstick,55.0,12.0,5,10,0,0,390,50,170,2.0,0,5.99,0.19607843137254902,1.9607843137254903,2.3529411764705883,1.8334606569900687,1.9117647058823528,1.1764705882352942
Extra Crispy Chicken Thigh,112.0,23.0,9,22,0,0,700,100,330,4.5,0,5.99,0.18181818181818182,2.0202020202020203,2.6666666666666665,1.8103109012199923,1.7676767676767677,1.3636363636363635
Extra Crispy Chicken Whole Wing,48.0,13.0,5,10,0,0,340,45,170,2.0,0,2.69,0.19607843137254902,1.7647058823529413,2.3529411764705883,1.9862490450725747,1.6666666666666667,1.1764705882352942
Kentucky Grilled Chicken® Breast,131.0,7.0,0,38,0,0,710,130,210,2.0,0,5.19,0.0,4.126984126984127,7.238095238095238,0.8658008658008658,2.8174603174603177,0.9523809523809524
Kentucky Grilled Chicken® Drumstick,41.0,4.0,0,11,0,0,220,55,80,1.0,0,5.99,0.0,4.583333333333334,5.5,1.2987012987012987,2.291666666666667,1.25
Kentucky Grilled Chicken® Thigh,71.0,9.0,0,17,0,0,420,90,150,3.0,0,5.99,0.0,4.0,4.533333333333333,1.5584415584415583,2.3333333333333335,2.0
Kentucky Grilled Chicken® Whole Wing,30.0,3.0,0,9,0,0,180,45,70,1.0,0,2.69,0.0,4.2857142857142865,5.142857142857142,1.1131725417439704,2.1428571428571432,1.4285714285714286
Spicy Crispy Chicken Breast,146.0,20.0,11,30,0,1,1100,100,350,3.5,0,5.19,0.20952380952380956,1.9047619047619047,3.428571428571429,1.484230055658627,2.619047619047619,1.0
Spicy Crispy Chicken Drumstick,46.0,8.0,5,9,0,1,420,40,130,1.5,0,5.99,0.25641025641025644,2.0512820512820515,2.769230769230769,1.5984015984015985,2.6923076923076925,1.153846153846154
Spicy Crispy Chicken Thigh,79.0,20.0,10,13,0,1,720,65,270,3.5,0,5.99,0.24691358024691357,1.6049382716049383,1.925925925925926,1.924001924001924,2.2222222222222223,1.2962962962962963
Spicy Crispy Chicken Whole Wing,35.0,8.0,5,7,0,0,350,35,120,1.5,0,2.69,0.2777777777777778,1.9444444444444446,2.3333333333333335,1.7316017316017316,2.4305555555555554,1.25
Extra Crispy Tender (each),100.0,14.0,15,19,0,1,610,50,260,2.0,0,6.99,0.38461538461538464,1.2820512820512822,2.9230769230769234,1.3986013986013988,1.9551282051282053,0.7692307692307693
Georgia Gold Extra Crispy Tender (each),60.4,14.0,9,10,1,1,400,25,200,2.0,0,2.69,0.3,0.8333333333333334,2.0,1.8181818181818183,1.6666666666666667,1.0
Hot Honey Extra Crispy Tender (each),62.7,12.0,11,10,3,1,490,25,190,1.5,0,2.69,0.3859649122807018,0.8771929824561403,2.1052631578947367,1.6404647983595353,2.149122807017544,0.7894736842105263
Nashville Hot Extra Crispy Tender (each),63.2,16.0,9,10,1,1,460,25,220,2.5,0,6.99,0.27272727272727276,0.7575757575757576,1.8181818181818183,1.8890200708382525,1.7424242424242424,1.1363636363636365
Smoky Mountain BBQ Extra Crispy Tender (each),60.8,13.0,11,10,3,1,340,25,200,2.0,0,2.69,0.3666666666666667,0.8333333333333334,2.0,1.6883116883116884,1.4166666666666667,1.0
Fiery Buffalo Hot Wings,29.0,4.0,5,4,0,0,290,20,70,1.0,0,2.19,0.47619047619047616,1.9047619047619047,2.2857142857142856,1.484230055658627,3.452380952380953,1.4285714285714286
Georgia Gold Hot Wings,25.0,7.0,4,4,0,0,200,20,90,1.0,0,2.19,0.29629629629629634,1.4814814814814814,1.777777777777778,2.0202020202020203,1.851851851851852,1.1111111111111112
HBBQ Hot Wings,32.0,4.0,9,4,3,0,270,20,90,1.0,0,2.19,0.6666666666666667,1.4814814814814814,1.777777777777778,1.1544011544011545,2.5,1.1111111111111112
Hot Honey Hot Wings,26.0,6.0,5,4,1,0,230,20,90,1.0,0,2.19,0.37037037037037035,1.4814814814814814,1.777777777777778,1.7316017316017316,2.1296296296296298,1.1111111111111112
Nashville Hot Hot Wings,25.0,6.0,4,4,0,0,190,20,90,1.0,0,2.19,0.29629629629629634,1.4814814814814814,1.777777777777778,1.7316017316017316,1.7592592592592593,1.1111111111111112
Smoky Mountain BBQ Hot Wings,26.0,6.0,5,4,1,0,170,20,90,1.0,0,2.19,0.37037037037037035,1.4814814814814814,1.777777777777778,1.7316017316017316,1.5740740740740742,1.1111111111111112
Popcorn Nuggets - Kids,81.2,19.0,19,13,0,1,870,30,290,2.5,0,5.49,0.4367816091954024,0.6896551724137931,1.793103448275862,1.7017465293327363,2.5,0.8620689655172413
Popcorn Nuggets - Large,170.2,39.0,39,27,0,2,1820,65,620,5.0,0,3.99,0.4193548387096774,0.6989247311827957,1.7419354838709677,1.633850020946795,2.446236559139785,0.8064516129032258
Nashville Hot Extra Crispy Chicken Breast,210.0,60.0,21,35,1,1,1530,105,770,10.0,0,2.69,0.18181818181818182,0.9090909090909091,1.8181818181818183,2.023950075898128,1.655844155844156,1.2987012987012987
Nashville Hot Extra Crispy Chicken Drumstick,66.0,21.0,6,11,0,1,530,50,250,3.5,0,2.69,0.16,1.3333333333333335,1.7599999999999998,2.181818181818182,1.7666666666666668,1.4000000000000001
