Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price,Carbs Metric,Cholesterol Metric,Protein Metric,Fat Metric,Sodium Metric,Saturated Fat Metric
"Asiago Bacon, Egg & Cheese on Asiago Cheese Bagel",,24.0,56,21,4,2,960,260,570,11.0,0.5,3.39,0.6549707602339182,3.0409356725146197,1.4736842105263157,1.0936431989063569,1.4035087719298245,1.9298245614035088
"Avocado, Egg White & Spinach on Sprouted Grain Bagel Flat",,14.0,52,21,4,7,590,25,410,6.0,0.0,1.05,0.8455284552845529,0.4065040650406504,2.048780487804878,0.8869179600886918,1.1991869918699187,1.4634146341463417
"Bacon, Egg & Cheese on Artisan Ciabatta",187.0,20.0,40,24,1,2,850,245,450,9.0,0.0,7.99,0.5925925925925927,3.6296296296296293,2.1333333333333333,1.1544011544011545,1.5740740740740742,2.0
"Bacon, Egg & Cheese on Brioche",,25.0,32,24,6,1,790,295,460,12.0,0.5,7.99,0.463768115942029,4.27536231884058,2.0869565217391304,1.411631846414455,1.4311594202898552,2.608695652173913
"Bacon, Scrambled Egg & Cheese on Artisan Ciabatta",161.0,22.0,40,25,1,2,760,275,460,9.0,0.0,2.99,0.5797101449275363,3.9855072463768115,2.1739130434782608,1.2422360248447206,1.3768115942028987,1.956521739130435
"Bacon, Scrambled Egg & Cheese on Brioche",,27.0,33,25,6,1,700,325,470,13.0,0.5,6.39,0.4680851063829788,4.609929078014185,2.127659574468085,1.4921248963802156,1.2411347517730495,2.7659574468085104
Egg & Cheese on Artisan Ciabatta,,15.0,39,19,0,2,700,230,380,7.0,0.0,4.49,0.6842105263157895,4.035087719298246,2.0,1.0252904989747094,1.5350877192982457,1.8421052631578945
Egg & Cheese on Brioche,,21.0,32,19,5,1,640,280,390,11.0,0.5,7.99,0.5470085470085471,4.786324786324786,1.9487179487179487,1.3986013986013988,1.3675213675213675,2.8205128205128207
Four Cheese Souffle,163.0,28.0,38,15,8,1,830,170,410,17.0,0.0,4.49,0.6178861788617886,2.7642276422764227,1.4634146341463414,1.7738359201773837,1.6869918699186992,4.146341463414634
Greek Yogurt with Mixed Berries & Granola,,10.0,39,15,30,3,55,20,300,5.0,0.0,4.19,0.8666666666666667,0.4444444444444445,2.0,0.8658008658008658,0.15277777777777776,1.6666666666666667
