Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price,Carbs Metric,Cholesterol Metric,Protein Metric,Fat Metric,Sodium Metric,Saturated Fat Metric
"6"" Black Forest Ham",219,4.5,46,18,8,5,800,25,290,1.0,0.0,6.00,1.0574712643678161,0.574712643678161,2.4827586206896552,0.40304523063143755,2.298850574712644,0.3448275862068966
"6"" Oven Roasted Chicken",233,5.0,46,23,8,5,610,45,320,1.5,0.0,6.00,0.9583333333333333,0.9375,2.875,0.40584415584415584,1.5885416666666667,0.46875
"6"" Roast Beef",233,5.0,45,25,7,5,660,45,320,1.5,0.0,6.00,0.9375,0.9375,3.125,0.40584415584415584,1.71875,0.46875
"6"" Rotisserie-Style Chicken",247,6.0,45,29,7,5,660,55,350,1.5,0.0,6.00,0.8571428571428571,1.0476190476190477,3.314285714285714,0.44526901669758817,1.5714285714285714,0.4285714285714286
"6"" Subway Club",240,4.5,46,23,8,5,840,40,310,1.5,0.0,6.00,0.989247311827957,0.8602150537634409,2.967741935483871,0.37704231252618353,2.258064516129032,0.4838709677419355
"6"" Sweet Onion Chicken Teriyaki",269,4.0,58,25,16,5,770,50,370,1.0,0.0,6.00,1.0450450450450453,0.900900900900901,2.7027027027027026,0.2808002808002808,1.7342342342342343,0.2702702702702703
"6"" Turkey Breast",219,3.5,46,18,7,5,760,20,280,1.0,0.0,6.00,1.0952380952380953,0.47619047619047616,2.571428571428571,0.3246753246753247,2.2619047619047623,0.35714285714285715
"6"" Veggie Delite",162,2.5,44,8,7,5,280,0,230,0.5,0.0,5.00,1.2753623188405798,0.0,1.391304347826087,0.282326369282891,1.0144927536231885,0.21739130434782608
Footlong Black Forest Ham,438,9.0,92,36,16,10,1600,50,580,2.0,0.0,6.00,1.0574712643678161,0.574712643678161,2.4827586206896552,0.40304523063143755,2.298850574712644,0.3448275862068966
Footlong Oven Roasted Chicken,466,10.0,92,46,16,10,1220,90,640,3.0,0.0,6.00,0.9583333333333333,0.9375,2.875,0.40584415584415584,1.5885416666666667,0.46875
Footlong Roast Beef,466,10.0,90,50,14,10,1320,90,640,3.0,0.0,6.00,0.9375,0.9375,3.125,0.40584415584415584,1.71875,0.46875
Footlong Rotisserie-Style Chicken,494,12.0,90,58,14,10,1320,110,700,3.0,0.0,6.00,0.8571428571428571,1.0476190476190477,3.314285714285714,0.44526901669758817,1.5714285714285714,0.4285714285714286
Footlong Subway Club,480,9.0,92,46,16,10,1680,80,620,3.0,0.0,6.00,0.989247311827957,0.8602150537634409,2.967741935483871,0.37704231252618353,2.258064516129032,0.4838709677419355
Footlong Sweet Onion Chicken Teriyaki,538,8.0,116,50,32,10,1540,100,740,2.0,0.0,6.00,1.0450450450450453,0.900900900900901,2.7027027027027026,0.2808002808002808,1.7342342342342343,0.2702702702702703
Footlong Turkey Breast,438,7.0,92,36,14,10,1520,40,560,2.0,0.0,6.00,1.0952380952380953,0.47619047619047616,2.571428571428571,0.3246753246753247,2.2619047619047623,0.35714285714285715
Footlong Veggie Delite,324,5.0,88,16,14,10,560,0,460,1.0,0.0,5.00,1.2753623188405798,0.0,1.391304347826087,0.282326369282891,1.0144927536231885,0.21739130434782608
"6"" Chicken & Bacon Ranch Melt",298,30.0,47,38,8,5,1290,95,610,10.0,0.5,6.00,0.5136612021857924,1.0382513661202186,2.4918032786885247,1.2774111134766872,1.7622950819672132,1.639344262295082
"6"" Cold Cut Combo",226,12.0,46,17,7,5,1030,45,360,3.5,0.0,6.00,0.8518518518518519,0.8333333333333334,1.8888888888888888,0.8658008658008658,2.3842592592592595,0.9722222222222222
"6"" Italian B.M.T.",226,16.0,46,20,8,5,1260,45,410,6.0,0.0,6.00,0.7479674796747968,0.7317073170731707,1.951219512195122,1.0136205258156477,2.5609756097560976,1.4634146341463417
"6"" Meatball Marinara",301,18.0,60,21,12,8,1000,40,480,7.0,0.5,6.00,0.8333333333333334,0.5555555555555556,1.75,0.974025974025974,1.7361111111111114,1.4583333333333333
"6"" Spicy Italian",222,24.0,46,20,8,5,1490,50,480,9.0,0.5,6.00,0.638888888888889,0.6944444444444445,1.6666666666666665,1.2987012987012987,2.5868055555555554,1.875
"6"" Steak & Cheese",245,10.0,49,26,9,5,1030,50,380,4.5,0.0,6.00,0.8596491228070177,0.8771929824561403,2.736842105263158,0.683526999316473,2.2587719298245617,1.1842105263157896
"6"" Tuna",237,25.0,44,20,7,5,580,40,480,4.5,0.0,6.00,0.611111111111111,0.5555555555555556,1.6666666666666665,1.352813852813853,1.0069444444444444,0.9375
Footlong Chicken & Bacon Ranch Melt,596,60.0,94,76,16,10,2580,190,1220,20.0,1.0,6.00,0.5136612021857924,1.0382513661202186,2.4918032786885247,1.2774111134766872,1.7622950819672132,1.639344262295082
Footlong Cold Cut Combo,452,24.0,92,34,14,10,2060,90,720,7.0,0.0,6.00,0.8518518518518519,0.8333333333333334,1.8888888888888888,0.8658008658008658,2.3842592592592595,0.9722222222222222
Footlong Italian B.M.T.,452,32.0,92,40,16,10,2520,90,820,12.0,0.0,6.00,0.7479674796747968,0.7317073170731707,1.951219512195122,1.0136205258156477,2.5609756097560976,1.4634146341463417
Footlong Meatball Marinara,602,36.0,120,42,24,16,2000,80,960,14.0,1.0,6.00,0.8333333333333334,0.5555555555555556,1.75,0.974025974025974,1.7361111111111114,1.4583333333333333
Footlong Spicy Italian,444,48.0,92,40,16,10,2980,100,960,18.0,1.0,6.00,0.638888888888889,0.6944444444444445,1.6666666666666665,1.2987012987012987,2.5868055555555554,1.875
Footlong Steak & Cheese,490,20.0,98,52,18,10,2060,100,760,9.0,0.0,6.00,0.8596491228070177,0.8771929824561403,2.736842105263158,0.683526999316473,2.2587719298245617,1.1842105263157896
Footlong Tuna,474,50.0,88,40,14,10,1160,80,960,9.0,0.0,5.50,0.611111111111111,0.5555555555555556,1.6666666666666665,1.352813852813853,1.0069444444444444,0.9375
Black Forest Ham on Tomato Basil Wrap,307,12.0,57,27,6,4,1780,50,430,5.0,0.0,6.00,0.8837209302325582,0.7751937984496124,2.511627906976744,0.7248565388100272,3.4496124031007755,1.1627906976744187
Chicken & Bacon Ranch Melt on Tomato Basil Wrap,394,42.0,56,60,5,4,2380,155,850,16.0,1.0,6.00,0.43921568627450985,1.2156862745098038,2.8235294117647056,1.283422459893048,2.3333333333333335,1.8823529411764703
Chipotle Southwest Steak on Tomato Basil Wrap,389,37.0,65,43,8,6,2250,100,760,12.0,1.0,2.50,0.5701754385964912,0.8771929824561403,2.263157894736842,1.264524948735475,2.467105263157895,1.5789473684210527
Cold Cut Combo on Tomato Basil Wrap,314,27.0,57,27,4,3,2230,90,570,10.0,0.5,6.00,0.6666666666666667,1.0526315789473684,1.8947368421052633,1.2303485987696514,3.2602339181286553,1.7543859649122806
Italian B.M.T. on Tomato Basil Wrap,314,36.0,57,32,6,4,2700,90,670,14.0,0.5,6.00,0.5671641791044777,0.8955223880597015,1.9104477611940298,1.3956193060670672,3.3582089552238803,2.0895522388059704
Meatball Marinara on Tomato Basil Wrap,381,40.0,81,34,12,8,2200,80,820,16.0,2.0,6.00,0.6585365853658537,0.6504065040650407,1.6585365853658538,1.2670256572695597,2.2357723577235773,1.951219512195122
Oven Roasted Chicken Breast on Spinach Wrap,335,13.0,56,38,5,4,1460,90,500,5.0,0.0,4.25,0.7466666666666667,1.2,3.04,0.6753246753246753,2.4333333333333336,1.0
Roast Beef on Spinach Wrap,335,13.0,54,42,5,4,1560,90,500,5.0,0.0,4.75,0.72,1.2,3.3600000000000003,0.6753246753246753,2.6,1.0
Rotisserie-Style Chicken Caesar on Spinach Wrap,365,34.0,54,55,4,3,1900,135,730,10.0,0.5,2.50,0.4931506849315069,1.2328767123287672,3.013698630136986,1.2097491549546344,2.168949771689498,1.36986301369863
Rotisserie-Style Chicken on Spinach Wrap,364,15.0,54,51,4,3,1560,110,550,5.0,0.0,2.50,0.6545454545454545,1.3333333333333335,3.709090909090909,0.7083825265643447,2.3636363636363638,0.9090909090909091
Spicy Italian on Tomato Wrap,304,52.0,56,32,6,4,3140,105,820,20.0,1.0,3.50,0.4552845528455285,0.853658536585366,1.5609756097560976,1.6471333544504276,3.1910569105691056,2.4390243902439024
Steak & Cheese on Tomato Basil Wrap,269,19.0,59,41,5,3,2030,90,570,9.0,1.0,6.00,0.6900584795321638,1.0526315789473684,2.8771929824561404,0.8658008658008658,2.9678362573099415,1.5789473684210527
Subway Club on Spinach Wrap,349,13.0,56,39,5,4,1920,75,490,5.0,0.0,4.75,0.7619047619047619,1.0204081632653061,3.183673469387755,0.6891068115557911,3.2653061224489797,1.0204081632653061
Sweet Onion Chicken Teriyaki on Tomato Basil Wrap,385,12.0,71,42,14,4,1630,100,550,4.0,0.0,6.00,0.8606060606060606,1.2121212121212122,3.0545454545454547,0.5667060212514758,2.46969696969697,0.7272727272727273
Tuna on Tomato Basil Wrap,335,54.0,53,33,3,3,1330,75,820,11.0,0.5,2.50,0.43089430894308944,0.6097560975609756,1.6097560975609757,1.7104846373139058,1.3516260162601628,1.3414634146341464
"Turkey, Bacon & Guacamole on Tomato Basil Wrap",380,42.0,62,43,6,5,2960,75,810,13.0,0.5,7.50,0.5102880658436214,0.6172839506172839,2.123456790123457,1.3468013468013467,3.045267489711934,1.6049382716049383
Turkey Breast on Spinach Wrap,307,10.0,57,28,4,3,1760,40,430,4.0,0.0,4.25,0.8837209302325582,0.6201550387596899,2.604651162790698,0.6040471156750227,3.410852713178295,0.9302325581395349
Veggie Delite on Spinach Wrap,285,8.0,56,10,5,4,800,0,330,3.0,0.0,3.75,1.1313131313131315,0.0,1.2121212121212122,0.6296733569460842,2.0202020202020203,0.9090909090909091
Kids Black Forest Ham,136,2.5,30,10,5,3,450,10,180,0.5,0.0,6.00,1.1111111111111112,0.37037037037037035,2.2222222222222223,0.3607503607503607,2.0833333333333335,0.2777777777777778
Kids Roast Beef,146,3.0,30,14,5,4,390,25,200,1.0,0.0,6.00,1.0,0.8333333333333334,2.8000000000000003,0.3896103896103896,1.625,0.5
Kids Turkey Breast,136,2.0,30,10,5,3,430,10,180,0.5,0.0,6.00,1.1111111111111112,0.37037037037037035,2.2222222222222223,0.28860028860028863,1.9907407407407407,0.2777777777777778
Kids Veggie Delite,108,1.5,29,6,4,3,190,0,150,0.0,0.0,5.00,1.288888888888889,0.0,1.6,0.2597402597402597,1.0555555555555556,0.0
"6"" Applewood Pulled Pork",276,9.0,62,23,24,5,980,45,420,2.0,0.0,1.50,0.9841269841269842,0.7142857142857143,2.1904761904761907,0.5565862708719852,1.9444444444444446,0.4761904761904762
"6"" B.L.T.",165,13.0,44,20,7,5,1130,20,380,4.5,0.0,6.00,0.7719298245614036,0.3508771929824561,2.1052631578947367,0.8885850991114149,2.4780701754385968,1.1842105263157896
"6"" BBQ Rib Melt",255,29.0,49,24,10,5,840,60,550,11.0,0.0,6.00,0.593939393939394,0.7272727272727273,1.7454545454545456,1.369539551357733,1.272727272727273,2.0
"6"" Big Cheesy",126,17.0,43,18,5,4,980,45,390,10.0,0.5,6.00,0.7350427350427351,0.7692307692307693,1.8461538461538463,1.132201132201132,2.094017094017094,2.564102564102564
"6"" Buffalo Chicken Rotisserie-Style",283,17.0,47,29,8,6,1270,60,460,3.0,0.0,7.75,0.6811594202898551,0.8695652173913043,2.5217391304347823,0.9599096555618295,2.300724637681159,0.6521739130434783
"6"" Buffalo Chicken with Chicken Strips",269,16.0,46,25,8,6,1100,55,420,3.0,0.0,4.75,0.7301587301587302,0.8730158730158731,2.380952380952381,0.9894867037724181,2.182539682539683,0.7142857142857143
"6"" Caesar Chicken Melt with Chicken Strips",268,22.0,46,29,7,5,800,75,490,6.0,0.5,8.75,0.6258503401360545,1.0204081632653061,2.36734693877551,1.1661807580174925,1.360544217687075,1.2244897959183674
"6"" Chicken Caesar Melt Rotisserie Style",283,24.0,46,34,8,5,1010,75,520,6.0,0.5,7.75,0.5897435897435898,0.9615384615384615,2.6153846153846154,1.1988011988011988,1.6185897435897436,1.153846153846154
"6"" Chicken Parmesan",277,16.0,63,24,10,6,1000,35,480,5.0,0.5,7.50,0.8750000000000001,0.48611111111111116,2.0,0.8658008658008658,1.7361111111111114,1.0416666666666665
"6"" Chicken Pizziola Melt",293,15.0,50,32,10,6,1140,80,460,6.0,0.5,6.00,0.7246376811594203,1.1594202898550725,2.782608695652174,0.846979107848673,2.0652173913043477,1.3043478260869565
"6"" Chicken Salad",170,10.0,51,19,12,6,660,45,370,2.0,0.0,7.50,0.918918918918919,0.8108108108108109,2.0540540540540544,0.7020007020007021,1.4864864864864866,0.5405405405405406
"6"" Chicken Strips",233,4.0,44,25,7,5,490,50,310,1.0,0.0,7.50,0.946236559139785,1.075268817204301,3.225806451612903,0.3351487222454964,1.3172043010752688,0.3225806451612903
"6"" Corned Beef Reuben",328,15.0,52,39,13,7,1720,85,490,5.0,0.5,6.00,0.7074829931972789,1.1564625850340136,3.183673469387755,0.795123244102836,2.925170068027211,1.0204081632653061
"6"" Crunchy Chicken Enchilada",303,26.0,60,26,10,7,1120,20,580,7.0,0.5,4.75,0.6896551724137931,0.22988505747126436,1.793103448275862,1.1643528884908194,1.6091954022988506,1.206896551724138
"6"" Cubano",307,14.0,48,32,9,5,1430,70,460,4.5,0.0,6.00,0.6956521739130435,1.0144927536231885,2.782608695652174,0.7905138339920948,2.5905797101449277,0.9782608695652175
"6"" Egg Salad",247,26.0,45,17,7,5,450,255,480,5.0,0.0,0.75,0.625,3.541666666666667,1.4166666666666665,1.406926406926407,0.78125,1.0416666666666665
"6"" Falafel",276,24.0,73,18,8,13,1050,10,580,4.0,0.5,6.00,0.839080459770115,0.11494252873563218,1.2413793103448276,1.0747872816838333,1.5086206896551724,0.6896551724137931
"6"" Italian Hero",266,29.0,47,26,9,5,1470,75,550,9.0,0.5,6.00,0.5696969696969697,0.9090909090909091,1.8909090909090909,1.369539551357733,2.2272727272727275,1.6363636363636365
"6"" Italian Hero Supreme",302,27.0,54,29,14,5,1660,90,570,11.0,0.5,6.00,0.6315789473684211,1.0526315789473684,2.0350877192982457,1.2303485987696514,2.426900584795322,1.9298245614035088
"6"" Malibu Garden Vegan Patty",247,10.0,64,13,8,9,780,0,380,2.0,0.0,6.00,1.1228070175438596,0.0,1.368421052631579,0.683526999316473,1.710526315789474,0.5263157894736842
"6"" Mediterranean Chicken",283,20.0,46,30,7,5,930,70,490,6.0,0.0,6.00,0.6258503401360545,0.9523809523809523,2.4489795918367347,1.0601643254704478,1.5816326530612246,1.2244897959183674
"6"" Mediterranean Steak",283,22.0,49,29,9,5,1270,60,520,7.0,0.5,6.00,0.6282051282051282,0.7692307692307693,2.230769230769231,1.098901098901099,2.0352564102564106,1.3461538461538463
"6"" Orchard Chicken Salad",247,8.0,54,20,15,6,530,40,370,1.5,0.0,6.00,0.972972972972973,0.7207207207207208,2.1621621621621623,0.5616005616005616,1.1936936936936937,0.40540540540540543
"6"" Pastrami",230,17.0,46,20,8,5,980,50,420,7.0,0.0,6.00,0.7301587301587302,0.7936507936507936,1.9047619047619047,1.0513296227581943,1.9444444444444446,1.6666666666666667
"6"" Pastrami Melt, Big Hot",287,28.0,47,29,8,5,1470,85,580,11.0,0.0,1.80,0.5402298850574713,0.9770114942528735,2.0,1.2539184952978055,2.1120689655172415,1.896551724137931
"6"" Pepperoni",198,17.0,45,16,8,5,1080,30,390,6.0,0.5,1.50,0.7692307692307693,0.5128205128205129,1.641025641025641,1.132201132201132,2.307692307692308,1.5384615384615385
"6"" Pizza Sub Melt",195,24.0,49,20,9,5,1640,55,490,10.0,0.5,6.00,0.6666666666666667,0.7482993197278912,1.6326530612244896,1.2721971905645375,2.789115646258504,2.0408163265306123
"6"" Sea Salt & Pepper Fish",286,19.0,74,21,8,7,1130,40,600,4.5,0.0,4.75,0.8222222222222223,0.4444444444444445,1.4000000000000001,0.8225108225108225,1.5694444444444444,0.75
