Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price,Carbs Metric,Cholesterol Metric,Protein Metric,Fat Metric,Sodium Metric,Saturated Fat Metric
Baconator,,62.0,40,59,8,2,1630,205,950,24.0,3.0,6.09,0.2807017543859649,1.4385964912280702,2.4842105263157896,1.695146958304853,1.4298245614035088,2.526315789473684
Dave's Double,,51.0,41,49,8,3,1280,175,810,20.0,3.0,2.09,0.3374485596707819,1.4403292181069958,2.419753086419753,1.6354016354016352,1.316872427983539,2.4691358024691357
Dave's Single,,34.0,40,30,9,3,1110,100,570,13.0,1.5,1.49,0.4678362573099415,1.1695906432748537,2.1052631578947367,1.5493278651173388,1.6228070175438598,2.280701754385965
Dave's Triple,,72.0,43,71,9,3,1650,260,1090,30.0,4.0,6.09,0.2629969418960245,1.5902140672782876,2.6055045871559637,1.7157154771833671,1.261467889908257,2.7522935779816518
Double Stack,,21.0,26,25,6,1,740,90,390,9.0,1.5,2.09,0.4444444444444445,1.5384615384615385,2.564102564102564,1.3986013986013988,1.5811965811965811,2.307692307692308
Jr. Bacon Cheeseburger,,22.0,25,19,5,1,680,65,380,8.0,1.0,1.99,0.43859649122807015,1.1403508771929824,2.0,1.5037593984962405,1.4912280701754386,2.1052631578947367
Jr. Cheeseburger,,13.0,26,16,6,1,660,50,280,6.0,1.0,0.99,0.6190476190476191,1.1904761904761905,2.2857142857142856,1.2059369202226344,1.9642857142857144,2.142857142857143
Jr. Cheeseburger Deluxe,,19.0,27,16,7,2,660,55,340,7.0,1.0,1.89,0.5294117647058824,1.0784313725490198,1.8823529411764706,1.4514896867838045,1.6176470588235294,2.0588235294117645
Son of Baconator,,39.0,37,34,7,2,1280,125,630,15.0,1.5,4.69,0.39153439153439157,1.3227513227513228,2.158730158730159,1.6079158936301794,1.693121693121693,2.380952380952381
3 Piece Chicken Tenders,,16.0,22,24,0,0,1010,75,330,2.5,0.0,3.69,0.4444444444444445,1.5151515151515151,2.909090909090909,1.2593467138921683,2.5505050505050506,0.7575757575757576
