Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price,Carbs Metric,Cholesterol Metric,Protein Metric,Fat Metric,Sodium Metric,Saturated Fat Metric
Avocado Bacon Burger,334,52,51,37,7,4,1600,90,820,15,1,0.75,0.41463414634146345,0.7317073170731707,1.8048780487804876,1.6471333544504276,1.6260162601626016,1.8292682926829267
Avocado Bacon Burger Whatameal,1368,73,216,42,119,8,1910,90,1650,18,1,6.64,0.8727272727272728,0.36363636363636365,1.0181818181818183,1.1491538764266036,0.9646464646464646,1.090909090909091
Avocado Bacon Burger Whatameal with Lower Calorie Sides,1339,52,62,37,12,5,1630,90,860,15,1,3.49,0.48062015503875977,0.6976744186046512,1.7209302325581397,1.570522500755059,1.5794573643410854,1.744186046511628
Bacon & Cheese Whataburger,354,37,62,39,12,4,1910,80,750,13,1,4.79,0.5511111111111111,0.7111111111111111,2.08,1.2813852813852813,2.1222222222222227,1.7333333333333332
Bacon & Cheese Whataburger Whatameal,1389,58,226,44,124,8,2210,80,1580,16,1,6.64,0.9535864978902955,0.33755274261603374,1.1139240506329113,0.9534769028439914,1.1656118143459915,1.0126582278481013
Bacon & Cheese Whataburger Whatameal with Lower Calorie Sides,1314,37,70,39,15,4,1940,85,780,13,1,6.64,0.5982905982905983,0.7264957264957266,2.0,1.2321012321012321,2.072649572649573,1.6666666666666667
Double Meat Whataburger,400,44,62,47,12,4,1470,90,830,14,2,4.59,0.497991967871486,0.7228915662650602,2.265060240963855,1.3769363166953528,1.4759036144578315,1.6867469879518073
Double Meat Whataburger Jr.,208,20,37,23,6,2,870,40,420,6,1,3.09,0.5873015873015873,0.6349206349206349,2.1904761904761907,1.2368583797155226,1.7261904761904765,1.4285714285714286
Double Meat Whataburger Jr. Whatameal,853,35,141,26,76,5,1070,45,960,8,1,3.09,0.9791666666666667,0.3125,1.0833333333333335,0.946969696969697,0.9288194444444444,0.8333333333333334
Double Meat Whataburger Jr. Whatameal with Lower Calorie Sides,851,20,46,23,11,3,890,45,460,6,1,3.49,0.6666666666666667,0.6521739130434783,2.0,1.129305477131564,1.6123188405797102,1.3043478260869565
Double Meat Whataburger Jr. with Cheese,221,24,37,26,6,2,1090,50,470,9,1,3.49,0.5248226950354611,0.7092198581560284,2.212765957446808,1.3263332412268583,1.9326241134751774,1.9148936170212765
Double Meat Whataburger Whatameal,1435,65,226,52,124,8,1780,90,1660,17,2,6.74,0.9076305220883535,0.3614457831325301,1.2530120481927711,1.017055233922704,0.893574297188755,1.0240963855421688
Double Meat Whataburger Whatameal with Lower Calorie Sides,1405,44,72,47,17,5,1500,90,870,14,2,3.49,0.5517241379310345,0.6896551724137931,2.160919540229885,1.3136288998357963,1.4367816091954022,1.6091954022988506
Jalapeno & Cheese Whataburger,352,32,63,34,12,4,1800,65,680,12,1,4.09,0.6176470588235294,0.6372549019607843,2.0,1.2223071046600458,2.2058823529411766,1.7647058823529411
Jalapeno & Cheese Whataburger Whatameal,1387,53,227,39,124,8,2100,65,1510,14,1,4.09,1.0022075055187638,0.2869757174392936,1.033112582781457,0.9116711103466071,1.1589403973509935,0.9271523178807948
Jalapeno & Cheese Whataburger Whatameal with Lower Calorie Sides,1357,32,73,34,17,5,1830,65,720,12,1,6.09,0.6759259259259259,0.6018518518518519,1.8888888888888888,1.1544011544011545,2.1180555555555554,1.6666666666666667
Sweet & Spicy Bacon Burger,392,62,69,60,18,3,2310,140,1080,23,2,5.39,0.42592592592592593,0.8641975308641975,2.2222222222222223,1.491101491101491,1.7824074074074074,2.1296296296296298
Sweet & Spicy Bacon Burger Jr.,209,33,42,32,11,1,1350,80,600,13,1,3.39,0.46666666666666673,0.888888888888889,2.1333333333333333,1.4285714285714286,1.875,2.166666666666667
Sweet & Spicy Bacon Burger Jr. Whatameal,861,47,146,35,81,4,1550,80,1140,15,1,5.24,0.8538011695906433,0.4678362573099415,1.2280701754385963,1.0708589655958078,1.1330409356725146,1.3157894736842104
Sweet & Spicy Bacon Burger Jr. Whatameal with Lower Calorie Sides,859,33,51,32,16,3,1370,80,640,13,1,3.49,0.53125,0.8333333333333334,2.0,1.3392857142857142,1.7838541666666667,2.03125
Sweet & Spicy Bacon Burger Whatameal,1427,83,233,65,130,7,2620,140,1910,25,2,7.39,0.8132635253054101,0.4886561954624782,1.361256544502618,1.1287142177194533,1.1431064572425829,1.3089005235602094
Sweet & Spicy Bacon Burger Whatameal with Lower Calorie Sides,1397,62,79,60,23,4,2340,140,1120,23,2,3.49,0.47023809523809523,0.8333333333333334,2.142857142857143,1.4378478664192949,1.7410714285714288,2.0535714285714284
