Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price
Bourbon BBQ Brisket Sandwich,218.0,33.0,51.0,38.0,15.0,2.0,1460.0,105.0,650.0,12.0,1.0,$4.99
Bourbon BBQ Chicken Sandwich,246.0,31.0,66.0,38.0,16.0,3.0,1990.0,90.0,690.0,9.0,0.0,$5.29
Bourbon BBQ Steak Sandwich,232.0,21.0,52.0,37.0,16.0,2.0,1770.0,80.0,540.0,8.0,0.0,$4.99
Bourbon BBQ Triple Stack Sandwich,359.0,43.0,67.0,65.0,16.0,4.0,2790.0,170.0,910.0,13.0,1.0,$4.99
Greek Gyro Salad,228.0,37.0,11.0,10.0,4.0,2.0,700.0,55.0,420.0,9.0,0.0,$1.69
Gyro Loaded Curly Fries,261.0,59.0,57.0,14.0,3.0,6.0,1650.0,55.0,820.0,12.0,0.0,$2.19
"Orange Cream Shake, Large",752.0,29.0,156.0,23.0,130.0,1.0,640.0,95.0,950.0,19.0,0.5,$2.19
"Orange Cream Shake, Medium",582.0,22.0,124.0,18.0,103.0,1.0,490.0,75.0,750.0,15.0,0.5,$1.99
"Orange Cream Shake, Small",407.0,17.0,86.0,12.0,72.0,1.0,340.0,55.0,530.0,11.0,0.0,$1.69
"Orange Cream Shake, Snack",249.0,8.0,54.0,8.0,45.0,0.0,210.0,25.0,310.0,5.0,0.0,$1.49
Super Greek Salad,382.0,53.0,39.0,22.0,7.0,5.0,1310.0,85.0,720.0,15.0,0.0,$1.69
Traditional Greek Gyro,273.0,44.0,55.0,23.0,6.0,4.0,1360.0,75.0,710.0,13.0,0.0,$1.59
Loaded Italian,308.0,40.0,49.0,32.0,7.0,3.0,2270.0,100.0,680.0,14.0,0.5,$0.99
Reuben,308.0,31.0,62.0,37.0,5.0,4.0,2420.0,80.0,680.0,8.0,0.5,$4.99
Roast Beef Gyro,273.0,29.0,48.0,24.0,5.0,3.0,1290.0,60.0,550.0,7.0,1.0,$1.59
Smokehouse Brisket,203.0,35.0,42.0,33.0,7.0,2.0,1240.0,100.0,600.0,12.0,1.0,$5.59
Turkey Gyro,273.0,20.0,48.0,25.0,5.0,3.0,1520.0,45.0,470.0,3.5,0.0,$4.49
Classic Beef 'n Cheddar Sandwich,195.0,20.0,45.0,23.0,9.0,2.0,1280.0,50.0,450.0,6.0,1.0,$3.99
Classic French Dip & Swiss/Au Jus Sandwich,327.0,22.0,51.0,34.0,3.0,2.0,2550.0,85.0,540.0,10.0,1.0,$4.49
Classic Roast Beef Sandwich,154.0,14.0,37.0,23.0,5.0,2.0,970.0,50.0,360.0,5.0,0.5,$3.29
Double Beef 'n Cheddar Sandwich,301.0,32.0,48.0,39.0,9.0,2.0,2100.0,100.0,630.0,11.0,1.5,$4.99
Double Roast Beef Sandwich,239.0,24.0,38.0,38.0,5.0,2.0,1610.0,95.0,510.0,9.0,1.5,$1.49
Half Pound Beef 'n Cheddar Sandwich,358.0,39.0,48.0,49.0,9.0,2.0,2530.0,130.0,740.0,14.0,2.0,$4.99
Half Pound French Dip & Swiss/Au Jus Sandwich,441.0,35.0,52.0,55.0,3.0,2.0,3400.0,150.0,740.0,16.0,2.0,$4.49
Half Pound Roast Beef Sandwich,295.0,30.0,38.0,48.0,5.0,2.0,2040.0,130.0,610.0,12.0,2.0,$1.49
Fire-Roasted Philly Sandwich,291.0,32.0,46.0,42.0,4.0,3.0,1950.0,105.0,640.0,11.0,0.5,$4.99
Three Cheese Steak Sandwich,255.0,36.0,44.0,42.0,7.0,2.0,1750.0,115.0,650.0,15.0,1.0,$5.59
Grand Turkey Club Sandwich,233.0,24.0,37.0,30.0,9.0,2.0,1610.0,65.0,480.0,7.0,0.0,$4.49
Roast Turkey & Swiss Sandwich,326.0,28.0,79.0,38.0,15.0,5.0,1930.0,65.0,710.0,7.0,0.0,$4.99
Roast Turkey & Swiss Wrap,261.0,27.0,39.0,30.0,6.0,4.0,1640.0,65.0,520.0,9.0,0.0,$4.99
Roast Turkey Ranch & Bacon Sandwich,344.0,34.0,79.0,45.0,16.0,5.0,2420.0,80.0,800.0,10.0,0.5,$5.29
Roast Turkey Ranch & Bacon Wrap,279.0,34.0,39.0,37.0,6.0,4.0,2130.0,85.0,620.0,11.0,0.5,$5.29
Buttermilk Buffalo Chicken Sandwich,245.0,26.0,52.0,28.0,6.0,4.0,2050.0,65.0,550.0,5.0,0.0,$5.29
Buttermilk Chicken Bacon & Swiss Sandwich,289.0,33.0,55.0,38.0,9.0,4.0,1700.0,95.0,660.0,10.0,0.0,$4.59
Buttermilk Chicken Cordon Bleu Sandwich,264.0,36.0,52.0,41.0,7.0,3.0,1940.0,115.0,700.0,10.0,0.0,$4.59
Buttermilk Crispy Chicken Sandwich,257.0,27.0,52.0,28.0,6.0,4.0,1420.0,70.0,560.0,5.0,0.0,$3.99
Prime-Cut Chicken Tenders (3),131.0,17.0,28.0,23.0,0.0,2.0,950.0,45.0,360.0,2.5,0.0,$3.69
Prime-Cut Chicken Tenders (5),219.0,28.0,47.0,39.0,0.0,3.0,1590.0,75.0,600.0,4.0,0.0,$5.19
Chopped Farmhouse Salad with Crispy Chicken,323.0,24.0,26.0,28.0,4.0,4.0,1000.0,65.0,430.0,8.0,0.0,$4.99
Chopped Farmhouse Salad with Roast Turkey,285.0,13.0,8.0,22.0,5.0,2.0,870.0,55.0,230.0,7.0,0.0,$4.99
Chopped Side Salad,128.0,5.0,4.0,5.0,2.0,1.0,100.0,15.0,70.0,2.5,0.0,$1.69
Buffalo Chicken Slider,106.0,13.0,31.0,12.0,2.0,2.0,860.0,20.0,290.0,2.0,0.0,$1.49
Chicken Tender 'n Cheese Slider,99.0,12.0,30.0,15.0,1.0,1.0,720.0,25.0,290.0,3.5,0.0,$1.49
Jalapeno Roast Beef 'n Cheese Slider,98.0,11.0,21.0,14.0,1.0,1.0,670.0,30.0,240.0,4.5,0.0,$1.49
Pizza Slider,95.0,17.0,23.0,13.0,2.0,1.0,930.0,35.0,300.0,6.0,0.0,$1.49
Turkey 'n Cheese Slider,91.0,7.0,21.0,14.0,2.0,1.0,760.0,25.0,200.0,2.5,0.0,$3.99
"Curly Fries, Large",201.0,35.0,77.0,8.0,0.0,7.0,1480.0,0.0,650.0,5.0,0.0,$2.19
"Curly Fries, Medium",170.0,29.0,65.0,6.0,0.0,6.0,1250.0,0.0,550.0,4.0,0.0,$1.99
"Curly Fries, Small",128.0,22.0,49.0,5.0,0.0,5.0,940.0,0.0,410.0,3.0,0.0,$1.69
"Curly Fries, Snack",77.0,13.0,29.0,3.0,0.0,3.0,570.0,0.0,250.0,2.0,0.0,$1.69
Jalapeno Bites (5),110.0,17.0,31.0,5.0,3.0,2.0,660.0,25.0,290.0,6.0,0.0,$2.99
Jalapeno Bites (8),176.0,27.0,50.0,8.0,4.0,3.0,1060.0,40.0,470.0,10.0,0.5,$4.69
Loaded Curly Fries,233.0,46.0,57.0,14.0,2.0,5.0,1990.0,35.0,700.0,9.0,0.0,$2.19
Mozzarella Sticks (4),137.0,23.0,37.0,19.0,3.0,2.0,1410.0,35.0,440.0,9.0,0.5,$2.99
Mozzarella Sticks (6),206.0,35.0,56.0,29.0,4.0,3.0,2110.0,55.0,650.0,14.0,1.0,$4.69
Potato Cakes (3),150.0,21.0,35.0,3.0,0.0,4.0,650.0,0.0,370.0,3.0,0.0,$1.99
Potato Cakes (4),200.0,28.0,46.0,4.0,0.0,5.0,860.0,0.0,490.0,4.5,0.0,$2.19
Steakhouse Onion Rings (5),132.0,21.0,52.0,6.0,4.0,3.0,1740.0,0.0,420.0,3.0,0.0,$2.29
Apple Turnover,128.0,18.0,65.0,4.0,39.0,2.0,210.0,0.0,430.0,9.0,0.0,$2.19
Cherry Turnover,128.0,13.0,65.0,4.0,40.0,2.0,200.0,0.0,390.0,6.0,0.0,$2.19
"Jamocha Handcrafted Shake, Large",758.0,30.0,156.0,23.0,141.0,1.0,700.0,95.0,950.0,19.0,0.5,$1.99
"Jamocha Handcrafted Shake, Medium",587.0,23.0,124.0,18.0,112.0,1.0,550.0,75.0,750.0,15.0,0.5,$1.79
"Jamocha Handcrafted Shake, Small",413.0,17.0,87.0,13.0,79.0,1.0,380.0,55.0,540.0,11.0,0.0,$1.59
"Jamocha Handcrafted Shake, Snack",255.0,8.0,55.0,8.0,50.0,0.0,240.0,25.0,310.0,5.0,0.0,$1.19
Salted Caramel & Chocolate Cookie,94.0,18.0,63.0,4.0,33.0,1.0,360.0,30.0,430.0,10.0,0.0,$2.99
Triple Chocolate Cookie,95.0,21.0,60.0,5.0,31.0,2.0,370.0,40.0,450.0,13.0,0.0,$1.39
"Ultimate Chocolate Shake, Large",758.0,31.0,158.0,24.0,140.0,2.0,700.0,95.0,970.0,20.0,0.5,$2.99
"Ultimate Chocolate Shake, Medium",587.0,24.0,126.0,18.0,111.0,2.0,540.0,75.0,760.0,15.0,0.5,$2.49
"Ultimate Chocolate Shake, Small",413.0,18.0,89.0,13.0,78.0,1.0,380.0,55.0,550.0,12.0,0.0,$1.99
"Ultimate Chocolate Shake, Snack",255.0,9.0,57.0,8.0,49.0,1.0,240.0,25.0,320.0,6.0,0.0,$1.29
"Vanilla Handcrafted Shake, Large",700.0,30.0,124.0,23.0,115.0,1.0,630.0,95.0,820.0,19.0,0.5,$2.19
"Vanilla Handcrafted Shake, Medium",534.0,23.0,95.0,18.0,88.0,1.0,480.0,75.0,630.0,15.0,0.5,$1.99
"Vanilla Handcrafted Shake, Small",376.0,17.0,67.0,12.0,62.0,0.0,340.0,55.0,450.0,11.0,0.0,$1.69
"Vanilla Handcrafted Shake, Snack",227.0,8.0,40.0,8.0,37.0,0.0,210.0,25.0,250.0,5.0,0.0,$1.19
Kids Curly Fries,77.0,13.0,29.0,3.0,0.0,3.0,560.0,0.0,250.0,2.0,0.0,$2.19
Kids Ham 'n Cheese Slider,91.0,9.0,22.0,13.0,3.0,1.0,750.0,30.0,230.0,3.5,0.0,$1.49
Kids Prime-Cut Chicken Tenders (2),87.0,11.0,19.0,16.0,0.0,1.0,640.0,30.0,240.0,1.5,0.0,$3.99
Kids Roast Beef 'n Cheese Slider,91.0,11.0,21.0,14.0,1.0,1.0,670.0,30.0,240.0,4.5,0.0,$1.49
Bacon & Cheese Croissant,83.0,19.0,27.0,13.0,3.0,1.0,670.0,50.0,330.0,10.0,0.0,$4.59
Bacon & Egg with Biscuit Platter,244.0,32.0,49.0,23.0,4.0,3.0,1620.0,260.0,590.0,13.0,0.0,$6.99
"Bacon, Egg & Cheese Biscuit",173.0,29.0,38.0,18.0,5.0,1.0,1720.0,155.0,480.0,15.0,0.0,$3.99
"Bacon, Egg & Cheese Croissant",139.0,27.0,29.0,18.0,5.0,1.0,1010.0,185.0,440.0,13.0,0.5,$3.99
"Bacon, Egg & Cheese Sourdough",170.0,23.0,46.0,23.0,6.0,2.0,1260.0,155.0,490.0,8.0,0.0,$3.99
"Bacon, Egg & Cheese Wrap",178.0,27.0,42.0,20.0,5.0,4.0,1370.0,160.0,500.0,10.0,0.0,$3.99
Bacon Biscuit,104.0,17.0,36.0,10.0,3.0,1.0,1180.0,15.0,340.0,10.0,0.0,$4.59
Chicken Biscuit,134.0,18.0,44.0,13.0,2.0,2.0,1250.0,15.0,390.0,9.0,0.0,$1.49
French Toast Sticks,128.0,10.0,57.0,7.0,13.0,5.0,250.0,0.0,350.0,1.5,0.0,$4.49
Ham & Egg w/Biscuit Platter,275.0,29.0,50.0,23.0,5.0,2.0,1830.0,265.0,570.0,12.0,0.0,$1.49
Ham & Swiss Croissant,119.0,17.0,29.0,16.0,4.0,1.0,910.0,70.0,340.0,10.0,0.0,$4.99
"Ham, Egg & Cheese Biscuit",203.0,25.0,39.0,21.0,5.0,1.0,1830.0,165.0,470.0,12.0,0.0,$3.99
"Ham, Egg & Cheese Croissant",169.0,23.0,30.0,21.0,5.0,1.0,1120.0,195.0,420.0,11.0,0.5,$3.99
"Ham, Egg & Cheese Sourdough",200.0,19.0,47.0,26.0,6.0,2.0,1370.0,165.0,470.0,6.0,0.0,$3.99
"Ham, Egg & Cheese Wrap",184.0,22.0,42.0,17.0,5.0,4.0,1280.0,160.0,440.0,8.0,0.0,$3.99
Ham Biscuit,140.0,16.0,37.0,13.0,4.0,1.0,1420.0,30.0,340.0,9.0,0.0,$1.59
Sausage & Cheese Croissant,123.0,35.0,28.0,15.0,3.0,1.0,940.0,80.0,490.0,16.0,0.0,$3.99
Sausage & Egg with Biscuit Platter,279.0,46.0,50.0,22.0,4.0,3.0,1860.0,275.0,720.0,18.0,0.0,$5.59
"Sausage, Egg & Cheese Biscuit",212.0,45.0,39.0,20.0,5.0,1.0,1990.0,185.0,640.0,20.0,0.0,$3.99
"Sausage, Egg & Cheese Croissant",178.0,44.0,30.0,20.0,5.0,1.0,1280.0,215.0,590.0,19.0,0.5,$3.99
"Sausage, Egg & Cheese Sourdough",210.0,39.0,47.0,25.0,6.0,2.0,1530.0,185.0,640.0,13.0,0.0,$3.99
"Sausage, Egg & Cheese Wrap",213.0,41.0,42.0,20.0,5.0,4.0,1550.0,185.0,630.0,15.0,0.0,$3.99
Sausage Biscuit,144.0,33.0,36.0,12.0,3.0,1.0,1450.0,40.0,500.0,15.0,0.0,$5.59
Sausage Gravy Biscuit,261.0,28.0,48.0,9.0,3.0,1.0,1770.0,20.0,480.0,13.0,0.0,$5.59
"Sausage Gravy Biscuit, Double",522.0,56.0,96.0,18.0,5.0,3.0,3540.0,35.0,970.0,27.0,0.0,$5.59
Arby's Melt,146.0,12.0,39.0,18.0,5.0,2.0,940.0,35.0,330.0,4.0,0.5,$1.59
Arby-Q,182.0,11.0,58.0,18.0,23.0,3.0,1250.0,30.0,400.0,3.5,0.5,$7.69
Ham & Swiss Melt,131.0,8.0,37.0,18.0,6.0,2.0,1060.0,35.0,300.0,3.5,0.0,$1.59
"Homestyle Fries, Kids",85.0,11.0,33.0,3.0,0.0,3.0,550.0,0.0,240.0,1.5,0.0,$1.99
"Homestyle Fries, Large",213.0,26.0,84.0,7.0,0.0,7.0,1380.0,0.0,600.0,3.5,0.0,$2.19
"Homestyle Fries, Medium",170.0,21.0,67.0,5.0,0.0,6.0,1100.0,0.0,480.0,3.0,0.0,$1.99
"Homestyle Fries, Small",126.0,16.0,49.0,4.0,0.0,4.0,810.0,0.0,350.0,2.0,0.0,$1.69
Super Roast Beef,210.0,19.0,43.0,23.0,11.0,3.0,1080.0,50.0,440.0,6.0,1.0,$1.59
