Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price
"Better for You, Chicken Fajita Pita made with Whole Grain without Salsa",220.0,12.0,35,23,3,4,1000,55,340,6.0,0.0,$6.99
"Better for You, Chicken Teriyaki Bowl",,6.0,134,27,35,5,1910,40,690,1.0,0.0,$4.69
"Better for You, Grilled Chicken Salad",372.0,9.0,13,30,6,5,750,80,250,4.5,0.0,$5.49
"Better for You, Jr. Jumbo Jack",150.0,26.0,33,14,6,2,560,30,420,7.0,1.0,$2.59
Bacon & Egg Chicken Sandwich,240.0,39.0,37,37,1,2,1630,300,650,11.0,0.5,$1.29
Brunch Burger,215.0,55.0,32,37,3,2,730,320,770,22.0,2.0,$2.29
Brunchfast Mini Pancakes,71.0,1.5,28,4,6,1,350,0,140,0.0,0.0,$1.00
Homestyle Potatoes,165.0,12.0,34,4,1,3,580,0,260,2.5,0.0,$4.99
Orange & Cranberry Mini Muffins,75.0,16.0,34,4,20,1,300,60,300,3.0,0.0,$2.29
Southwest Scrambler Plate with Bacon,307.0,28.0,38,23,3,4,1380,325,500,9.0,0.0,$5.49
Southwest Scrambler Plate with Sausage,327.0,38.0,38,21,2,4,1230,340,580,12.0,0.0,$5.49
Bacon & Swiss Buttery Jack,240.0,59.0,48,42,11,3,1350,145,890,25.0,2.0,$5.09
Bacon Ultimate Cheeseburger,272.0,65.0,32,55,6,1,1590,165,930,25.0,3.0,$5.09
Cheeseburger,123.0,21.0,32,16,5,1,780,35,380,8.0,1.0,$3.59
Classic Buttery Jack,270.0,52.0,50,37,12,4,1150,130,820,23.0,1.5,$4.79
Double Jack,319.0,58.0,34,46,7,2,1130,140,830,22.0,3.0,$2.59
Hamburger,111.0,18.0,32,14,5,1,570,25,340,5.0,1.0,$3.29
Jr. Bacon Cheeseburger,129.0,31.0,32,19,5,1,860,45,480,10.0,1.0,$1.49
Jr. Jumbo Jack,150.0,26.0,33,14,6,2,560,30,420,7.0,1.0,$2.59
Jr. Jumbo Jack Cheeseburger,161.0,29.0,33,16,6,2,760,40,460,9.0,1.0,$3.19
Jumbo Jack,223.0,33.0,32,23,6,2,580,60,520,10.0,1.5,$2.59
Jumbo Jack Cheeseburger,245.0,40.0,33,28,6,2,990,80,600,14.0,1.5,$3.19
Sourdough Jack,227.0,45.0,39,35,7,3,1180,95,700,15.0,1.5,$4.69
Spicy Sriracha Burger,247.0,45.0,38,33,6,3,1330,90,680,14.0,1.5,$4.69
Ultimate Cheeseburger,253.0,59.0,31,47,5,1,1180,150,840,23.0,3.0,$4.69
Chicken Fajita Pita made with Whole Grain without Salsa,244.0,12.0,36,24,4,4,1120,55,350,6.0,0.0,$4.79
Chicken Fajita Pita made with Whole Grain with Salsa,220.0,12.0,35,23,3,4,1000,55,340,6.0,0.0,$4.79
Chicken Nuggets (5 pc.),77.0,17.0,13,9,0,1,600,25,240,2.0,0.0,$1.59
Chicken Nuggets (10 pc.),153.0,33.0,26,19,0,2,1210,50,480,4.5,0.0,$3.09
Chicken Nuggets (20 pc.),306.0,66.0,51,38,1,4,2420,105,950,9.0,0.0,$5.09
Chicken Sandwich,156.0,31.0,42,15,4,2,940,35,510,5.0,0.0,$1.29
Chicken Sandwich with Bacon,169.0,35.0,42,21,4,2,1210,45,560,7.0,0.5,$1.29
Crispy Chicken Strips,195.0,24.0,53,33,0,3,1580,60,560,3.0,0.0,$4.69
Fish Sandwich,173.0,19.0,45,16,4,2,890,30,410,3.0,0.0,$1.29
Homestyle Ranch Chicken Club,267.0,33.0,66,40,12,4,1880,80,710,8.0,0.0,$4.99
Jack's Spicy Chicken,232.0,29.0,48,26,5,2,770,55,550,5.0,0.0,$4.59
Jack's Spicy Chicken with Cheese,255.0,35.0,49,30,5,2,1060,70,630,8.0,0.5,$4.59
Sourdough Grilled Chicken Club,266.0,30.0,38,39,6,3,1500,95,580,8.0,0.0,$4.99
Bacon Ranch Monster Taco,117.0,24.0,19,11,1,1,660,30,340,6.0,0.5,$1.69
Chicken Teriyaki Bowl,499.0,6.0,134,27,35,5,1910,40,690,1.0,0.0,$4.69
Monster Taco,118.0,17.0,19,9,1,2,630,25,270,6.0,0.5,$1.29
Nacho Monster Taco,136.0,22.0,23,9,2,2,930,15,330,6.0,0.5,$1.69
Chicken Club Salad with Crispy Chicken,375.0,28.0,36,32,4,5,1230,70,510,9.0,0.0,$5.49
Chicken Club Salad with Grilled Chicken,376.0,20.0,11,39,5,4,1060,105,370,9.0,0.0,$5.49
Grilled Chicken Salad,372.0,9.0,13,30,6,5,750,80,250,4.5,0.0,$5.49
Southwest Chicken Salad with Crispy Chicken,428.0,23.0,52,28,5,8,1260,55,500,7.0,0.0,$5.49
Southwest Chicken Salad with Grilled Chicken,430.0,15.0,27,35,6,7,1090,90,350,6.0,0.0,$5.49
Bacon Cheddar Potato Wedges,252.0,41.0,58,17,2,5,1250,30,680,9.0,0.0,$3.09
Egg Roll (3 pc.),174.0,22.0,46,16,6,7,950,20,440,5.0,0.0,$4.09
"French Fries, Large",176.0,25.0,75,6,1,5,1010,0,550,2.5,0.0,$2.29
"French Fries, Medium",137.0,20.0,58,5,0,4,780,0,430,2.0,0.0,$2.09
"French Fries, Small",94.0,14.0,40,3,0,3,540,0,300,1.0,0.0,$1.89
Panko Onion Rings,118.0,24.0,52,6,5,3,620,0,440,2.0,0.0,$2.29
"Seasoned Curly Fries, Medium",130.0,25.0,46,5,0,4,940,0,430,2.0,0.0,$2.29
"Seasoned Curly Fries, Small",85.0,16.0,30,3,0,3,610,0,280,1.5,0.0,$1.99
Stuffed Jalapenos (3 pc.),71.0,12.0,21,6,2,1,730,15,220,4.5,0.0,$2.19
Stuffed Jalapenos (7 pc.),165.0,29.0,49,14,5,3,1690,40,510,10.0,0.5,$4.19
"Taco, Regular",81.0,9.0,16,6,1,2,360,15,170,3.0,0.0,$0.99
"Bacon, Egg & Cheese Biscuit",128.0,25.0,26,16,3,2,1180,240,410,12.0,0.0,$2.99
Bacon Breakfast Jack,123.0,21.0,30,17,4,1,850,240,380,7.0,0.0,$1.59
Breakfast Jack,132.0,18.0,30,16,4,1,840,240,350,6.0,0.0,$1.59
Extreme Sausage Sandwich,192.0,49.0,29,25,3,1,1140,295,650,16.0,0.5,$3.29
Grande Sausage Breakfast Burrito without Salsa,358.0,70.0,67,35,4,4,2010,390,1040,20.0,0.5,$3.39
Grande Sausage Breakfast Burrito with Salsa,381.0,70.0,68,36,5,5,2130,390,1040,20.0,0.5,$3.39
Grilled Breakfast Sandwich,253.0,29.0,53,36,4,4,1810,490,620,10.0,0.0,$3.69
Jumbo Breakfast Platter with Bacon,247.0,29.0,47,23,7,3,1390,345,540,6.0,0.0,$4.49
Jumbo Breakfast Platter with Sausage,267.0,39.0,47,21,7,3,1250,360,620,9.0,0.0,$4.49
Loaded Breakfast Sandwich,242.0,47.0,36,36,4,2,1690,515,710,16.0,0.0,$3.69
