Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price
"Asiago Bacon, Egg & Cheese on Asiago Cheese Bagel",,24.0,56,21,4,2,960,260,570,11.0,0.5,$3.39
"Avocado, Egg White & Spinach on Sprouted Grain Bagel Flat",,14.0,52,21,4,7,590,25,410,6.0,0.0,$1.05
"Bacon, Egg & Cheese on Artisan Ciabatta",187.0,20.0,40,24,1,2,850,245,450,9.0,0.0,$7.99
"Bacon, Egg & Cheese on Brioche",,25.0,32,24,6,1,790,295,460,12.0,0.5,$7.99
"Bacon, Scrambled Egg & Cheese on Artisan Ciabatta",161.0,22.0,40,25,1,2,760,275,460,9.0,0.0,$2.99
"Bacon, Scrambled Egg & Cheese on Brioche",,27.0,33,25,6,1,700,325,470,13.0,0.5,$6.39
Egg & Cheese on Artisan Ciabatta,,15.0,39,19,0,2,700,230,380,7.0,0.0,$4.49
Egg & Cheese on Brioche,,21.0,32,19,5,1,640,280,390,11.0,0.5,$7.99
Four Cheese Souffle,163.0,28.0,38,15,8,1,830,170,410,17.0,0.0,$4.49
Greek Yogurt with Mixed Berries & Granola,,10.0,39,15,30,3,55,20,300,5.0,0.0,$4.19
Ham & Swiss Souffle,,30.0,36,18,8,1,810,160,450,18.0,0.0,$6.39
"Ham, Egg & Cheese on Whole Grain Farmstyle Bread",,15.0,20,22,1,2,790,245,310,7.0,0.0,$5.99
"Ham, Egg, Cheese & Roasted Tomato on Whole Grain Farmstyle Bread",,15.0,21,22,1,2,820,245,320,7.0,0.0,$0.99
"Ham, Scrambled Egg & Cheese on Whole Grain Farmstyle Bread",,17.0,21,23,1,2,710,275,330,7.0,0.0,$0.99
"Ham, Scrambled Egg, Cheese & Roasted Tomato on Whole Grain Farmstyle Bread",,17.0,22,23,1,2,730,275,330,7.0,0.0,$0.99
"Sausage, Egg & Cheese on Brioche",,34.0,33,27,6,1,970,325,550,16.0,0.5,$7.99
"Sausage, Scrambled Egg & Cheese on Artisan Ciabatta",,30.0,41,28,1,2,940,305,560,12.0,0.0,$4.99
"Sausage, Scrambled Egg & Cheese on Brioche",,35.0,33,28,6,1,880,355,570,16.0,0.5,$6.39
Scrambled Egg & Cheese on Artisan Ciabatta,,17.0,40,20,0,2,620,260,400,7.0,0.0,$4.69
